,Close
2000-01-03,38.0
2000-01-04,37.4375
2000-01-05,38.0
2000-01-06,38.625
2000-01-07,38.6875
2000-01-10,37.9375
2000-01-11,37.375
2000-01-12,37.5625
2000-01-13,37.3125
2000-01-14,37.125
2000-01-18,35.0
2000-01-19,33.25
2000-01-20,33.0
2000-01-21,33.875
2000-01-24,33.625
2000-01-25,33.3125
2000-01-26,32.75
2000-01-27,31.5625
2000-01-28,31.25
2000-01-31,32.25
2000-02-01,32.875
2000-02-02,33.0
2000-02-03,34.5
2000-02-04,34.125
2000-02-07,34.3125
2000-02-08,34.0625
2000-02-09,34.0625
2000-02-10,35.25
2000-02-11,34.625
2000-02-14,35.4375
2000-02-15,37.5
2000-02-16,37.125
2000-02-17,38.0
2000-02-18,37.3125
2000-02-22,35.8125
2000-02-23,34.75
2000-02-24,34.875
2000-02-25,35.0625
2000-02-28,35.1875
2000-02-29,37.0625
2000-03-01,37.3125
2000-03-02,37.875
2000-03-03,38.0625
2000-03-06,39.75
2000-03-07,39.125
2000-03-08,39.6875
2000-03-09,39.5
2000-03-10,39.5625
2000-03-13,38.5
2000-03-14,37.125
2000-03-15,37.1875
2000-03-16,37.3125
2000-03-17,37.0
2000-03-20,38.75
2000-03-21,38.375
2000-03-22,36.6875
2000-03-23,36.9375
2000-03-24,36.9375
2000-03-27,38.0
2000-03-28,38.125
2000-03-29,41.0
2000-03-30,41.6875
2000-03-31,40.375
2000-04-03,41.5
2000-04-04,42.25
2000-04-05,41.6875
2000-04-06,41.4375
2000-04-07,41.8125
2000-04-10,41.9375
2000-04-11,41.125
2000-04-12,42.75
2000-04-13,41.0
2000-04-14,40.9375
2000-04-17,39.8125
2000-04-18,39.875
2000-04-19,40.125
2000-04-20,40.1875
2000-04-24,41.0625
2000-04-25,42.9375
2000-04-26,43.0
2000-04-27,43.4375
2000-04-28,42.5
2000-05-01,42.875
2000-05-02,42.5
2000-05-03,42.375
2000-05-04,43.9375
2000-05-05,44.5
2000-05-08,46.5
2000-05-09,45.8125
2000-05-10,47.5625
2000-05-11,48.5
2000-05-12,48.6875
2000-05-15,50.0625
2000-05-16,49.5625
2000-05-17,49.375
2000-05-18,49.75
2000-05-19,49.0
2000-05-22,47.9375
2000-05-23,47.5625
2000-05-24,48.625
2000-05-25,48.5625
2000-05-26,49.9375
2000-05-30,49.9375
2000-05-31,51.5
2000-06-01,52.0
2000-06-02,49.625
2000-06-05,47.1875
2000-06-06,50.5
2000-06-07,49.6875
2000-06-08,50.6875
2000-06-09,51.0625
2000-06-12,51.75
2000-06-13,51.8125
2000-06-14,50.625
2000-06-15,49.5625
2000-06-16,50.0
2000-06-19,49.4375
2000-06-20,49.0625
2000-06-21,49.125
2000-06-22,48.75
2000-06-23,48.5
2000-06-26,48.375
2000-06-27,48.3125
2000-06-28,49.125
2000-06-29,51.875
2000-06-30,50.9375
2000-07-03,50.6875
2000-07-05,48.875
2000-07-06,48.4375
2000-07-07,47.625
2000-07-10,50.125
2000-07-11,51.125
2000-07-12,51.1875
2000-07-13,50.125
2000-07-14,51.6875
2000-07-17,51.875
2000-07-18,50.8125
2000-07-19,52.1875
2000-07-20,51.9375
2000-07-21,50.75
2000-07-24,49.5
2000-07-25,50.3125
2000-07-26,49.0
2000-07-27,51.0625
2000-07-28,49.6875
2000-07-31,48.375
2000-08-01,50.3125
2000-08-02,50.0
2000-08-03,50.25
2000-08-04,50.9375
2000-08-07,53.1875
2000-08-08,53.625
2000-08-09,53.75
2000-08-10,54.3125
2000-08-11,54.25
2000-08-14,56.625
2000-08-15,56.0625
2000-08-16,56.8125
2000-08-17,57.4375
2000-08-18,57.9375
2000-08-21,57.0
2000-08-22,57.6875
2000-08-23,60.375
2000-08-24,57.375
2000-08-25,58.3125
2000-08-28,59.4375
2000-08-29,59.0
2000-08-30,58.0
2000-08-31,58.25
2000-09-01,59.5
2000-09-05,58.5625
2000-09-06,60.5
2000-09-07,62.375
2000-09-08,62.625
2000-09-11,64.875
2000-09-12,64.4375
2000-09-13,65.8125
2000-09-14,63.1875
2000-09-15,66.0
2000-09-18,66.125
2000-09-19,62.375
2000-09-20,61.3125
2000-09-21,59.1875
2000-09-22,58.3125
2000-09-25,58.5
2000-09-26,60.9375
2000-09-27,63.0625
2000-09-28,63.75
2000-09-29,61.625
2000-10-02,62.25
2000-10-03,61.4375
2000-10-04,59.625
2000-10-05,59.1875
2000-10-06,59.0
2000-10-09,61.625
2000-10-10,61.0625
2000-10-11,61.5625
2000-10-12,61.875
2000-10-13,60.5
2000-10-16,64.25
2000-10-17,62.1875
2000-10-18,61.4375
2000-10-19,62.9375
2000-10-20,64.0
2000-10-23,62.375
2000-10-24,60.0625
2000-10-25,59.875
2000-10-26,58.875
2000-10-27,58.9375
2000-10-30,59.9375
2000-10-31,62.6875
2000-11-01,63.5625
2000-11-02,63.5625
2000-11-03,60.0
2000-11-06,62.3125
2000-11-07,61.3125
2000-11-08,61.4375
2000-11-09,60.6875
2000-11-10,61.1875
2000-11-13,60.5625
2000-11-14,60.0
2000-11-15,61.75
2000-11-16,63.5
2000-11-17,64.9375
2000-11-20,63.875
2000-11-21,67.625
2000-11-22,67.625
2000-11-24,68.0
2000-11-27,68.3125
2000-11-28,68.5625
2000-11-29,64.9375
2000-11-30,60.0625
2000-12-01,63.5
2000-12-04,66.0
2000-12-05,66.125
2000-12-06,63.75
2000-12-07,65.6875
2000-12-08,64.4375
2000-12-11,65.5
2000-12-12,66.25
2000-12-13,66.1875
2000-12-14,65.1875
2000-12-15,65.5
2000-12-18,67.9375
2000-12-19,66.875
2000-12-20,66.75
2000-12-21,66.875
2000-12-22,67.8125
2000-12-26,71.875
2000-12-27,72.1875
2000-12-28,73.1875
2000-12-29,71.625
2001-01-02,70.25
2001-01-03,67.125
2001-01-04,61.5625
2001-01-05,64.125
2001-01-08,64.125
2001-01-09,62.4375
2001-01-10,62.6875
2001-01-11,62.25
2001-01-12,62.8125
2001-01-16,64.125
2001-01-17,63.0
2001-01-18,58.625
2001-01-19,59.1875
2001-01-22,58.5625
2001-01-23,61.9375
2001-01-24,61.8125
2001-01-25,64.0
2001-01-26,62.9375
2001-01-29,63.1
2001-01-30,62.9
2001-01-31,62.9
2001-02-01,61.7
2001-02-02,63.34
2001-02-05,65.57
2001-02-06,67.55
2001-02-07,71.51
2001-02-08,71.55
2001-02-09,71.56
2001-02-12,71.19
2001-02-13,72.54
2001-02-14,70.77
2001-02-15,69.29
2001-02-16,70.99
2001-02-20,72.46
2001-02-21,74.5
2001-02-22,70.6
2001-02-23,70.56
2001-02-26,70.3
2001-02-27,70.68
2001-02-28,70.3
2001-03-01,71.08
2001-03-02,71.95
2001-03-05,70.5
2001-03-06,71.49
2001-03-07,74.01
2001-03-08,74.0
2001-03-09,73.93
2001-03-12,71.7
2001-03-13,70.5
2001-03-14,70.76
2001-03-15,68.92
2001-03-16,68.99
2001-03-19,69.05
2001-03-20,69.62
2001-03-21,65.7
2001-03-22,60.5
2001-03-23,62.0
2001-03-26,63.0
2001-03-27,62.73
2001-03-28,63.85
2001-03-29,63.27
2001-03-30,65.3
2001-04-02,64.19
2001-04-03,61.9
2001-04-04,62.39
2001-04-05,63.03
2001-04-06,62.75
2001-04-09,63.0
2001-04-10,65.35
2001-04-11,65.96
2001-04-12,67.07
2001-04-16,67.77
2001-04-17,70.3
2001-04-18,70.0
2001-04-19,67.5
2001-04-20,66.7
2001-04-23,70.0
2001-04-24,69.24
2001-04-25,69.35
2001-04-26,70.06
2001-04-27,69.83
2001-04-30,68.8
2001-05-01,68.99
2001-05-02,66.0
2001-05-03,65.15
2001-05-04,67.55
2001-05-07,66.55
2001-05-08,65.69
2001-05-09,66.6
2001-05-10,66.39
2001-05-11,65.88
2001-05-14,65.12
2001-05-15,62.5
2001-05-16,61.89
2001-05-17,61.76
2001-05-18,65.0
2001-05-21,65.39
2001-05-22,64.17
2001-05-23,65.01
2001-05-24,63.5
2001-05-25,61.7
2001-05-29,60.09
2001-05-30,59.88
2001-05-31,60.9
2001-06-01,59.85
2001-06-04,57.98
2001-06-05,56.5
2001-06-06,57.54
2001-06-07,56.19
2001-06-08,57.0
2001-06-11,59.2
2001-06-12,58.31
2001-06-13,56.6
2001-06-14,54.99
2001-06-15,55.17
2001-06-18,55.38
2001-06-19,54.72
2001-06-20,52.7
2001-06-21,50.5
2001-06-22,51.95
2001-06-25,50.65
2001-06-26,52.35
2001-06-27,51.34
2001-06-28,51.41
2001-06-29,52.54
2001-07-02,50.95
2001-07-03,50.84
2001-07-05,52.45
2001-07-06,53.21
2001-07-09,52.42
2001-07-10,54.09
2001-07-11,53.14
2001-07-12,52.98
2001-07-13,52.19
2001-07-16,51.92
2001-07-17,52.0
2001-07-18,52.15
2001-07-19,51.9
2001-07-20,52.43
2001-07-23,51.9
2001-07-24,47.64
2001-07-25,49.16
2001-07-26,50.83
2001-07-27,52.36
2001-07-30,52.02
2001-07-31,51.75
2001-08-01,52.25
2001-08-02,53.22
2001-08-03,51.25
2001-08-06,49.95
2001-08-07,48.1
2001-08-08,45.2
2001-08-09,46.06
2001-08-10,46.37
2001-08-13,45.88
2001-08-14,46.72
2001-08-15,46.5
2001-08-16,47.0
2001-08-17,47.39
2001-08-20,48.1
2001-08-21,48.1
2001-08-22,49.14
2001-08-23,50.01
2001-08-24,51.02
2001-08-27,51.91
2001-08-28,50.66
2001-08-29,50.4
2001-08-30,48.9
2001-08-31,48.59
2001-09-04,50.63
2001-09-05,49.8
2001-09-06,50.2
2001-09-07,50.0
2001-09-10,50.02
2001-09-17,49.02
2001-09-18,45.52
2001-09-19,44.84
2001-09-20,44.82
2001-09-21,44.49
2001-09-24,43.4
2001-09-25,41.3
2001-09-26,38.9
2001-09-27,38.95
2001-09-28,41.55
2001-10-01,42.1
2001-10-02,44.8
2001-10-03,46.46
2001-10-04,48.85
2001-10-05,48.24
2001-10-08,48.38
2001-10-09,48.75
2001-10-10,52.8
2001-10-11,53.21
2001-10-12,51.5
2001-10-15,51.46
2001-10-16,52.52
2001-10-17,52.88
2001-10-18,51.08
2001-10-19,52.85
2001-10-22,52.57
2001-10-23,50.67
2001-10-24,47.83
2001-10-25,50.0
2001-10-26,49.96
2001-10-29,50.74
2001-10-30,49.2
2001-10-31,49.06
2001-11-01,49.43
2001-11-02,47.46
2001-11-05,48.5
2001-11-06,48.45
2001-11-07,46.74
