,Close
2003-01-02,24.4
2003-01-03,24.37
2003-01-06,24.67
2003-01-07,24.9
2003-01-08,23.6
2003-01-09,23.7
2003-01-10,23.72
2003-01-13,23.45
2003-01-14,22.97
2003-01-15,22.14
2003-01-16,22.1
2003-01-17,21.63
2003-01-21,20.74
2003-01-22,20.0
2003-01-23,19.96
2003-01-24,19.98
2003-01-27,19.39
2003-01-28,18.85
2003-01-29,19.2
2003-01-30,18.5
2003-01-31,19.44
2003-02-03,19.73
2003-02-04,19.11
2003-02-05,18.78
2003-02-06,18.68
2003-02-07,18.91
2003-02-10,19.08
2003-02-11,19.37
2003-02-12,18.7
2003-02-13,18.09
2003-02-14,18.88
2003-02-18,19.16
2003-02-19,20.61
2003-02-20,20.15
2003-02-21,20.6
2003-02-24,19.82
2003-02-25,19.75
2003-02-26,19.35
2003-02-27,19.45
2003-02-28,19.68
2003-03-03,19.11
2003-03-04,18.67
2003-03-05,18.41
2003-03-06,18.46
2003-03-07,18.75
2003-03-10,18.1
2003-03-11,17.74
2003-03-12,18.69
2003-03-13,19.23
2003-03-14,19.5
2003-03-17,20.68
2003-03-18,20.62
2003-03-19,20.64
2003-03-20,21.32
2003-03-21,22.47
2003-03-24,21.54
2003-03-25,21.89
2003-03-26,22.1
2003-03-27,22.04
2003-03-28,21.89
2003-03-31,21.3
2003-04-01,21.13
2003-04-02,21.89
2003-04-03,21.63
2003-04-04,21.42
2003-04-07,21.9
2003-04-08,22.29
2003-04-09,21.35
2003-04-10,21.5
2003-04-11,21.6
2003-04-14,22.15
2003-04-15,22.31
2003-04-16,22.29
2003-04-17,23.36
2003-04-21,22.54
2003-04-22,23.12
2003-04-23,23.17
2003-04-24,20.79
2003-04-25,21.6
2003-04-28,22.01
2003-04-29,22.22
2003-04-30,21.5
2003-05-01,21.85
2003-05-02,22.12
2003-05-05,22.03
2003-05-06,22.07
2003-05-07,22.35
2003-05-08,22.31
2003-05-09,22.82
2003-05-12,23.47
2003-05-13,23.39
2003-05-14,22.87
2003-05-15,22.78
2003-05-16,23.45
2003-05-19,22.34
2003-05-20,22.02
2003-05-21,21.96
2003-05-22,21.89
2003-05-23,21.85
2003-05-27,22.4
2003-05-28,22.32
2003-05-29,22.6
2003-05-30,23.0
2003-06-02,24.11
2003-06-03,24.22
2003-06-04,25.15
2003-06-05,25.07
2003-06-06,25.23
2003-06-09,24.71
2003-06-10,25.47
2003-06-11,26.17
2003-06-12,25.79
2003-06-13,25.5
2003-06-16,26.0
2003-06-17,26.36
2003-06-18,26.45
2003-06-19,26.25
2003-06-20,26.35
2003-06-23,25.87
2003-06-24,25.7
2003-06-25,25.56
2003-06-26,26.0
2003-06-27,25.98
2003-06-30,25.91
2003-07-01,25.63
2003-07-02,25.87
2003-07-03,25.85
2003-07-07,26.16
2003-07-08,27.65
2003-07-09,27.48
2003-07-10,26.87
2003-07-11,26.99
2003-07-14,27.5
2003-07-15,27.38
2003-07-16,27.37
2003-07-17,26.57
2003-07-18,26.84
2003-07-21,26.51
2003-07-22,27.11
2003-07-23,27.58
2003-07-24,25.14
2003-07-25,26.49
2003-07-28,25.99
2003-07-29,25.78
2003-07-30,25.31
2003-07-31,26.24
2003-08-01,26.05
2003-08-04,25.95
2003-08-05,25.3
2003-08-06,25.66
2003-08-07,25.89
2003-08-08,25.57
2003-08-11,25.69
2003-08-12,26.56
2003-08-13,26.36
2003-08-14,26.95
2003-08-15,27.13
2003-08-18,27.47
2003-08-19,27.82
2003-08-20,27.96
2003-08-21,28.5
2003-08-22,27.91
2003-08-25,28.03
2003-08-26,27.86
2003-08-27,28.15
2003-08-28,28.23
2003-08-29,28.2
2003-09-02,29.0
2003-09-03,29.32
2003-09-04,29.25
2003-09-05,28.89
2003-09-08,28.69
2003-09-09,28.35
2003-09-10,27.9
2003-09-11,27.99
2003-09-12,27.99
2003-09-15,28.0
2003-09-16,28.14
2003-09-17,28.0
2003-09-18,28.39
2003-09-19,28.2
2003-09-22,27.78
2003-09-23,27.9
2003-09-24,27.42
2003-09-25,26.75
2003-09-26,26.32
2003-09-29,26.75
2003-09-30,26.31
2003-10-01,27.15
2003-10-02,27.15
2003-10-03,27.88
2003-10-06,28.44
2003-10-07,28.57
2003-10-08,28.22
2003-10-09,28.85
2003-10-10,28.92
2003-10-13,28.85
2003-10-14,29.0
2003-10-15,28.71
2003-10-16,28.67
2003-10-17,28.16
2003-10-20,28.25
2003-10-21,28.48
2003-10-22,27.58
2003-10-23,26.6
2003-10-24,26.29
2003-10-27,26.25
2003-10-28,27.6
2003-10-29,27.94
2003-10-30,27.9
2003-10-31,28.05
2003-11-03,27.95
2003-11-04,27.95
2003-11-05,28.2
2003-11-06,28.28
2003-11-07,28.4
2003-11-10,27.98
2003-11-11,28.0
2003-11-12,28.2
2003-11-13,28.12
2003-11-14,27.55
2003-11-17,27.17
2003-11-18,26.65
2003-11-19,26.53
2003-11-20,26.08
2003-11-21,26.09
2003-11-24,26.66
2003-11-25,26.97
2003-11-26,27.0
2003-11-28,27.02
2003-12-01,27.53
2003-12-02,27.74
2003-12-03,27.06
2003-12-04,27.3
2003-12-05,27.08
2003-12-08,27.49
2003-12-09,26.81
2003-12-10,26.96
2003-12-11,27.71
2003-12-12,27.41
2003-12-15,27.2
2003-12-16,26.71
2003-12-17,26.77
2003-12-18,27.2
2003-12-19,27.24
2003-12-22,27.29
2003-12-23,27.91
2003-12-24,28.01
2003-12-26,27.74
2003-12-29,27.99
2003-12-30,27.83
2003-12-31,27.71
2004-01-02,27.63
2004-01-05,28.15
2004-01-06,28.24
2004-01-07,28.9
2004-01-08,28.6
2004-01-09,28.2
2004-01-12,28.99
2004-01-13,28.46
2004-01-14,29.15
2004-01-15,29.16
2004-01-16,29.53
2004-01-20,29.33
2004-01-21,29.15
2004-01-22,28.95
2004-01-23,28.76
2004-01-26,29.63
2004-01-27,29.71
2004-01-28,30.51
2004-01-29,30.79
2004-01-30,31.13
