,Close
2016-01-04,152.24
2016-01-05,151.2
2016-01-06,147.2
2016-01-07,148.83
2016-01-08,145.56
2016-01-11,147.05
2016-01-12,148.07
2016-01-13,142.16
2016-01-14,141.32
2016-01-15,144.29
2016-01-19,144.62
2016-01-20,143.39
2016-01-21,143.8
2016-01-22,144.43
2016-01-25,144.72
2016-01-26,151.47
2016-01-27,151.52
2016-01-28,148.56
2016-01-29,152.05
2016-02-01,154.89
2016-02-02,151.86
2016-02-03,147.94
2016-02-04,147.85
2016-02-05,143.94
2016-02-08,141.45
2016-02-09,141.5
2016-02-10,138.57
2016-02-11,138.41
2016-02-12,140.77
2016-02-16,146.0
2016-02-17,143.41
2016-02-18,143.32
2016-02-19,143.63
2016-02-22,147.87
2016-02-23,147.55
2016-02-24,150.42
2016-02-25,150.08
2016-02-26,150.05
2016-02-29,148.44
2016-03-01,153.35
2016-03-02,152.17
2016-03-03,153.88
2016-03-04,152.37
2016-03-07,151.52
2016-03-08,149.68
2016-03-09,153.77
2016-03-10,156.15
2016-03-11,158.57
2016-03-14,159.34
2016-03-15,158.58
2016-03-16,158.96
2016-03-17,157.94
2016-03-18,157.47
2016-03-21,158.61
2016-03-22,158.19
2016-03-23,161.09
2016-03-24,161.82
2016-03-28,161.76
2016-03-29,163.03
2016-03-30,163.79
2016-03-31,160.34
2016-04-01,160.42
2016-04-04,159.23
2016-04-05,160.47
2016-04-06,159.88
2016-04-07,155.83
2016-04-08,156.11
2016-04-11,154.77
2016-04-12,156.5
2016-04-13,160.49
2016-04-14,160.94
2016-04-15,161.19
2016-04-18,160.94
2016-04-19,160.79
2016-04-20,158.39
2016-04-21,157.13
2016-04-22,158.4
2016-04-25,157.39
2016-04-26,158.28
2016-04-27,159.27
2016-04-28,155.87
2016-04-29,156.1
2016-05-02,155.46
2016-05-03,156.01
2016-05-04,155.84
2016-05-05,148.74
2016-05-06,150.52
2016-05-09,151.53
2016-05-10,152.29
2016-05-11,148.13
2016-05-12,150.0
2016-05-13,145.56
2016-05-16,148.14
2016-05-17,144.08
2016-05-18,143.81
2016-05-19,143.54
2016-05-20,146.39
2016-05-23,145.87
2016-05-24,149.34
2016-05-25,153.53
2016-05-26,156.66
2016-05-27,156.31
2016-05-31,153.84
2016-06-01,153.34
2016-06-02,152.15
2016-06-03,150.71
2016-06-06,150.24
2016-06-07,151.71
2016-06-08,153.52
2016-06-09,156.78
2016-06-10,153.02
