,Close
2001-01-02,53.5625
2001-01-03,54.6875
2001-01-04,51.3125
2001-01-05,51.25
2001-01-08,51.625
2001-01-09,48.75
2001-01-10,49.1875
2001-01-11,47.8125
2001-01-12,45.625
2001-01-16,47.25
2001-01-17,46.9375
2001-01-18,47.0625
2001-01-19,47.0625
2001-01-22,48.8125
2001-01-23,50.625
2001-01-24,51.1875
2001-01-25,52.875
2001-01-26,54.25
2001-01-29,55.0
2001-01-30,56.38
2001-01-31,55.71
2001-02-01,55.24
2001-02-02,54.95
2001-02-05,56.25
2001-02-06,54.69
2001-02-07,56.47
2001-02-08,55.51
2001-02-09,56.79
2001-02-12,59.41
2001-02-13,59.8
2001-02-14,60.51
2001-02-15,59.2
2001-02-16,58.44
2001-02-20,58.1
2001-02-21,56.57
2001-02-22,56.9
2001-02-23,57.0
2001-02-26,57.95
2001-02-27,57.7
2001-02-28,56.4
2001-03-01,55.75
2001-03-02,57.25
2001-03-05,58.2
2001-03-06,58.78
2001-03-07,60.14
2001-03-08,60.95
2001-03-09,60.3
2001-03-12,59.98
2001-03-13,59.24
2001-03-14,57.14
2001-03-15,59.55
2001-03-16,59.75
2001-03-19,59.96
2001-03-20,59.22
2001-03-21,58.7
2001-03-22,55.55
2001-03-23,57.6
2001-03-26,59.93
2001-03-27,59.93
2001-03-28,59.99
2001-03-29,60.95
2001-03-30,63.43
2001-04-02,63.15
2001-04-03,61.8
2001-04-04,61.25
2001-04-05,62.95
2001-04-06,59.97
2001-04-09,61.3
2001-04-10,62.49
2001-04-11,61.94
2001-04-12,61.71
2001-04-16,61.5
2001-04-17,61.45
2001-04-18,57.42
2001-04-19,57.35
2001-04-20,54.0
2001-04-23,54.54
2001-04-24,54.41
2001-04-25,55.35
2001-04-26,54.25
2001-04-27,54.2
2001-04-30,53.81
2001-05-01,53.06
2001-05-02,52.05
2001-05-03,53.2
2001-05-04,53.42
2001-05-07,53.8
2001-05-08,53.52
2001-05-09,54.24
2001-05-10,54.5
2001-05-11,53.86
2001-05-14,53.7
2001-05-15,53.45
2001-05-16,55.85
2001-05-17,56.59
2001-05-18,56.21
2001-05-21,57.41
2001-05-22,57.5
2001-05-23,56.85
2001-05-24,56.66
2001-05-25,56.57
2001-05-29,55.8
2001-05-30,55.86
2001-05-31,56.05
2001-06-01,55.28
2001-06-04,55.71
2001-06-05,55.75
2001-06-06,55.86
2001-06-07,55.36
2001-06-08,56.24
2001-06-11,55.79
2001-06-12,54.99
2001-06-13,55.9
2001-06-14,55.3
2001-06-15,55.86
2001-06-18,56.06
2001-06-19,56.56
2001-06-20,56.23
2001-06-21,58.93
2001-06-22,58.73
2001-06-25,56.93
2001-06-26,57.45
2001-06-27,58.45
2001-06-28,58.33
2001-06-29,58.2
2001-07-02,59.1
2001-07-03,59.58
2001-07-05,60.07
2001-07-06,59.26
2001-07-09,58.68
2001-07-10,58.04
2001-07-11,57.98
2001-07-12,58.15
2001-07-13,58.99
2001-07-16,58.65
2001-07-17,58.72
2001-07-18,60.53
2001-07-19,57.98
2001-07-20,57.1
2001-07-23,56.77
2001-07-24,55.17
2001-07-25,56.51
2001-07-26,57.05
2001-07-27,56.77
2001-07-30,57.04
2001-07-31,57.54
2001-08-01,57.65
2001-08-02,58.14
2001-08-03,58.29
2001-08-06,57.01
2001-08-07,58.12
2001-08-08,57.45
2001-08-09,57.85
2001-08-10,57.96
2001-08-13,57.54
2001-08-14,58.82
2001-08-15,59.53
2001-08-16,59.01
2001-08-17,59.35
2001-08-20,60.42
2001-08-21,60.15
2001-08-22,60.6
2001-08-23,60.3
2001-08-24,60.04
2001-08-27,60.11
2001-08-28,59.35
2001-08-29,59.33
2001-08-30,59.07
2001-08-31,59.2
2001-09-04,59.03
2001-09-05,58.35
2001-09-06,58.1
2001-09-07,57.7
2001-09-10,57.39
2001-09-17,54.6
2001-09-18,53.17
2001-09-19,48.0
2001-09-20,45.5
2001-09-21,46.97
2001-09-24,49.24
2001-09-25,51.39
2001-09-26,50.86
2001-09-27,53.44
2001-09-28,54.71
2001-10-01,53.6
2001-10-02,54.21
2001-10-03,56.1
2001-10-04,56.45
2001-10-05,54.99
2001-10-08,53.77
2001-10-09,54.74
2001-10-10,53.35
2001-10-11,52.28
2001-10-12,52.63
2001-10-15,53.4
2001-10-16,53.83
2001-10-17,51.01
2001-10-18,49.99
2001-10-19,48.82
2001-10-22,50.48
2001-10-23,48.2
2001-10-24,49.62
2001-10-25,49.78
2001-10-26,49.89
2001-10-29,48.81
2001-10-30,48.5
2001-10-31,48.0
2001-11-01,49.54
2001-11-02,50.35
2001-11-05,52.16
2001-11-06,51.8
2001-11-07,52.48
2001-11-08,52.07
2001-11-09,51.0
2001-11-12,50.97
2001-11-13,51.56
2001-11-14,51.96
2001-11-15,52.01
2001-11-16,52.36
2001-11-19,53.71
2001-11-20,54.6
2001-11-21,54.14
2001-11-23,55.31
2001-11-26,55.42
2001-11-27,55.41
2001-11-28,54.03
2001-11-29,55.35
2001-11-30,56.08
2001-12-03,55.75
2001-12-04,55.9
2001-12-05,56.0
2001-12-06,55.95
2001-12-07,56.35
2001-12-10,55.35
2001-12-11,55.32
2001-12-12,55.71
2001-12-13,54.46
2001-12-14,54.99
2001-12-17,55.85
2001-12-18,56.3
2001-12-19,57.67
2001-12-20,57.22
2001-12-21,56.22
2001-12-24,56.77
2001-12-26,56.67
2001-12-27,56.7
2001-12-28,57.28
2001-12-31,57.86
2002-01-02,58.31
2002-01-03,57.9
2002-01-04,58.33
2002-01-07,57.89
2002-01-08,57.14
2002-01-09,57.73
2002-01-10,57.91
2002-01-11,58.0
2002-01-14,57.64
2002-01-15,58.5
2002-01-16,58.3
2002-01-17,58.4
2002-01-18,58.94
2002-01-22,58.99
2002-01-23,59.03
2002-01-24,59.83
2002-01-25,60.71
2002-01-28,60.65
2002-01-29,58.78
2002-01-30,58.96
2002-01-31,59.65
2002-02-01,59.65
2002-02-04,58.2
2002-02-05,57.96
2002-02-06,59.55
2002-02-07,58.98
2002-02-08,59.95
2002-02-11,60.44
2002-02-12,60.37
2002-02-13,62.07
2002-02-14,62.49
2002-02-15,62.44
2002-02-19,61.6
2002-02-20,62.06
2002-02-21,60.93
2002-02-22,61.07
2002-02-25,62.35
2002-02-26,62.79
2002-02-27,63.28
2002-02-28,62.05
2002-03-01,62.38
2002-03-04,63.13
2002-03-05,62.52
2002-03-06,62.85
2002-03-07,61.55
2002-03-08,60.99
2002-03-11,59.49
2002-03-12,58.59
2002-03-13,59.29
2002-03-14,60.11
2002-03-15,60.55
2002-03-18,59.33
2002-03-19,58.65
2002-03-20,57.01
2002-03-21,56.71
2002-03-22,56.37
2002-03-25,55.42
2002-03-26,56.0
2002-03-27,58.01
2002-03-28,59.07
2002-04-01,58.2
2002-04-02,58.37
2002-04-03,57.92
2002-04-04,58.98
2002-04-05,59.7
2002-04-08,60.1
2002-04-09,61.47
2002-04-10,62.47
2002-04-11,61.47
2002-04-12,61.8
2002-04-15,60.92
2002-04-16,60.95
2002-04-17,61.83
2002-04-18,62.31
2002-04-19,62.82
2002-04-22,62.6
2002-04-23,62.77
2002-04-24,63.16
2002-04-25,62.24
2002-04-26,61.51
2002-04-29,61.05
2002-04-30,62.86
2002-05-01,63.81
2002-05-02,64.65
2002-05-03,65.24
2002-05-06,65.5
2002-05-07,64.6
2002-05-08,64.38
2002-05-09,64.83
2002-05-10,64.2
2002-05-13,66.1
2002-05-14,65.48
2002-05-15,65.7
2002-05-16,65.94
2002-05-17,66.73
2002-05-20,65.59
2002-05-21,65.5
2002-05-22,65.18
2002-05-23,65.5
2002-05-24,65.14
2002-05-28,64.27
2002-05-29,64.8
2002-05-30,65.39
2002-05-31,67.36
2002-06-03,66.65
2002-06-04,67.35
2002-06-05,66.78
2002-06-06,67.3
2002-06-07,68.44
2002-06-10,68.88
2002-06-11,66.38
2002-06-12,67.3
2002-06-13,66.32
2002-06-14,66.85
2002-06-17,68.7
2002-06-18,68.77
2002-06-19,68.49
2002-06-20,69.69
2002-06-21,69.38
2002-06-24,68.68
2002-06-25,66.87
2002-06-26,67.65
2002-06-27,66.95
2002-06-28,67.2
2002-07-01,67.5
2002-07-02,65.45
2002-07-03,65.75
2002-07-05,66.35
2002-07-08,65.95
2002-07-09,64.05
2002-07-10,62.71
2002-07-11,62.95
2002-07-12,62.83
2002-07-15,62.57
2002-07-16,59.92
2002-07-17,56.96
