,Close
2009-01-02,10.21
2009-01-05,10.74
2009-01-06,11.17
2009-01-07,11.72
2009-01-08,13.0
2009-01-09,11.07
2009-01-12,10.11
2009-01-13,10.24
2009-01-14,9.23
2009-01-15,9.56
2009-01-16,9.63
2009-01-20,9.21
2009-01-21,9.4
2009-01-22,8.93
2009-01-23,9.17
2009-01-26,9.4
2009-01-27,8.64
2009-01-28,9.2
2009-01-29,8.7
2009-01-30,8.07
2009-02-02,7.75
2009-02-03,8.09
2009-02-04,8.54
2009-02-05,8.94
2009-02-06,9.85
2009-02-09,9.78
2009-02-10,8.5
2009-02-11,8.75
2009-02-12,8.67
2009-02-13,9.11
2009-02-17,7.79
2009-02-18,7.46
2009-02-19,7.25
2009-02-20,6.9
2009-02-23,6.0
2009-02-24,6.68
2009-02-25,6.23
2009-02-26,6.19
2009-02-27,6.18
2009-03-02,5.45
2009-03-03,5.89
2009-03-04,6.8
2009-03-05,6.1
2009-03-06,6.09
2009-03-09,6.17
2009-03-10,7.0
2009-03-11,6.54
2009-03-12,6.49
2009-03-13,6.26
2009-03-16,6.15
2009-03-17,6.04
2009-03-18,6.94
2009-03-19,7.55
2009-03-20,6.91
2009-03-23,7.9
2009-03-24,8.02
2009-03-25,8.0
2009-03-26,8.09
2009-03-27,7.97
2009-03-30,7.04
2009-03-31,7.12
2009-04-01,7.77
2009-04-02,8.9
2009-04-03,9.25
2009-04-06,8.82
2009-04-07,8.18
2009-04-08,8.48
2009-04-09,9.69
2009-04-13,10.8
2009-04-14,10.53
2009-04-15,11.0
2009-04-16,11.54
2009-04-17,11.95
2009-04-20,10.25
2009-04-21,11.66
2009-04-22,11.93
2009-04-23,11.38
2009-04-24,12.27
2009-04-27,11.85
2009-04-28,11.72
2009-04-29,12.15
2009-04-30,13.01
2009-05-01,13.98
2009-05-04,15.66
2009-05-05,14.39
2009-05-06,14.73
2009-05-07,13.6
2009-05-08,13.85
2009-05-11,13.67
2009-05-12,13.07
2009-05-13,11.41
2009-05-14,11.74
2009-05-15,11.58
2009-05-18,12.62
2009-05-19,13.36
2009-05-20,13.59
2009-05-21,12.83
2009-05-22,12.77
2009-05-26,13.42
2009-05-27,13.57
2009-05-28,13.89
2009-05-29,14.3
2009-06-01,15.43
2009-06-02,16.14
2009-06-03,14.97
2009-06-04,16.49
2009-06-05,17.63
2009-06-08,17.4
2009-06-09,19.1
2009-06-10,20.09
2009-06-11,21.14
2009-06-12,19.93
2009-06-15,18.32
2009-06-16,18.35
2009-06-17,18.18
2009-06-18,18.84
2009-06-19,18.97
2009-06-22,16.5
2009-06-23,17.68
2009-06-24,18.14
2009-06-25,18.59
2009-06-26,19.49
2009-06-29,19.38
2009-06-30,19.19
2009-07-01,19.04
2009-07-02,18.2
2009-07-06,16.9
2009-07-07,16.63
2009-07-08,15.42
2009-07-09,16.26
2009-07-10,15.89
2009-07-13,16.4
2009-07-14,17.25
2009-07-15,18.7
2009-07-16,19.8
2009-07-17,19.99
2009-07-20,20.3
2009-07-21,19.34
2009-07-22,18.56
2009-07-23,19.31
2009-07-24,18.95
2009-07-27,19.2
2009-07-28,19.01
2009-07-29,18.14
2009-07-30,18.56
2009-07-31,19.67
2009-08-03,21.04
2009-08-04,20.94
2009-08-05,21.87
2009-08-06,21.26
2009-08-07,21.31
2009-08-10,20.31
2009-08-11,19.89
2009-08-12,20.59
2009-08-13,21.49
2009-08-14,20.69
2009-08-17,19.02
2009-08-18,19.67
2009-08-19,19.94
2009-08-20,20.47
2009-08-21,20.87
2009-08-24,21.14
2009-08-25,21.05
2009-08-26,20.6
2009-08-27,20.7
2009-08-28,21.12
2009-08-31,20.32
2009-09-01,19.55
2009-09-02,19.46
2009-09-03,19.9
2009-09-04,20.33
2009-09-08,20.91
2009-09-09,21.21
2009-09-10,21.87
2009-09-11,21.55
2009-09-14,21.87
2009-09-15,23.11
2009-09-16,23.39
2009-09-17,23.36
2009-09-18,23.05
2009-09-21,22.86
2009-09-22,23.06
2009-09-23,22.83
2009-09-24,21.23
2009-09-25,20.77
2009-09-28,20.4
2009-09-29,20.19
2009-09-30,19.73
2009-10-01,18.34
2009-10-02,18.05
2009-10-05,18.97
2009-10-06,18.66
2009-10-07,18.88
2009-10-08,19.44
2009-10-09,19.61
2009-10-12,19.39
2009-10-13,20.19
2009-10-14,21.02
2009-10-15,21.54
2009-10-16,20.8
2009-10-19,20.69
2009-10-20,20.04
2009-10-21,19.83
2009-10-22,19.38
2009-10-23,19.17
2009-10-26,18.79
2009-10-27,17.18
2009-10-28,16.35
2009-10-29,16.85
2009-10-30,15.87
2009-11-02,15.51
2009-11-03,16.12
2009-11-04,15.85
2009-11-05,16.5
2009-11-06,16.96
2009-11-09,17.65
2009-11-10,17.41
2009-11-11,17.68
2009-11-12,17.28
2009-11-13,17.39
