,Close
2015-01-02,210.43
2015-01-05,202.8
2015-01-06,198.43
2015-01-07,203.3
2015-01-08,205.37
2015-01-09,205.34
2015-01-12,201.59
2015-01-13,201.17
2015-01-14,198.04
2015-01-15,194.37
2015-01-16,195.39
2015-01-20,197.79
2015-01-21,202.43
2015-01-22,210.59
2015-01-23,206.54
2015-01-26,210.25
2015-01-27,204.85
2015-01-28,205.61
2015-01-29,205.11
2015-01-30,205.52
2015-02-02,207.22
2015-02-03,210.96
2015-02-04,209.52
2015-02-05,212.94
2015-02-06,214.45
2015-02-09,214.75
2015-02-10,213.25
2015-02-11,212.98
2015-02-12,214.56
2015-02-13,215.77
2015-02-17,217.33
2015-02-18,216.63
2015-02-19,217.57
2015-02-20,218.31
2015-02-23,215.85
2015-02-24,218.12
2015-02-25,218.43
2015-02-26,219.05
2015-02-27,216.42
2015-03-02,217.99
2015-03-03,217.04
2015-03-04,212.75
2015-03-05,215.81
2015-03-06,214.39
2015-03-09,214.56
2015-03-10,208.91
2015-03-11,209.26
2015-03-12,213.82
2015-03-13,210.86
2015-03-16,213.86
2015-03-17,212.81
2015-03-18,216.42
2015-03-19,213.44
2015-03-20,219.29
2015-03-23,219.23
2015-03-24,217.11
2015-03-25,213.89
2015-03-26,215.14
2015-03-27,213.92
2015-03-30,216.61
2015-03-31,214.78
2015-04-01,214.49
2015-04-02,214.24
2015-04-06,215.14
2015-04-07,214.17
2015-04-08,215.74
2015-04-09,218.7
2015-04-10,217.7
2015-04-13,219.1
2015-04-14,219.86
2015-04-15,219.51
2015-04-16,219.93
2015-04-17,218.02
2015-04-20,220.0
2015-04-21,220.24
2015-04-22,221.04
2015-04-23,222.18
2015-04-24,222.35
2015-04-27,222.69
2015-04-28,228.02
2015-04-29,225.4
2015-04-30,226.13
2015-05-01,226.45
2015-05-04,226.79
2015-05-05,223.71
2015-05-06,220.92
2015-05-07,221.54
2015-05-08,223.47
2015-05-11,223.04
2015-05-12,221.0
2015-05-13,220.96
2015-05-14,223.37
2015-05-15,222.4
2015-05-18,224.8
2015-05-19,224.34
2015-05-20,225.71
2015-05-21,225.46
2015-05-22,224.88
2015-05-26,222.63
2015-05-27,224.85
2015-05-28,225.04
2015-05-29,223.66
2015-06-01,223.09
2015-06-02,224.74
2015-06-03,226.07
2015-06-04,223.02
2015-06-05,222.15
2015-06-08,220.21
2015-06-09,218.48
2015-06-10,223.86
2015-06-11,224.15
2015-06-12,221.65
2015-06-15,221.23
2015-06-16,223.82
2015-06-17,223.31
2015-06-18,225.04
2015-06-19,225.13
2015-06-22,227.9
2015-06-23,227.92
2015-06-24,226.42
2015-06-25,225.89
2015-06-26,226.76
2015-06-29,219.27
2015-06-30,218.6
2015-07-01,220.07
2015-07-02,219.25
2015-07-06,215.75
2015-07-07,215.65
2015-07-08,208.8
2015-07-09,210.63
2015-07-10,213.82
2015-07-13,216.52
2015-07-14,216.66
2015-07-15,216.73
2015-07-16,219.99
2015-07-17,218.8
2015-07-20,218.24
2015-07-21,217.9
2015-07-22,218.69
2015-07-23,216.25
2015-07-24,213.69
2015-07-27,210.16
2015-07-28,208.02
2015-07-29,210.41
2015-07-30,209.25
2015-07-31,207.9
2015-08-03,208.75
2015-08-04,211.02
2015-08-05,212.08
2015-08-06,209.63
2015-08-07,209.02
2015-08-10,211.83
2015-08-11,207.5
2015-08-12,203.33
2015-08-13,203.53
2015-08-14,205.55
2015-08-17,205.72
2015-08-18,204.91
2015-08-19,201.77
2015-08-20,196.85
2015-08-21,190.72
2015-08-24,182.73
2015-08-25,179.59
2015-08-26,184.71
2015-08-27,189.07
2015-08-28,187.48
2015-08-31,186.44
2015-09-01,179.21
2015-09-02,178.83
2015-09-03,177.57
2015-09-04,173.25
2015-09-08,180.63
2015-09-09,177.61
2015-09-10,176.94
2015-09-11,176.01
2015-09-14,174.64
2015-09-15,177.76
2015-09-16,180.85
2015-09-17,179.52
2015-09-18,175.21
2015-09-21,176.02
2015-09-22,171.85
2015-09-23,169.88
2015-09-24,170.01
2015-09-25,170.59
2015-09-28,165.65
2015-09-29,166.61
2015-09-30,170.99
2015-10-01,170.36
2015-10-02,170.51
2015-10-05,174.33
2015-10-06,174.07
2015-10-07,177.07
2015-10-08,177.05
2015-10-09,177.07
2015-10-12,175.13
2015-10-13,171.01
2015-10-14,170.6
2015-10-15,175.61
2015-10-16,176.7
2015-10-19,172.93
2015-10-20,173.13
2015-10-21,168.75
2015-10-22,176.88
2015-10-23,181.71
2015-10-26,181.02
2015-10-27,178.57
2015-10-28,183.3
2015-10-29,179.87
2015-10-30,180.26
2015-11-02,185.06
2015-11-03,186.75
2015-11-04,186.65
2015-11-05,187.31
2015-11-06,188.97
2015-11-09,177.87
2015-11-10,177.05
2015-11-11,176.78
2015-11-12,171.29
2015-11-13,167.53
2015-11-16,172.07
2015-11-17,170.45
2015-11-18,176.34
2015-11-19,176.71
2015-11-20,175.26
2015-11-23,174.82
2015-11-24,175.54
2015-11-25,176.18
2015-11-27,176.69
2015-11-30,177.23
2015-12-01,179.87
2015-12-02,175.73
2015-12-03,170.65
2015-12-04,175.52
2015-12-07,172.6
2015-12-08,169.05
2015-12-09,166.6
2015-12-10,165.86
2015-12-11,152.76
2015-12-14,144.01
2015-12-15,152.24
2015-12-16,159.08
2015-12-17,157.73
2015-12-18,153.75
2015-12-21,154.23
2015-12-22,157.92
2015-12-23,162.65
2015-12-24,163.1
2015-12-28,163.25
2015-12-29,162.66
2015-12-30,160.74
2015-12-31,159.76
2016-01-04,155.99
2016-01-05,154.73
2016-01-06,147.93
2016-01-07,139.0
2016-01-08,134.23
2016-01-11,135.84
2016-01-12,136.37
2016-01-13,131.16
2016-01-14,131.82
2016-01-15,128.2
2016-01-19,128.61
2016-01-20,126.57
2016-01-21,127.44
2016-01-22,134.53
2016-01-25,128.18
2016-01-26,131.4
2016-01-27,131.1
2016-01-28,128.78
2016-01-29,134.19
2016-02-01,132.2
2016-02-02,122.6
2016-02-03,122.4
2016-02-04,128.66
