,Close
2018-01-02,61.53
2018-01-03,61.9
2018-01-04,62.19
2018-01-05,62.99
2018-01-08,63.29
2018-01-09,63.24
2018-01-10,63.41
2018-01-11,64.75
2018-01-12,65.32
2018-01-16,65.07
2018-01-17,65.59
2018-01-18,65.91
2018-01-19,67.04
2018-01-22,67.0
2018-01-23,66.8
2018-01-24,66.8
2018-01-25,67.4
2018-01-26,67.84
2018-01-29,66.82
2018-01-30,66.42
2018-01-31,66.78
2018-02-01,66.79
2018-02-02,64.64
2018-02-05,61.56
2018-02-06,62.32
2018-02-07,62.72
2018-02-08,60.24
2018-02-09,60.96
2018-02-12,61.98
2018-02-13,62.73
2018-02-14,64.06
2018-02-15,65.23
2018-02-16,65.54
2018-02-20,65.44
2018-02-21,65.38
2018-02-22,65.56
2018-02-23,66.41
2018-02-26,66.23
2018-02-27,65.39
2018-02-28,64.19
2018-03-01,62.06
2018-03-02,61.88
2018-03-05,62.81
2018-03-06,63.28
2018-03-07,64.02
2018-03-08,64.54
2018-03-09,66.49
2018-03-12,66.28
2018-03-13,65.88
2018-03-14,65.3
2018-03-15,65.24
2018-03-16,65.64
2018-03-19,65.2
2018-03-20,65.71
2018-03-21,65.65
2018-03-22,64.48
2018-03-23,62.45
2018-03-26,64.23
2018-03-27,62.48
2018-03-28,62.52
2018-03-29,63.59
2018-04-02,61.61
2018-04-03,63.14
2018-04-04,64.38
2018-04-05,64.98
2018-04-06,63.17
2018-04-09,63.0
2018-04-10,64.49
2018-04-11,63.58
2018-04-12,63.99
2018-04-13,63.79
2018-04-16,64.74
2018-04-17,65.5
2018-04-18,65.86
2018-04-19,65.28
2018-04-20,65.27
2018-04-23,64.9
2018-04-24,62.11
2018-04-25,61.5
2018-04-26,62.65
2018-04-27,62.37
2018-04-30,61.35
2018-05-01,61.51
2018-05-02,60.78
2018-05-03,60.95
2018-05-04,62.45
2018-05-07,62.71
2018-05-08,62.98
2018-05-09,63.35
2018-05-10,64.08
2018-05-11,63.99
2018-05-14,63.66
2018-05-15,62.98
2018-05-16,63.08
2018-05-17,63.22
2018-05-18,63.69
2018-05-21,64.5
2018-05-22,63.69
2018-05-23,63.92
2018-05-24,64.43
2018-05-25,64.47
2018-05-29,63.88
2018-05-30,64.44
2018-05-31,63.07
2018-06-01,63.54
2018-06-04,62.78
2018-06-05,62.98
2018-06-06,63.6
2018-06-07,63.75
2018-06-08,64.84
2018-06-11,64.47
2018-06-12,65.24
2018-06-13,64.21
2018-06-14,63.97
2018-06-15,62.88
2018-06-18,62.84
2018-06-19,61.49
2018-06-20,61.5
2018-06-21,60.06
2018-06-22,60.27
2018-06-25,59.0
2018-06-26,59.59
2018-06-27,59.28
2018-06-28,58.54
2018-06-29,59.15
2018-07-02,58.99
2018-07-03,58.73
2018-07-05,59.95
2018-07-06,59.87
2018-07-09,61.2
2018-07-10,61.39
2018-07-11,58.85
2018-07-12,59.79
2018-07-13,60.23
2018-07-16,59.47
2018-07-17,59.84
2018-07-18,59.69
2018-07-19,60.06
2018-07-20,60.03
2018-07-23,59.14
2018-07-24,59.61
2018-07-25,58.42
2018-07-26,59.44
2018-07-27,59.13
2018-07-30,58.66
2018-07-31,59.53
2018-08-01,58.67
2018-08-02,58.76
2018-08-03,58.75
2018-08-06,58.66
2018-08-07,59.13
2018-08-08,58.49
2018-08-09,58.13
2018-08-10,57.46
2018-08-13,56.75
2018-08-14,57.72
2018-08-15,57.98
2018-08-16,58.22
2018-08-17,58.33
2018-08-20,58.63
2018-08-21,59.14
2018-08-22,58.44
2018-08-23,58.12
2018-08-24,58.39
2018-08-27,59.33
2018-08-28,59.23
2018-08-29,59.36
2018-08-30,58.49
2018-08-31,58.08
2018-09-04,57.74
2018-09-05,57.86
2018-09-06,57.98
2018-09-07,58.5
2018-09-10,59.05
2018-09-11,58.47
2018-09-12,59.0
2018-09-13,59.07
2018-09-14,59.36
2018-09-17,59.43
2018-09-18,59.32
2018-09-19,60.63
2018-09-20,60.48
2018-09-21,59.72
2018-09-24,58.12
2018-09-25,55.81
2018-09-26,55.01
2018-09-27,54.1
2018-09-28,53.37
2018-10-01,53.86
2018-10-02,52.32
2018-10-03,53.07
2018-10-04,52.31
2018-10-05,51.53
2018-10-08,51.77
2018-10-09,49.86
2018-10-10,48.49
2018-10-11,47.87
2018-10-12,47.76
2018-10-15,47.56
2018-10-16,48.64
2018-10-17,47.62
2018-10-18,46.45
2018-10-19,45.18
2018-10-22,45.49
2018-10-23,45.2
2018-10-24,44.33
2018-10-25,45.18
2018-10-26,43.74
2018-10-29,42.28
2018-10-30,45.72
2018-10-31,45.53
2018-11-01,48.09
2018-11-02,48.09
2018-11-05,47.5
2018-11-06,47.54
2018-11-07,47.7
2018-11-08,46.81
2018-11-09,45.76
2018-11-12,45.34
2018-11-13,45.71
2018-11-14,45.23
2018-11-15,46.25
2018-11-16,46.01
2018-11-19,45.64
2018-11-20,45.43
2018-11-21,45.73
2018-11-23,45.64
2018-11-26,46.43
2018-11-27,46.11
2018-11-28,47.22
2018-11-29,46.84
2018-11-30,47.38
2018-12-03,48.04
2018-12-04,45.17
2018-12-06,44.6
2018-12-07,43.91
2018-12-10,42.97
