,Close
2009-01-02,6.37
2009-01-05,6.28
2009-01-06,6.755
2009-01-07,6.535
2009-01-08,6.6175
2009-01-09,6.5125
2009-01-12,6.1775
2009-01-13,5.6875
2009-01-14,5.475
2009-01-15,6.2875
2009-01-16,6.3825
2009-01-20,6.0325
2009-01-21,6.3575
2009-01-22,6.2625
2009-01-23,6.31
2009-01-26,6.44
2009-01-27,6.5175
2009-01-28,6.925
2009-01-29,6.665
2009-01-30,6.5375
2009-02-02,6.4775
2009-02-03,6.6425
2009-02-04,7.1275
2009-02-05,7.14
2009-02-06,7.4275
2009-02-09,7.1625
2009-02-10,6.88
2009-02-11,6.9475
2009-02-12,7.0775
2009-02-13,6.965
2009-02-17,6.61
2009-02-18,6.6025
2009-02-19,6.295
2009-02-20,6.4525
2009-02-23,6.25
2009-02-24,6.5625
2009-02-25,6.5675
2009-02-26,6.54
2009-02-27,6.355
2009-03-02,6.015
2009-03-03,6.0
2009-03-04,6.325
2009-03-05,6.0125
2009-03-06,5.9275
2009-03-09,5.74
2009-03-10,6.235
2009-03-11,6.495
2009-03-12,6.72
2009-03-13,6.7175
2009-03-16,6.69
2009-03-17,6.8625
2009-03-18,7.0575
2009-03-19,7.0825
2009-03-20,6.9825
2009-03-23,7.4
2009-03-24,7.2725
2009-03-25,7.3425
2009-03-26,7.635
2009-03-27,7.3925
2009-03-30,7.06
2009-03-31,7.1225
2009-04-01,7.3575
2009-04-02,7.9675
2009-04-03,7.815
2009-04-06,7.7975
2009-04-07,7.225
2009-04-08,7.205
2009-04-09,7.58
2009-04-13,7.465
2009-04-14,7.4775
2009-04-15,7.195
2009-04-16,7.8725
2009-04-17,7.625
2009-04-20,7.56
2009-04-21,7.86
2009-04-22,8.0375
2009-04-23,8.04
2009-04-24,8.3325
2009-04-27,8.215
2009-04-28,8.2475
2009-04-29,8.4925
2009-04-30,8.46
2009-05-01,8.53
2009-05-04,8.7875
2009-05-05,8.5675
2009-05-06,8.475
2009-05-07,8.0725
2009-05-08,8.1125
2009-05-11,7.7675
2009-05-12,7.825
2009-05-13,7.6625
2009-05-14,7.8875
2009-05-15,7.95
2009-05-18,8.2225
2009-05-19,8.36
2009-05-20,8.385
2009-05-21,8.0025
2009-05-22,8.0225
2009-05-26,8.37
2009-05-27,8.235
2009-05-28,8.2875
2009-05-29,8.3475
2009-06-01,8.7675
2009-06-02,8.755
2009-06-03,8.34
2009-06-04,8.4325
2009-06-05,8.3525
2009-06-08,8.0725
2009-06-09,8.2275
2009-06-10,8.4725
2009-06-11,8.615
2009-06-12,8.49
2009-06-15,8.25
2009-06-16,8.0125
2009-06-17,8.03
2009-06-18,8.06
2009-06-19,7.9125
2009-06-22,7.7025
2009-06-23,7.72
2009-06-24,7.7725
2009-06-25,7.92
2009-06-26,7.975
2009-06-29,7.8675
2009-06-30,7.91
2009-07-01,8.0875
2009-07-02,7.905
2009-07-06,7.935
2009-07-07,7.8225
2009-07-08,7.7375
2009-07-09,7.885
2009-07-10,7.86
2009-07-13,8.0
2009-07-14,8.05
2009-07-15,8.4875
2009-07-16,8.3975
2009-07-17,8.2475
2009-07-20,8.2775
2009-07-21,8.355
2009-07-22,8.4825
2009-07-23,8.55
2009-07-24,8.6725
2009-07-27,8.5925
2009-07-28,8.5325
2009-07-29,8.3475
2009-07-30,8.3625
2009-07-31,8.3375
2009-08-03,8.5925
2009-08-04,8.515
2009-08-05,8.335
2009-08-06,8.2725
2009-08-07,8.3325
2009-08-10,8.32
2009-08-11,8.1875
2009-08-12,8.475
2009-08-13,8.505
2009-08-14,8.36
2009-08-17,8.1025
2009-08-18,8.085
2009-08-19,8.075
2009-08-20,8.24
2009-08-21,8.3375
2009-08-24,8.4
2009-08-25,8.4375
2009-08-26,8.6475
2009-08-27,8.71
2009-08-28,8.83
2009-08-31,8.74
2009-09-01,8.57
2009-09-02,8.5675
2009-09-03,8.75
2009-09-04,8.85
2009-09-08,9.31
2009-09-09,9.4375
2009-09-10,9.6225
2009-09-11,9.605
2009-09-14,9.5975
2009-09-15,9.6725
2009-09-16,9.9075
2009-09-17,9.9375
2009-09-18,9.8425
2009-09-21,9.8125
2009-09-22,9.7825
2009-09-23,9.625
2009-09-24,9.45
2009-09-25,9.3175
2009-09-28,9.38
2009-09-29,9.3625
2009-09-30,9.42
2009-10-01,9.0075
2009-10-02,8.8675
2009-10-05,9.0
2009-10-06,9.25
2009-10-07,9.3875
2009-10-08,9.47
