,Close
2000-01-03,22.1875
2000-01-04,22.875
2000-01-05,23.625
2000-01-06,23.5
2000-01-07,23.5
2000-01-10,23.3125
2000-01-11,22.8125
2000-01-12,22.8125
2000-01-13,22.8125
2000-01-14,23.4375
2000-01-18,23.375
2000-01-19,22.75
2000-01-20,22.5
2000-01-21,22.0625
2000-01-24,21.5
2000-01-25,21.625
2000-01-26,21.4375
2000-01-27,21.4375
2000-01-28,21.125
2000-01-31,20.875
2000-02-01,20.75
2000-02-02,19.5
2000-02-03,18.875
2000-02-04,18.625
2000-02-07,18.5625
2000-02-08,18.1875
2000-02-09,18.3125
2000-02-10,17.875
2000-02-11,17.3125
2000-02-14,17.3125
2000-02-15,17.625
2000-02-16,17.5
2000-02-17,17.5625
2000-02-18,17.375
2000-02-22,17.6875
2000-02-23,17.8125
2000-02-24,16.8125
2000-02-25,16.6875
2000-02-28,17.125
2000-02-29,16.9375
2000-03-01,17.0625
2000-03-02,17.625
2000-03-03,18.25
2000-03-06,18.0
2000-03-07,17.6875
2000-03-08,16.9375
2000-03-09,16.625
2000-03-10,17.6875
2000-03-13,17.0625
2000-03-14,17.375
2000-03-15,17.9375
2000-03-16,18.6875
2000-03-17,18.125
2000-03-20,18.625
2000-03-21,18.375
2000-03-22,18.0
2000-03-23,18.625
2000-03-24,18.5
2000-03-27,18.0625
2000-03-28,18.125
2000-03-29,18.3125
2000-03-30,19.5
2000-03-31,20.0625
2000-04-03,20.25
2000-04-04,19.9375
2000-04-05,20.3125
2000-04-06,20.125
2000-04-07,19.9375
2000-04-10,20.0
2000-04-11,20.0
2000-04-12,20.9375
2000-04-13,21.3125
2000-04-14,19.75
2000-04-17,20.3125
2000-04-18,20.5625
2000-04-19,20.875
2000-04-20,20.8125
2000-04-24,20.0
2000-04-25,20.75
2000-04-26,23.0625
2000-04-27,23.4375
2000-04-28,24.1875
2000-05-01,24.875
2000-05-02,24.9375
2000-05-03,25.25
2000-05-04,25.4375
2000-05-05,25.3125
2000-05-08,25.1875
2000-05-09,24.6875
2000-05-10,24.6875
2000-05-11,25.625
2000-05-12,25.4375
2000-05-15,25.5
2000-05-16,25.3125
2000-05-17,24.5
2000-05-18,24.9375
2000-05-19,26.25
2000-05-22,26.375
2000-05-23,24.5
2000-05-24,24.875
2000-05-25,23.75
