,Close
2017-01-03,234.19
2017-01-04,239.93
2017-01-05,238.67
2017-01-06,237.36
2017-01-09,202.51
2017-01-10,208.94
2017-01-11,210.32
2017-01-12,214.98
2017-01-13,215.18
2017-01-17,210.75
2017-01-18,206.28
2017-01-19,206.45
2017-01-20,207.86
2017-01-23,207.37
2017-01-24,208.9
2017-01-25,210.72
2017-01-26,212.02
2017-01-27,205.36
2017-01-30,204.85
2017-01-31,207.23
2017-02-01,206.11
2017-02-02,206.07
2017-02-03,206.35
2017-02-06,206.84
2017-02-07,206.69
2017-02-08,209.14
2017-02-09,212.17
2017-02-10,212.16
2017-02-13,214.55
2017-02-14,211.95
2017-02-15,216.48
2017-02-16,218.49
2017-02-17,220.29
2017-02-21,223.23
2017-02-22,217.53
2017-02-23,219.55
2017-02-24,218.13
2017-02-27,219.84
2017-02-28,211.3
2017-03-01,212.82
2017-03-02,214.01
2017-03-03,209.57
2017-03-06,204.91
2017-03-07,205.41
2017-03-08,206.87
2017-03-09,208.23
2017-03-10,211.59
2017-03-13,210.2
2017-03-14,205.75
2017-03-15,207.35
2017-03-16,209.43
2017-03-17,208.34
2017-03-20,206.23
2017-03-21,203.25
2017-03-22,205.1
2017-03-23,202.34
2017-03-24,200.0
2017-03-27,198.59
2017-03-28,202.35
2017-03-29,207.27
2017-03-30,206.56
2017-03-31,204.0
2017-04-03,204.06
2017-04-04,173.93
2017-04-05,170.4
2017-04-06,172.57
2017-04-07,173.12
2017-04-10,176.41
2017-04-11,177.68
2017-04-12,174.8
2017-04-13,172.72
2017-04-17,175.07
2017-04-18,174.7
2017-04-19,174.22
2017-04-20,177.39
2017-04-21,177.65
2017-04-24,177.91
2017-04-25,176.32
2017-04-26,176.5
2017-04-27,176.85
2017-04-28,176.1
2017-05-01,176.08
2017-05-02,178.64
2017-05-03,177.31
2017-05-04,179.81
2017-05-05,185.2
2017-05-08,186.89
2017-05-09,191.37
2017-05-10,192.58
2017-05-11,188.58
2017-05-12,173.43
2017-05-15,175.77
2017-05-16,172.7
2017-05-17,169.45
2017-05-18,169.11
2017-05-19,169.24
2017-05-22,170.14
2017-05-23,169.73
2017-05-24,167.85
2017-05-25,166.31
2017-05-26,164.87
2017-05-30,162.78
