,Close
2014-01-02,209.256
2014-01-03,210.34
2014-01-06,206.025
2014-01-07,203.552
2014-01-08,205.786
2014-01-09,206.567
2014-01-10,206.001
2014-01-13,200.218
2014-01-14,204.055
2014-01-15,202.204
2014-01-16,203.369
2014-01-17,204.908
2014-01-21,203.185
2014-01-22,208.936
2014-01-23,204.151
2014-01-24,199.189
2014-01-27,192.999
2014-01-28,196.134
2014-01-29,195.384
2014-01-30,198.575
2014-01-31,191.165
2014-02-03,188.03
2014-02-04,188.788
2014-02-05,186.81
2014-02-06,206.232
2014-02-07,211.441
2014-02-10,213.77
2014-02-11,218.476
2014-02-12,220.55
2014-02-13,222.863
2014-02-14,223.43
2014-02-18,226.477
2014-02-19,223.892
2014-02-20,226.716
2014-02-21,225.695
2014-02-24,228.367
2014-02-25,227.713
2014-02-26,227.554
2014-02-27,226.748
2014-02-28,227.418
2014-03-03,221.906
2014-03-04,229.029
2014-03-05,226.533
2014-03-06,228.24
2014-03-07,229.548
2014-03-10,226.692
2014-03-11,227.633
2014-03-12,228.032
2014-03-13,221.858
2014-03-14,222.217
2014-03-17,224.77
2014-03-18,229.747
2014-03-19,226.86
2014-03-20,234.724
2014-03-21,228.527
2014-03-24,223.86
2014-03-25,222.146
2014-03-26,217.384
2014-03-27,217.942
2014-03-28,218.74
2014-03-31,217.32
2014-04-01,217.407
2014-04-02,216.865
2014-04-03,212.438
2014-04-04,209.535
2014-04-07,204.541
2014-04-08,204.374
2014-04-09,211.441
2014-04-10,202.412
2014-04-11,196.525
2014-04-14,200.824
2014-04-15,205.283
2014-04-16,210.635
2014-04-17,195.472
2014-04-21,194.794
2014-04-22,192.84
2014-04-23,193.095
2014-04-24,192.473
2014-04-25,188.341
2014-04-28,187.4
2014-04-29,191.324
2014-04-30,192.952
2014-05-01,191.181
2014-05-02,190.551
2014-05-05,191.572
2014-05-06,190.646
2014-05-07,186.387
2014-05-08,187.855
2014-05-09,188.58
2014-05-12,193.526
2014-05-13,194.627
2014-05-14,192.266
2014-05-15,187.432
2014-05-16,191.364
2014-05-19,191.253
2014-05-20,189.865
2014-05-21,193.342
2014-05-22,194.579
2014-05-23,198.519
2014-05-27,201.718
2014-05-28,202.045
2014-05-29,204.86
2014-05-30,204.238
2014-06-02,208.051
2014-06-03,205.371
2014-06-04,205.546
2014-06-05,206.065
2014-06-06,212.334
2014-06-09,213.172
2014-06-10,212.119
2014-06-11,213.004
2014-06-12,209.941
2014-06-13,215.222
2014-06-16,218.277
2014-06-17,217.352
2014-06-18,217.559
2014-06-19,216.347
2014-06-20,219.673
2014-06-23,223.087
2014-06-24,223.358
2014-06-25,223.94
2014-06-26,222.512
2014-06-27,224.866
2014-06-30,224.339
2014-07-01,227.243
2014-07-02,224.1
2014-07-03,227.171
2014-07-07,222.776
2014-07-08,220.869
2014-07-09,220.606
2014-07-10,218.548
2014-07-11,219.641
2014-07-14,222.209
2014-07-15,219.944
2014-07-16,219.489
2014-07-17,219.37
2014-07-18,215.9
2014-07-21,216.187
2014-07-22,217.2
2014-07-23,216.961
2014-07-24,216.729
2014-07-25,215.82
