,Close
2007-01-03,50.54
2007-01-04,51.4
2007-01-05,52.31
2007-01-08,52.85
2007-01-09,53.18
2007-01-10,53.09
2007-01-11,52.64
2007-01-12,52.64
2007-01-16,52.58
2007-01-17,52.62
2007-01-18,54.6
2007-01-19,55.23
2007-01-22,55.52
2007-01-23,55.84
2007-01-24,55.47
2007-01-25,54.77
2007-01-26,54.77
2007-01-29,54.54
2007-01-30,53.6
2007-01-31,53.52
2007-02-01,54.2
2007-02-02,53.97
2007-02-05,53.73
2007-02-06,53.22
2007-02-07,53.55
2007-02-08,53.75
2007-02-09,53.64
2007-02-12,53.43
2007-02-13,53.93
2007-02-14,54.25
2007-02-15,55.0
2007-02-16,55.0
2007-02-20,55.08
2007-02-21,55.34
2007-02-22,55.47
2007-02-23,56.38
2007-02-26,56.51
2007-02-27,54.95
2007-02-28,53.0
2007-03-01,51.56
2007-03-02,49.71
2007-03-05,48.98
2007-03-06,48.81
2007-03-07,49.44
2007-03-08,49.17
2007-03-09,48.9
2007-03-12,48.7
2007-03-13,47.7
2007-03-14,48.08
2007-03-15,47.41
2007-03-16,48.3
2007-03-19,48.48
2007-03-20,48.13
2007-03-21,48.39
2007-03-22,48.84
2007-03-23,48.88
2007-03-26,48.77
2007-03-27,48.2
2007-03-28,47.51
2007-03-29,46.37
2007-03-30,46.35
2007-04-02,46.24
2007-04-03,46.17
2007-04-04,46.44
2007-04-05,46.7
2007-04-09,46.28
2007-04-10,47.18
2007-04-11,47.32
2007-04-12,47.53
2007-04-13,48.5
2007-04-16,49.6
2007-04-17,49.14
2007-04-18,49.08
2007-04-19,49.33
2007-04-20,48.34
2007-04-23,48.01
2007-04-24,48.09
2007-04-25,48.73
2007-04-26,48.71
2007-04-27,48.57
2007-04-30,48.36
2007-05-01,48.25
2007-05-02,49.52
2007-05-03,49.5
2007-05-04,49.75
2007-05-07,49.81
2007-05-08,49.89
2007-05-09,52.25
2007-05-10,53.28
2007-05-11,54.83
2007-05-14,53.63
2007-05-15,53.67
2007-05-16,53.77
2007-05-17,54.5
2007-05-18,54.7
2007-05-21,54.3
2007-05-22,54.1
2007-05-23,54.21
2007-05-24,54.0
2007-05-25,53.91
2007-05-29,53.54
2007-05-30,52.97
2007-05-31,53.32
2007-06-01,54.2
2007-06-04,54.69
2007-06-05,54.27
2007-06-06,53.18
2007-06-07,52.12
2007-06-08,52.56
2007-06-11,52.82
2007-06-12,52.46
2007-06-13,52.72
2007-06-14,52.87
2007-06-15,52.33
2007-06-18,52.06
2007-06-19,51.89
2007-06-20,51.15
2007-06-21,51.21
2007-06-22,50.81
2007-06-25,51.25
2007-06-26,51.73
2007-06-27,51.65
2007-06-28,50.89
2007-06-29,50.23
2007-07-02,50.85
2007-07-03,50.84
2007-07-05,50.82
2007-07-06,51.64
2007-07-09,51.14
2007-07-10,50.76
2007-07-11,50.71
2007-07-12,51.88
2007-07-13,51.97
2007-07-16,52.32
2007-07-17,52.62
2007-07-18,53.05
2007-07-19,52.97
2007-07-20,52.21
2007-07-23,55.52
2007-07-24,54.18
2007-07-25,54.41
2007-07-26,53.54
2007-07-27,52.57
2007-07-30,52.28
2007-07-31,51.22
2007-08-01,51.77
2007-08-02,52.47
2007-08-03,52.33
2007-08-06,53.14
2007-08-07,52.83
2007-08-08,55.0
2007-08-09,54.64
2007-08-10,53.93
2007-08-13,53.9
2007-08-14,53.68
2007-08-15,53.17
2007-08-16,52.59
2007-08-17,52.67
2007-08-20,53.57
2007-08-21,52.82
2007-08-22,52.79
2007-08-23,52.06
2007-08-24,52.14
2007-08-27,51.59
2007-08-28,50.15
2007-08-29,50.02
2007-08-30,50.5
2007-08-31,50.88
2007-09-04,51.06
2007-09-05,51.69
2007-09-06,52.37
2007-09-07,52.12
2007-09-10,52.11
2007-09-11,52.14
2007-09-12,51.72
2007-09-13,51.04
2007-09-14,51.41
2007-09-17,50.96
2007-09-18,51.98
2007-09-19,52.97
2007-09-20,53.08
2007-09-21,54.17
2007-09-24,54.25
2007-09-25,54.84
2007-09-26,55.87
2007-09-27,56.18
2007-09-28,56.91
2007-10-01,57.24
2007-10-02,56.57
2007-10-03,56.16
2007-10-04,55.92
2007-10-05,55.9
2007-10-08,55.52
2007-10-09,55.86
2007-10-10,55.78
2007-10-11,55.76
2007-10-12,55.81
2007-10-15,55.06
2007-10-16,55.18
2007-10-17,54.68
2007-10-18,54.75
2007-10-19,54.35
2007-10-22,54.22
2007-10-23,54.99
2007-10-24,54.0
2007-10-25,54.59
2007-10-26,56.37
2007-10-29,57.14
2007-10-30,56.52
2007-10-31,57.32
2007-11-01,56.9
2007-11-02,56.94
2007-11-05,56.53
2007-11-06,57.87
2007-11-07,56.68
2007-11-08,53.9
2007-11-09,52.42
2007-11-12,51.76
2007-11-13,52.76
2007-11-14,52.72
2007-11-15,52.28
2007-11-16,52.19
2007-11-19,50.96
2007-11-20,51.55
2007-11-21,50.69
2007-11-23,52.1
2007-11-26,52.24
2007-11-27,53.87
2007-11-28,54.87
2007-11-29,54.06
2007-11-30,53.7
2007-12-03,54.37
2007-12-04,54.1
2007-12-05,53.81
2007-12-06,53.79
2007-12-07,54.01
2007-12-10,54.55
2007-12-11,54.33
2007-12-12,53.76
2007-12-13,54.2
2007-12-14,53.67
2007-12-17,52.18
2007-12-18,52.66
2007-12-19,52.54
2007-12-20,53.0
2007-12-21,54.32
2007-12-24,54.14
2007-12-26,54.55
2007-12-27,54.22
2007-12-28,53.88
2007-12-31,53.1
2008-01-02,52.51
2008-01-03,53.52
2008-01-04,52.58
2008-01-07,51.92
2008-01-08,51.8
2008-01-09,53.68
2008-01-10,55.06
2008-01-11,54.96
2008-01-14,55.69
2008-01-15,55.54
2008-01-16,55.83
2008-01-17,55.83
2008-01-18,53.51
2008-01-22,54.03
2008-01-23,53.21
2008-01-24,52.15
2008-01-25,51.68
2008-01-28,52.35
2008-01-29,52.51
2008-01-30,51.66
2008-01-31,52.19
2008-02-01,52.41
2008-02-04,52.11
2008-02-05,52.16
2008-02-06,51.57
2008-02-07,51.45
2008-02-08,50.85
2008-02-11,50.36
2008-02-12,49.45
2008-02-13,50.22
2008-02-14,49.89
2008-02-15,49.95
2008-02-19,50.38
2008-02-20,50.35
2008-02-21,49.18
2008-02-22,49.2
2008-02-25,49.21
2008-02-26,48.69
2008-02-27,49.19
2008-02-28,48.35
2008-02-29,47.15
2008-03-03,45.67
2008-03-04,49.47
2008-03-05,47.48
2008-03-06,45.92
2008-03-07,46.9
2008-03-10,45.7
2008-03-11,47.49
2008-03-12,47.06
2008-03-13,46.55
2008-03-14,46.2
2008-03-17,45.95
2008-03-18,46.36
2008-03-19,46.48
2008-03-20,47.04
2008-03-24,47.58
2008-03-25,48.62
2008-03-26,48.35
2008-03-27,48.22
2008-03-28,47.69
2008-03-31,48.31
2008-04-01,49.36
2008-04-02,48.99
2008-04-03,49.51
2008-04-04,51.32
2008-04-07,51.32
2008-04-08,51.26
2008-04-09,51.3
2008-04-10,51.54
2008-04-11,50.95
2008-04-14,51.32
2008-04-15,50.15
2008-04-16,50.25
2008-04-17,49.56
2008-04-18,49.6
2008-04-21,49.65
2008-04-22,49.53
2008-04-23,49.78
2008-04-24,49.85
2008-04-25,50.67
2008-04-28,50.85
2008-04-29,50.91
2008-04-30,50.23
2008-05-01,51.57
2008-05-02,51.26
2008-05-05,50.36
