,Close
2001-01-02,2179.6897
2001-01-03,2939.0654
2001-01-04,2460.94
2001-01-05,2334.3773
2001-01-08,2446.8774
2001-01-09,2995.3155
2001-01-10,3417.1909
2001-01-11,3375.0034
2001-01-12,3557.8161
2001-01-16,3782.8163
2001-01-17,3881.2539
2001-01-18,3417.1909
2001-01-19,3360.9409
2001-01-22,3318.7533
2001-01-23,3445.3159
2001-01-24,3810.9413
2001-01-25,3346.8783
2001-01-26,3164.0657
2001-01-29,3346.8783
2001-01-30,3262.5033
2001-01-31,3023.4405
2001-02-01,2967.1905
2001-02-02,2868.7529
2001-02-05,2854.6904
2001-02-06,2854.6904
2001-02-07,2826.5653
2001-02-08,2770.3153
2001-02-09,2517.19
2001-02-12,2475.0025
2001-02-13,2214.846
2001-02-14,2095.3146
2001-02-15,2264.0648
2001-02-16,2081.2521
2001-02-20,1863.2831
2001-02-21,1828.1268
2001-02-22,1694.5329
2001-02-23,1743.7517
2001-02-26,2025.002
2001-02-27,1807.0331
2001-02-28,1631.2516
2001-03-01,1680.4704
2001-03-02,1560.9391
2001-03-05,1469.5327
2001-03-06,1617.1891
2001-03-07,1596.0953
2001-03-08,1532.814
2001-03-09,1371.0951
2001-03-12,1244.5325
2001-03-13,1364.0639
2001-03-14,1272.6575
2001-03-15,1174.2199
2001-03-16,1082.8136
2001-03-19,1181.2512
2001-03-20,1139.0636
2001-03-21,1117.9699
2001-03-22,1258.595
2001-03-23,1307.8138
2001-03-26,1364.0639
2001-03-27,1350.0014
2001-03-28,1174.2199
2001-03-29,1153.1262
2001-03-30,1202.345
2001-04-02,1012.501
2001-04-03,667.9694
2001-04-04,660.9382
2001-04-05,689.0632
2001-04-06,639.8444
2001-04-09,623.2506
2001-04-10,697.5007
2001-04-11,731.2507
2001-04-12,864.0009
2001-04-16,855.0009
2001-04-17,857.2509
2001-04-18,969.751
2001-04-19,1199.2512
2001-04-20,1372.5014
2001-04-23,1050.7511
2001-04-24,1172.2512
2001-04-25,1161.0012
2001-04-26,1158.7512
2001-04-27,1239.7512
2001-04-30,1437.7514
2001-05-01,1694.2517
2001-05-02,1752.7518
2001-05-03,1581.7516
2001-05-04,1719.0017
2001-05-07,1653.7517
2001-05-08,1629.0016
2001-05-09,1523.2515
2001-05-10,1512.0015
2001-05-11,1476.0015
2001-05-14,1323.0013
2001-05-15,1257.7513
2001-05-16,1356.7514
2001-05-17,1379.2514
2001-05-18,1496.2515
2001-05-21,1653.7517
2001-05-22,1653.7517
2001-05-23,1617.7516
2001-05-24,1662.7517
2001-05-25,1671.7517
2001-05-29,1548.0015
2001-05-30,1359.0014
2001-05-31,1419.7514
2001-06-01,1442.2514
2001-06-04,1462.5015
2001-06-05,1435.5014
2001-06-06,1365.7514
2001-06-07,1388.2514
2001-06-08,1293.7513
2001-06-11,1239.7512
2001-06-12,1282.5013
2001-06-13,1183.5012
2001-06-14,1046.251
2001-06-15,1028.251
2001-06-18,940.5009
2001-06-19,945.0009
2001-06-20,1010.251
2001-06-21,976.501
2001-06-22,978.751
2001-06-25,1053.0011
2001-06-26,1059.7511
2001-06-27,1104.7511
2001-06-28,1136.2511
2001-06-29,1125.0011
2001-07-02,1109.2511
2001-07-03,909.0009
2001-07-05,884.2509
2001-07-06,864.0009
2001-07-09,902.2509
2001-07-10,834.7508
2001-07-11,882.0009
2001-07-12,942.7509
2001-07-13,909.0009
2001-07-16,843.7508
2001-07-17,839.2508
2001-07-18,830.2508
2001-07-19,837.0008
2001-07-20,839.2508
2001-07-23,783.0008
2001-07-24,726.7507
2001-07-25,695.2507
2001-07-26,693.0007
2001-07-27,731.2507
2001-07-30,729.0007
2001-07-31,769.5008
2001-08-01,821.2508
2001-08-02,816.7508
2001-08-03,762.7508
2001-08-06,744.7507
2001-08-07,751.5008
2001-08-08,702.0007
2001-08-09,706.5007
2001-08-10,677.2507
2001-08-13,715.5007
2001-08-14,731.2507
2001-08-15,681.7507
2001-08-16,659.2507
2001-08-17,645.7506
2001-08-20,630.0006
2001-08-21,580.5006
2001-08-22,567.0006
2001-08-23,528.7505
2001-08-24,528.7505
2001-08-27,497.2505
2001-08-28,445.5004
2001-08-29,409.5004
2001-08-30,339.7503
2001-08-31,290.2503
