,Close
2000-01-03,6.1406
2000-01-04,6.1719
2000-01-05,6.1875
2000-01-06,6.375
2000-01-07,6.4844
2000-01-10,6.5156
2000-01-11,6.4688
2000-01-12,6.4531
2000-01-13,7.0156
2000-01-14,6.8281
2000-01-18,6.5313
2000-01-19,6.4844
2000-01-20,6.375
2000-01-21,6.2344
2000-01-24,6.0781
2000-01-25,6.0156
2000-01-26,6.4063
2000-01-27,6.4531
2000-01-28,6.3906
2000-01-31,6.5
2000-02-01,6.5938
2000-02-02,6.6875
2000-02-03,6.7344
2000-02-04,6.5156
2000-02-07,6.4063
2000-02-08,6.5
2000-02-09,6.3594
2000-02-10,6.1875
2000-02-11,6.0313
2000-02-14,6.0313
2000-02-15,5.9688
2000-02-16,6.0156
2000-02-17,6.0156
2000-02-18,5.8281
2000-02-22,5.8438
2000-02-23,5.8594
2000-02-24,5.9531
2000-02-25,6.1094
2000-02-28,6.3125
2000-02-29,6.2344
2000-03-01,6.125
2000-03-02,6.0469
2000-03-03,6.1563
2000-03-06,6.0938
2000-03-07,5.8125
2000-03-08,5.7813
2000-03-09,5.9375
2000-03-10,6.0781
2000-03-13,6.5313
2000-03-14,6.6875
2000-03-15,6.7969
2000-03-16,7.2188
2000-03-17,7.2969
2000-03-20,6.8906
2000-03-21,7.2344
2000-03-22,7.25
2000-03-23,7.3281
2000-03-24,7.1094
2000-03-27,6.875
2000-03-28,6.9688
2000-03-29,6.7656
2000-03-30,6.6719
2000-03-31,6.8125
2000-04-03,7.125
2000-04-04,6.7813
2000-04-05,6.8125
2000-04-06,7.125
2000-04-07,7.0
2000-04-10,7.0625
2000-04-11,6.9844
2000-04-12,7.3438
2000-04-13,7.375
2000-04-14,7.0313
2000-04-17,6.9688
2000-04-18,7.0781
2000-04-19,7.1094
2000-04-20,7.0
2000-04-24,6.9531
2000-04-25,7.2188
2000-04-26,7.0
2000-04-27,6.9844
2000-04-28,6.9063
2000-05-01,6.6719
2000-05-02,6.6406
2000-05-03,6.5
2000-05-04,6.2813
2000-05-05,6.3906
2000-05-08,6.4531
2000-05-09,6.5156
2000-05-10,6.4063
2000-05-11,6.5469
2000-05-12,6.75
2000-05-15,6.9219
2000-05-16,8.4688
2000-05-17,7.6094
2000-05-18,8.0625
2000-05-19,8.0625
2000-05-22,8.1094
2000-05-23,7.9063
2000-05-24,8.0
2000-05-25,7.7969
2000-05-26,7.7969
2000-05-30,7.7656
2000-05-31,7.6875
2000-06-01,8.0313
2000-06-02,8.2813
2000-06-05,8.0313
2000-06-06,8.0156
2000-06-07,8.125
2000-06-08,8.125
2000-06-09,8.3906
2000-06-12,8.4375
2000-06-13,8.5625
2000-06-14,8.5469
2000-06-15,8.2813
2000-06-16,8.2031
2000-06-19,8.2188
2000-06-20,8.0781
2000-06-21,7.7344
2000-06-22,7.6875
2000-06-23,7.75
2000-06-26,7.6406
2000-06-27,7.875
2000-06-28,7.875
2000-06-29,8.0
2000-06-30,7.5781
2000-07-03,7.875
2000-07-05,7.7656
2000-07-06,7.8281
2000-07-07,8.0469
2000-07-10,7.9844
2000-07-11,8.0
2000-07-12,9.016
2000-07-13,8.75
2000-07-14,8.9531
2000-07-17,8.9219
2000-07-18,8.7656
2000-07-19,8.8438
2000-07-20,8.9219
2000-07-21,9.3438
2000-07-24,9.0781
2000-07-25,8.8125
2000-07-26,8.6563
2000-07-27,9.2188
2000-07-28,8.9219
2000-07-31,8.7969
2000-08-01,9.0313
2000-08-02,8.9219
2000-08-03,9.2031
2000-08-04,9.75
2000-08-07,9.5625
2000-08-08,9.5469
2000-08-09,9.5938
2000-08-10,9.5
2000-08-11,9.5781
2000-08-14,9.5938
2000-08-15,9.5
2000-08-16,9.3125
2000-08-17,9.1563
2000-08-18,9.375
2000-08-21,9.1875
2000-08-22,9.3594
2000-08-23,9.2813
2000-08-24,9.1875
2000-08-25,9.1719
2000-08-28,9.3438
2000-08-29,9.2813
2000-08-30,9.4844
2000-08-31,9.4688
2000-09-01,9.3281
2000-09-05,9.3125
2000-09-06,9.4688
2000-09-07,10.0313
2000-09-08,10.2344
2000-09-11,10.0938
2000-09-12,10.1406
2000-09-13,10.0313
2000-09-14,10.0
2000-09-15,10.2031
2000-09-18,9.4531
2000-09-19,9.3906
2000-09-20,9.5625
2000-09-21,9.5
2000-09-22,9.4375
2000-09-25,9.4375
2000-09-26,9.4063
2000-09-27,9.3594
2000-09-28,9.5938
2000-09-29,9.4375
2000-10-02,9.6875
2000-10-03,9.4375
2000-10-04,9.3438
2000-10-05,9.4688
2000-10-06,9.3125
2000-10-09,9.25
2000-10-10,8.8125
2000-10-11,8.7188
2000-10-12,8.1875
2000-10-13,8.5469
2000-10-16,8.9063
2000-10-17,8.5469
2000-10-18,8.6406
2000-10-19,8.7813
2000-10-20,8.6719
2000-10-23,8.8281
2000-10-24,9.0
2000-10-25,8.875
2000-10-26,8.6563
2000-10-27,9.0156
2000-10-30,9.3594
2000-10-31,9.3594
2000-11-01,9.375
2000-11-02,9.4531
2000-11-03,9.3125
2000-11-06,9.4375
2000-11-07,9.6719
2000-11-08,9.5
2000-11-09,9.5938
2000-11-10,9.3906
2000-11-13,9.3438
2000-11-14,9.2656
2000-11-15,9.2188
2000-11-16,9.25
2000-11-17,9.125
2000-11-20,8.9063
2000-11-21,8.875
2000-11-22,8.6406
2000-11-24,8.7344
2000-11-27,9.0156
2000-11-28,9.0
2000-11-29,9.0156
2000-11-30,9.2813
2000-12-01,9.1875
2000-12-04,9.1406
2000-12-05,9.6406
2000-12-06,9.625
2000-12-07,9.5938
2000-12-08,10.4219
2000-12-11,10.8906
2000-12-12,10.7656
2000-12-13,10.7969
2000-12-14,10.6094
2000-12-15,11.375
2000-12-18,12.125
2000-12-19,12.1563
2000-12-20,11.8594
2000-12-21,11.8594
2000-12-22,12.0938
2000-12-26,12.25
2000-12-27,12.2344
2000-12-28,12.3594
2000-12-29,12.5625
2001-01-02,12.0781
2001-01-03,12.75
2001-01-04,12.4375
2001-01-05,12.0781
2001-01-08,12.125
2001-01-09,11.7969
2001-01-10,11.6875
2001-01-11,11.7656
2001-01-12,11.7656
2001-01-16,11.7656
2001-01-17,11.7031
2001-01-18,11.2344
2001-01-19,11.25
2001-01-22,11.3906
2001-01-23,11.6719
2001-01-24,11.9688
2001-01-25,12.5313
2001-01-26,12.4219
2001-01-29,12.2425
2001-01-30,12.1625
2001-01-31,12.0525
2001-02-01,12.3225
2001-02-02,11.825
2001-02-05,11.995
2001-02-06,11.7825
2001-02-07,11.915
2001-02-08,11.7225
2001-02-09,11.75
2001-02-12,11.75
2001-02-13,11.75
2001-02-14,11.5225
2001-02-15,11.445
2001-02-16,11.6775
2001-02-20,11.4725
2001-02-21,11.3875
2001-02-22,11.2375
2001-02-23,11.1075
2001-02-26,11.2125
2001-02-27,11.295
2001-02-28,11.0575
2001-03-01,10.6875
2001-03-02,11.15
2001-03-05,11.2275
2001-03-06,11.24
2001-03-07,11.4
2001-03-08,11.44
2001-03-09,11.3
2001-03-12,10.7625
2001-03-13,11.0875
2001-03-14,10.545
2001-03-15,10.8
2001-03-16,10.69
2001-03-19,11.1625
2001-03-20,11.0625
2001-03-21,10.62
2001-03-22,10.425
2001-03-23,10.95
2001-03-26,11.225
2001-03-27,11.09
2001-03-28,11.22
2001-03-29,11.71
2001-03-30,12.3375
2001-04-02,11.9925
2001-04-03,11.7375
2001-04-04,11.635
2001-04-05,11.6025
2001-04-06,11.59
2001-04-09,11.75
2001-04-10,11.675
2001-04-11,11.3675
2001-04-12,11.05
2001-04-16,10.955
2001-04-17,11.025
2001-04-18,11.125
2001-04-19,10.995
2001-04-20,10.7375
2001-04-23,10.65
2001-04-24,10.7625
2001-04-25,10.75
2001-04-26,10.83
2001-04-27,11.025
2001-04-30,10.6675
2001-05-01,10.8125
2001-05-02,10.775
2001-05-03,10.6125
2001-05-04,10.6675
2001-05-07,10.6775
2001-05-08,10.75
2001-05-09,10.775
2001-05-10,10.655
2001-05-11,10.4975
2001-05-14,10.1025
2001-05-15,10.125
2001-05-16,10.0375
2001-05-17,10.2375
2001-05-18,10.1775
2001-05-21,10.075
2001-05-22,10.1475
2001-05-23,9.8975
2001-05-24,9.9375
2001-05-25,9.9875
2001-05-29,9.7375
2001-05-30,9.6125
2001-05-31,9.6825
2001-06-01,10.1375
2001-06-04,10.365
2001-06-05,10.3
2001-06-06,10.2825
2001-06-07,10.3775
2001-06-08,10.505
2001-06-11,10.43
2001-06-12,10.4725
2001-06-13,10.3475
2001-06-14,10.1775
2001-06-15,10.0875
2001-06-18,10.0325
2001-06-19,10.2525
2001-06-20,10.42
2001-06-21,11.075
2001-06-22,11.2375
2001-06-25,11.135
2001-06-26,11.035
2001-06-27,11.41
2001-06-28,11.405
2001-06-29,11.47
2001-07-02,11.28
2001-07-03,11.275
2001-07-05,11.3425
2001-07-06,11.45
2001-07-09,11.245
2001-07-10,11.25
2001-07-11,11.0675
2001-07-12,11.38
2001-07-13,11.51
2001-07-16,10.9675
2001-07-17,10.605
2001-07-18,10.845
2001-07-19,10.69
2001-07-20,10.5375
2001-07-23,10.5025
2001-07-24,10.585
2001-07-25,10.5675
2001-07-26,10.505
2001-07-27,10.685
2001-07-30,10.8
2001-07-31,10.8275
2001-08-01,10.955
2001-08-02,11.0025
2001-08-03,10.9875
2001-08-06,10.91
2001-08-07,10.8325
2001-08-08,10.7175
2001-08-09,10.955
2001-08-10,10.825
2001-08-13,10.8175
2001-08-14,10.87
2001-08-15,11.0625
2001-08-16,11.0175
2001-08-17,11.1025
2001-08-20,11.2175
2001-08-21,11.0
2001-08-22,11.1425
2001-08-23,11.305
2001-08-24,10.95
2001-08-27,10.5675
2001-08-28,10.7125
2001-08-29,10.61
2001-08-30,10.2775
2001-08-31,10.375
2001-09-04,10.2
2001-09-05,10.125
2001-09-06,9.855
2001-09-07,9.6125
2001-09-10,9.95
2001-09-17,10.2525
2001-09-18,10.5125
2001-09-19,10.5025
2001-09-20,10.035
2001-09-21,10.0525
2001-09-24,10.425
2001-09-25,10.4425
2001-09-26,10.6
2001-09-27,10.62
2001-09-28,10.9825
2001-10-01,11.1725
2001-10-02,11.4875
2001-10-03,11.5275
2001-10-04,11.4625
2001-10-05,11.6175
2001-10-08,11.2975
2001-10-09,11.245
2001-10-10,11.2025
2001-10-11,11.25
2001-10-12,10.8375
2001-10-15,11.0275
2001-10-16,11.2425
2001-10-17,10.81
2001-10-18,10.67
2001-10-19,10.8075
2001-10-22,10.635
2001-10-23,10.4825
2001-10-24,10.1325
2001-10-25,10.2275
2001-10-26,10.2
2001-10-29,10.075
2001-10-30,10.06
2001-10-31,9.9825
2001-11-01,10.59
2001-11-02,10.65
2001-11-05,10.955
2001-11-06,11.225
2001-11-07,11.54
2001-11-08,11.215
2001-11-09,11.19
2001-11-12,11.27
2001-11-13,11.1975
2001-11-14,11.265
2001-11-15,10.94
2001-11-16,10.8625
2001-11-19,10.7975
2001-11-20,10.8975
2001-11-21,10.7025
2001-11-23,10.8125
2001-11-26,10.6225
2001-11-27,10.575
2001-11-28,10.315
2001-11-29,10.6875
2001-11-30,10.62
2001-12-03,10.4975
2001-12-04,10.54
2001-12-05,10.0375
2001-12-06,9.8175
2001-12-07,10.015
2001-12-10,10.07
2001-12-11,9.9775
2001-12-12,10.0275
2001-12-13,10.1225
2001-12-14,10.33
2001-12-17,10.0825
2001-12-18,10.2975
2001-12-19,10.545
2001-12-20,10.555
2001-12-21,10.275
2001-12-24,10.2875
2001-12-26,10.3
2001-12-27,10.31
2001-12-28,10.4675
2001-12-31,10.2425
2002-01-02,10.215
2002-01-03,10.09
2002-01-04,10.2525
2002-01-07,10.3225
2002-01-08,10.1875
2002-01-09,10.1975
2002-01-10,10.2425
2002-01-11,10.0625
2002-01-14,10.1925
2002-01-15,10.4625
2002-01-16,10.25
2002-01-17,10.115
2002-01-18,10.155
2002-01-22,10.225
2002-01-23,10.355
2002-01-24,10.2375
2002-01-25,10.27
2002-01-28,10.1875
2002-01-29,9.88
2002-01-30,10.1225
2002-01-31,9.9375
2002-02-01,10.195
2002-02-04,9.84
2002-02-05,9.67
2002-02-06,9.5625
2002-02-07,9.495
2002-02-08,9.5975
2002-02-11,9.68
2002-02-12,9.6525
2002-02-13,9.995
2002-02-14,10.0775
2002-02-15,9.8075
2002-02-19,9.69
2002-02-20,9.6475
2002-02-21,9.5625
2002-02-22,9.5375
2002-02-25,9.75
2002-02-26,9.995
2002-02-27,10.22
2002-02-28,10.2625
2002-03-01,10.4375
2002-03-04,10.5675
2002-03-05,10.935
2002-03-06,11.05
2002-03-07,10.7975
2002-03-08,10.52
2002-03-11,10.9225
2002-03-12,11.0
2002-03-13,10.875
2002-03-14,10.6175
2002-03-15,10.875
2002-03-18,10.8125
2002-03-19,10.9225
2002-03-20,10.655
2002-03-21,10.7225
2002-03-22,10.82
2002-03-25,10.9875
2002-03-26,11.07
2002-03-27,11.125
2002-03-28,11.1875
2002-04-01,11.1625
2002-04-02,11.2
2002-04-03,11.25
2002-04-04,11.4125
2002-04-05,11.4225
2002-04-08,11.5625
2002-04-09,11.6875
2002-04-10,11.575
2002-04-11,11.3875
2002-04-12,11.32
2002-04-15,11.3225
2002-04-16,11.315
2002-04-17,11.25
2002-04-18,11.25
2002-04-19,11.2625
2002-04-22,11.425
2002-04-23,11.7075
2002-04-24,11.7025
2002-04-25,11.6525
2002-04-26,11.5
2002-04-29,11.5125
2002-04-30,11.6775
2002-05-01,11.75
2002-05-02,11.8375
2002-05-03,11.935
2002-05-06,11.68
2002-05-07,11.6325
2002-05-08,11.9225
2002-05-09,11.8025
2002-05-10,11.61
2002-05-13,11.79
2002-05-14,12.085
2002-05-15,12.075
2002-05-16,12.0625
2002-05-17,12.42
2002-05-20,12.1475
2002-05-21,12.0875
2002-05-22,12.2175
2002-05-23,12.51
2002-05-24,12.4425
2002-05-28,12.3575
2002-05-29,12.3125
2002-05-30,12.23
2002-05-31,12.3275
2002-06-03,12.0075
2002-06-04,11.9
2002-06-05,12.1275
2002-06-06,11.9
2002-06-07,11.8875
2002-06-10,11.9375
2002-06-11,11.6275
2002-06-12,11.725
2002-06-13,11.48
2002-06-14,11.8825
2002-06-17,12.2
2002-06-18,12.3025
2002-06-19,12.1625
2002-06-20,11.8875
2002-06-21,11.875
2002-06-24,11.81
2002-06-25,11.74
2002-06-26,11.7675
2002-06-27,12.075
2002-06-28,12.0625
2002-07-01,12.2
2002-07-02,11.76
2002-07-03,11.6575
2002-07-05,12.08
2002-07-08,11.8875
2002-07-09,11.6075
2002-07-10,11.3175
2002-07-11,11.6
2002-07-12,11.57
2002-07-15,11.5875
2002-07-16,11.66
2002-07-17,11.1875
2002-07-18,10.64
2002-07-19,10.42
2002-07-22,10.1725
2002-07-23,9.8925
2002-07-24,10.76
2002-07-25,11.1875
2002-07-26,12.0175
2002-07-29,12.1625
2002-07-30,12.2425
2002-07-31,12.7025
2002-08-01,12.7575
2002-08-02,12.2575
2002-08-05,11.985
2002-08-06,12.5625
2002-08-07,12.805
2002-08-08,13.525
2002-08-09,13.42
2002-08-12,13.35
2002-08-13,13.025
2002-08-14,13.65
2002-08-15,13.575
2002-08-16,13.2825
2002-08-19,13.4375
2002-08-20,13.375
2002-08-21,13.465
2002-08-22,13.75
2002-08-23,13.2175
2002-08-26,13.38
2002-08-27,13.0875
2002-08-28,13.2175
2002-08-29,13.3925
2002-08-30,13.1225
2002-09-03,12.5825
2002-09-04,12.9
2002-09-05,13.275
2002-09-06,13.2925
2002-09-09,13.685
2002-09-10,13.325
2002-09-11,13.165
2002-09-12,12.68
2002-09-13,13.025
2002-09-16,12.675
2002-09-17,11.8525
2002-09-18,12.185
2002-09-19,11.935
2002-09-20,12.0875
2002-09-23,11.99
2002-09-24,11.7825
2002-09-25,11.6875
2002-09-26,12.11
2002-09-27,11.8525
2002-09-30,11.7875
2002-10-01,12.2225
2002-10-02,12.1325
2002-10-03,11.53
2002-10-04,11.345
2002-10-07,10.655
2002-10-08,11.355
2002-10-09,10.9525
2002-10-10,11.7475
2002-10-11,11.8825
2002-10-14,12.165
2002-10-15,12.5625
2002-10-16,12.415
2002-10-17,12.58
2002-10-18,12.975
2002-10-21,12.7875
2002-10-22,12.72
2002-10-23,12.595
2002-10-24,12.5725
2002-10-25,12.6825
2002-10-28,12.805
2002-10-29,12.6375
2002-10-30,12.4525
2002-10-31,12.5775
2002-11-01,12.8075
2002-11-04,12.8825
2002-11-05,12.7825
2002-11-06,12.96
2002-11-07,12.7225
2002-11-08,12.715
2002-11-11,12.6375
2002-11-12,12.5075
2002-11-13,12.5875
2002-11-14,12.8
2002-11-15,12.9375
2002-11-18,12.68
2002-11-19,12.6075
2002-11-20,12.75
2002-11-21,13.2325
2002-11-22,12.8625
2002-11-25,12.7
2002-11-26,12.375
2002-11-27,12.425
2002-11-29,12.325
2002-12-02,12.25
2002-12-03,12.0875
2002-12-04,12.1325
