,Close
2000-01-03,34.3125
2000-01-04,33.0
2000-01-05,33.25
2000-01-06,33.9375
2000-01-07,34.625
2000-01-10,34.3125
2000-01-11,34.125
2000-01-12,33.5625
2000-01-13,34.3125
2000-01-14,36.0
2000-01-18,38.9375
2000-01-19,37.75
2000-01-20,37.0
2000-01-21,37.0
2000-01-24,36.9375
2000-01-25,36.5
2000-01-26,36.75
2000-01-27,35.875
2000-01-28,36.25
2000-01-31,36.875
2000-02-01,37.0
2000-02-02,37.625
2000-02-03,39.625
2000-02-04,39.375
2000-02-07,38.75
2000-02-08,38.4375
2000-02-09,39.1875
2000-02-10,40.1875
2000-02-11,39.3125
2000-02-14,40.375
2000-02-15,41.9375
2000-02-16,42.375
2000-02-17,43.1875
2000-02-18,41.75
2000-02-22,40.0625
2000-02-23,38.8125
2000-02-24,39.1875
2000-02-25,40.25
2000-02-28,39.9375
2000-02-29,42.0625
2000-03-01,42.6875
2000-03-02,43.375
2000-03-03,43.5
2000-03-06,46.1875
2000-03-07,45.75
2000-03-08,45.4375
2000-03-09,46.0625
2000-03-10,46.3125
2000-03-13,45.0
2000-03-14,43.0
2000-03-15,42.375
2000-03-16,43.1875
2000-03-17,42.75
2000-03-20,44.5
2000-03-21,44.3125
2000-03-22,42.0
2000-03-23,42.125
2000-03-24,42.625
2000-03-27,43.75
2000-03-28,43.625
2000-03-29,46.875
2000-03-30,48.3125
2000-03-31,46.0
2000-04-03,48.1875
2000-04-04,49.1875
2000-04-05,48.25
2000-04-06,48.75
2000-04-07,49.125
2000-04-10,49.4375
2000-04-11,47.9375
2000-04-12,49.875
2000-04-13,48.5
2000-04-14,47.8125
2000-04-17,45.9375
2000-04-18,46.125
2000-04-19,47.0625
2000-04-20,47.5625
2000-04-24,48.8125
2000-04-25,50.25
2000-04-26,50.625
2000-04-27,50.8125
2000-04-28,50.1875
2000-05-01,50.1875
2000-05-02,50.0625
2000-05-03,49.5
2000-05-04,51.4375
2000-05-05,52.3125
2000-05-08,54.625
2000-05-09,53.875
2000-05-10,56.0625
2000-05-11,57.125
2000-05-12,58.1875
2000-05-15,60.75
2000-05-16,59.625
2000-05-17,59.125
2000-05-18,59.25
2000-05-19,58.875
2000-05-22,57.1875
2000-05-23,56.4375
2000-05-24,57.5
2000-05-25,57.625
2000-05-26,59.0
2000-05-30,59.25
2000-05-31,61.375
2000-06-01,62.25
2000-06-02,59.0
2000-06-05,56.0
2000-06-06,59.0
2000-06-07,58.1875
2000-06-08,59.625
2000-06-09,59.9375
2000-06-12,61.1875
2000-06-13,61.0625
2000-06-14,59.5
2000-06-15,58.5625
2000-06-16,59.125
2000-06-19,58.125
2000-06-20,58.125
2000-06-21,58.5625
2000-06-22,57.625
2000-06-23,57.5
2000-06-26,57.5
2000-06-27,57.75
2000-06-28,58.625
2000-06-29,61.1875
2000-06-30,60.875
2000-07-03,60.375
2000-07-05,58.125
2000-07-06,57.125
2000-07-07,56.25
2000-07-10,59.375
2000-07-11,61.25
2000-07-12,60.5625
2000-07-13,59.6875
2000-07-14,61.25
2000-07-17,62.0
2000-07-18,59.75
2000-07-19,61.8125
2000-07-20,61.75
2000-07-21,59.75
2000-07-24,58.8125
2000-07-25,59.4375
2000-07-26,57.8125
2000-07-27,60.375
2000-07-28,59.25
2000-07-31,57.75
2000-08-01,59.875
2000-08-02,59.625
2000-08-03,59.9375
2000-08-04,62.0
2000-08-07,63.9375
2000-08-08,64.5
2000-08-09,64.8125
2000-08-10,65.125
2000-08-11,65.25
2000-08-14,67.875
2000-08-15,67.0
2000-08-16,68.0625
2000-08-17,69.0
2000-08-18,69.0
2000-08-21,68.125
2000-08-22,69.375
2000-08-23,72.5
2000-08-24,69.125
2000-08-25,70.125
2000-08-28,71.375
2000-08-29,71.0
2000-08-30,69.875
2000-08-31,68.875
2000-09-01,70.0
2000-09-05,69.0625
2000-09-06,71.5
2000-09-07,73.8125
2000-09-08,74.375
2000-09-11,77.0
2000-09-12,76.875
2000-09-13,78.0
2000-09-14,74.9375
2000-09-15,79.0
2000-09-18,78.625
2000-09-19,73.75
2000-09-20,72.5625
2000-09-21,70.1875
2000-09-22,69.0
2000-09-25,69.625
2000-09-26,72.5
2000-09-27,74.625
2000-09-28,75.8125
2000-09-29,74.125
2000-10-02,74.5
2000-10-03,73.0
2000-10-04,71.1875
2000-10-05,70.75
2000-10-06,70.0
2000-10-09,73.375
2000-10-10,72.75
2000-10-11,72.875
2000-10-12,73.875
2000-10-13,71.625
2000-10-16,76.1875
2000-10-17,74.25
2000-10-18,73.0
2000-10-19,74.9375
2000-10-20,76.75
2000-10-23,74.9375
2000-10-24,71.625
2000-10-25,72.0
2000-10-26,70.5
2000-10-27,70.875
2000-10-30,72.4375
2000-10-31,75.4375
2000-11-01,76.875
2000-11-02,76.125
2000-11-03,72.5
2000-11-06,75.25
2000-11-07,73.9375
2000-11-08,74.0
2000-11-09,73.625
2000-11-10,74.25
2000-11-13,73.375
2000-11-14,72.875
2000-11-15,74.875
2000-11-16,76.8125
2000-11-17,78.6875
2000-11-20,77.6875
2000-11-21,82.0625
2000-11-22,81.625
2000-11-24,82.1875
2000-11-27,82.5625
2000-11-28,83.5
2000-11-29,78.9375
2000-11-30,73.25
2000-12-01,77.25
2000-12-04,80.375
2000-12-05,80.9375
2000-12-06,77.875
2000-12-07,79.6875
2000-12-08,78.75
2000-12-11,79.375
2000-12-12,80.8125
2000-12-13,80.625
2000-12-14,79.0
2000-12-15,80.125
2000-12-18,82.875
2000-12-19,81.5
2000-12-20,81.375
2000-12-21,81.5
2000-12-22,82.9375
2000-12-26,88.25
2000-12-27,88.375
2000-12-28,89.875
2000-12-29,88.3125
2001-01-02,86.25
2001-01-03,82.3125
2001-01-04,75.4375
2001-01-05,78.0625
2001-01-08,78.25
2001-01-09,76.1875
2001-01-10,76.875
2001-01-11,76.375
2001-01-12,77.25
2001-01-16,78.5
2001-01-17,76.5625
2001-01-18,71.625
2001-01-19,72.1875
2001-01-22,72.125
2001-01-23,75.5625
2001-01-24,75.625
2001-01-25,78.0
2001-01-26,77.0
2001-01-29,79.5
