,Close
2005-01-03,38.65
2005-01-04,39.45
2005-01-05,40.75
2005-01-06,40.27
2005-01-07,41.0
2005-01-10,41.1
2005-01-11,42.02
2005-01-12,41.65
2005-01-13,40.98
2005-01-14,40.97
2005-01-18,40.55
2005-01-19,40.5
2005-01-20,40.25
2005-01-21,38.88
2005-01-24,38.45
2005-01-25,38.42
2005-01-26,38.75
2005-01-27,39.1
2005-01-28,38.9
2005-01-31,39.1
2005-02-01,39.71
2005-02-02,39.8
2005-02-03,39.97
2005-02-04,40.16
2005-02-07,40.24
2005-02-08,40.1
2005-02-09,39.71
2005-02-10,39.87
2005-02-11,39.4
2005-02-14,38.99
2005-02-15,39.21
2005-02-16,39.95
2005-02-17,39.63
2005-02-18,39.8
2005-02-22,38.5
2005-02-23,38.25
2005-02-24,38.5
2005-02-25,38.96
2005-02-28,38.28
2005-03-01,37.92
2005-03-02,38.27
2005-03-03,39.87
2005-03-04,40.19
2005-03-07,40.5
2005-03-08,40.44
2005-03-09,40.23
2005-03-10,40.11
2005-03-11,39.6
2005-03-14,39.16
2005-03-15,38.76
2005-03-16,37.94
2005-03-17,38.0
2005-03-18,38.32
2005-03-21,38.03
2005-03-22,38.48
2005-03-23,38.68
2005-03-24,39.3
2005-03-28,39.1
2005-03-29,38.85
2005-03-30,40.01
2005-03-31,39.78
2005-04-01,39.81
2005-04-04,40.15
2005-04-05,40.95
2005-04-06,41.55
2005-04-07,41.86
2005-04-08,41.32
2005-04-11,40.59
2005-04-12,40.56
2005-04-13,40.0
2005-04-14,38.55
2005-04-15,37.96
2005-04-18,38.18
2005-04-19,38.95
2005-04-20,38.85
2005-04-21,39.71
2005-04-22,39.41
2005-04-25,39.74
2005-04-26,38.71
2005-04-27,39.61
2005-04-28,39.23
2005-04-29,40.05
2005-05-02,40.12
2005-05-03,38.79
2005-05-04,40.34
2005-05-05,41.03
2005-05-06,41.79
2005-05-09,43.3
2005-05-10,43.7
2005-05-11,43.19
2005-05-12,43.53
2005-05-13,43.07
2005-05-16,44.19
2005-05-17,44.62
2005-05-18,43.73
2005-05-19,43.66
2005-05-20,43.45
2005-05-23,43.47
2005-05-24,44.06
2005-05-25,43.8
2005-05-26,44.25
2005-05-27,44.21
2005-05-31,44.66
2005-06-01,44.13
2005-06-02,44.95
2005-06-03,44.65
2005-06-06,45.65
2005-06-07,45.14
2005-06-08,44.4
2005-06-09,44.4
2005-06-10,43.3
2005-06-13,43.54
2005-06-14,43.33
2005-06-15,43.18
2005-06-16,44.1
2005-06-17,44.45
2005-06-20,44.68
2005-06-21,44.02
2005-06-22,44.17
2005-06-23,43.46
2005-06-24,43.12
2005-06-27,43.55
2005-06-28,44.21
2005-06-29,44.34
2005-06-30,44.52
2005-07-01,44.44
2005-07-05,44.55
2005-07-06,43.9
2005-07-07,43.88
2005-07-08,43.47
2005-07-11,43.55
2005-07-12,43.16
2005-07-13,43.17
2005-07-14,42.93
2005-07-15,42.96
2005-07-18,42.97
2005-07-19,42.26
2005-07-20,42.05
2005-07-21,41.26
2005-07-22,41.78
2005-07-25,41.78
2005-07-26,43.05
2005-07-27,43.57
2005-07-28,44.6
2005-07-29,44.58
2005-08-01,44.47
2005-08-02,44.52
2005-08-03,44.66
2005-08-04,46.96
2005-08-05,46.67
2005-08-08,46.81
2005-08-09,47.05
2005-08-10,46.8
2005-08-11,46.84
2005-08-12,46.43
2005-08-15,46.12
2005-08-16,45.74
2005-08-17,46.12
2005-08-18,46.4
2005-08-19,46.35
2005-08-22,46.25
2005-08-23,46.34
2005-08-24,46.22
2005-08-25,45.98
2005-08-26,45.68
2005-08-29,46.38
2005-08-30,46.6
2005-08-31,46.73
2005-09-01,47.1
2005-09-02,46.8
2005-09-06,48.05
2005-09-07,48.65
2005-09-08,48.26
2005-09-09,48.33
2005-09-12,48.35
2005-09-13,48.57
2005-09-14,48.55
2005-09-15,49.49
2005-09-16,49.37
2005-09-19,48.87
2005-09-20,48.5
2005-09-21,49.14
2005-09-22,48.62
2005-09-23,49.15
2005-09-26,49.75
2005-09-27,48.57
2005-09-28,49.3
2005-09-29,49.8
2005-09-30,49.93
2005-10-03,49.95
2005-10-04,49.85
2005-10-05,49.28
2005-10-06,49.27
2005-10-07,49.35
2005-10-10,49.09
2005-10-11,48.9
2005-10-12,48.36
2005-10-13,47.88
2005-10-14,48.11
2005-10-17,48.73
2005-10-18,49.11
2005-10-19,49.99
2005-10-20,49.04
2005-10-21,49.92
2005-10-24,50.05
2005-10-25,48.88
2005-10-26,47.51
2005-10-27,51.1
2005-10-28,51.61
2005-10-31,52.4
2005-11-01,51.84
2005-11-02,52.1
2005-11-03,52.78
2005-11-04,52.68
2005-11-07,52.0
2005-11-08,51.16
2005-11-09,48.79
2005-11-10,52.16
2005-11-11,51.64
2005-11-14,50.69
2005-11-15,50.36
2005-11-16,49.48
2005-11-17,49.95
2005-11-18,49.9
2005-11-21,50.79
2005-11-22,51.48
2005-11-23,50.68
2005-11-25,50.95
2005-11-28,50.01
2005-11-29,52.02
2005-11-30,51.39
2005-12-01,52.61
2005-12-02,52.18
2005-12-05,51.19
2005-12-06,52.13
2005-12-07,51.62
2005-12-08,52.18
2005-12-09,52.65
2005-12-12,52.8
2005-12-13,52.54
2005-12-14,53.58
2005-12-15,52.99
2005-12-16,53.11
2005-12-19,51.75
2005-12-20,52.33
2005-12-21,52.18
2005-12-22,52.08
2005-12-23,52.17
2005-12-27,51.74
2005-12-28,52.0
2005-12-29,51.93
2005-12-30,51.79
2006-01-03,52.0
2006-01-04,51.49
2006-01-05,50.97
2006-01-06,52.61
2006-01-09,52.49
2006-01-10,51.86
2006-01-11,50.83
2006-01-12,51.45
2006-01-13,51.85
2006-01-17,51.44
2006-01-18,52.35
2006-01-19,50.93
2006-01-20,50.02
2006-01-23,50.01
2006-01-24,50.8
2006-01-25,50.52
2006-01-26,49.79
