,Close
2017-01-03,29.155
2017-01-04,30.125
2017-01-05,30.075
2017-01-06,30.52
2017-01-09,30.985
2017-01-10,31.06
2017-01-11,30.84
2017-01-12,31.355
2017-01-13,31.325
2017-01-17,31.54
2017-01-18,31.435
2017-01-19,31.13
2017-01-20,31.655
2017-01-23,31.545
2017-01-24,31.48
2017-01-25,32.24
2017-01-26,31.745
2017-01-27,31.9
2017-01-30,31.375
2017-01-31,31.635
2017-02-01,32.1
2017-02-02,32.005
2017-02-03,32.36
2017-02-06,31.815
2017-02-07,33.5
2017-02-08,34.335
2017-02-09,34.67
2017-02-10,34.7
2017-02-13,34.965
2017-02-14,35.465
2017-02-15,35.725
2017-02-16,35.035
2017-02-17,33.805
2017-02-21,35.14
2017-02-22,35.12
2017-02-23,35.29
2017-02-24,35.305
2017-02-27,35.555
2017-02-28,35.25
2017-03-01,36.21
2017-03-02,35.62
2017-03-03,35.485
2017-03-06,35.485
2017-03-07,35.28
2017-03-08,35.12
2017-03-09,34.78
2017-03-10,34.215
2017-03-13,34.715
2017-03-14,33.75
2017-03-15,34.28
2017-03-16,34.3
2017-03-17,34.295
2017-03-20,33.86
2017-03-21,33.46
2017-03-22,34.005
2017-03-23,32.655
2017-03-24,34.365
2017-03-27,35.115
2017-03-28,35.415
2017-03-29,35.545
2017-03-30,36.075
2017-03-31,35.63
2017-04-03,35.835
2017-04-04,34.885
2017-04-05,35.37
2017-04-06,35.74
2017-04-07,35.52
2017-04-10,35.885
2017-04-11,36.1
2017-04-12,35.44
2017-04-13,35.28
2017-04-17,35.515
2017-04-18,35.585
2017-04-19,35.85
2017-04-20,35.865
2017-04-21,35.32
2017-04-24,35.995
2017-04-25,36.725
2017-04-26,36.4
2017-04-27,36.475
2017-04-28,37.2
2017-05-01,37.665
2017-05-02,38.495
2017-05-03,38.02
2017-05-04,37.935
2017-05-05,38.44
2017-05-08,37.895
2017-05-09,37.865
2017-05-10,38.68
2017-05-11,38.12
2017-05-12,37.835
2017-05-15,38.2
2017-05-16,38.22
2017-05-17,37.71
2017-05-18,37.81
2017-05-19,37.535
2017-05-22,37.01
2017-05-23,36.995
2017-05-24,37.375
2017-05-25,37.625
2017-05-26,37.285
2017-05-30,36.73
2017-05-31,36.315
2017-06-01,37.625
2017-06-02,37.595
2017-06-05,37.8
2017-06-06,38.115
2017-06-07,38.81
2017-06-08,38.835
2017-06-09,38.75
2017-06-12,38.245
2017-06-13,39.03
2017-06-14,39.18
2017-06-15,39.51
2017-06-16,39.315
2017-06-19,39.315
2017-06-20,39.16
2017-06-21,40.06
2017-06-22,41.5
2017-06-23,42.075
2017-06-26,41.175
2017-06-27,40.505
2017-06-28,40.68
2017-06-29,39.975
2017-06-30,39.94
2017-07-03,40.07
2017-07-05,40.795
2017-07-06,39.85
2017-07-07,40.63
2017-07-10,40.565
2017-07-11,40.99
2017-07-12,41.25
2017-07-13,41.2
2017-07-14,41.4
2017-07-17,41.845
2017-07-18,42.22
2017-07-19,42.325
2017-07-20,42.7
2017-07-21,42.365
2017-07-24,42.1
2017-07-25,41.425
2017-07-26,41.695
2017-07-27,40.585
2017-07-28,41.345
2017-07-31,39.71
2017-08-01,40.225
2017-08-02,40.895
2017-08-03,41.595
2017-08-04,41.19
2017-08-07,41.3
2017-08-08,41.36
2017-08-09,41.365
2017-08-10,40.705
2017-08-11,41.07
2017-08-14,41.475
2017-08-15,41.425
2017-08-16,41.435
2017-08-17,41.81
2017-08-18,41.745
2017-08-21,42.13
2017-08-22,43.125
2017-08-23,42.85
2017-08-24,43.0
2017-08-25,42.95
2017-08-28,43.17
2017-08-29,43.11
2017-08-30,43.215
2017-08-31,44.425
2017-09-01,44.31
2017-09-05,44.315
2017-09-06,44.16
2017-09-07,44.54
2017-09-08,44.77
2017-09-11,45.27
2017-09-12,45.44
2017-09-13,49.08
2017-09-14,47.96
2017-09-15,47.99
2017-09-18,47.29
2017-09-19,44.89
2017-09-20,45.38
2017-09-21,45.37
2017-09-22,46.11
2017-09-25,45.165
2017-09-26,46.16
2017-09-27,46.86
2017-09-28,47.92
2017-09-29,48.385
2017-10-02,48.48
2017-10-03,48.485
2017-10-04,48.385
2017-10-05,48.675
2017-10-06,49.005
2017-10-09,48.61
2017-10-10,48.175
2017-10-11,48.025
2017-10-12,46.84
2017-10-13,45.28
2017-10-16,45.46
2017-10-17,46.9
2017-10-18,46.77
2017-10-19,47.35
2017-10-20,48.25
2017-10-23,48.995
2017-10-24,46.51
2017-10-25,45.38
