,Close
2017-01-03,18.67
2017-01-04,19.0
2017-01-05,18.91
2017-01-06,19.08
2017-01-09,18.85
2017-01-10,18.96
2017-01-11,18.58
2017-01-12,18.54
2017-01-13,18.72
2017-01-17,19.1
2017-01-18,18.93
2017-01-19,18.6
2017-01-20,19.02
2017-01-23,18.76
2017-01-24,19.0
2017-01-25,19.53
2017-01-26,19.57
2017-01-27,19.5
2017-01-30,18.85
2017-01-31,19.2
2017-02-01,18.94
2017-02-02,19.33
2017-02-03,19.4
2017-02-06,19.28
2017-02-07,19.52
2017-02-08,20.04
2017-02-09,18.32
2017-02-10,18.28
2017-02-13,18.37
2017-02-14,19.27
2017-02-15,19.77
2017-02-16,18.69
2017-02-17,18.89
2017-02-21,19.16
2017-02-22,18.84
2017-02-23,18.82
2017-02-24,18.66
2017-02-27,18.75
2017-02-28,18.78
2017-03-01,19.37
2017-03-02,18.71
2017-03-03,18.74
2017-03-06,18.93
2017-03-07,18.8
2017-03-08,18.74
2017-03-09,18.69
2017-03-10,19.1
2017-03-13,19.2
2017-03-14,18.93
2017-03-15,19.14
2017-03-16,19.31
2017-03-17,19.43
2017-03-20,19.15
2017-03-21,18.53
2017-03-22,18.38
2017-03-23,18.39
2017-03-24,18.47
2017-03-27,18.26
2017-03-28,18.57
2017-03-29,18.58
2017-03-30,18.22
2017-03-31,18.13
2017-04-03,17.74
2017-04-04,17.18
2017-04-05,17.16
2017-04-06,17.29
2017-04-07,17.05
2017-04-10,17.21
2017-04-11,17.38
2017-04-12,17.6
2017-04-13,17.89
2017-04-17,18.15
2017-04-18,18.41
2017-04-19,17.99
2017-04-20,17.9
2017-04-21,17.6
2017-04-24,17.83
2017-04-25,18.22
2017-04-26,18.12
2017-04-27,18.01
2017-04-28,17.85
2017-05-01,18.12
2017-05-02,18.06
2017-05-03,18.11
2017-05-04,18.33
2017-05-05,18.07
2017-05-08,18.02
2017-05-09,17.83
2017-05-10,19.95
2017-05-11,19.6
2017-05-12,19.58
2017-05-15,19.17
2017-05-16,18.87
2017-05-17,18.66
2017-05-18,18.63
2017-05-19,18.75
2017-05-22,18.81
2017-05-23,18.98
2017-05-24,18.9
2017-05-25,18.73
2017-05-26,19.06
2017-05-30,18.87
2017-05-31,18.94
2017-06-01,19.32
