,Close
2016-01-04,20.1
2016-01-05,20.19
2016-01-06,19.19
2016-01-07,18.37
2016-01-08,18.55
2016-01-11,17.93
2016-01-12,17.46
2016-01-13,17.0
2016-01-14,17.51
2016-01-15,17.1
2016-01-19,16.49
2016-01-20,16.13
2016-01-21,16.63
2016-01-22,17.75
2016-01-25,17.25
2016-01-26,17.75
2016-01-27,17.75
2016-01-28,18.05
2016-01-29,18.55
2016-02-01,18.11
2016-02-02,17.89
2016-02-03,18.39
2016-02-04,18.06
2016-02-05,17.28
2016-02-08,16.61
2016-02-09,15.93
2016-02-10,16.22
2016-02-11,15.89
2016-02-12,16.28
2016-02-16,16.82
2016-02-17,17.46
2016-02-18,17.54
2016-02-19,17.08
2016-02-22,17.71
2016-02-23,16.96
2016-02-24,17.26
2016-02-25,17.58
2016-02-26,18.02
2016-02-29,18.15
2016-03-01,18.08
2016-03-02,19.25
2016-03-03,19.82
2016-03-04,19.61
2016-03-07,19.73
2016-03-08,18.93
2016-03-09,19.75
2016-03-10,21.43
2016-03-11,22.96
2016-03-14,22.9
2016-03-15,23.01
2016-03-16,23.0
2016-03-17,23.51
2016-03-18,24.84
2016-03-21,25.02
2016-03-22,24.99
2016-03-23,25.02
2016-03-24,25.04
2016-03-28,25.02
2016-03-29,25.06
2016-03-30,25.13
2016-03-31,25.1
2016-04-01,25.08
2016-04-04,25.11
2016-04-05,25.1
2016-04-06,25.13
2016-04-07,25.21
2016-04-08,25.25
2016-04-11,25.38
2016-04-12,25.55
2016-04-13,25.46
2016-04-14,25.46
2016-04-15,25.41
2016-04-18,25.39
2016-04-19,25.37
2016-04-20,25.47
2016-04-21,25.49
2016-04-22,25.61
2016-04-25,25.55
2016-04-26,25.93
2016-04-27,25.61
2016-04-28,25.63
2016-04-29,25.62
2016-05-02,25.63
2016-05-03,25.54
2016-05-04,25.5
2016-05-05,25.49
2016-05-06,25.37
2016-05-09,25.62
2016-05-10,25.53
2016-05-11,25.5
2016-05-12,25.47
2016-05-13,25.49
2016-05-16,25.55
2016-05-17,25.5
2016-05-18,25.51
2016-05-19,25.53
2016-05-20,25.52
2016-05-23,25.51
2016-05-24,25.52
2016-05-25,25.52
2016-05-26,25.58
2016-05-27,25.53
2016-05-31,25.54
2016-06-01,25.53
2016-06-02,25.56
2016-06-03,25.51
2016-06-06,25.51
2016-06-07,25.53
2016-06-08,25.53
2016-06-09,25.54
2016-06-10,25.53
2016-06-13,25.52
2016-06-14,25.55
2016-06-15,25.48
2016-06-16,25.46
2016-06-17,25.45
2016-06-20,25.46
2016-06-21,25.48
2016-06-22,25.48
2016-06-23,25.48
2016-06-24,25.47
2016-06-27,25.48
2016-06-28,25.48
2016-06-29,25.48
2016-06-30,25.49
