,Close
2001-01-02,41.75
2001-01-03,38.5
2001-01-04,32.5
2001-01-05,35.0625
2001-01-08,34.1875
2001-01-09,32.4375
2001-01-10,31.25
2001-01-11,29.5
2001-01-12,33.25
2001-01-16,33.25
2001-01-17,33.1875
2001-01-18,36.5
2001-01-19,37.6875
2001-01-22,38.3125
2001-01-23,40.5
2001-01-24,39.875
2001-01-25,40.4375
2001-01-26,41.9375
2001-01-29,43.0
2001-01-30,41.74
2001-01-31,39.91
2001-02-01,38.62
2001-02-02,40.68
2001-02-05,40.01
2001-02-06,39.63
2001-02-07,41.96
2001-02-08,45.5
2001-02-09,47.52
2001-02-12,45.4
2001-02-13,45.55
2001-02-14,47.0
2001-02-15,45.99
2001-02-16,47.24
2001-02-20,45.7
2001-02-21,44.24
2001-02-22,43.72
2001-02-23,43.5
2001-02-26,46.37
2001-02-27,46.78
2001-02-28,44.49
2001-03-01,44.55
2001-03-02,44.46
2001-03-05,43.99
2001-03-06,46.2
2001-03-07,48.82
2001-03-08,49.05
2001-03-09,48.15
2001-03-12,47.04
2001-03-13,45.92
2001-03-14,44.7
2001-03-15,48.52
2001-03-16,47.18
2001-03-19,49.0
2001-03-20,52.0
2001-03-21,48.59
2001-03-22,47.75
2001-03-23,48.88
2001-03-26,51.4
2001-03-27,52.73
2001-03-28,52.88
2001-03-29,55.92
2001-03-30,55.07
2001-04-02,54.03
2001-04-03,52.71
2001-04-04,50.31
2001-04-05,50.66
2001-04-06,46.7
2001-04-09,48.2
2001-04-10,51.88
2001-04-11,51.31
2001-04-12,51.38
2001-04-16,53.26
2001-04-17,54.56
2001-04-18,54.5
2001-04-19,52.2
2001-04-20,51.89
2001-04-23,54.19
2001-04-24,55.0
2001-04-25,53.6
2001-04-26,54.99
2001-04-27,55.0
2001-04-30,56.99
2001-05-01,56.92
2001-05-02,55.96
2001-05-03,54.61
2001-05-04,54.1
2001-05-07,52.54
2001-05-08,50.9
2001-05-09,53.19
2001-05-10,52.3
2001-05-11,52.55
2001-05-14,51.56
2001-05-15,50.68
2001-05-16,52.85
2001-05-17,53.03
2001-05-18,54.65
2001-05-21,55.12
2001-05-22,54.07
2001-05-23,53.2
2001-05-24,51.65
2001-05-25,49.0
2001-05-29,48.81
2001-05-30,47.79
2001-05-31,49.3
2001-06-01,48.89
2001-06-04,45.75
2001-06-05,43.3
2001-06-06,43.76
2001-06-07,45.3
2001-06-08,45.8
2001-06-11,46.72
2001-06-12,46.83
2001-06-13,44.27
2001-06-14,42.86
2001-06-15,43.0
2001-06-18,42.21
2001-06-19,41.25
2001-06-20,39.85
2001-06-21,37.1
2001-06-22,37.7
2001-06-25,38.97
2001-06-26,38.7
2001-06-27,38.07
2001-06-28,38.9
2001-06-29,37.8
2001-07-02,37.39
2001-07-03,38.31
2001-07-05,37.36
2001-07-06,42.62
2001-07-09,43.95
2001-07-10,45.34
2001-07-11,43.62
2001-07-12,44.59
2001-07-13,44.53
2001-07-16,43.75
2001-07-17,43.14
2001-07-18,41.55
2001-07-19,40.53
2001-07-20,39.66
2001-07-23,38.15
