,Close
2019-01-02,23.84
2019-01-03,23.445
2019-01-04,24.28
2019-01-07,24.415
2019-01-08,24.815
2019-01-09,25.15
2019-01-10,25.3
2019-01-11,25.33
2019-01-14,24.96
2019-01-15,24.68
2019-01-16,24.66
2019-01-17,24.87
2019-01-18,25.03
2019-01-22,24.82
2019-01-23,24.635
2019-01-24,24.755
2019-01-25,25.04
2019-01-28,24.92
2019-01-29,24.79
2019-01-30,25.07
2019-01-31,25.315
2019-02-01,25.46
2019-02-04,25.765
2019-02-05,25.92
2019-02-06,25.965
2019-02-07,25.645
2019-02-08,25.865
2019-02-11,26.095
2019-02-12,26.63
2019-02-13,26.705
2019-02-14,26.965
2019-02-15,27.015
2019-02-19,26.66
2019-02-20,26.74
2019-02-21,28.265
2019-02-22,29.145
2019-02-25,29.605
2019-02-26,29.455
2019-02-27,29.24
2019-02-28,29.335
2019-03-01,29.2
2019-03-04,29.04
2019-03-05,29.055
2019-03-06,28.87
2019-03-07,29.135
2019-03-08,29.12
2019-03-11,29.46
2019-03-12,29.58
2019-03-13,29.835
2019-03-14,29.6
2019-03-15,29.515
2019-03-18,29.545
2019-03-19,29.435
2019-03-20,29.575
2019-03-21,29.88
2019-03-22,29.625
2019-03-25,29.765
2019-03-26,30.13
2019-03-27,29.85
2019-03-28,29.935
2019-03-29,30.295
2019-04-01,31.09
2019-04-02,31.58
2019-04-03,31.865
2019-04-04,31.495
2019-04-05,31.975
2019-04-08,32.32
2019-04-09,32.12
2019-04-10,32.135
2019-04-11,32.445
2019-04-12,32.685
2019-04-15,32.605
2019-04-16,32.59
2019-04-17,32.4
2019-04-18,32.53
2019-04-22,32.495
2019-04-23,32.93
2019-04-24,33.265
2019-04-25,32.88
2019-04-26,33.43
2019-04-29,33.54
2019-04-30,33.66
2019-05-01,33.005
2019-05-02,33.37
2019-05-03,33.555
2019-05-06,33.51
2019-05-07,33.0
2019-05-08,33.11
2019-05-09,33.175
2019-05-10,33.435
2019-05-13,32.615
2019-05-14,32.9
2019-05-15,33.155
2019-05-16,33.535
2019-05-17,32.8
2019-05-20,32.68
2019-05-21,32.97
2019-05-22,32.395
2019-05-23,34.97
2019-05-24,35.495
2019-05-28,35.85
2019-05-29,35.245
2019-05-30,35.775
2019-05-31,35.74
2019-06-03,35.65
2019-06-04,36.185
2019-06-05,36.535
2019-06-06,36.87
2019-06-07,37.325
2019-06-10,37.42
2019-06-11,36.845
2019-06-12,37.395
2019-06-13,37.385
2019-06-14,36.905
2019-06-17,36.61
2019-06-18,36.685
2019-06-19,37.035
2019-06-20,37.375
2019-06-21,36.97
2019-06-24,36.885
2019-06-25,36.69
2019-06-26,36.695
2019-06-27,36.68
2019-06-28,37.37
2019-07-01,37.485
2019-07-02,37.4
2019-07-03,37.485
2019-07-05,37.3
2019-07-08,37.07
2019-07-09,37.63
2019-07-10,37.89
2019-07-11,38.395
2019-07-12,38.665
2019-07-15,38.75
2019-07-16,38.735
2019-07-17,38.52
2019-07-18,38.905
2019-07-19,38.755
2019-07-22,39.12
2019-07-23,39.615
2019-07-24,39.685
2019-07-25,39.57
2019-07-26,39.715
2019-07-29,39.15
2019-07-30,38.91
2019-07-31,38.765
2019-08-01,38.37
2019-08-02,38.07
2019-08-05,36.7
2019-08-06,37.3
2019-08-07,37.525
2019-08-08,37.82
2019-08-09,37.81
2019-08-12,37.645
2019-08-13,38.145
2019-08-14,37.155
2019-08-15,37.275
2019-08-16,37.75
2019-08-19,38.09
2019-08-20,37.895
2019-08-21,38.435
2019-08-22,38.12
2019-08-23,36.84
2019-08-26,36.89
2019-08-27,37.315
2019-08-28,37.505
2019-08-29,37.87
