,Close
2000-01-03,1.7188
2000-01-04,1.6667
2000-01-05,1.7014
2000-01-06,1.7778
2000-01-07,1.7778
2000-01-10,1.7778
2000-01-11,1.7778
2000-01-12,1.7847
2000-01-13,1.809
2000-01-14,1.7917
2000-01-18,1.7639
2000-01-19,1.7465
2000-01-20,1.684
2000-01-21,1.7049
2000-01-24,1.6979
2000-01-25,1.6701
2000-01-26,1.6632
2000-01-27,1.6736
2000-01-28,1.6181
2000-01-31,1.625
2000-02-01,1.6076
2000-02-02,1.5694
2000-02-03,1.5486
2000-02-04,1.5382
2000-02-07,1.4514
2000-02-08,1.375
2000-02-09,1.3889
2000-02-10,1.2778
2000-02-11,1.1944
2000-02-14,1.2222
2000-02-15,1.2188
2000-02-16,1.2188
2000-02-17,1.25
2000-02-18,1.2118
2000-02-22,1.2465
2000-02-23,1.1875
2000-02-24,1.2049
2000-02-25,1.1806
2000-02-28,1.2083
2000-02-29,1.2326
2000-03-01,1.25
2000-03-02,1.2222
2000-03-03,1.2708
2000-03-06,1.2396
2000-03-07,1.1806
2000-03-08,1.2604
2000-03-09,1.2292
2000-03-10,1.2361
2000-03-13,1.2153
2000-03-14,1.1979
2000-03-15,1.2986
2000-03-16,1.3576
2000-03-17,1.4063
2000-03-20,1.3819
2000-03-21,1.3958
2000-03-22,1.3819
2000-03-23,1.3785
2000-03-24,1.3507
2000-03-27,1.3438
2000-03-28,1.316
2000-03-29,1.3229
2000-03-30,1.3229
2000-03-31,1.3056
2000-04-03,1.2778
2000-04-04,1.2813
2000-04-05,1.3264
2000-04-06,1.316
2000-04-07,1.2569
2000-04-10,1.2396
2000-04-11,1.2465
2000-04-12,1.2118
2000-04-13,1.2083
2000-04-14,1.184
2000-04-17,1.1597
2000-04-18,1.1701
2000-04-19,1.1701
2000-04-20,1.1458
2000-04-24,1.1632
2000-04-25,1.2083
2000-04-26,1.2153
2000-04-27,1.1597
2000-04-28,1.1632
2000-05-01,1.1771
2000-05-02,1.1701
2000-05-03,1.1424
2000-05-04,1.1076
2000-05-05,1.1181
2000-05-08,1.1597
2000-05-09,1.2118
2000-05-10,1.2014
2000-05-11,1.2396
2000-05-12,1.2674
2000-05-15,1.2569
2000-05-16,1.2882
2000-05-17,1.2882
2000-05-18,1.2847
2000-05-19,1.2882
2000-05-22,1.2396
2000-05-23,1.2396
2000-05-24,1.2465
2000-05-25,1.2083
2000-05-26,1.2118
2000-05-30,1.2326
2000-05-31,1.2083
2000-06-01,1.25
2000-06-02,1.2639
2000-06-05,1.2292
2000-06-06,1.2222
2000-06-07,1.1875
2000-06-08,1.125
2000-06-09,1.1493
2000-06-12,1.1597
2000-06-13,1.1701
2000-06-14,1.1389
2000-06-15,1.1528
2000-06-16,1.1493
2000-06-19,1.1181
2000-06-20,1.0972
2000-06-21,1.0868
2000-06-22,1.1007
2000-06-23,1.1215
2000-06-26,1.1042
2000-06-27,1.1389
2000-06-28,1.2778
2000-06-29,1.25
2000-06-30,1.1771
2000-07-03,1.2396
2000-07-05,1.3403
2000-07-06,1.3264
2000-07-07,1.3403
2000-07-10,1.3507
2000-07-11,1.3194
2000-07-12,1.3264
2000-07-13,1.2813
2000-07-14,1.3264
2000-07-17,1.3472
2000-07-18,1.3264
2000-07-19,1.2986
2000-07-20,1.2882
2000-07-21,1.2778
2000-07-24,1.2813
2000-07-25,1.2431
2000-07-26,1.3333
2000-07-27,1.3646
2000-07-28,1.3681
2000-07-31,1.3785
2000-08-01,1.4167
2000-08-02,1.4132
2000-08-03,1.4306
2000-08-04,1.4826
2000-08-07,1.4965
2000-08-08,1.5243
2000-08-09,1.5
2000-08-10,1.4722
2000-08-11,1.4618
2000-08-14,1.4931
2000-08-15,1.4514
2000-08-16,1.4375
2000-08-17,1.4271
2000-08-18,1.4514
2000-08-21,1.4236
2000-08-22,1.4792
2000-08-23,1.4236
2000-08-24,1.4201
2000-08-25,1.4063
2000-08-28,1.3889
2000-08-29,1.3542
2000-08-30,1.3472
2000-08-31,1.3264
2000-09-01,1.3299
2000-09-05,1.3438
2000-09-06,1.3646
2000-09-07,1.3333
2000-09-08,1.3194
2000-09-11,1.3194
2000-09-12,1.3229
2000-09-13,1.3542
2000-09-14,1.316
2000-09-15,1.2986
2000-09-18,1.3056
2000-09-19,1.2743
2000-09-20,1.2431
2000-09-21,1.2188
2000-09-22,1.2153
2000-09-25,1.1944
2000-09-26,1.1771
2000-09-27,1.1806
2000-09-28,1.2049
2000-09-29,1.2118
2000-10-02,1.1458
2000-10-03,1.1667
2000-10-04,1.2396
2000-10-05,1.2222
2000-10-06,1.2431
2000-10-09,1.2431
2000-10-10,1.2569
2000-10-11,1.2222
2000-10-12,1.2083
2000-10-13,1.1806
2000-10-16,1.1875
2000-10-17,1.1632
2000-10-18,1.1389
2000-10-19,1.1632
2000-10-20,1.1771
2000-10-23,1.1563
2000-10-24,1.2465
2000-10-25,1.2431
2000-10-26,1.2708
2000-10-27,1.2847
2000-10-30,1.3576
2000-10-31,1.4063
2000-11-01,1.4167
2000-11-02,1.434
2000-11-03,1.4479
2000-11-06,1.4549
2000-11-07,1.4549
2000-11-08,1.441
2000-11-09,1.4479
2000-11-10,1.4236
2000-11-13,1.4306
2000-11-14,1.4792
2000-11-15,1.4965
2000-11-16,1.4896
2000-11-17,1.4688
2000-11-20,1.4306
2000-11-21,1.3993
2000-11-22,1.3924
2000-11-24,1.4167
2000-11-27,1.4306
2000-11-28,1.4444
2000-11-29,1.4757
2000-11-30,1.441
2000-12-01,1.4167
2000-12-04,1.4688
2000-12-05,1.5035
2000-12-06,1.4514
2000-12-07,1.4306
2000-12-08,1.434
2000-12-11,1.4931
2000-12-12,1.4896
2000-12-13,1.441
2000-12-14,1.375
2000-12-15,1.3403
2000-12-18,1.3611
2000-12-19,1.3715
2000-12-20,1.3333
2000-12-21,1.3993
2000-12-22,1.434
2000-12-26,1.441
2000-12-27,1.4861
2000-12-28,1.4479
2000-12-29,1.441
2001-01-02,1.4271
2001-01-03,1.4861
2001-01-04,1.5451
2001-01-05,1.5556
2001-01-08,1.6181
2001-01-09,1.625
2001-01-10,1.5868
2001-01-11,1.5833
2001-01-12,1.5278
2001-01-16,1.5903
2001-01-17,1.6007
2001-01-18,1.5694
2001-01-19,1.5382
2001-01-22,1.5694
2001-01-23,1.559
2001-01-24,1.5521
2001-01-25,1.5556
2001-01-26,1.4826
2001-01-29,1.5139
2001-01-30,1.5878
2001-01-31,1.6944
2001-02-01,1.7422
2001-02-02,1.6944
2001-02-05,1.7
2001-02-06,1.7128
2001-02-07,1.6639
2001-02-08,1.7044
2001-02-09,1.7117
2001-02-12,1.7622
2001-02-13,1.7922
2001-02-14,1.7361
2001-02-15,1.7494
2001-02-16,1.7661
2001-02-20,1.8183
2001-02-21,1.8211
2001-02-22,1.8111
2001-02-23,1.8456
2001-02-26,1.8578
2001-02-27,1.8706
2001-02-28,1.8578
2001-03-01,1.8533
2001-03-02,1.8333
2001-03-05,1.8361
2001-03-06,1.8272
2001-03-07,1.835
2001-03-08,1.8567
2001-03-09,1.8517
2001-03-12,1.8428
2001-03-13,1.715
2001-03-14,1.6383
2001-03-15,1.6678
2001-03-16,1.555
2001-03-19,1.6394
2001-03-20,1.6106
2001-03-21,1.6294
2001-03-22,1.605
2001-03-23,1.625
2001-03-26,1.6617
2001-03-27,1.81
2001-03-28,1.8483
2001-03-29,1.8494
2001-03-30,1.8722
2001-04-02,1.8822
2001-04-03,1.8472
2001-04-04,1.8372
2001-04-05,1.8611
2001-04-06,1.835
2001-04-09,1.825
2001-04-10,1.9217
2001-04-11,1.8989
2001-04-12,1.8972
2001-04-16,1.8889
2001-04-17,1.9189
2001-04-18,2.0306
2001-04-19,1.9878
2001-04-20,1.9594
2001-04-23,1.8422
2001-04-24,1.8544
2001-04-25,1.8678
2001-04-26,1.9778
2001-04-27,1.99
2001-04-30,1.9483
2001-05-01,1.8967
2001-05-02,1.9072
2001-05-03,1.9156
2001-05-04,1.9311
2001-05-07,1.9428
2001-05-08,1.9689
2001-05-09,1.9894
2001-05-10,2.1144
2001-05-11,2.1083
2001-05-14,2.0983
2001-05-15,2.0989
2001-05-16,2.1944
2001-05-17,2.22
2001-05-18,2.2194
2001-05-21,2.2
2001-05-22,2.1267
2001-05-23,2.08
2001-05-24,2.0611
2001-05-25,2.0428
2001-05-29,2.0322
2001-05-30,1.9994
2001-05-31,2.0667
2001-06-01,2.0606
2001-06-04,2.0611
2001-06-05,2.085
2001-06-06,2.0694
2001-06-07,2.1167
2001-06-08,2.0944
2001-06-11,2.0511
2001-06-12,2.0228
2001-06-13,1.9989
2001-06-14,1.8939
2001-06-15,1.8583
2001-06-18,1.8694
2001-06-19,1.8583
2001-06-20,1.8361
2001-06-21,1.8667
2001-06-22,1.8544
2001-06-25,1.8361
2001-06-26,1.8139
2001-06-27,1.8956
2001-06-28,1.9367
2001-06-29,2.0133
2001-07-02,1.9633
2001-07-03,1.9406
2001-07-05,1.9511
2001-07-06,1.9028
2001-07-09,1.93
2001-07-10,1.9833
2001-07-11,2.0778
2001-07-12,2.0728
2001-07-13,2.1228
2001-07-16,2.1644
2001-07-17,2.1828
2001-07-18,2.1778
2001-07-19,2.1444
2001-07-20,2.0567
2001-07-23,2.0806
2001-07-24,1.9583
2001-07-25,2.0528
2001-07-26,2.21
2001-07-27,2.21
2001-07-30,2.215
2001-07-31,2.1733
2001-08-01,2.1944
2001-08-02,2.2389
2001-08-03,2.2561
2001-08-06,2.2222
2001-08-07,2.2217
2001-08-08,2.1878
2001-08-09,2.1717
2001-08-10,2.1889
2001-08-13,2.1144
2001-08-14,2.1122
2001-08-15,2.0894
2001-08-16,2.0939
2001-08-17,2.0389
2001-08-20,2.0083
2001-08-21,1.955
2001-08-22,2.0128
2001-08-23,1.99
2001-08-24,1.9994
2001-08-27,1.9439
2001-08-28,1.9583
2001-08-29,1.9339
2001-08-30,1.91
2001-08-31,1.9633
2001-09-04,2.0289
2001-09-05,2.0167
2001-09-06,2.0022
2001-09-07,1.9294
2001-09-10,1.8972
2001-09-17,1.7878
2001-09-18,1.7233
2001-09-19,1.63
2001-09-20,1.4867
2001-09-21,1.5639
2001-09-24,1.6833
2001-09-25,1.6028
2001-09-26,1.6056
2001-09-27,1.625
2001-09-28,1.75
2001-10-01,1.6583
2001-10-02,1.6878
2001-10-03,1.7844
2001-10-04,1.7567
2001-10-05,1.7756
2001-10-08,1.7783
2001-10-09,1.7611
2001-10-10,1.8889
2001-10-11,1.9289
2001-10-12,1.8794
2001-10-15,1.91
2001-10-16,1.9167
2001-10-17,1.8433
2001-10-18,1.8517
2001-10-19,1.8028
2001-10-22,1.8189
2001-10-23,1.955
2001-10-24,1.865
2001-10-25,1.8522
2001-10-26,1.895
2001-10-29,1.8394
2001-10-30,1.8667
2001-10-31,1.8722
2001-11-01,1.8461
2001-11-02,1.9089
2001-11-05,1.915
2001-11-06,1.9406
2001-11-07,1.9594
2001-11-08,1.9733
2001-11-09,1.9739
2001-11-12,1.9739
2001-11-13,1.9872
2001-11-14,1.9961
2001-11-15,2.0694
2001-11-16,2.0906
2001-11-19,2.0933
2001-11-20,2.0906
2001-11-21,2.0494
2001-11-23,2.095
2001-11-26,2.095
2001-11-27,2.0861
2001-11-28,2.0811
2001-11-29,2.0578
2001-11-30,2.0778
2001-12-03,2.0361
2001-12-04,1.9972
2001-12-05,2.0422
2001-12-06,2.0583
2001-12-07,2.0622
2001-12-10,2.025
2001-12-11,2.0
2001-12-12,1.9356
2001-12-13,1.8944
2001-12-14,1.8778
2001-12-17,1.9222
2001-12-18,1.9372
2001-12-19,1.9072
2001-12-20,1.8989
2001-12-21,1.9006
2001-12-24,1.94
2001-12-26,1.9289
2001-12-27,1.9478
2001-12-28,1.9511
2001-12-31,1.9472
2002-01-02,1.9744
2002-01-03,2.0806
2002-01-04,2.1389
2002-01-07,2.1522
2002-01-08,2.1006
2002-01-09,2.0672
2002-01-10,2.055
2002-01-11,2.0139
2002-01-14,1.9672
2002-01-15,1.9583
2002-01-16,1.9494
2002-01-17,2.0361
2002-01-18,2.0328
2002-01-22,2.0811
2002-01-23,2.1817
2002-01-24,2.1472
2002-01-25,2.1772
2002-01-28,2.2017
2002-01-29,2.1417
2002-01-30,2.1711
2002-01-31,2.2222
2002-02-01,2.205
2002-02-04,2.1767
2002-02-05,2.1578
2002-02-06,2.1056
2002-02-07,2.0739
2002-02-08,2.0867
2002-02-11,2.1578
2002-02-12,2.1406
2002-02-13,2.1022
2002-02-14,2.0511
2002-02-15,2.0394
2002-02-19,2.0206
2002-02-20,2.0056
2002-02-21,2.0317
2002-02-22,2.0039
2002-02-25,2.0739
2002-02-26,2.0744
2002-02-27,2.1222
2002-02-28,2.0967
2002-03-01,2.1544
2002-03-04,2.2478
2002-03-05,2.1828
2002-03-06,2.2389
2002-03-07,2.2833
2002-03-08,2.1472
2002-03-11,2.1694
2002-03-12,2.1333
2002-03-13,2.1383
2002-03-14,2.1133
2002-03-15,2.1333
2002-03-18,2.1028
2002-03-19,2.1361
2002-03-20,2.1433
2002-03-21,2.0878
2002-03-22,2.0928
2002-03-25,2.0494
2002-03-26,2.0811
2002-03-27,2.1278
2002-03-28,2.1172
2002-04-01,2.0839
2002-04-02,2.0583
2002-04-03,2.0133
2002-04-04,2.05
2002-04-05,2.03
2002-04-08,2.0333
2002-04-09,2.0283
2002-04-10,2.0889
2002-04-11,2.0328
2002-04-12,2.0822
2002-04-15,2.0228
2002-04-16,2.0839
2002-04-17,2.0711
2002-04-18,2.0333
