,Close
2021-01-04,103.73
2021-01-05,104.83
2021-01-06,106.24
2021-01-07,108.57
2021-01-08,112.49
2021-01-11,115.4
2021-01-12,115.69
2021-01-13,114.75
2021-01-14,115.24
2021-01-15,115.5
2021-01-19,119.83
2021-01-20,119.67
2021-01-21,118.28
2021-01-22,116.82
2021-01-25,115.73
2021-01-26,113.35
2021-01-27,109.55
2021-01-28,114.89
2021-01-29,115.05
2021-02-01,117.49
2021-02-02,117.73
2021-02-03,113.83
2021-02-04,113.43
2021-02-05,113.53
2021-02-08,113.5
2021-02-09,114.17
2021-02-10,119.22
2021-02-11,123.0
2021-02-12,125.27
2021-02-16,122.78
2021-02-17,120.95
2021-02-18,118.24
2021-02-19,117.99
2021-02-22,114.32
2021-02-23,112.8
2021-02-24,115.15
2021-02-25,112.25
2021-02-26,113.71
2021-03-01,116.4
2021-03-02,113.77
2021-03-03,108.37
2021-03-04,103.08
2021-03-05,104.55
2021-03-08,101.51
2021-03-09,103.3
2021-03-10,103.05
2021-03-11,106.26
2021-03-12,105.76
2021-03-15,106.67
2021-03-16,103.52
2021-03-17,106.04
2021-03-18,104.0
2021-03-19,106.01
2021-03-22,109.82
2021-03-23,107.4
2021-03-24,102.98
2021-03-25,102.22
2021-03-26,103.3
2021-03-29,102.13
2021-03-30,103.57
2021-03-31,105.31
2021-04-01,106.54
2021-04-05,105.75
2021-04-06,107.03
2021-04-07,106.16
2021-04-08,107.42
2021-04-09,109.26
2021-04-12,109.38
2021-04-13,109.04
2021-04-14,109.91
2021-04-15,110.99
2021-04-16,110.6
2021-04-19,108.63
2021-04-20,109.36
2021-04-21,111.27
2021-04-22,113.21
2021-04-23,114.89
2021-04-26,115.69
2021-04-27,112.73
2021-04-28,113.22
2021-04-29,113.92
2021-04-30,112.47
2021-05-03,111.78
2021-05-04,103.5
2021-05-05,106.48
2021-05-06,106.18
2021-05-07,107.56
2021-05-10,104.8
2021-05-11,104.0
2021-05-12,101.48
2021-05-13,100.48
2021-05-14,102.7
2021-05-17,102.02
2021-05-18,100.34
2021-05-19,100.37
2021-05-20,103.64
2021-05-21,101.82
2021-05-24,102.56
2021-05-25,103.45
2021-05-26,104.29
2021-05-27,105.1
2021-05-28,104.83
2021-06-01,102.01
2021-06-02,100.72
2021-06-03,100.61
2021-06-04,101.16
2021-06-07,103.92
2021-06-08,104.12
2021-06-09,107.3
2021-06-10,108.87
2021-06-11,109.05
2021-06-14,109.58
2021-06-15,108.47
2021-06-16,107.79
2021-06-17,110.56
2021-06-18,108.61
2021-06-21,109.75
2021-06-22,110.01
2021-06-23,109.09
2021-06-24,109.26
2021-06-25,109.16
2021-06-28,109.61
2021-06-29,109.15
2021-06-30,108.12
2021-07-01,110.85
2021-07-02,111.12
2021-07-06,113.15
2021-07-07,114.59
2021-07-08,112.89
2021-07-09,113.25
2021-07-12,113.54
2021-07-13,113.33
2021-07-14,111.14
2021-07-15,109.7
2021-07-16,109.17
2021-07-19,110.84
2021-07-20,112.69
2021-07-21,113.54
2021-07-22,115.19
2021-07-23,116.26
2021-07-26,113.0
2021-07-27,114.0
2021-07-28,116.51
2021-07-29,119.32
2021-07-30,119.81
2021-08-02,120.34
2021-08-03,122.16
2021-08-04,122.9
2021-08-05,122.12
2021-08-06,121.43
2021-08-09,121.72
2021-08-10,119.19
2021-08-11,118.14
2021-08-12,120.29
2021-08-13,120.56
2021-08-16,120.98
2021-08-17,120.66
2021-08-18,120.02
2021-08-19,120.9
2021-08-20,123.42
2021-08-23,125.04
2021-08-24,126.25
2021-08-25,129.15
2021-08-26,130.3
2021-08-27,129.85
2021-08-30,130.31
2021-08-31,130.44
2021-09-01,133.86
2021-09-02,139.6
2021-09-03,140.35
2021-09-07,141.11
2021-09-08,142.35
2021-09-09,141.03
2021-09-10,137.66
2021-09-13,136.63
2021-09-14,138.15
2021-09-15,138.26
2021-09-16,138.17
2021-09-17,136.15
2021-09-20,135.98
2021-09-21,136.09
2021-09-22,137.21
2021-09-23,141.02
2021-09-24,141.34
2021-09-27,136.39
2021-09-28,133.22
2021-09-29,134.24
2021-09-30,133.07
2021-10-01,131.93
2021-10-04,129.02
2021-10-05,130.19
2021-10-06,129.36
2021-10-07,131.04
2021-10-08,130.34
2021-10-11,128.53
2021-10-12,128.63
2021-10-13,128.16
2021-10-14,128.94
2021-10-15,128.77
2021-10-18,130.4
2021-10-19,133.22
2021-10-20,131.78
2021-10-21,132.31
2021-10-22,132.73
2021-10-25,130.89
2021-10-26,133.51
2021-10-27,133.02
2021-10-28,135.5
2021-10-29,137.86
2021-11-01,139.07
2021-11-02,136.35
2021-11-03,136.01
2021-11-04,129.04
2021-11-05,122.21
2021-11-08,124.0
2021-11-09,125.04
2021-11-10,123.66
2021-11-11,126.4
2021-11-12,128.05
2021-11-15,128.21
2021-11-16,131.4
2021-11-17,130.05
2021-11-18,128.03
2021-11-19,127.11
2021-11-22,128.65
2021-11-23,127.86
2021-11-24,129.59
2021-11-26,132.31
2021-11-29,133.96
2021-11-30,128.66
2021-12-01,127.31
2021-12-02,127.65
2021-12-03,122.47
2021-12-06,120.86
2021-12-07,123.49
2021-12-08,127.46
2021-12-09,123.79
2021-12-10,122.32
2021-12-13,124.88
2021-12-14,122.38
2021-12-15,127.08
2021-12-16,126.97
2021-12-17,125.37
2021-12-20,119.57
2021-12-21,124.53
2021-12-22,124.58
2021-12-23,124.96
2021-12-27,126.36
2021-12-28,125.36
2021-12-29,128.08
2021-12-30,128.51
2021-12-31,128.03
2022-01-03,124.49
2022-01-04,119.64
2022-01-05,116.06
2022-01-06,116.92
2022-01-07,115.46
2022-01-10,118.31
2022-01-11,117.83
2022-01-12,115.38
2022-01-13,109.98
2022-01-14,108.24
2022-01-18,103.93
2022-01-19,102.56
2022-01-20,102.02
2022-01-21,102.08
2022-01-24,103.74
2022-01-25,100.35
2022-01-26,98.12
2022-01-27,96.88
2022-01-28,99.88
2022-01-31,103.93
2022-02-01,106.57
2022-02-02,106.19
2022-02-03,103.05
2022-02-04,102.65
2022-02-07,103.18
2022-02-08,101.18
2022-02-09,103.66
2022-02-10,101.35
2022-02-11,99.24
2022-02-14,98.97
2022-02-15,99.68
2022-02-16,99.93
2022-02-17,97.97
2022-02-18,99.04
2022-02-22,97.86
2022-02-23,94.19
2022-02-24,99.08
2022-02-25,102.35
2022-02-28,102.04
2022-03-01,102.0
2022-03-02,102.55
2022-03-03,101.78
2022-03-04,100.36
2022-03-07,98.55
2022-03-08,94.2
2022-03-09,98.69
2022-03-10,98.33
2022-03-11,96.12
2022-03-14,95.65
2022-03-15,96.57
2022-03-16,102.82
2022-03-17,106.44
2022-03-18,109.14
2022-03-21,107.77
2022-03-22,107.89
2022-03-23,104.98
2022-03-24,107.91
2022-03-25,107.08
2022-03-28,108.0
2022-03-29,110.81
2022-03-30,110.83
2022-03-31,110.9
2022-04-01,114.05
2022-04-04,113.4
2022-04-05,112.47
2022-04-06,110.17
2022-04-07,112.75
2022-04-08,110.71
2022-04-11,107.05
2022-04-12,100.06
2022-04-13,100.88
2022-04-14,97.32
2022-04-18,94.57
2022-04-19,95.33
2022-04-20,96.15
2022-04-21,92.28
2022-04-22,90.67
2022-04-25,90.14
2022-04-26,87.2
2022-04-27,88.26
2022-04-28,89.9
2022-04-29,90.56
2022-05-02,90.12
2022-05-03,99.95
2022-05-04,104.08
2022-05-05,100.65
2022-05-06,98.83
2022-05-09,93.7
2022-05-10,94.47
2022-05-11,92.35
2022-05-12,95.0
2022-05-13,98.18
2022-05-16,97.67
2022-05-17,100.76
2022-05-18,97.82
2022-05-19,99.73
2022-05-20,100.19
2022-05-23,98.54
2022-05-24,96.76
2022-05-25,96.69
2022-05-26,100.97
2022-05-27,105.37
2022-05-31,103.06
2022-06-01,104.48
2022-06-02,110.67
2022-06-03,110.82
2022-06-06,111.23
2022-06-07,113.71
2022-06-08,110.83
2022-06-09,109.84
2022-06-10,106.67
2022-06-13,103.35
2022-06-14,104.29
2022-06-15,104.96
2022-06-16,100.8
2022-06-17,102.51
2022-06-21,103.99
2022-06-22,105.32
2022-06-23,109.61
2022-06-24,109.61
2022-06-27,110.87
2022-06-28,107.14
2022-06-29,106.15
2022-06-30,107.29
2022-07-01,107.02
2022-07-05,105.99
2022-07-06,109.2
2022-07-07,111.01
2022-07-08,111.81
2022-07-11,110.79
2022-07-12,104.61
2022-07-13,103.69
2022-07-14,100.2
2022-07-15,103.17
2022-07-18,99.93
2022-07-19,102.72
2022-07-20,104.21
2022-07-21,110.1
2022-07-22,107.61
2022-07-25,107.92
2022-07-26,107.63
2022-07-27,109.41
2022-07-28,111.88
2022-07-29,113.1
2022-08-01,111.8
2022-08-02,111.39
2022-08-03,108.75
2022-08-04,109.4
2022-08-05,110.56
2022-08-08,110.04
2022-08-09,108.13
2022-08-10,112.84
2022-08-11,109.94
2022-08-12,109.97
2022-08-15,110.85
2022-08-16,109.22
2022-08-17,108.4
2022-08-18,106.31
2022-08-19,105.24
2022-08-22,102.36
2022-08-23,102.51
2022-08-24,102.69
2022-08-25,104.2
2022-08-26,99.7
2022-08-29,92.28
2022-08-30,89.28
2022-08-31,88.0
2022-09-01,88.34
2022-09-02,87.58
2022-09-06,88.97
2022-09-07,91.85
2022-09-08,93.27
2022-09-09,95.97
2022-09-12,96.05
2022-09-13,91.87
2022-09-14,91.9
2022-09-15,89.24
2022-09-16,89.94
2022-09-19,89.28
2022-09-20,87.15
2022-09-21,83.15
2022-09-22,79.06
2022-09-23,76.07
2022-09-26,74.73
2022-09-27,72.74
2022-09-28,76.24
2022-09-29,74.28
2022-09-30,72.36
2022-10-03,76.52
2022-10-04,79.79
2022-10-05,81.0
2022-10-06,78.71
2022-10-07,77.02
2022-10-10,74.98
2022-10-11,73.18
2022-10-12,73.2
2022-10-13,74.15
2022-10-14,72.11
2022-10-17,74.36
2022-10-18,74.93
2022-10-19,71.08
2022-10-20,68.27
2022-10-21,67.63
2022-10-24,69.0
2022-10-25,71.36
2022-10-26,71.97
2022-10-27,66.27
2022-10-28,66.18
2022-10-31,65.73
2022-11-01,49.53
