,Close
2001-01-02,41.75
2001-01-03,43.625
2001-01-04,44.5625
2001-01-05,43.875
2001-01-08,43.125
2001-01-09,42.875
2001-01-10,43.8125
2001-01-11,46.6875
2001-01-12,47.0
2001-01-16,45.9375
2001-01-17,45.0
2001-01-18,45.75
2001-01-19,46.4375
2001-01-22,47.0
2001-01-23,49.5625
2001-01-24,49.5625
2001-01-25,48.25
2001-01-26,48.0625
2001-01-29,49.95
2001-01-30,49.99
2001-01-31,47.51
2001-02-01,48.05
2001-02-02,46.88
2001-02-05,46.26
2001-02-06,45.74
2001-02-07,44.58
2001-02-08,44.09
2001-02-09,43.82
2001-02-12,42.02
2001-02-13,40.81
2001-02-14,42.77
2001-02-15,43.76
2001-02-16,43.94
2001-02-20,43.6
2001-02-21,41.58
2001-02-22,42.28
2001-02-23,41.97
2001-02-26,42.25
2001-02-27,42.14
2001-02-28,42.36
2001-03-01,40.9
2001-03-02,39.76
2001-03-05,39.35
2001-03-06,38.52
2001-03-07,38.85
2001-03-08,39.42
2001-03-09,38.26
2001-03-12,37.53
2001-03-13,38.3
2001-03-14,37.05
2001-03-15,37.19
2001-03-16,34.96
2001-03-19,35.14
2001-03-20,33.85
2001-03-21,31.91
2001-03-22,31.42
2001-03-23,33.94
2001-03-26,36.01
2001-03-27,36.27
2001-03-28,35.49
2001-03-29,36.06
2001-03-30,36.07
2001-04-02,34.73
2001-04-03,33.33
2001-04-04,33.46
2001-04-05,35.5
2001-04-06,36.25
2001-04-09,37.95
2001-04-10,39.58
2001-04-11,38.5
2001-04-12,39.25
2001-04-16,38.9
2001-04-17,38.55
2001-04-18,38.96
2001-04-19,37.83
2001-04-20,37.44
2001-04-23,35.35
2001-04-24,36.76
2001-04-25,36.22
2001-04-26,36.91
2001-04-27,37.05
2001-04-30,36.5
2001-05-01,35.6
2001-05-02,36.75
2001-05-03,37.84
2001-05-04,38.94
2001-05-07,39.65
2001-05-08,40.11
2001-05-09,40.27
2001-05-10,40.65
2001-05-11,40.5
2001-05-14,39.8
2001-05-15,39.7
2001-05-16,40.78
2001-05-17,41.33
2001-05-18,41.4
2001-05-21,43.51
2001-05-22,44.2
2001-05-23,43.0
2001-05-24,42.94
2001-05-25,42.5
2001-05-29,42.41
2001-05-30,40.95
2001-05-31,41.1
2001-06-01,41.17
2001-06-04,41.32
2001-06-05,38.64
2001-06-06,39.3
2001-06-07,38.81
2001-06-08,37.1
2001-06-11,35.74
2001-06-12,36.1
2001-06-13,36.03
2001-06-14,35.51
2001-06-15,35.49
2001-06-18,35.45
2001-06-19,36.0
2001-06-20,35.94
2001-06-21,35.41
2001-06-22,33.82
2001-06-25,30.76
2001-06-26,29.15
2001-06-27,28.99
2001-06-28,29.19
2001-06-29,30.25
2001-07-02,29.6
2001-07-03,29.11
2001-07-05,28.94
2001-07-06,28.7
2001-07-09,28.36
2001-07-10,27.89
2001-07-11,25.77
2001-07-12,27.95
2001-07-13,28.08
2001-07-16,28.24
2001-07-17,29.77
2001-07-18,29.6
2001-07-19,29.7
2001-07-20,30.54
2001-07-23,29.91
