,Close
2022-01-03,93.47
2022-01-04,89.95
2022-01-05,84.15
2022-01-06,86.6
2022-01-07,89.66
2022-01-10,88.3
2022-01-11,89.98
2022-01-12,87.95
2022-01-13,84.76
2022-01-14,82.84
2022-01-18,79.16
2022-01-19,77.8
2022-01-20,76.98
2022-01-21,72.17
2022-01-24,75.96
2022-01-25,77.29
2022-01-26,75.35
2022-01-27,70.4
2022-01-28,72.97
2022-01-31,76.14
2022-02-01,80.8
2022-02-02,77.5
2022-02-03,76.36
2022-02-04,78.83
2022-02-07,80.75
2022-02-08,82.36
2022-02-09,86.87
2022-02-10,86.49
2022-02-11,83.74
2022-02-14,81.23
2022-02-15,84.18
2022-02-16,85.42
2022-02-17,81.92
2022-02-18,79.28
2022-02-22,76.57
2022-02-23,78.68
2022-02-24,84.65
2022-02-25,84.69
2022-02-28,84.19
2022-03-01,82.98
2022-03-02,86.16
2022-03-03,83.21
2022-03-04,78.8
2022-03-07,69.64
2022-03-08,70.24
2022-03-09,77.59
2022-03-10,77.46
2022-03-11,74.81
2022-03-14,71.97
2022-03-15,74.97
2022-03-16,79.34
2022-03-17,79.59
2022-03-18,80.83
2022-03-21,78.49
2022-03-22,80.07
2022-03-23,77.0
2022-03-24,78.99
2022-03-25,77.4
2022-03-28,76.88
2022-03-29,81.23
2022-03-30,77.53
2022-03-31,77.36
2022-04-01,76.65
2022-04-04,80.69
2022-04-05,77.16
2022-04-06,72.01
2022-04-07,70.56
2022-04-08,68.98
2022-04-11,68.58
2022-04-12,67.02
2022-04-13,70.01
2022-04-14,68.88
2022-04-18,68.37
2022-04-19,71.75
2022-04-20,71.7
2022-04-21,68.11
2022-04-22,66.6
2022-04-25,68.5
2022-04-26,64.83
2022-04-27,64.15
2022-04-28,67.39
2022-04-29,66.28
2022-05-02,68.35
2022-05-03,67.65
2022-05-04,66.39
2022-05-05,62.95
2022-05-06,59.95
2022-05-09,52.95
2022-05-10,50.77
2022-05-11,48.36
2022-05-12,49.83
2022-05-13,54.99
2022-05-16,51.99
2022-05-17,51.4
2022-05-18,47.95
2022-05-19,48.63
2022-05-20,50.11
2022-05-23,48.25
2022-05-24,43.14
2022-05-25,46.4
2022-05-26,51.02
2022-05-27,51.6
2022-05-31,50.17
2022-06-01,49.56
2022-06-02,51.87
2022-06-03,50.6
2022-06-06,52.34
2022-06-07,52.37
2022-06-08,52.15
2022-06-09,50.16
2022-06-10,45.5
2022-06-13,39.64
2022-06-14,39.39
2022-06-15,41.39
2022-06-16,37.67
2022-06-17,39.65
2022-06-21,40.11
2022-06-22,39.96
2022-06-23,39.52
2022-06-24,44.47
2022-06-27,44.05
2022-06-28,42.97
2022-06-29,40.27
2022-06-30,38.3
2022-07-01,38.53
2022-07-05,42.26
2022-07-06,40.32
2022-07-07,41.53
2022-07-08,39.59
2022-07-11,38.21
2022-07-12,38.72
2022-07-13,38.14
2022-07-14,35.39
2022-07-15,37.65
2022-07-18,38.6
2022-07-19,41.79
2022-07-20,44.25
2022-07-21,44.08
2022-07-22,42.65
2022-07-25,42.18
2022-07-26,40.3
2022-07-27,43.87
2022-07-28,44.89
2022-07-29,45.69
2022-08-01,46.04
2022-08-02,49.17
2022-08-03,49.26
2022-08-04,48.18
2022-08-05,47.67
2022-08-08,49.03
2022-08-09,46.1
2022-08-10,48.4
2022-08-11,49.33
2022-08-12,51.37
2022-08-15,51.41
2022-08-16,52.05
2022-08-17,49.19
2022-08-18,49.16
2022-08-19,46.71
2022-08-22,44.64
2022-08-23,45.67
2022-08-24,45.99
2022-08-25,46.85
2022-08-26,44.31
2022-08-29,44.14
2022-08-30,43.21
2022-08-31,43.12
2022-09-01,42.5
2022-09-02,42.6
2022-09-06,43.6
2022-09-07,45.27
2022-09-08,46.18
2022-09-09,48.33
2022-09-12,49.88
2022-09-13,45.58
2022-09-14,46.26
2022-09-15,46.65
2022-09-16,45.08
2022-09-19,46.43
2022-09-20,45.17
2022-09-21,41.54
2022-09-22,37.62
2022-09-23,35.37
2022-09-26,33.77
2022-09-27,32.94
2022-09-28,34.5
2022-09-29,32.42
2022-09-30,32.26
2022-10-03,34.15
2022-10-04,38.05
2022-10-05,38.52
2022-10-06,38.62
2022-10-07,37.28
2022-10-10,35.38
2022-10-11,35.19
2022-10-12,36.11
2022-10-13,36.35
2022-10-14,35.33
2022-10-17,37.65
2022-10-18,38.86
2022-10-19,37.31
2022-10-20,37.41
2022-10-21,39.61
2022-10-24,41.42
2022-10-25,42.49
2022-10-26,42.53
2022-10-27,41.51
2022-10-28,44.1
2022-10-31,43.73
2022-11-01,44.39
