,Close
2000-01-03,28.875
2000-01-04,28.75
2000-01-05,28.5
2000-01-06,29.5625
2000-01-07,31.5
2000-01-10,30.625
2000-01-11,30.5625
2000-01-12,30.75
2000-01-13,30.5
2000-01-14,30.1875
2000-01-18,29.8125
2000-01-19,29.75
2000-01-20,28.9375
2000-01-21,27.875
2000-01-24,27.625
2000-01-25,26.375
2000-01-26,25.75
2000-01-27,25.3125
2000-01-28,24.5625
2000-01-31,23.5
2000-02-01,23.0625
2000-02-02,22.9375
2000-02-03,22.75
2000-02-04,22.6875
2000-02-07,22.5625
2000-02-08,23.3125
2000-02-09,23.3125
2000-02-10,23.25
2000-02-11,21.0
2000-02-14,23.0625
2000-02-15,23.0
2000-02-16,22.9375
2000-02-17,22.6875
2000-02-18,22.4375
2000-02-22,22.5
2000-02-23,21.9375
2000-02-24,21.0
2000-02-25,22.0
2000-02-28,21.8125
2000-02-29,21.3125
2000-03-01,21.5
2000-03-02,21.25
2000-03-03,22.0625
2000-03-06,22.0625
2000-03-07,20.75
2000-03-08,21.5
2000-03-09,21.6875
2000-03-10,21.5625
2000-03-13,22.25
2000-03-14,21.875
2000-03-15,23.4375
2000-03-16,24.5625
2000-03-17,25.125
2000-03-20,25.0625
2000-03-21,26.0
2000-03-22,25.5625
2000-03-23,26.1875
2000-03-24,26.5
2000-03-27,27.0
2000-03-28,27.0625
2000-03-29,26.5625
2000-03-30,27.5
2000-03-31,28.1875
2000-04-03,28.0
2000-04-04,28.3125
2000-04-05,28.3125
2000-04-06,28.8125
2000-04-07,27.5
2000-04-10,28.0625
2000-04-11,29.25
2000-04-12,30.6875
2000-04-13,30.0
2000-04-14,28.5625
2000-04-17,28.6875
2000-04-18,29.0625
2000-04-19,28.875
2000-04-20,28.75
2000-04-24,29.25
2000-04-25,30.0
2000-04-26,30.4375
2000-04-27,30.125
2000-04-28,30.375
2000-05-01,31.0
2000-05-02,30.5
2000-05-03,29.5625
2000-05-04,29.25
2000-05-05,29.125
2000-05-08,29.6875
2000-05-09,29.875
2000-05-10,29.0625
2000-05-11,29.25
2000-05-12,29.1875
2000-05-15,28.75
2000-05-16,28.8125
2000-05-17,29.0625
2000-05-18,28.9375
2000-05-19,28.6875
2000-05-22,28.0625
2000-05-23,28.4375
2000-05-24,28.5625
2000-05-25,28.3125
2000-05-26,25.9375
2000-05-30,26.0
2000-05-31,25.8125
2000-06-01,25.5
2000-06-02,25.25
2000-06-05,25.4375
2000-06-06,25.1875
2000-06-07,25.1875
2000-06-08,25.0625
2000-06-09,25.0625
2000-06-12,24.375
2000-06-13,24.0
2000-06-14,23.9375
2000-06-15,23.0625
2000-06-16,22.9375
2000-06-19,22.1875
2000-06-20,22.125
2000-06-21,21.75
2000-06-22,21.375
2000-06-23,21.5
2000-06-26,21.0
2000-06-27,22.4375
2000-06-28,21.9375
2000-06-29,21.9375
2000-06-30,21.1875
2000-07-03,21.875
2000-07-05,22.6875
2000-07-06,22.875
2000-07-07,22.75
2000-07-10,23.3125
2000-07-11,23.0
2000-07-12,22.75
2000-07-13,22.6875
2000-07-14,22.9375
2000-07-17,23.0
2000-07-18,22.75
2000-07-19,22.875
2000-07-20,23.0625
2000-07-21,23.5625
2000-07-24,23.6875
2000-07-25,23.6875
2000-07-26,23.0
2000-07-27,23.3125
2000-07-28,23.0625
2000-07-31,22.9375
2000-08-01,23.3125
2000-08-02,23.0
2000-08-03,23.75
2000-08-04,23.625
2000-08-07,24.0
2000-08-08,26.1875
2000-08-09,25.375
2000-08-10,25.5625
2000-08-11,25.9375
2000-08-14,26.8125
2000-08-15,26.5625
2000-08-16,26.875
2000-08-17,27.625
2000-08-18,26.75
2000-08-21,26.5
2000-08-22,27.0625
2000-08-23,26.0
2000-08-24,26.1875
2000-08-25,25.0625
2000-08-28,24.9375
2000-08-29,24.875
2000-08-30,24.1875
2000-08-31,24.6875
2000-09-01,25.0
2000-09-05,25.75
2000-09-06,27.1875
2000-09-07,26.5
2000-09-08,25.1875
2000-09-11,24.875
2000-09-12,24.75
2000-09-13,24.75
2000-09-14,24.25
2000-09-15,24.0625
2000-09-18,23.1875
2000-09-19,23.1875
2000-09-20,21.625
2000-09-21,21.375
2000-09-22,21.4375
2000-09-25,21.0625
2000-09-26,21.125
2000-09-27,20.6875
2000-09-28,21.5
2000-09-29,21.5
2000-10-02,21.5625
2000-10-03,21.375
2000-10-04,22.4375
2000-10-05,22.0625
2000-10-06,21.5
2000-10-09,22.5625
2000-10-10,21.5625
2000-10-11,21.1875
2000-10-12,20.6875
2000-10-13,20.625
2000-10-16,21.4375
2000-10-17,20.5
2000-10-18,20.1875
2000-10-19,20.1875
2000-10-20,20.1875
2000-10-23,20.3125
2000-10-24,20.5625
2000-10-25,20.5
2000-10-26,20.375
2000-10-27,20.3125
2000-10-30,21.9375
2000-10-31,22.1875
2000-11-01,22.375
2000-11-02,22.0625
2000-11-03,21.5625
2000-11-06,21.75
2000-11-07,21.25
2000-11-08,21.375
2000-11-09,21.375
2000-11-10,20.25
2000-11-13,20.5
2000-11-14,20.3125
2000-11-15,20.25
2000-11-16,19.75
2000-11-17,18.875
2000-11-20,18.0625
2000-11-21,17.75
2000-11-22,17.625
2000-11-24,17.9375
2000-11-27,18.3125
2000-11-28,17.8125
2000-11-29,17.5625
2000-11-30,16.75
2000-12-01,17.25
2000-12-04,17.5
2000-12-05,17.25
2000-12-06,16.5
2000-12-07,15.875
2000-12-08,15.375
2000-12-11,15.0625
2000-12-12,14.75
2000-12-13,14.6875
2000-12-14,14.25
2000-12-15,13.375
2000-12-18,13.4375
2000-12-19,13.5
2000-12-20,13.1875
2000-12-21,13.0
2000-12-22,13.875
2000-12-26,13.9375
2000-12-27,14.9375
2000-12-28,15.0
2000-12-29,15.3125
2001-01-02,15.8125
2001-01-03,17.0625
2001-01-04,17.8125
2001-01-05,17.625
2001-01-08,17.0
2001-01-09,17.6875
2001-01-10,16.8125
2001-01-11,17.6875
2001-01-12,17.375
2001-01-16,18.0
2001-01-17,18.375
2001-01-18,18.75
2001-01-19,18.25
2001-01-22,18.5625
2001-01-23,18.75
2001-01-24,18.0625
2001-01-25,18.25
2001-01-26,17.9375
2001-01-29,18.29
2001-01-30,17.75
2001-01-31,18.68
2001-02-01,18.1
2001-02-02,18.1
2001-02-05,17.95
2001-02-06,17.95
2001-02-07,17.61
2001-02-08,17.34
2001-02-09,17.05
2001-02-12,16.99
2001-02-13,17.75
2001-02-14,17.33
2001-02-15,17.94
2001-02-16,17.42
2001-02-20,17.41
2001-02-21,17.13
2001-02-22,16.85
2001-02-23,17.23
2001-02-26,18.14
2001-02-27,17.45
2001-02-28,16.93
2001-03-01,17.24
2001-03-02,17.79
2001-03-05,18.2
2001-03-06,18.63
2001-03-07,19.66
2001-03-08,19.96
2001-03-09,20.11
2001-03-12,19.34
2001-03-13,19.25
2001-03-14,18.67
2001-03-15,18.73
2001-03-16,18.31
2001-03-19,18.86
2001-03-20,18.37
2001-03-21,17.57
2001-03-22,17.3
2001-03-23,17.66
2001-03-26,17.91
2001-03-27,17.88
2001-03-28,17.38
2001-03-29,17.15
2001-03-30,17.18
2001-04-02,17.28
2001-04-03,16.56
2001-04-04,16.78
2001-04-05,17.19
2001-04-06,16.88
2001-04-09,16.99
2001-04-10,17.9
2001-04-11,17.03
2001-04-12,17.48
2001-04-16,17.74
2001-04-17,17.82
2001-04-18,20.66
2001-04-19,19.8
2001-04-20,19.72
2001-04-23,19.12
2001-04-24,19.46
2001-04-25,19.01
2001-04-26,19.55
2001-04-27,19.35
2001-04-30,19.63
2001-05-01,19.79
2001-05-02,20.34
2001-05-03,20.37
2001-05-04,20.49
2001-05-07,20.67
2001-05-08,20.33
2001-05-09,20.15
2001-05-10,20.33
2001-05-11,20.05
2001-05-14,20.05
2001-05-15,20.48
2001-05-16,21.53
2001-05-17,21.96
2001-05-18,22.15
2001-05-21,22.29
2001-05-22,22.01
2001-05-23,21.46
2001-05-24,21.7
2001-05-25,22.13
2001-05-29,22.05
2001-05-30,21.2
2001-05-31,21.52
2001-06-01,21.8
2001-06-04,21.4
2001-06-05,21.78
2001-06-06,21.59
2001-06-07,21.76
2001-06-08,21.9
2001-06-11,21.93
2001-06-12,21.75
2001-06-13,21.76
2001-06-14,21.56
2001-06-15,21.49
2001-06-18,22.01
2001-06-19,21.74
2001-06-20,21.64
2001-06-21,22.42
2001-06-22,21.79
2001-06-25,21.74
2001-06-26,22.09
2001-06-27,22.63
2001-06-28,23.0
2001-06-29,23.34
2001-07-02,23.95
2001-07-03,24.0
2001-07-05,23.49
2001-07-06,22.75
2001-07-09,23.18
2001-07-10,22.96
2001-07-11,23.81
2001-07-12,24.64
2001-07-13,24.85
2001-07-16,25.2
2001-07-17,26.57
2001-07-18,26.19
2001-07-19,26.04
2001-07-20,25.83
2001-07-23,25.25
2001-07-24,24.75
2001-07-25,25.43
2001-07-26,25.81
2001-07-27,25.52
2001-07-30,25.59
2001-07-31,25.75
2001-08-01,25.86
2001-08-02,25.58
2001-08-03,25.51
2001-08-06,25.23
2001-08-07,25.0
2001-08-08,24.46
2001-08-09,24.2
2001-08-10,24.6
2001-08-13,23.88
2001-08-14,23.55
2001-08-15,23.52
2001-08-16,23.38
2001-08-17,21.7
2001-08-20,21.12
2001-08-21,20.1
2001-08-22,21.45
2001-08-23,20.88
2001-08-24,20.96
2001-08-27,20.72
2001-08-28,20.38
2001-08-29,20.13
2001-08-30,19.25
2001-08-31,19.6
2001-09-04,20.38
2001-09-05,20.13
2001-09-06,19.79
2001-09-07,18.95
2001-09-10,18.24
2001-09-17,15.39
2001-09-18,15.37
2001-09-19,14.35
2001-09-20,13.75
2001-09-21,13.55
2001-09-24,15.24
2001-09-25,15.5
2001-09-26,14.65
2001-09-27,15.07
2001-09-28,15.6
2001-10-01,15.26
2001-10-02,15.7
2001-10-03,14.62
2001-10-04,14.4
2001-10-05,13.47
2001-10-08,13.08
2001-10-09,13.01
2001-10-10,14.4
2001-10-11,15.4
2001-10-12,15.23
2001-10-15,14.9
2001-10-16,14.56
2001-10-17,11.3
2001-10-18,11.77
2001-10-19,11.55
2001-10-22,11.45
2001-10-23,11.67
2001-10-24,11.42
2001-10-25,11.45
2001-10-26,11.39
2001-10-29,11.12
2001-10-30,10.88
2001-10-31,10.75
2001-11-01,10.55
2001-11-02,10.97
2001-11-05,11.11
2001-11-06,11.14
2001-11-07,10.98
2001-11-08,10.99
2001-11-09,10.9
2001-11-12,10.79
2001-11-13,11.12
2001-11-14,11.53
2001-11-15,13.09
2001-11-16,13.09
2001-11-19,13.2
2001-11-20,13.04
2001-11-21,12.84
2001-11-23,13.33
2001-11-26,13.35
2001-11-27,13.29
2001-11-28,13.26
2001-11-29,13.27
2001-11-30,13.7
2001-12-03,13.53
2001-12-04,13.75
2001-12-05,14.18
2001-12-06,15.29
2001-12-07,14.42
2001-12-10,14.05
2001-12-11,13.74
2001-12-12,13.76
2001-12-13,13.51
2001-12-14,13.55
2001-12-17,13.65
2001-12-18,13.66
2001-12-19,14.1
2001-12-20,14.1
2001-12-21,14.04
2001-12-24,14.32
2001-12-26,14.07
2001-12-27,14.41
2001-12-28,14.43
2001-12-31,13.88
2002-01-02,14.06
2002-01-03,14.51
2002-01-04,14.54
2002-01-07,14.58
2002-01-08,14.4
2002-01-09,13.79
2002-01-10,13.78
2002-01-11,13.7
2002-01-14,13.7
2002-01-15,13.67
2002-01-16,13.37
2002-01-17,13.44
2002-01-18,13.26
2002-01-22,13.35
2002-01-23,13.57
2002-01-24,13.57
2002-01-25,13.93
2002-01-28,14.44
2002-01-29,14.4
2002-01-30,14.48
2002-01-31,14.61
2002-02-01,14.65
2002-02-04,14.47
2002-02-05,14.8
2002-02-06,14.23
2002-02-07,14.02
