,Close
2000-01-03,8.8108
2000-01-04,8.491
2000-01-05,8.5858
2000-01-06,8.6805
2000-01-07,8.7516
2000-01-10,8.9292
2000-01-11,8.7042
2000-01-12,8.4673
2000-01-13,8.5976
2000-01-14,8.5976
2000-01-18,8.3608
2000-01-19,8.266
2000-01-20,8.0884
2000-01-21,7.8042
2000-01-24,7.2002
2000-01-25,7.6384
2000-01-26,7.8634
2000-01-27,7.8752
2000-01-28,8.0055
2000-01-31,8.1713
2000-02-01,8.195
2000-02-02,8.1831
2000-02-03,8.2542
2000-02-04,8.195
2000-02-07,8.1713
2000-02-08,8.3015
2000-02-09,8.266
2000-02-10,7.8989
2000-02-11,7.7805
2000-02-14,7.7568
2000-02-15,7.8042
2000-02-16,7.7568
2000-02-17,7.7568
2000-02-18,7.5555
2000-02-22,7.5318
2000-02-23,7.4489
2000-02-24,7.3068
2000-02-25,7.2831
2000-02-28,7.4371
2000-02-29,7.7331
2000-03-01,7.8515
2000-03-02,7.6502
2000-03-03,7.5792
2000-03-06,7.6028
2000-03-07,7.1647
2000-03-08,7.0344
2000-03-09,7.2002
2000-03-10,7.2831
2000-03-13,7.1173
2000-03-14,7.1173
2000-03-15,7.4015
2000-03-16,8.2305
2000-03-17,8.2305
2000-03-20,8.1594
2000-03-21,8.2779
2000-03-22,8.0529
2000-03-23,8.0765
2000-03-24,7.8279
2000-03-27,8.2068
2000-03-28,8.3963
2000-03-29,8.8818
2000-03-30,9.4858
2000-03-31,9.6634
2000-04-03,9.7819
2000-04-04,9.9476
2000-04-05,10.1253
2000-04-06,10.0779
2000-04-07,9.8055
2000-04-10,9.7226
2000-04-11,9.8292
2000-04-12,9.6042
2000-04-13,9.7937
2000-04-14,9.1068
2000-04-17,9.4384
2000-04-18,9.3437
2000-04-19,9.7226
2000-04-20,10.0305
2000-04-24,10.1253
2000-04-25,10.4095
2000-04-26,10.599
2000-04-27,10.8003
2000-04-28,10.824
2000-05-01,11.1556
2000-05-02,10.9424
2000-05-03,10.67
2000-05-04,10.5161
2000-05-05,10.9069
2000-05-08,10.7885
2000-05-09,10.6464
2000-05-10,10.5161
2000-05-11,10.5161
2000-05-12,10.4806
2000-05-15,10.4213
2000-05-16,10.5161
2000-05-17,10.4213
2000-05-18,10.2082
2000-05-19,9.7819
2000-05-22,9.7582
2000-05-23,9.3674
2000-05-24,9.4503
2000-05-25,9.474
2000-05-26,9.1305
2000-05-30,9.1897
2000-05-31,9.1305
2000-06-01,9.0831
2000-06-02,9.5332
2000-06-05,9.4858
2000-06-06,9.4858
2000-06-07,9.2845
2000-06-08,9.2963
2000-06-09,9.4621
2000-06-12,9.3437
2000-06-13,9.3555
2000-06-14,9.1424
2000-06-15,9.1779
2000-06-16,9.2963
2000-06-19,9.0476
2000-06-20,9.0121
2000-06-21,9.0003
2000-06-22,9.1305
2000-06-23,9.0358
2000-06-26,9.095
2000-06-27,9.2963
2000-06-28,9.2489
2000-06-29,9.166
2000-06-30,9.3674
2000-07-03,9.4029
2000-07-05,9.0831
2000-07-06,8.8937
2000-07-07,9.0121
2000-07-10,8.9647
2000-07-11,8.7871
2000-07-12,8.9055
2000-07-13,8.7989
2000-07-14,8.6687
2000-07-17,8.6331
2000-07-18,8.8226
2000-07-19,8.7989
2000-07-20,9.0358
2000-07-21,9.166
2000-07-24,9.2489
2000-07-25,9.4976
2000-07-26,9.4503
2000-07-27,9.2016
2000-07-28,9.2489
2000-07-31,9.6516
2000-08-01,9.4503
2000-08-02,9.474
2000-08-03,9.6279
2000-08-04,10.22
2000-08-07,10.0898
2000-08-08,10.1727
2000-08-09,10.3858
2000-08-10,10.4332
2000-08-11,10.5042
2000-08-14,10.4806
2000-08-15,10.1253
2000-08-16,9.995
2000-08-17,10.0779
2000-08-18,10.4095
2000-08-21,10.374
2000-08-22,10.3621
2000-08-23,10.4213
2000-08-24,10.5398
2000-08-25,10.4924
2000-08-28,10.5161
2000-08-29,10.6937
2000-08-30,10.5161
2000-08-31,10.6464
2000-09-01,10.67
2000-09-05,10.599
2000-09-06,10.1845
2000-09-07,10.2792
2000-09-08,10.0305
2000-09-11,9.9476
2000-09-12,10.0187
2000-09-13,10.0187
2000-09-14,9.8884
2000-09-15,9.9358
2000-09-18,9.5213
2000-09-19,9.095
2000-09-20,9.1897
2000-09-21,9.1424
2000-09-22,9.1068
2000-09-25,9.2489
2000-09-26,9.0713
2000-09-27,9.1068
2000-09-28,9.4976
2000-09-29,9.4266
2000-10-02,9.3792
2000-10-03,9.4503
2000-10-04,9.7582
2000-10-05,9.8292
2000-10-06,9.7345
2000-10-09,9.7819
2000-10-10,9.8648
2000-10-11,10.0661
2000-10-12,9.7463
2000-10-13,9.995
2000-10-16,10.149
2000-10-17,9.9476
2000-10-18,10.0542
2000-10-19,10.4569
2000-10-20,10.7529
2000-10-23,10.6937
2000-10-24,10.5635
2000-10-25,10.3148
2000-10-26,10.5516
2000-10-27,10.9306
2000-10-30,11.2977
2000-10-31,11.9609
2000-11-01,11.7832
2000-11-02,11.8188
2000-11-03,11.653
2000-11-06,11.8424
2000-11-07,11.7359
2000-11-08,11.8306
2000-11-09,11.7359
2000-11-10,11.5701
2000-11-13,11.5819
2000-11-14,11.7951
2000-11-15,12.0674
2000-11-16,12.0319
2000-11-17,12.103
2000-11-20,12.0438
2000-11-21,12.1385
2000-11-22,11.878
2000-11-24,12.2569
2000-11-27,12.2332
2000-11-28,12.0438
2000-11-29,12.3161
2000-11-30,12.3517
2000-12-01,12.3635
2000-12-04,12.4701
2000-12-05,12.9438
2000-12-06,12.624
2000-12-07,12.8372
2000-12-08,12.8727
2000-12-11,12.9912
2000-12-12,12.8727
2000-12-13,12.328
2000-12-14,11.9016
2000-12-15,12.3398
2000-12-18,12.3043
2000-12-19,12.1503
2000-12-20,11.8306
2000-12-21,11.8069
2000-12-22,11.9845
2000-12-26,12.4464
2000-12-27,12.8846
2000-12-28,13.0148
2000-12-29,12.9556
2001-01-02,12.6004
2001-01-03,12.8254
2001-01-04,12.5885
2001-01-05,12.2451
2001-01-08,11.0845
2001-01-09,11.4753
2001-01-10,11.724
2001-01-11,12.0319
2001-01-12,12.0793
2001-01-16,12.0438
2001-01-17,11.7477
2001-01-18,11.8069
2001-01-19,11.6648
2001-01-22,11.6648
2001-01-23,11.878
2001-01-24,11.8898
2001-01-25,11.949
2001-01-26,11.949
2001-01-29,11.9277
2001-01-30,12.0528
2001-01-31,12.2176
2001-02-01,12.2252
2001-02-02,12.2669
2001-02-05,12.2479
2001-02-06,12.3446
2001-02-07,12.1437
2001-02-08,12.2763
2001-02-09,12.0717
2001-02-12,12.2024
2001-02-13,12.1835
2001-02-14,12.301
2001-02-15,12.5056
2001-02-16,12.1437
2001-02-20,12.2024
2001-02-21,12.1646
2001-02-22,12.0395
2001-02-23,11.8784
2001-02-26,12.2517
2001-02-27,12.1475
2001-02-28,12.0205
2001-03-01,12.0698
2001-03-02,12.03
2001-03-05,12.1361
2001-03-06,12.0319
2001-03-07,12.1456
2001-03-08,12.1778
2001-03-09,11.7098
2001-03-12,11.3896
2001-03-13,11.1565
2001-03-14,10.8666
2001-03-15,10.9614
2001-03-16,10.8098
2001-03-19,10.9424
2001-03-20,10.7435
2001-03-21,10.4592
2001-03-22,10.3778
2001-03-23,10.4801
2001-03-26,10.8571
2001-03-27,10.8477
2001-03-28,10.5881
2001-03-29,10.41
2001-03-30,10.338
2001-04-02,10.2319
2001-04-03,9.8813
2001-04-04,10.2129
2001-04-05,10.4232
2001-04-06,10.2754
2001-04-09,10.3418
2001-04-10,10.4573
2001-04-11,9.8472
2001-04-12,10.2338
2001-04-16,10.1978
2001-04-17,10.139
2001-04-18,11.1698
2001-04-19,10.8003
2001-04-20,10.6847
2001-04-23,10.6582
2001-04-24,10.554
2001-04-25,10.535
2001-04-26,10.5729
2001-04-27,10.5123
2001-04-30,10.6127
2001-05-01,10.5047
2001-05-02,10.4195
2001-05-03,10.2319
2001-05-04,10.4971
2001-05-07,10.5881
2001-05-08,10.9576
2001-05-09,10.895
2001-05-10,11.238
2001-05-11,11.1319
2001-05-14,10.9784
2001-05-15,11.1262
2001-05-16,11.5203
2001-05-17,11.7761
2001-05-18,11.7742
2001-05-21,12.2347
2001-05-22,12.2176
2001-05-23,12.1001
2001-05-24,12.174
2001-05-25,12.282
2001-05-29,12.1267
2001-05-30,11.9978
2001-05-31,11.9334
2001-06-01,11.9372
2001-06-04,11.9334
2001-06-05,12.2498
2001-06-06,12.1437
2001-06-07,12.3123
2001-06-08,12.3029
2001-06-11,12.1077
2001-06-12,12.1475
2001-06-13,12.1399
2001-06-14,11.6264
2001-06-15,11.7894
2001-06-18,11.7193
2001-06-19,11.6435
2001-06-20,11.598
2001-06-21,11.9599
2001-06-22,11.8974
2001-06-25,11.7534
2001-06-26,12.3521
2001-06-27,10.9557
2001-06-28,10.7435
2001-06-29,10.6108
2001-07-02,10.8003
2001-07-03,11.0049
2001-07-05,11.0239
2001-07-06,10.7226
2001-07-09,10.7605
2001-07-10,10.8117
2001-07-11,10.4081
2001-07-12,10.914
2001-07-13,10.8913
2001-07-16,10.8344
2001-07-17,10.6771
2001-07-18,10.6582
2001-07-19,10.8136
2001-07-20,10.7738
2001-07-23,10.5066
2001-07-24,10.4668
2001-07-25,10.5312
2001-07-26,10.6108
2001-07-27,10.6582
2001-07-30,10.6392
2001-07-31,10.7226
2001-08-01,10.6677
2001-08-02,10.8553
2001-08-03,10.9424
2001-08-06,10.9159
2001-08-07,11.094
2001-08-08,10.9424
2001-08-09,10.8155
2001-08-10,10.9102
2001-08-13,10.895
2001-08-14,10.9424
2001-08-15,10.9291
2001-08-16,10.9519
2001-08-17,10.9121
2001-08-20,10.8913
2001-08-21,10.895
2001-08-22,10.9083
2001-08-23,10.9576
2001-08-24,10.9879
2001-08-27,11.1073
2001-08-28,10.9898
2001-08-29,10.8041
2001-08-30,10.607
2001-08-31,10.5293
2001-09-04,10.6127
2001-09-05,10.6203
2001-09-06,10.3853
2001-09-07,10.1845
2001-09-10,10.1428
2001-09-17,9.3205
2001-09-18,9.203
2001-09-19,9.0855
2001-09-20,8.627
2001-09-21,8.6876
2001-09-24,9.1803
2001-09-25,9.2125
2001-09-26,8.6687
2001-09-27,8.6687
2001-09-28,8.9396
2001-10-01,8.8108
2001-10-02,9.0287
2001-10-03,9.1859
2001-10-04,9.2788
2001-10-05,9.2219
2001-10-08,9.2163
2001-10-09,9.2579
2001-10-10,9.4645
2001-10-11,9.9912
2001-10-12,10.0083
2001-10-15,10.2584
2001-10-16,10.3077
2001-10-17,10.5104
2001-10-18,10.6525
2001-10-19,10.7984
2001-10-22,10.7359
2001-10-23,11.039
2001-10-24,10.9026
2001-10-25,10.9405
2001-10-26,11.2645
2001-10-29,10.8155
2001-10-30,10.5256
2001-10-31,10.5616
2001-11-01,10.643
2001-11-02,10.9708
2001-11-05,10.9538
2001-11-06,11.0732
2001-11-07,10.9841
2001-11-08,10.9879
2001-11-09,10.9254
2001-11-12,10.6658
2001-11-13,10.8401
2001-11-14,10.9879
2001-11-15,11.1963
2001-11-16,11.2077
2001-11-19,11.3953
2001-11-20,11.4559
2001-11-21,11.2172
2001-11-23,11.3991
2001-11-26,11.4862
2001-11-27,11.473
2001-11-28,11.5942
2001-11-29,11.4066
2001-11-30,11.1129
2001-12-03,10.8496
2001-12-04,11.2911
2001-12-05,11.8481
2001-12-06,11.886
2001-12-07,11.8955
2001-12-10,11.8519
2001-12-11,11.7875
2001-12-12,11.4464
2001-12-13,11.2418
2001-12-14,10.6487
2001-12-17,10.8818
2001-12-18,11.2759
2001-12-19,11.3252
2001-12-20,11.2475
2001-12-21,11.2948
2001-12-24,11.2892
2001-12-26,11.3593
2001-12-27,11.4995
2001-12-28,11.3972
2001-12-31,11.4275
2002-01-02,11.4256
2002-01-03,11.5279
2002-01-04,11.9902
2002-01-07,11.8045
2002-01-08,11.7477
2002-01-09,11.7837
2002-01-10,11.7799
2002-01-11,12.0679
2002-01-14,11.9485
2002-01-15,11.3517
2002-01-16,11.1129
2002-01-17,11.2873
2002-01-18,11.4464
2002-01-22,11.3214
2002-01-23,11.2929
2002-01-24,11.634
2002-01-25,11.7477
2002-01-28,11.9334
2002-01-29,11.6643
2002-01-30,11.8254
2002-01-31,12.0774
2002-02-01,11.8159
2002-02-04,11.5393
2002-02-05,11.4445
2002-02-06,11.3782
2002-02-07,11.3934
2002-02-08,11.562
2002-02-11,12.1437
2002-02-12,12.0679
2002-02-13,12.4431
2002-02-14,12.3787
2002-02-15,12.5246
2002-02-19,12.3692
2002-02-20,12.4298
2002-02-21,12.7804
2002-02-22,13.1688
2002-02-25,13.1555
2002-02-26,12.8562
2002-02-27,12.7235
2002-02-28,12.7387
2002-03-01,12.8903
2002-03-04,13.6046
2002-03-05,13.2597
2002-03-06,13.3431
2002-03-07,13.4246
2002-03-08,13.5875
2002-03-11,13.7486
2002-03-12,13.7846
2002-03-13,13.7012
2002-03-14,13.6235
2002-03-15,13.6728
2002-03-18,13.849
2002-03-19,14.048
2002-03-20,13.8017
2002-03-21,13.5477
2002-03-22,13.544
2002-03-25,13.3185
2002-03-26,13.4871
2002-03-27,13.4341
2002-03-28,13.4568
2002-04-01,13.5421
2002-04-02,13.3526
2002-04-03,13.1025
2002-04-04,13.3431
2002-04-05,13.4492
2002-04-08,13.4094
2002-04-09,13.544
2002-04-10,13.8793
2002-04-11,13.6444
2002-04-12,13.7827
2002-04-15,13.9078
2002-04-16,14.2735
2002-04-17,14.0309
2002-04-18,13.8585
2002-04-19,14.1389
2002-04-22,13.9115
2002-04-23,13.7638
2002-04-24,13.6652
2002-04-25,13.777
2002-04-26,13.7505
2002-04-29,13.4094
2002-04-30,13.5629
2002-05-01,13.5667
2002-05-02,13.6235
2002-05-03,13.6823
2002-05-06,13.2844
2002-05-07,13.2124
2002-05-08,13.7183
2002-05-09,13.3715
2002-05-10,13.2427
2002-05-13,13.1461
2002-05-14,13.4928
2002-05-15,13.5913
2002-05-16,13.6368
2002-05-17,13.6955
2002-05-20,13.4265
2002-05-21,13.1214
2002-05-22,13.1707
2002-05-23,13.4341
2002-05-24,13.5288
2002-05-28,13.1821
2002-05-29,13.0513
2002-05-30,12.858
2002-05-31,13.1915
2002-06-03,12.9679
2002-06-04,12.9547
2002-06-05,13.1082
2002-06-06,13.0172
2002-06-07,13.1802
2002-06-10,12.6193
2002-06-11,12.4848
2002-06-12,12.2119
2002-06-13,11.9523
2002-06-14,11.8273
2002-06-17,12.3199
2002-06-18,12.5966
2002-06-19,12.3313
2002-06-20,12.1077
2002-06-21,12.2214
2002-06-24,12.174
2002-06-25,12.0944
2002-06-26,12.0111
2002-06-27,12.354
2002-06-28,12.5719
2002-07-01,12.1683
2002-07-02,12.1172
2002-07-03,11.8216
2002-07-05,12.3578
2002-07-08,12.1361
2002-07-09,11.9334
2002-07-10,11.7136
2002-07-11,11.6719
2002-07-12,11.8405
2002-07-15,11.7477
2002-07-16,11.5431
2002-07-17,11.5108
2002-07-18,11.4104
2002-07-19,11.0296
2002-07-22,10.6355
2002-07-23,10.4971
2002-07-24,11.2551
2002-07-25,11.2266
2002-07-26,11.1698
2002-07-29,11.8538
2002-07-30,11.8424
2002-07-31,11.7572
