,Close
2009-01-02,24.55
2009-01-05,23.75
2009-01-06,23.445
2009-01-07,23.61
2009-01-08,23.75
2009-01-09,23.64
2009-01-12,23.255
2009-01-13,23.475
2009-01-14,23.46
2009-01-15,23.395
2009-01-16,24.085
2009-01-20,23.38
2009-01-21,23.75
2009-01-22,23.845
2009-01-23,23.51
2009-01-26,23.94
2009-01-27,24.525
2009-01-28,24.05
2009-01-29,23.715
2009-01-30,23.5
2009-02-02,23.95
2009-02-03,24.265
2009-02-04,23.985
2009-02-05,24.07
2009-02-06,23.465
2009-02-09,22.97
2009-02-10,23.715
2009-02-11,26.52
2009-02-12,26.445
2009-02-13,26.295
2009-02-17,25.525
2009-02-18,25.855
2009-02-19,25.535
2009-02-20,25.445
2009-02-23,25.255
2009-02-24,25.93
2009-02-25,25.435
2009-02-26,25.025
2009-02-27,23.46
2009-03-02,23.13
2009-03-03,23.09
2009-03-04,23.755
2009-03-05,22.955
2009-03-06,22.86
2009-03-09,22.12
2009-03-10,22.015
2009-03-11,21.66
2009-03-12,22.425
2009-03-13,22.985
2009-03-16,22.925
2009-03-17,22.975
2009-03-18,23.035
2009-03-19,22.485
2009-03-20,21.17
2009-03-23,21.565
2009-03-24,21.525
2009-03-25,22.1
2009-03-26,22.27
2009-03-27,21.805
2009-03-30,21.89
2009-03-31,21.975
2009-04-01,22.185
2009-04-02,22.71
2009-04-03,22.3
2009-04-06,22.425
2009-04-07,22.625
2009-04-08,22.6
2009-04-09,22.62
2009-04-13,22.275
2009-04-14,22.225
2009-04-15,22.47
2009-04-16,22.145
2009-04-17,21.575
2009-04-20,21.78
2009-04-21,22.01
2009-04-22,21.795
2009-04-23,21.18
2009-04-24,21.855
2009-04-27,22.265
2009-04-28,22.745
2009-04-29,23.675
2009-04-30,23.185
2009-05-01,22.945
2009-05-04,23.48
2009-05-05,22.985
2009-05-06,22.8
2009-05-07,23.255
2009-05-08,23.625
2009-05-11,23.185
2009-05-12,23.205
2009-05-13,22.7
2009-05-14,22.72
2009-05-15,22.26
2009-05-18,22.535
2009-05-19,23.13
2009-05-20,22.71
2009-05-21,21.98
2009-05-22,22.41
2009-05-26,22.735
2009-05-27,22.775
2009-05-28,22.43
2009-05-29,22.555
2009-06-01,23.27
2009-06-02,23.775
2009-06-03,23.685
2009-06-04,23.56
2009-06-05,23.385
2009-06-08,23.36
2009-06-09,23.03
2009-06-10,22.985
2009-06-11,23.185
2009-06-12,23.565
2009-06-15,22.92
2009-06-16,23.115
2009-06-17,23.93
2009-06-18,24.475
2009-06-19,24.065
2009-06-22,23.835
2009-06-23,23.63
2009-06-24,23.965
2009-06-25,24.495
2009-06-26,24.78
2009-06-29,24.755
2009-06-30,24.73
2009-07-01,25.43
2009-07-02,24.5
2009-07-06,25.665
2009-07-07,25.875
2009-07-08,25.365
2009-07-09,24.96
2009-07-10,24.625
2009-07-13,24.98
2009-07-14,24.86
2009-07-15,24.57
2009-07-16,24.56
2009-07-17,24.05
2009-07-20,23.935
2009-07-21,24.255
2009-07-22,23.89
2009-07-23,24.53
2009-07-24,24.88
2009-07-27,24.73
2009-07-28,24.615
2009-07-29,25.03
2009-07-30,24.935
2009-07-31,24.85
2009-08-03,25.35
2009-08-04,25.52
2009-08-05,25.605
2009-08-06,25.26
2009-08-07,25.955
2009-08-10,26.41
2009-08-11,26.17
2009-08-12,26.09
2009-08-13,25.92
2009-08-14,25.69
2009-08-17,25.875
2009-08-18,25.55
2009-08-19,26.025
2009-08-20,25.875
2009-08-21,26.19
2009-08-24,26.005
2009-08-25,25.99
2009-08-26,26.02
2009-08-27,26.25
2009-08-28,25.86
2009-08-31,25.855
2009-09-01,25.77
2009-09-02,25.99
2009-09-03,26.385
2009-09-04,26.62
2009-09-08,26.925
2009-09-09,27.07
2009-09-10,27.195
2009-09-11,27.115
2009-09-14,27.065
2009-09-15,27.125
2009-09-16,28.07
2009-09-17,27.94
2009-09-18,27.785
2009-09-21,28.025
2009-09-22,28.115
2009-09-23,28.21
2009-09-24,28.04
2009-09-25,27.995
2009-09-28,28.24
2009-09-29,28.09
2009-09-30,28.32
2009-10-01,28.01
2009-10-02,27.86
2009-10-05,28.125
2009-10-06,28.28
2009-10-07,28.345
2009-10-08,28.215
2009-10-09,27.95
2009-10-12,28.17
2009-10-13,28.215
2009-10-14,28.31
2009-10-15,28.325
2009-10-16,28.145
2009-10-19,27.865
2009-10-20,27.655
2009-10-21,27.5
2009-10-22,27.605
2009-10-23,27.18
2009-10-26,26.76
2009-10-27,26.755
2009-10-28,26.695
2009-10-29,26.825
2009-10-30,26.515
2009-11-02,26.88
2009-11-03,27.2
2009-11-04,28.965
2009-11-05,29.15
2009-11-06,28.985
2009-11-09,29.08
2009-11-10,29.37
2009-11-11,29.275
2009-11-12,29.1
2009-11-13,29.115
2009-11-16,29.325
2009-11-17,29.405
2009-11-18,29.265
2009-11-19,29.135
2009-11-20,29.475
2009-11-23,29.985
2009-11-24,30.05
2009-11-25,29.985
2009-11-27,29.665
2009-11-30,29.62
2009-12-01,30.075
2009-12-02,30.31
2009-12-03,30.29
2009-12-04,30.065
2009-12-07,29.88
2009-12-08,29.06
2009-12-09,29.225
2009-12-10,29.655
2009-12-11,29.77
2009-12-14,30.19
2009-12-15,30.775
2009-12-16,30.39
2009-12-17,29.93
2009-12-18,29.8
2009-12-21,29.63
2009-12-22,29.73
2009-12-23,29.955
2009-12-24,29.85
2009-12-28,29.76
2009-12-29,29.81
2009-12-30,29.665
2009-12-31,29.37
2010-01-04,29.96
2010-01-05,29.705
2010-01-06,29.53
2010-01-07,29.785
2010-01-08,30.5
2010-01-11,30.895
2010-01-12,30.63
2010-01-13,31.085
2010-01-14,31.075
2010-01-15,30.83
2010-01-19,31.35
2010-01-20,31.225
2010-01-21,31.095
2010-01-22,30.365
2010-01-25,30.3
2010-01-26,30.3
2010-01-27,30.335
2010-01-28,30.05
2010-01-29,29.88
2010-02-01,30.215
2010-02-02,30.75
2010-02-03,30.52
2010-02-04,29.88
2010-02-05,30.215
2010-02-08,30.03
2010-02-09,30.6
2010-02-10,30.41
2010-02-11,29.995
2010-02-12,29.49
2010-02-16,29.75
2010-02-17,30.175
2010-02-18,30.595
2010-02-19,30.805
2010-02-22,30.8
2010-02-23,30.56
2010-02-24,30.835
2010-02-25,30.745
2010-02-26,30.805
2010-03-01,31.55
2010-03-02,31.77
2010-03-03,31.51
2010-03-04,31.76
2010-03-05,32.075
2010-03-08,31.28
2010-03-09,31.245
2010-03-10,30.45
2010-03-11,31.37
2010-03-12,31.185
2010-03-15,31.29
2010-03-16,31.335
2010-03-17,31.695
2010-03-18,31.84
2010-03-19,31.685
2010-03-22,32.095
2010-03-23,31.91
2010-03-24,31.605
2010-03-25,31.475
2010-03-26,31.31
2010-03-29,31.545
2010-03-30,31.71
2010-03-31,31.7
2010-04-01,31.82
2010-04-05,31.99
2010-04-06,31.985
2010-04-07,32.305
2010-04-08,32.265
2010-04-09,33.03
2010-04-12,32.835
2010-04-13,33.115
2010-04-14,32.605
2010-04-15,32.375
2010-04-16,32.25
2010-04-19,32.495
2010-04-20,32.815
2010-04-21,32.735
2010-04-22,32.325
2010-04-23,32.42
2010-04-26,32.43
2010-04-27,32.195
2010-04-28,31.77
2010-04-29,31.98
2010-04-30,31.215
2010-05-03,31.645
2010-05-04,31.55
2010-05-05,31.805
2010-05-06,31.29
2010-05-07,30.575
2010-05-10,32.005
2010-05-11,31.83
2010-05-12,31.85
2010-05-13,31.77
2010-05-14,31.525
2010-05-17,31.865
2010-05-18,31.73
2010-05-19,31.85
2010-05-20,30.665
2010-05-21,30.64
2010-05-24,30.215
2010-05-25,30.445
2010-05-26,30.28
2010-05-27,31.585
2010-05-28,31.715
2010-06-01,31.5
2010-06-02,32.39
2010-06-03,32.69
2010-06-04,31.48
2010-06-07,31.32
2010-06-08,31.34
2010-06-09,31.165
2010-06-10,31.93
2010-06-11,32.36
2010-06-14,32.595
2010-06-15,32.8
2010-06-16,32.905
2010-06-17,33.29
2010-06-18,33.315
2010-06-21,32.46
2010-06-22,31.805
2010-06-23,31.62
2010-06-24,31.375
2010-06-25,31.66
2010-06-28,31.865
2010-06-29,31.365
2010-06-30,31.22
2010-07-01,30.86
2010-07-02,30.55
2010-07-06,30.195
2010-07-07,30.38
2010-07-08,29.985
2010-07-09,30.065
2010-07-12,30.25
2010-07-13,30.76
2010-07-14,30.665
2010-07-15,30.615
2010-07-16,30.0
2010-07-19,29.9
2010-07-20,30.025
2010-07-21,29.195
2010-07-22,29.005
2010-07-23,28.415
2010-07-26,30.43
2010-07-27,30.26
2010-07-28,29.635
2010-07-29,29.27
2010-07-30,28.66
2010-08-02,28.945
2010-08-03,30.55
2010-08-04,30.805
2010-08-05,31.595
2010-08-06,31.81
2010-08-09,31.805
2010-08-10,31.825
2010-08-11,31.525
2010-08-12,31.895
2010-08-13,32.04
2010-08-16,32.15
2010-08-17,32.38
2010-08-18,32.315
2010-08-19,31.835
2010-08-20,31.91
2010-08-23,32.075
2010-08-24,32.1
2010-08-25,32.38
2010-08-26,32.05
2010-08-27,32.72
2010-08-30,32.62
2010-08-31,32.31
2010-09-01,31.94
2010-09-02,31.995
2010-09-03,32.15
2010-09-07,32.265
2010-09-08,32.32
2010-09-09,32.45
2010-09-10,32.52
2010-09-13,32.29
2010-09-14,31.6
2010-09-15,32.63
2010-09-16,32.355
2010-09-17,32.465
2010-09-20,32.995
2010-09-21,33.27
2010-09-22,33.045
2010-09-23,33.145
2010-09-24,33.815
2010-09-27,33.69
2010-09-28,34.24
2010-09-29,34.475
2010-09-30,34.515
2010-10-01,34.435
2010-10-04,34.12
2010-10-05,34.605
2010-10-06,34.765
2010-10-07,35.805
2010-10-08,36.07
2010-10-11,35.965
2010-10-12,35.415
2010-10-13,35.41
2010-10-14,35.82
2010-10-15,36.15
2010-10-18,36.215
2010-10-19,35.615
2010-10-20,36.13
2010-10-21,35.96
2010-10-22,35.825
2010-10-25,35.885
2010-10-26,35.645
2010-10-27,35.41
2010-10-28,35.585
2010-10-29,35.875
2010-11-01,36.335
2010-11-02,36.7
2010-11-03,36.03
2010-11-04,36.165
2010-11-05,35.885
2010-11-08,36.015
2010-11-09,36.05
2010-11-10,36.035
2010-11-11,36.805
2010-11-12,36.445
2010-11-15,36.015
2010-11-16,35.625
2010-11-17,35.68
2010-11-18,36.16
2010-11-19,36.55
2010-11-22,36.64
2010-11-23,36.175
2010-11-24,36.47
