,Close
2016-01-04,59.82
2016-01-05,59.35
2016-01-06,57.31
2016-01-07,56.36
2016-01-08,53.78
2016-01-11,53.74
2016-01-12,55.04
2016-01-13,52.65
2016-01-14,53.98
2016-01-15,52.53
2016-01-19,52.66
2016-01-20,55.08
2016-01-21,56.37
2016-01-22,58.55
2016-01-25,57.84
2016-01-26,60.06
2016-01-27,58.07
2016-01-28,54.95
2016-01-29,55.47
2016-02-01,56.57
2016-02-02,55.8
2016-02-03,54.5
2016-02-04,54.3
2016-02-05,53.87
2016-02-08,50.65
2016-02-09,52.22
2016-02-10,51.0
2016-02-11,48.49
2016-02-12,50.09
2016-02-16,51.58
2016-02-17,52.76
2016-02-18,51.03
2016-02-19,50.26
2016-02-22,50.44
2016-02-23,50.22
2016-02-24,51.02
2016-02-25,52.67
2016-02-26,52.94
2016-02-29,41.81
2016-03-01,42.19
2016-03-02,43.85
2016-03-03,43.17
2016-03-04,42.44
2016-03-07,44.58
2016-03-08,42.66
2016-03-09,41.79
2016-03-10,40.4
2016-03-11,42.4
2016-03-14,42.08
2016-03-15,32.57
2016-03-16,33.91
2016-03-17,30.03
2016-03-18,29.84
2016-03-21,28.84
2016-03-22,30.81
2016-03-23,29.93
2016-03-24,29.63
2016-03-28,28.27
2016-03-29,28.96
2016-03-30,28.45
2016-03-31,28.15
2016-04-01,28.68
2016-04-04,28.41
2016-04-05,26.91
2016-04-06,29.23
2016-04-07,29.07
2016-04-08,28.3
2016-04-11,26.03
2016-04-12,26.25
2016-04-13,27.14
2016-04-14,27.16
2016-04-15,26.33
2016-04-18,28.49
2016-04-19,28.75
2016-04-20,28.42
2016-04-21,31.83
2016-04-22,33.98
2016-04-25,30.04
2016-04-26,29.47
2016-04-27,28.88
2016-04-28,28.27
2016-04-29,27.0
2016-05-02,27.18
2016-05-03,28.13
2016-05-04,27.37
2016-05-05,26.59
2016-05-06,16.17
2016-05-09,15.27
2016-05-10,15.52
2016-05-11,13.55
2016-05-12,13.45
2016-05-13,14.05
2016-05-16,14.3
2016-05-17,15.17
2016-05-18,15.57
2016-05-19,14.77
2016-05-20,15.44
2016-05-23,15.16
2016-05-24,15.44
2016-05-25,15.31
2016-05-26,15.22
2016-05-27,15.38
2016-05-31,15.81
2016-06-01,16.62
2016-06-02,17.44
2016-06-03,17.59
2016-06-06,17.96
2016-06-07,17.62
2016-06-08,17.72
2016-06-09,18.0
2016-06-10,16.48
2016-06-13,16.68
2016-06-14,17.13
2016-06-15,16.82
2016-06-16,16.92
2016-06-17,16.44
2016-06-20,16.07
2016-06-21,15.4
2016-06-22,15.45
2016-06-23,15.84
2016-06-24,14.85
2016-06-27,13.69
2016-06-28,16.19
2016-06-29,15.93
2016-06-30,15.59
2016-07-01,16.98
2016-07-05,16.56
2016-07-06,17.1
2016-07-07,17.28
2016-07-08,17.42
2016-07-11,17.16
2016-07-12,17.39
2016-07-13,17.38
2016-07-14,17.68
2016-07-15,17.63
2016-07-18,17.92
2016-07-19,17.45
2016-07-20,18.04
2016-07-21,18.0
2016-07-22,17.5
2016-07-25,17.71
2016-07-26,17.34
2016-07-27,17.76
2016-07-28,17.89
2016-07-29,17.36
2016-08-01,16.88
2016-08-02,17.11
2016-08-03,18.21
2016-08-04,18.08
2016-08-05,18.07
2016-08-08,18.19
2016-08-09,22.16
2016-08-10,22.29
2016-08-11,23.01
2016-08-12,24.18
2016-08-15,23.23
2016-08-16,22.92
2016-08-17,22.74
2016-08-18,22.89
2016-08-19,23.03
2016-08-22,22.94
2016-08-23,23.66
2016-08-24,22.09
2016-08-25,21.03
2016-08-26,21.03
2016-08-29,20.82
2016-08-30,20.89
2016-08-31,20.7
2016-09-01,20.23
2016-09-02,19.82
2016-09-06,20.49
2016-09-07,20.3
2016-09-08,20.65
2016-09-09,20.035
2016-09-12,20.8
2016-09-13,20.34
2016-09-14,20.34
2016-09-15,20.69
2016-09-16,20.85
2016-09-19,20.06
2016-09-20,20.29
2016-09-21,20.09
2016-09-22,20.26
2016-09-23,23.39
2016-09-26,21.99
2016-09-27,22.53
2016-09-28,22.36
2016-09-29,20.93
2016-09-30,20.15
2016-10-03,20.57
