,Close
2022-01-03,184.45
2022-01-04,178.28
2022-01-05,157.2
2022-01-06,151.49
2022-01-07,145.13
2022-01-10,147.13
2022-01-11,148.51
2022-01-12,149.28
2022-01-13,143.49
2022-01-14,142.84
2022-01-18,135.92
2022-01-19,134.58
2022-01-20,134.69
2022-01-21,126.02
2022-01-24,128.1
2022-01-25,122.65
2022-01-26,121.75
2022-01-27,119.97
2022-01-28,123.86
2022-01-31,140.47
2022-02-01,142.67
2022-02-02,139.51
2022-02-03,132.91
2022-02-04,141.23
2022-02-07,140.77
2022-02-08,144.5
2022-02-09,161.89
2022-02-10,154.64
2022-02-11,145.69
2022-02-14,143.93
2022-02-15,154.29
2022-02-16,154.03
2022-02-17,148.37
2022-02-18,140.35
2022-02-22,133.03
2022-02-23,126.56
2022-02-24,147.35
2022-02-25,153.73
2022-02-28,166.7
2022-03-01,170.6
2022-03-02,163.89
2022-03-03,159.03
2022-03-04,158.15
2022-03-07,158.81
2022-03-08,175.99
2022-03-09,179.87
2022-03-10,178.72
2022-03-11,171.07
2022-03-14,157.64
2022-03-15,164.64
2022-03-16,177.21
2022-03-17,180.85
2022-03-18,184.52
2022-03-21,185.45
2022-03-22,189.25
2022-03-23,190.19
2022-03-24,197.84
2022-03-25,193.81
2022-03-28,195.52
2022-03-29,202.36
2022-03-30,196.65
2022-03-31,201.78
2022-04-01,205.89
2022-04-04,216.38
2022-04-05,211.23
2022-04-06,203.99
2022-04-07,206.95
2022-04-08,195.14
2022-04-11,187.88
2022-04-12,185.95
2022-04-13,193.23
2022-04-14,190.51
2022-04-18,190.03
2022-04-19,195.6
2022-04-20,178.53
2022-04-21,156.56
2022-04-22,153.63
2022-04-25,157.6
2022-04-26,153.83
2022-04-27,165.71
2022-04-28,164.47
2022-04-29,161.4
2022-05-02,168.33
2022-05-03,174.53
2022-05-04,191.94
2022-05-05,181.14
2022-05-06,165.89
2022-05-09,150.51
2022-05-10,151.65
2022-05-11,137.55
2022-05-12,140.94
2022-05-13,157.79
2022-05-16,151.03
2022-05-17,158.11
2022-05-18,156.17
2022-05-19,165.54
2022-05-20,168.25
2022-05-23,169.55
2022-05-24,162.51
2022-05-25,169.28
2022-05-26,178.78
2022-05-27,188.95
2022-05-31,186.19
2022-06-01,182.49
2022-06-02,198.93
2022-06-03,196.34
2022-06-06,206.97
2022-06-07,209.63
2022-06-08,204.77
2022-06-09,200.51
2022-06-10,196.19
2022-06-13,178.24
2022-06-14,179.52
2022-06-15,188.48
2022-06-16,169.595
2022-06-17,184.75
2022-06-21,193.29
2022-06-22,193.43
2022-06-23,200.67
2022-06-24,198.39
2022-06-27,206.17
2022-06-28,190.65
2022-06-29,184.64
2022-06-30,195.24
2022-07-01,195.72
2022-07-05,192.59
2022-07-06,194.93
2022-07-07,206.84
2022-07-08,216.45
2022-07-11,206.06
2022-07-12,189.47
2022-07-13,192.63
2022-07-14,196.92
2022-07-15,194.91
2022-07-18,206.43
2022-07-19,213.34
2022-07-20,218.83
2022-07-21,219.78
2022-07-22,211.54
2022-07-25,218.55
2022-07-26,216.1
2022-07-27,254.77
2022-07-28,274.18
2022-07-29,284.18
2022-08-01,280.89
2022-08-02,292.26
2022-08-03,290.25
2022-08-04,295.82
2022-08-05,300.91
2022-08-08,287.74
2022-08-09,290.82
2022-08-10,303.25
2022-08-11,292.9
2022-08-12,299.26
2022-08-15,301.13
2022-08-16,292.94
2022-08-17,293.13
2022-08-18,294.0
2022-08-19,283.7
2022-08-22,280.76
2022-08-23,285.41
2022-08-24,293.09
2022-08-25,299.81
2022-08-26,288.59
2022-08-29,284.82
2022-08-30,285.77
2022-08-31,286.44
2022-09-01,281.86
2022-09-02,279.07
2022-09-06,292.82
2022-09-07,316.31
2022-09-08,317.41
2022-09-09,305.7
2022-09-12,308.93
2022-09-13,305.5
2022-09-14,320.62
2022-09-15,312.18
2022-09-16,318.01
2022-09-19,316.23
2022-09-20,304.71
2022-09-21,304.56
2022-09-22,283.63
2022-09-23,279.49
2022-09-26,274.92
2022-09-27,284.81
2022-09-28,292.31
2022-09-29,277.84
2022-09-30,277.47
2022-10-03,286.61
2022-10-04,288.25
2022-10-05,261.6
2022-10-06,257.45
2022-10-07,255.15
2022-10-10,258.18
2022-10-11,255.8
2022-10-12,248.13
2022-10-13,248.7
2022-10-14,237.87
2022-10-17,242.29
2022-10-18,251.42
2022-10-19,243.19
2022-10-20,244.29
2022-10-21,252.0
2022-10-24,253.3
2022-10-25,265.59
2022-10-26,291.87
2022-10-27,306.08
2022-10-28,305.25
2022-10-31,307.0
2022-11-01,299.48
