,Close
2002-01-02,30.19
2002-01-03,30.45
2002-01-04,30.4
2002-01-07,30.28
2002-01-08,30.1
2002-01-09,30.11
2002-01-10,30.06
2002-01-11,30.2
2002-01-14,30.49
2002-01-15,30.47
2002-01-16,30.27
2002-01-17,30.18
2002-01-18,29.98
2002-01-22,29.96
2002-01-23,29.95
2002-01-24,29.53
2002-01-25,29.3
2002-01-28,29.14
2002-01-29,28.93
2002-01-30,28.95
2002-01-31,28.79
2002-02-01,28.73
2002-02-04,28.74
2002-02-05,28.01
2002-02-06,27.9
2002-02-07,27.81
2002-02-08,27.89
2002-02-11,28.15
2002-02-12,27.98
2002-02-13,28.1
2002-02-14,28.38
2002-02-15,28.73
2002-02-19,28.46
2002-02-20,28.8
2002-02-21,28.36
2002-02-22,28.86
2002-02-25,28.9
2002-02-26,28.87
2002-02-27,28.86
2002-02-28,28.7
2002-03-01,29.0
2002-03-04,29.25
2002-03-05,29.89
2002-03-06,30.0
2002-03-07,29.97
2002-03-08,29.9
2002-03-11,29.71
2002-03-12,29.77
2002-03-13,29.68
2002-03-14,29.99
2002-03-15,29.9
2002-03-18,29.99
2002-03-19,30.0
2002-03-20,29.96
2002-03-21,30.1
2002-03-22,30.18
2002-03-25,30.22
2002-03-26,29.99
2002-03-27,30.08
2002-03-28,29.99
2002-04-01,30.1
2002-04-02,30.17
2002-04-03,30.04
2002-04-04,30.25
2002-04-05,30.55
2002-04-08,30.99
2002-04-09,30.99
2002-04-10,31.2
2002-04-11,30.99
2002-04-12,31.36
2002-04-15,31.08
2002-04-16,30.61
2002-04-17,30.07
2002-04-18,30.12
2002-04-19,29.3
2002-04-22,28.66
2002-04-23,28.5
2002-04-24,28.76
2002-04-25,28.6
2002-04-26,28.42
2002-04-29,28.38
2002-04-30,28.63
2002-05-01,29.0
2002-05-02,29.42
2002-05-03,29.06
2002-05-06,28.84
2002-05-07,28.78
2002-05-08,28.85
2002-05-09,28.5
2002-05-10,28.52
2002-05-13,28.84
2002-05-14,29.27
2002-05-15,29.43
2002-05-16,29.38
2002-05-17,29.5
2002-05-20,29.58
2002-05-21,29.33
2002-05-22,29.19
2002-05-23,29.59
2002-05-24,29.76
2002-05-28,30.14
2002-05-29,29.88
2002-05-30,29.83
2002-05-31,30.14
2002-06-03,30.12
2002-06-04,30.43
2002-06-05,30.0
2002-06-06,29.75
2002-06-07,29.5
2002-06-10,29.8
2002-06-11,29.81
2002-06-12,29.88
2002-06-13,30.08
2002-06-14,30.0
2002-06-17,30.25
2002-06-18,30.0
2002-06-19,29.88
2002-06-20,29.95
2002-06-21,30.0
2002-06-24,29.98
2002-06-25,30.42
2002-06-26,29.69
2002-06-27,29.76
2002-06-28,30.1
2002-07-01,29.58
2002-07-02,29.07
2002-07-03,28.68
2002-07-05,28.85
2002-07-08,28.4
2002-07-09,28.12
2002-07-10,27.52
2002-07-11,26.97
2002-07-12,26.6
2002-07-15,26.32
2002-07-16,26.5
2002-07-17,25.87
2002-07-18,25.27
2002-07-19,24.75
2002-07-22,24.71
2002-07-23,24.05
2002-07-24,23.85
2002-07-25,24.24
2002-07-26,24.93
2002-07-29,26.55
2002-07-30,26.62
2002-07-31,26.38
2002-08-01,25.87
2002-08-02,25.48
2002-08-05,24.93
2002-08-06,25.22
2002-08-07,25.89
2002-08-08,26.09
2002-08-09,26.04
2002-08-12,26.16
2002-08-13,25.67
2002-08-14,26.28
2002-08-15,26.59
2002-08-16,26.95
2002-08-19,26.82
2002-08-20,26.82
2002-08-21,26.93
2002-08-22,27.01
2002-08-23,27.12
2002-08-26,27.4
2002-08-27,27.64
2002-08-28,28.0
2002-08-29,27.84
2002-08-30,27.88
2002-09-03,27.48
2002-09-04,27.75
2002-09-05,27.59
2002-09-06,27.72
2002-09-09,27.71
2002-09-10,27.68
2002-09-11,27.59
2002-09-12,27.36
2002-09-13,27.62
2002-09-16,27.45
2002-09-17,27.18
2002-09-18,27.22
2002-09-19,27.0
2002-09-20,27.38
2002-09-23,26.98
2002-09-24,26.94
2002-09-25,26.76
2002-09-26,26.3
2002-09-27,25.9
2002-09-30,25.82
2002-10-01,26.1
2002-10-02,25.6
