,Close
2022-01-03,642.2
2022-01-04,618.71
2022-01-05,587.8
2022-01-06,579.05
2022-01-07,556.68
2022-01-10,545.85
2022-01-11,559.4
2022-01-12,571.11
2022-01-13,540.62
2022-01-14,543.06
2022-01-18,505.95
2022-01-19,493.98
2022-01-20,486.07
2022-01-21,464.71
2022-01-24,468.41
2022-01-25,445.91
2022-01-26,435.55
2022-01-27,433.41
2022-01-28,451.1
2022-01-31,476.14
2022-02-01,484.36
2022-02-02,474.95
2022-02-03,443.52
2022-02-04,453.68
2022-02-07,448.09
2022-02-08,456.04
2022-02-09,478.51
2022-02-10,470.42
2022-02-11,426.14
2022-02-14,427.95
2022-02-15,462.54
2022-02-16,450.39
2022-02-17,440.99
2022-02-18,443.23
2022-02-22,427.74
2022-02-23,418.23
2022-02-24,382.28
2022-02-25,382.43
2022-02-28,207.75
2022-03-01,211.21
2022-03-02,245.17
2022-03-03,212.98
2022-03-04,198.52
2022-03-07,174.8
2022-03-08,186.75
2022-03-09,198.41
2022-03-10,188.76
2022-03-11,200.14
2022-03-14,220.0
2022-03-15,225.04
2022-03-16,281.72
2022-03-17,273.19
2022-03-18,294.47
2022-03-21,284.05
2022-03-22,303.54
2022-03-23,306.65
2022-03-24,288.05
2022-03-25,266.75
2022-03-28,275.19
2022-03-29,307.05
2022-03-30,293.0
2022-03-31,296.61
2022-04-01,287.04
2022-04-04,297.94
2022-04-05,282.39
2022-04-06,275.47
2022-04-07,280.29
2022-04-08,308.69
2022-04-11,305.37
2022-04-12,298.13
2022-04-13,307.99
2022-04-14,290.06
2022-04-18,281.2
2022-04-19,297.98
2022-04-20,289.61
2022-04-21,286.84
2022-04-22,276.76
2022-04-25,280.07
2022-04-26,264.98
2022-04-27,266.82
2022-04-28,281.0
2022-04-29,264.99
2022-05-02,288.5
2022-05-03,297.0
2022-05-04,312.6
2022-05-05,346.0
2022-05-06,347.0
2022-05-09,317.89
2022-05-10,319.62
2022-05-11,296.06
2022-05-12,294.5
2022-05-13,319.25
2022-05-16,310.8
2022-05-17,312.67
2022-05-18,313.0
2022-05-19,326.98
2022-05-20,320.39
2022-05-23,314.66
2022-05-24,308.87
2022-05-25,305.48
2022-05-26,322.86
2022-05-27,340.35
2022-05-31,338.52
2022-06-01,326.28
2022-06-02,347.74
2022-06-03,332.34
2022-06-06,332.09
2022-06-07,341.67
2022-06-08,330.7
2022-06-09,316.6
2022-06-10,303.49
2022-06-13,284.11
2022-06-14,278.36
2022-06-15,289.77
2022-06-16,286.16
2022-06-17,295.68
2022-06-21,300.3
2022-06-22,309.44
2022-06-23,327.72
2022-06-24,326.01
2022-06-27,324.81
2022-06-28,311.51
2022-06-29,307.37
2022-06-30,294.78
2022-07-01,302.12
2022-07-05,310.64
2022-07-06,311.94
2022-07-07,329.11
2022-07-08,321.02
2022-07-11,317.14
2022-07-12,304.75
2022-07-13,302.39
2022-07-14,298.03
2022-07-15,302.56
2022-07-18,305.86
2022-07-19,323.42
2022-07-20,317.55
2022-07-21,330.92
2022-07-22,323.3
2022-07-25,320.17
2022-07-26,313.21
2022-07-27,325.63
2022-07-28,342.79
2022-07-29,349.25
2022-08-01,366.42
2022-08-02,364.33
2022-08-03,370.03
2022-08-04,415.39
2022-08-05,427.39
2022-08-08,427.64
2022-08-09,419.52
2022-08-10,440.92
2022-08-11,435.61
2022-08-12,444.91
2022-08-15,448.53
2022-08-16,447.5
2022-08-17,457.95
2022-08-18,449.2
2022-08-19,442.55
2022-08-22,441.17
2022-08-23,434.7
2022-08-24,434.58
2022-08-25,446.11
2022-08-26,422.57
2022-08-29,416.0
2022-08-30,424.71
2022-08-31,426.5
2022-09-01,412.21
2022-09-02,412.14
2022-09-06,410.83
2022-09-07,417.29
2022-09-08,428.67
2022-09-09,432.44
2022-09-12,438.7
2022-09-13,421.4
2022-09-14,424.42
2022-09-15,413.01
2022-09-16,402.07
2022-09-19,402.79
2022-09-20,386.91
2022-09-21,385.29
2022-09-22,367.06
2022-09-23,364.12
2022-09-26,355.33
2022-09-27,358.4
2022-09-28,370.53
2022-09-29,362.14
2022-09-30,362.19
2022-10-03,363.58
2022-10-04,388.76
2022-10-05,371.17
2022-10-06,356.31
2022-10-07,340.0
2022-10-10,325.42
2022-10-11,320.05
2022-10-12,314.87
2022-10-13,330.17
2022-10-14,326.94
2022-10-17,333.49
2022-10-18,339.97
2022-10-19,331.65
2022-10-20,332.54
2022-10-21,331.39
2022-10-24,332.07
2022-10-25,348.13
2022-10-26,345.51
2022-10-27,344.83
2022-10-28,349.19
2022-10-31,350.0
2022-11-01,342.24
