,Close
2000-01-03,141.4865
2000-01-04,131.2146
2000-01-05,128.8952
2000-01-06,126.5757
2000-01-07,122.2682
2000-01-10,126.9071
2000-01-11,129.2265
2000-01-12,131.2146
2000-01-13,132.54
2000-01-14,148.4448
2000-01-18,137.8416
2000-01-19,139.167
2000-01-20,146.1254
2000-01-21,145.794
2000-01-24,150.7643
2000-01-25,149.4389
2000-01-26,144.8
2000-01-27,148.1135
2000-01-28,141.1551
2000-01-31,136.1848
2000-02-01,138.1729
2000-02-02,142.1492
2000-02-03,143.1432
2000-02-04,148.7762
2000-02-07,151.0956
2000-02-08,167.6631
2000-02-09,173.6274
2000-02-10,181.9112
2000-02-11,202.1235
2000-02-14,196.1592
2000-02-15,188.2068
2000-02-16,188.5381
2000-02-17,189.8635
2000-02-18,189.2008
2000-02-22,185.2247
2000-02-23,190.8576
2000-02-24,226.6434
2000-02-25,233.2704
2000-02-28,232.2764
2000-02-29,259.7784
2000-03-01,256.4649
2000-03-02,260.1097
2000-03-03,264.7487
2000-03-06,261.1038
2000-03-07,236.2526
2000-03-08,234.2645
2000-03-09,258.453
2000-03-10,254.1455
2000-03-13,256.1335
2000-03-14,249.1752
2000-03-15,236.2526
2000-03-16,233.2704
2000-03-17,243.8736
2000-03-20,246.8557
2000-03-21,250.1693
2000-03-22,251.826
2000-03-23,252.8201
2000-03-24,247.1871
2000-03-27,269.7189
2000-03-28,267.7308
2000-03-29,253.1514
2000-03-30,148.4448
2000-03-31,155.4031
2000-04-03,136.5162
2000-04-04,123.9249
2000-04-05,120.6114
2000-04-06,130.5519
2000-04-07,155.7345
2000-04-10,153.7464
2000-04-11,143.8059
2000-04-12,130.8833
2000-04-13,123.2622
2000-04-14,106.3634
2000-04-17,98.0796
2000-04-18,105.3693
2000-04-19,108.3515
2000-04-20,107.6888
2000-04-24,104.0439
2000-04-25,118.6233
2000-04-26,114.6471
2000-04-27,125.5817
2000-04-28,121.2741
2000-05-01,130.8833
2000-05-02,142.1492
2000-05-03,132.54
2000-05-04,134.8594
2000-05-05,142.4805
2000-05-08,132.54
2000-05-09,130.2206
2000-05-10,120.9428
2000-05-11,126.5757
2000-05-12,132.54
2000-05-15,135.8535
2000-05-16,140.4924
2000-05-17,136.5162
2000-05-18,131.2146
2000-05-19,122.5995
2000-05-22,119.286
2000-05-23,116.6352
2000-05-24,116.3039
2000-05-25,115.3098
2000-05-26,115.3098
2000-05-30,123.2622
2000-05-31,121.6055
2000-06-01,122.5995
2000-06-02,121.2741
2000-06-05,121.2741
2000-06-06,119.9487
2000-06-07,119.9487
2000-06-08,118.9546
2000-06-09,119.286
2000-06-12,109.6768
2000-06-13,114.9785
2000-06-14,118.2919
2000-06-15,118.6233
2000-06-16,118.6233
2000-06-19,122.5995
2000-06-20,122.5995
2000-06-21,118.6233
2000-06-22,112.3277
2000-06-23,111.3336
2000-06-26,115.6412
2000-06-27,115.6412
2000-06-28,119.286
2000-06-29,133.8654
2000-06-30,133.8654
2000-07-03,134.1967
2000-07-05,128.5638
2000-07-06,132.8713
2000-07-07,135.8535
2000-07-10,128.5638
2000-07-11,132.8713
2000-07-12,138.5043
2000-07-13,151.7583
2000-07-14,161.6988
2000-07-17,163.3556
2000-07-18,155.7345
2000-07-19,151.0956
2000-07-20,153.415
2000-07-21,159.048
2000-07-24,147.7821
2000-07-25,146.1254
2000-07-26,143.8059
2000-07-27,141.8178
2000-07-28,130.5519
2000-07-31,138.5043
2000-08-01,138.5043
2000-08-02,135.5221
2000-08-03,136.8475
2000-08-04,145.794
2000-08-07,149.4389
2000-08-08,148.4448
2000-08-09,149.7702
2000-08-10,150.7643
2000-08-11,151.0956
2000-08-14,151.4269
2000-08-15,159.7107
2000-08-16,175.6155
2000-08-17,188.8695
2000-08-18,182.5739
2000-08-21,189.5322
2000-08-22,191.8516
2000-08-23,189.2008
2000-08-24,190.5262
2000-08-25,194.8338
2000-08-28,190.1949
2000-08-29,188.5381
2000-08-30,181.9112
2000-08-31,198.4786
2000-09-01,196.8219
2000-09-05,190.8576
2000-09-06,185.556
2000-09-07,192.5143
2000-09-08,185.8874
2000-09-11,182.2425
2000-09-12,171.6393
2000-09-13,178.2663
2000-09-14,181.2485
2000-09-15,174.9528
2000-09-18,170.9766
2000-09-19,175.6155
2000-09-20,178.929
2000-09-21,169.6512
2000-09-22,162.6929
2000-09-25,165.675
2000-09-26,167.3318
2000-09-27,162.3615
2000-09-28,161.3675
2000-09-29,155.7345
2000-10-02,153.0837
2000-10-03,153.7464
2000-10-04,151.0956
2000-10-05,155.7345
2000-10-06,139.4983
2000-10-09,141.1551
2000-10-10,144.4686
2000-10-11,137.5102
2000-10-12,135.5221
2000-10-13,150.4329
2000-10-16,155.0718
2000-10-17,143.1432
2000-10-18,133.534
2000-10-19,144.4686
2000-10-20,152.7523
2000-10-23,148.4448
2000-10-24,148.7762
2000-10-25,138.8356
2000-10-26,139.8297
2000-10-27,144.4686
2000-10-30,136.1848
2000-10-31,143.8059
2000-11-01,142.4805
2000-11-02,144.1373
2000-11-03,146.4567
2000-11-06,148.7762
2000-11-07,151.7583
2000-11-08,140.4924
2000-11-09,138.8356
2000-11-10,127.9011
2000-11-13,122.9309
2000-11-14,127.2384
2000-11-15,126.5757
2000-11-16,118.9546
2000-11-17,119.286
2000-11-20,109.3455
2000-11-21,107.6888
2000-11-22,100.0677
2000-11-24,102.7185
2000-11-27,100.399
2000-11-28,90.1272
2000-11-29,85.157
2000-11-30,83.5002
2000-12-01,84.8256
2000-12-04,84.8256
2000-12-05,90.4585
2000-12-06,97.4169
2000-12-07,87.8078
2000-12-08,91.7839
2000-12-11,91.4526
2000-12-12,89.1332
2000-12-13,90.1272
2000-12-14,90.1272
2000-12-15,84.8256
2000-12-18,75.5478
2000-12-19,73.5597
2000-12-20,63.6192
2000-12-21,69.2522
2000-12-22,78.8613
2000-12-26,82.8375
2000-12-27,87.1451
2000-12-28,82.1748
2000-12-29,79.8554
2001-01-02,74.8851
2001-01-03,87.1451
2001-01-04,84.4942
2001-01-05,79.1927
2001-01-08,80.518
2001-01-09,90.1272
2001-01-10,94.7661
2001-01-11,100.0677
2001-01-12,95.7602
2001-01-16,95.4288
2001-01-17,99.405
2001-01-18,97.0856
2001-01-19,99.7363
2001-01-22,97.4169
