,Close
2021-01-04,172.08
2021-01-05,174.98
2021-01-06,167.57
2021-01-07,170.79
2021-01-08,175.65
2021-01-11,183.04
2021-01-12,205.15
2021-01-13,207.03
2021-01-14,211.52
2021-01-15,204.42
2021-01-19,221.31
2021-01-20,215.69
2021-01-21,212.54
2021-01-22,213.59
2021-01-25,208.81
2021-01-26,204.41
2021-01-27,193.37
2021-01-28,202.41
2021-01-29,199.09
2021-02-01,203.77
2021-02-02,210.29
2021-02-03,210.07
2021-02-04,220.84
2021-02-05,231.12
2021-02-08,231.69
2021-02-09,229.87
2021-02-10,225.65
2021-02-11,226.05
2021-02-12,233.86
2021-02-16,228.32
2021-02-17,222.41
2021-02-18,220.82
2021-02-19,227.27
2021-02-22,213.12
2021-02-23,210.75
2021-02-24,209.1
2021-02-25,197.58
2021-02-26,220.27
2021-03-01,244.58
2021-03-02,238.43
2021-03-03,208.61
2021-03-04,198.1
2021-03-05,200.3
2021-03-08,190.26
2021-03-09,206.79
2021-03-10,205.93
2021-03-11,220.84
2021-03-12,221.14
2021-03-15,223.23
2021-03-16,215.98
2021-03-17,218.44
2021-03-18,209.51
2021-03-19,215.41
2021-03-22,219.77
2021-03-23,219.67
2021-03-24,199.18
2021-03-25,196.2
2021-03-26,202.32
2021-03-29,196.31
2021-03-30,198.87
2021-03-31,201.67
2021-04-01,208.2
2021-04-05,197.2
2021-04-06,206.01
2021-04-07,204.02
2021-04-08,215.39
2021-04-09,218.57
2021-04-12,218.13
2021-04-13,224.03
2021-04-14,218.07
2021-04-15,219.29
2021-04-16,219.99
2021-04-19,213.19
2021-04-20,206.86
2021-04-21,209.76
2021-04-22,210.28
2021-04-23,214.59
2021-04-26,205.18
2021-04-27,207.49
2021-04-28,211.35
2021-04-29,208.8
2021-04-30,198.79
2021-05-03,190.71
2021-05-04,188.45
2021-05-05,184.57
2021-05-06,157.68
2021-05-07,165.51
2021-05-10,167.13
2021-05-11,169.84
2021-05-12,159.34
2021-05-13,156.59
2021-05-14,163.11
2021-05-17,165.18
2021-05-18,167.25
2021-05-19,165.42
2021-05-20,172.36
2021-05-21,167.56
2021-05-24,165.18
2021-05-25,167.05
2021-05-26,168.22
2021-05-27,166.74
2021-05-28,164.73
2021-06-01,163.46
2021-06-02,175.14
2021-06-03,165.74
2021-06-04,164.18
2021-06-07,168.32
2021-06-08,170.21
2021-06-09,167.3
2021-06-10,167.15
2021-06-11,165.82
2021-06-14,170.3
2021-06-15,166.06
2021-06-16,167.37
2021-06-17,169.64
2021-06-18,169.82
2021-06-21,170.79
