,Close
2000-01-03,12.0776
2000-01-04,11.9884
2000-01-05,12.5678
2000-01-06,12.5901
2000-01-07,13.1695
2000-01-10,13.3477
2000-01-11,13.2586
2000-01-12,13.37
2000-01-13,13.7711
2000-01-14,13.7488
2000-01-18,13.4369
2000-01-19,13.682
2000-01-20,13.4814
2000-01-21,13.8602
2000-01-24,14.4842
2000-01-25,14.2613
2000-01-26,14.5733
2000-01-27,14.9744
2000-01-28,14.6847
2000-01-31,14.8407
2000-02-01,14.8184
2000-02-02,14.863
2000-02-03,15.4869
2000-02-04,15.3309
2000-02-07,14.9744
2000-02-08,15.1081
2000-02-09,15.1527
2000-02-10,14.9521
2000-02-11,14.707
2000-02-14,14.6847
2000-02-15,14.5733
2000-02-16,14.3505
2000-02-17,14.3505
2000-02-18,14.1054
2000-02-22,14.1945
2000-02-23,14.395
2000-02-24,13.5483
2000-02-25,13.7488
2000-02-28,14.0162
2000-02-29,13.3032
2000-03-01,13.4591
2000-03-02,13.9048
2000-03-03,14.0831
2000-03-06,13.8157
2000-03-07,13.4591
2000-03-08,13.6151
2000-03-09,13.6597
2000-03-10,13.6374
2000-03-13,13.5928
2000-03-14,13.3032
2000-03-15,13.7711
2000-03-16,14.2836
2000-03-17,13.7265
2000-03-20,13.7043
2000-03-21,13.8157
2000-03-22,13.4591
2000-03-23,13.3477
2000-03-24,13.5483
2000-03-27,13.3032
2000-03-28,13.0803
2000-03-29,13.2586
2000-03-30,13.2363
2000-03-31,13.1472
2000-04-03,13.1695
2000-04-04,14.0385
2000-04-05,14.5065
2000-04-06,14.1276
2000-04-07,14.1499
2000-04-10,14.7516
2000-04-11,14.863
2000-04-12,15.1527
2000-04-13,15.5315
2000-04-14,14.9076
2000-04-17,14.9744
2000-04-18,14.5956
2000-04-19,14.5065
2000-04-20,14.8407
2000-04-24,14.9744
2000-04-25,15.3978
2000-04-26,15.5538
2000-04-27,15.3532
2000-04-28,14.863
2000-05-01,14.8853
2000-05-02,14.5065
2000-05-03,14.8184
2000-05-04,15.175
2000-05-05,15.3309
2000-05-08,15.4201
2000-05-09,15.5983
2000-05-10,15.9549
2000-05-11,16.2223
2000-05-12,15.9103
2000-05-15,15.9772
2000-05-16,15.9103
2000-05-17,15.4201
2000-05-18,15.4201
2000-05-19,15.4869
2000-05-22,16.1109
2000-05-23,16.1109
2000-05-24,16.4005
2000-05-25,16.1109
2000-05-26,16.1109
2000-05-30,15.7766
2000-05-31,15.6652
2000-06-01,15.5761
2000-06-02,15.5092
2000-06-05,15.019
2000-06-06,15.1527
2000-06-07,14.9076
2000-06-08,15.2641
2000-06-09,15.7989
2000-06-12,15.8435
2000-06-13,15.7543
2000-06-14,15.3309
2000-06-15,15.3532
2000-06-16,15.3755
2000-06-19,15.2641
2000-06-20,15.1304
2000-06-21,15.1081
2000-06-22,15.019
2000-06-23,15.0858
2000-06-26,15.2418
2000-06-27,14.6847
2000-06-28,15.2195
2000-06-29,15.019
2000-06-30,14.3728
2000-07-03,14.8407
2000-07-05,14.4842
2000-07-06,14.6624
2000-07-07,14.707
2000-07-10,14.9744
2000-07-11,15.3755
2000-07-12,15.2195
2000-07-13,15.3309
2000-07-14,15.2195
2000-07-17,15.6206
2000-07-18,15.732
2000-07-19,15.888
2000-07-20,15.5092
2000-07-21,15.6875
2000-07-24,15.5092
2000-07-25,15.6206
2000-07-26,15.2864
2000-07-27,15.5538
2000-07-28,15.5092
2000-07-31,15.2195
2000-08-01,15.6206
2000-08-02,15.6652
2000-08-03,16.0886
2000-08-04,16.3783
2000-08-07,16.8239
2000-08-08,16.7794
2000-08-09,16.5788
2000-08-10,16.5565
2000-08-11,16.8685
2000-08-14,17.1359
2000-08-15,17.4256
2000-08-16,17.2919
2000-08-17,17.381
2000-08-18,17.3587
2000-08-21,17.2473
2000-08-22,17.3142
2000-08-23,17.4701
2000-08-24,17.2696
2000-08-25,17.0468
2000-08-28,17.3364
2000-08-29,17.0245
2000-08-30,17.1136
2000-08-31,17.1805
2000-09-01,17.225
2000-09-05,17.4256
2000-09-06,17.7598
2000-09-07,18.0718
2000-09-08,19.1414
2000-09-11,19.8767
2000-09-12,20.0327
2000-09-13,20.3447
2000-09-14,20.055
2000-09-15,20.8572
2000-09-18,20.5675
2000-09-19,19.6985
2000-09-20,19.4311
2000-09-21,19.4088
2000-09-22,19.9882
2000-09-25,19.8322
2000-09-26,20.523
2000-09-27,21.1246
2000-09-28,21.3474
2000-09-29,21.5926
2000-10-02,21.9491
2000-10-03,21.08
2000-10-04,20.3224
2000-10-05,19.8322
2000-10-06,20.1887
2000-10-09,20.1664
2000-10-10,20.9686
2000-10-11,20.7681
2000-10-12,20.4784
2000-10-13,20.6567
2000-10-16,21.548
2000-10-17,21.9714
2000-10-18,21.3474
2000-10-19,21.4143
2000-10-20,21.2137
2000-10-23,21.704
2000-10-24,21.2806
2000-10-25,21.6817
2000-10-26,20.1441
2000-10-27,20.6789
2000-10-30,21.6594
2000-10-31,21.4366
2000-11-01,21.3474
2000-11-02,20.9909
2000-11-03,20.367
2000-11-06,19.9213
2000-11-07,20.1219
2000-11-08,20.8795
2000-11-09,20.9909
2000-11-10,21.2806
2000-11-13,21.4143
2000-11-14,20.8126
2000-11-15,20.8795
2000-11-16,21.3474
2000-11-17,21.8154
2000-11-20,21.9268
2000-11-21,22.0159
2000-11-22,22.3948
2000-11-24,21.9491
2000-11-27,22.1274
2000-11-28,22.9073
2000-11-29,23.1078
2000-11-30,23.6203
2000-12-01,22.9964
2000-12-04,23.2781
2000-12-05,22.4652
2000-12-06,22.54
2000-12-07,23.8521
2000-12-08,23.763
2000-12-11,23.3708
2000-12-12,24.1195
2000-12-13,23.5348
2000-12-14,23.2995
2000-12-15,22.7254
2000-12-18,22.8645
2000-12-19,23.5419
2000-12-20,24.3512
2000-12-21,23.9733
2000-12-22,24.4118
2000-12-26,25.1356
2000-12-27,25.2604
2000-12-28,24.7292
2000-12-29,25.0322
2001-01-02,24.2015
2001-01-03,22.4438
2001-01-04,21.5097
2001-01-05,21.285
2001-01-08,22.0052
2001-01-09,22.2833
2001-01-10,21.1246
2001-01-11,20.2012
2001-01-12,20.3081
2001-01-16,19.7876
2001-01-17,20.875
2001-01-18,20.9107
2001-01-19,21.1674
2001-01-22,21.1603
2001-01-23,21.4312
2001-01-24,21.7485
2001-01-25,22.0124
2001-01-26,21.6879
2001-01-29,22.073
2001-01-30,21.7985
2001-01-31,21.5738
2001-02-01,21.6345
2001-02-02,21.7985
2001-02-05,21.8626
2001-02-06,21.9268
2001-02-07,22.3725
2001-02-08,22.8395
2001-02-09,23.2638
2001-02-12,23.082
2001-02-13,22.8181
2001-02-14,23.082
2001-02-15,22.8181
2001-02-16,22.8645
2001-02-20,23.1248
2001-02-21,23.2638
2001-02-22,23.6881
2001-02-23,23.0713
2001-02-26,23.1925
2001-02-27,23.3316
2001-02-28,23.3066
2001-03-01,23.3779
2001-03-02,23.7558
2001-03-05,23.631
2001-03-06,23.2567
2001-03-07,23.0535
2001-03-08,23.2816
2001-03-09,23.0677
2001-03-12,23.1569
2001-03-13,22.811
2001-03-14,22.1835
2001-03-15,22.6399
2001-03-16,22.8003
2001-03-19,22.6363
2001-03-20,22.3297
2001-03-21,22.4438
2001-03-22,21.7485
2001-03-23,21.3171
2001-03-26,22.2833
2001-03-27,22.8681
2001-03-28,22.8716
2001-03-29,23.1747
2001-03-30,23.3886
2001-04-02,23.4064
2001-04-03,24.476
2001-04-04,23.8842
2001-04-05,23.5205
2001-04-06,23.0535
2001-04-09,23.5063
2001-04-10,24.5723
2001-04-11,23.8735
2001-04-12,23.8913
2001-04-16,24.2407
2001-04-17,24.7755
2001-04-18,24.3512
2001-04-19,23.8877
2001-04-20,23.8806
2001-04-23,24.7613
2001-04-24,24.8076
2001-04-25,24.6792
2001-04-26,24.8682
2001-04-27,24.4546
2001-04-30,24.6186
2001-05-01,24.7327
2001-05-02,24.0446
2001-05-03,23.9412
2001-05-04,24.2443
2001-05-07,24.3156
2001-05-08,24.0696
2001-05-09,24.337
2001-05-10,24.5794
2001-05-11,24.5972
2001-05-14,24.8825
2001-05-15,24.2835
2001-05-16,24.3869
2001-05-17,24.4225
2001-05-18,24.3798
2001-05-21,24.4154
2001-05-22,24.5152
2001-05-23,24.5331
2001-05-24,24.3905
2001-05-25,23.8877
2001-05-29,23.7808
2001-05-30,23.795
2001-05-31,24.1801
2001-06-01,23.9911
2001-06-04,23.7808
2001-06-05,23.3316
2001-06-06,22.6613
2001-06-07,22.6648
2001-06-08,23.0642
2001-06-11,23.8022
2001-06-12,23.8307
2001-06-13,23.2424
2001-06-14,22.647
2001-06-15,23.2816
2001-06-18,23.5383
2001-06-19,23.9341
2001-06-20,23.5134
2001-06-21,22.319
2001-06-22,22.836
2001-06-25,22.7861
2001-06-26,22.6898
2001-06-27,22.8181
2001-06-28,22.8146
2001-06-29,22.8609
2001-07-02,22.6791
2001-07-03,23.0249
2001-07-05,23.3066
2001-07-06,23.4956
2001-07-09,23.9127
2001-07-10,23.9198
2001-07-11,23.5348
2001-07-12,23.3886
2001-07-13,23.1355
2001-07-16,23.2745
2001-07-17,23.1248
2001-07-18,23.0035
2001-07-19,22.8431
2001-07-20,21.5881
2001-07-23,20.6789
2001-07-24,19.3954
2001-07-25,21.0711
2001-07-26,21.3385
2001-07-27,20.6433
2001-07-30,21.2209
2001-07-31,20.1441
2001-08-01,20.547
2001-08-02,20.7075
2001-08-03,20.9321
2001-08-06,20.1441
2001-08-07,20.2119
2001-08-08,19.6379
2001-08-09,19.67
2001-08-10,19.727
2001-08-13,19.3206
2001-08-14,19.3705
2001-08-15,19.1494
2001-08-16,19.4311
2001-08-17,19.5773
2001-08-20,19.6628
2001-08-21,19.5986
2001-08-22,19.8732
2001-08-23,19.7484
2001-08-24,19.9017
2001-08-27,20.0764
2001-08-28,20.1762
2001-08-29,19.8767
2001-08-30,19.5666
2001-08-31,19.4667
2001-09-04,19.4168
2001-09-05,19.4132
2001-09-06,19.3455
2001-09-07,19.67
2001-09-10,19.7056
2001-09-17,19.3384
2001-09-18,18.8428
2001-09-19,18.6824
2001-09-20,18.7715
2001-09-21,18.201
2001-09-24,18.1939
2001-09-25,18.3971
2001-09-26,17.9871
2001-09-27,15.8657
2001-09-28,15.9014
2001-10-01,15.8087
2001-10-02,15.6019
2001-10-03,16.0404
2001-10-04,15.7766
2001-10-05,16.2579
2001-10-08,16.044
2001-10-09,15.7909
2001-10-10,15.8586
2001-10-11,15.7231
2001-10-12,16.0262
2001-10-15,16.044
2001-10-16,16.069
2001-10-17,15.691
2001-10-18,15.224
2001-10-19,15.6269
2001-10-22,15.8657
2001-10-23,14.6464
2001-10-24,14.6892
2001-10-25,14.9566
2001-10-26,14.6357
2001-10-29,14.7961
2001-10-30,14.9744
2001-10-31,14.9994
2001-11-01,14.9744
2001-11-02,14.7462
2001-11-05,15.2062
2001-11-06,15.3987
2001-11-07,15.5092
2001-11-08,15.6875
2001-11-09,15.5983
2001-11-12,15.6304
2001-11-13,15.5092
2001-11-14,15.3416
2001-11-15,15.306
2001-11-16,15.2775
2001-11-19,15.0635
2001-11-20,15.4878
2001-11-21,15.2596
2001-11-23,15.4236
2001-11-26,15.3666
2001-11-27,15.6197
2001-11-28,15.4022
2001-11-29,15.5484
2001-11-30,15.905
2001-12-03,15.8301
2001-12-04,16.044
2001-12-05,16.0119
2001-12-06,15.8479
2001-12-07,16.1866
2001-12-10,16.5253
2001-12-11,16.1046
2001-12-12,16.29
2001-12-13,16.3649
2001-12-14,16.4112
2001-12-17,16.3399
2001-12-18,16.6786
2001-12-19,16.8605
2001-12-20,16.6893
2001-12-21,16.5075
2001-12-24,16.7999
2001-12-26,16.9781
2001-12-27,16.9389
2001-12-28,16.9532
2001-12-31,17.0708
2002-01-02,17.2847
2002-01-03,17.2562
2002-01-04,17.0744
2002-01-07,17.1314
2002-01-08,16.864
2002-01-09,16.5966
2002-01-10,16.889
2002-01-11,16.8498
2002-01-14,17.2027
2002-01-15,17.1671
2002-01-16,17.1493
2002-01-17,16.7571
2002-01-18,16.6893
2002-01-22,16.4112
2002-01-23,16.5039
2002-01-24,16.7072
2002-01-25,16.7179
2002-01-28,16.7286
2002-01-29,16.6786
2002-01-30,17.1172
2002-01-31,17.5557
2002-02-01,17.873
2002-02-04,18.0014
2002-02-05,17.9336
2002-02-06,17.8267
2002-02-07,18.0406
2002-02-08,18.0442
2002-02-11,18.1333
2002-02-12,18.4542
2002-02-13,17.9657
2002-02-14,17.816
2002-02-15,17.9336
2002-02-19,17.6163
2002-02-20,17.6413
2002-02-21,17.3026
2002-02-22,17.6306
2002-02-25,17.709
2002-02-26,17.7233
2002-02-27,17.7482
2002-02-28,17.57
2002-03-01,18.0121
2002-03-04,18.0941
2002-03-05,18.1297
2002-03-06,18.6717
2002-03-07,18.6788
2002-03-08,18.5397
2002-03-11,18.6289
2002-03-12,18.5362
2002-03-13,18.4328
2002-03-14,18.6824
2002-03-15,18.6895
2002-03-18,18.8107
2002-03-19,18.8713
2002-03-20,18.4684
2002-03-21,18.7929
2002-03-22,18.9676
2002-03-25,18.9319
2002-03-26,18.5754
2002-03-27,18.8392
2002-03-28,18.8856
2002-04-01,18.8
2002-04-02,18.718
2002-04-03,18.718
2002-04-04,18.611
2002-04-05,18.447
2002-04-08,18.579
2002-04-09,18.3793
2002-04-10,18.7715
2002-04-11,18.5683
2002-04-12,18.5932
2002-04-15,18.4898
2002-04-16,18.6931
2002-04-17,18.7251
2002-04-18,18.7964
2002-04-19,19.0567
2002-04-22,19.2528
2002-04-23,19.2528
2002-04-24,19.3954
2002-04-25,19.2136
2002-04-26,19.3883
2002-04-29,19.0353
2002-04-30,19.3598
2002-05-01,19.4667
2002-05-02,19.5202
2002-05-03,19.6022
