,Close
2008-01-02,28.731
2008-01-03,28.74
2008-01-04,27.8
2008-01-07,27.395
2008-01-08,27.085
2008-01-09,26.587
2008-01-10,25.816
2008-01-11,24.856
2008-01-14,25.27
2008-01-15,23.878
2008-01-16,23.474
2008-01-17,21.602
2008-01-18,22.12
2008-01-22,21.452
2008-01-23,21.997
2008-01-24,22.533
2008-01-25,21.913
2008-01-28,21.489
2008-01-29,21.706
2008-01-30,21.48
2008-01-31,21.649
2008-02-01,22.054
2008-02-04,21.856
2008-02-05,20.831
2008-02-06,21.405
2008-02-07,22.308
2008-02-08,23.615
2008-02-11,23.267
2008-02-12,23.032
2008-02-13,23.634
2008-02-14,23.502
2008-02-15,24.066
2008-02-19,24.104
2008-02-20,23.897
2008-02-21,22.91
2008-02-22,22.966
2008-02-25,22.58
2008-02-26,22.91
2008-02-27,22.75
2008-02-28,22.063
2008-02-29,21.565
2008-03-03,20.972
2008-03-04,20.304
2008-03-05,20.568
2008-03-06,20.032
2008-03-07,19.797
2008-03-10,19.985
2008-03-11,20.257
2008-03-12,19.909
2008-03-13,20.37
2008-03-14,19.627
2008-03-17,19.261
2008-03-18,20.163
2008-03-19,19.411
2008-03-20,20.239
2008-03-24,20.944
2008-03-25,21.141
2008-03-26,21.649
2008-03-27,21.132
2008-03-28,20.521
2008-03-31,20.587
2008-04-01,22.656
2008-04-02,23.634
2008-04-03,23.464
2008-04-04,23.333
2008-04-07,23.399
2008-04-08,23.041
2008-04-09,22.486
2008-04-10,22.825
2008-04-11,22.336
2008-04-14,22.43
2008-04-15,22.627
2008-04-16,22.458
2008-04-17,22.289
2008-04-18,23.116
2008-04-21,23.399
2008-04-22,23.229
2008-04-23,23.304
2008-04-24,23.493
2008-04-25,23.577
2008-04-28,23.483
2008-04-29,23.549
2008-04-30,23.756
2008-05-01,23.634
2008-05-02,23.671
2008-05-05,22.975
2008-05-06,23.352
2008-05-07,22.59
2008-05-08,22.957
2008-05-09,22.599
2008-05-12,23.145
2008-05-13,22.768
2008-05-14,22.806
2008-05-15,23.22
2008-05-16,22.9
2008-05-19,22.204
2008-05-20,21.678
2008-05-21,20.935
2008-05-22,21.076
2008-05-23,20.37
2008-05-27,20.446
2008-05-28,21.395
2008-05-29,22.618
2008-05-30,22.806
2008-06-02,22.232
2008-06-03,21.922
2008-06-04,22.11
2008-06-05,22.091
2008-06-06,21.047
2008-06-09,20.963
2008-06-10,20.756
2008-06-11,19.75
2008-06-12,19.759
2008-06-13,20.163
2008-06-16,20.201
2008-06-17,19.919
2008-06-18,19.439
2008-06-19,19.138
2008-06-20,18.621
2008-06-23,18.518
2008-06-24,18.273
2008-06-25,18.79
2008-06-26,18.019
2008-06-27,18.019
2008-06-30,17.286
2008-07-01,17.135
2008-07-02,16.42
2008-07-03,16.449
2008-07-07,16.308
2008-07-08,16.75
2008-07-09,16.75
2008-07-10,16.552
2008-07-11,16.881
2008-07-14,17.069
2008-07-15,17.314
2008-07-16,18.602
2008-07-17,18.913
2008-07-18,18.047
2008-07-21,17.436
2008-07-22,17.21
2008-07-23,17.643
2008-07-24,16.938
2008-07-25,16.928
2008-07-28,16.345
2008-07-29,17.37
2008-07-30,17.897
2008-07-31,18.405
2008-08-01,18.066
2008-08-04,17.737
2008-08-05,18.358
2008-08-06,17.502
2008-08-07,17.21
2008-08-08,17.013
2008-08-11,17.681
2008-08-12,18.123
2008-08-13,17.737
2008-08-14,18.029
2008-08-15,18.292
2008-08-18,18.066
2008-08-19,17.784
2008-08-20,17.351
2008-08-21,17.615
2008-08-22,18.217
2008-08-25,17.286
2008-08-26,16.43
2008-08-27,16.674
2008-08-28,17.276
2008-08-29,16.608
2008-09-02,16.599
2008-09-03,16.42
2008-09-04,16.759
2008-09-05,16.59
2008-09-08,16.778
2008-09-09,16.082
2008-09-10,16.101
2008-09-11,15.988
2008-09-12,16.007
2008-09-15,14.775
2008-09-16,15.094
2008-09-17,14.201
2008-09-18,14.887
2008-09-19,15.753
2008-09-22,14.652
2008-09-23,14.398
2008-09-24,14.756
2008-09-25,15.207
2008-09-26,15.01
2008-09-29,12.894
2008-09-30,14.21
2008-10-01,14.06
2008-10-02,13.204
2008-10-03,12.8
2008-10-06,12.856
2008-10-07,11.981
2008-10-08,12.188
2008-10-09,11.455
2008-10-10,11.107
2008-10-13,11.878
2008-10-14,10.947
2008-10-15,10.072
2008-10-16,11.135
2008-10-17,10.909
2008-10-20,11.445
2008-10-21,10.749
2008-10-22,10.242
2008-10-23,9.969
2008-10-24,9.47
2008-10-27,9.395
2008-10-28,10.778
2008-10-29,10.928
2008-10-30,9.546
2008-10-31,8.944
2008-11-03,8.887
2008-11-04,8.906
2008-11-05,8.003
2008-11-06,7.571
2008-11-07,8.107
2008-11-10,7.796
2008-11-11,7.759
2008-11-12,7.166
2008-11-13,7.731
2008-11-14,7.336
2008-11-17,6.903
2008-11-18,6.64
2008-11-19,6.32
2008-11-20,5.69
2008-11-21,6.141
2008-11-24,6.847
2008-11-25,6.696
2008-11-26,7.74
2008-11-28,7.9
2008-12-01,7.383
2008-12-02,7.072
2008-12-03,7.242
2008-12-04,6.988
2008-12-05,7.43
2008-12-08,8.022
2008-12-09,7.646
2008-12-10,7.665
2008-12-11,7.166
2008-12-12,7.477
2008-12-15,7.072
2008-12-16,7.759
2008-12-17,8.003
2008-12-18,7.825
2008-12-19,7.665
2008-12-22,7.251
2008-12-23,7.204
