,Close
2009-01-02,9.1275
2009-01-05,9.1
2009-01-06,9.01
2009-01-07,8.79
2009-01-08,8.3975
2009-01-09,8.2575
2009-01-12,8.155
2009-01-13,8.2025
2009-01-14,7.9225
2009-01-15,8.3
2009-01-16,8.2875
2009-01-20,8.225
2009-01-21,8.0725
2009-01-22,8.06
2009-01-23,8.1175
2009-01-26,8.15
2009-01-27,8.645
2009-01-28,8.9425
2009-01-29,8.69
2009-01-30,8.545
2009-02-02,8.5825
2009-02-03,8.87
2009-02-04,8.5575
2009-02-05,8.71
2009-02-06,9.2825
2009-02-09,9.3825
2009-02-10,9.0
2009-02-11,8.6425
2009-02-12,8.84
2009-02-13,8.6225
2009-02-17,8.2175
2009-02-18,8.52
2009-02-19,8.0975
2009-02-20,8.0475
2009-02-23,7.42
2009-02-24,7.8
2009-02-25,7.6275
2009-02-26,7.5225
2009-02-27,7.53
2009-03-02,7.1325
2009-03-03,7.2875
2009-03-04,7.1025
2009-03-05,6.74
2009-03-06,6.595
2009-03-09,6.54
2009-03-10,7.0375
2009-03-11,7.1575
2009-03-12,7.485
2009-03-13,7.36
2009-03-16,6.95
2009-03-17,7.175
2009-03-18,7.34
2009-03-19,7.355
2009-03-20,7.2975
2009-03-23,7.96
2009-03-24,8.0975
2009-03-25,8.0675
2009-03-26,8.355
2009-03-27,8.2
2009-03-30,7.9675
2009-03-31,8.0388
2009-04-01,8.2325
2009-04-02,8.905
2009-04-03,9.25
2009-04-06,9.3225
2009-04-07,8.9625
2009-04-08,9.0775
2009-04-09,9.6075
2009-04-13,9.545
2009-04-14,8.74
2009-04-15,8.815
2009-04-16,8.94
2009-04-17,8.9125
2009-04-20,8.605
2009-04-21,8.805
2009-04-22,8.9075
2009-04-23,8.84
2009-04-24,9.3375
2009-04-27,9.1975
2009-04-28,9.125
2009-04-29,9.56
2009-04-30,9.59
2009-05-01,9.39
2009-05-04,9.685
2009-05-05,9.2575
2009-05-06,9.0175
2009-05-07,9.0125
2009-05-08,9.155
2009-05-11,8.87
2009-05-12,8.865
2009-05-13,8.3375
2009-05-14,8.2425
2009-05-15,8.3975
2009-05-18,8.5775
2009-05-19,8.385
2009-05-20,8.265
2009-05-21,8.0375
2009-05-22,8.0675
2009-05-26,8.5425
2009-05-27,8.1925
2009-05-28,8.2125
2009-05-29,8.305
2009-06-01,9.0425
2009-06-02,9.0
2009-06-03,8.8275
2009-06-04,8.6625
2009-06-05,8.5475
2009-06-08,8.6575
2009-06-09,8.905
2009-06-10,8.9675
2009-06-11,8.935
2009-06-12,8.6825
2009-06-15,8.3575
2009-06-16,8.3375
2009-06-17,8.42
2009-06-18,8.4325
2009-06-19,8.325
2009-06-22,8.0425
2009-06-23,8.085
2009-06-24,8.235
2009-06-25,8.4025
2009-06-26,8.3575
2009-06-29,8.3975
2009-06-30,8.2925
2009-07-01,8.24
2009-07-02,7.975
2009-07-06,7.86
2009-07-07,7.64
2009-07-08,7.785
2009-07-09,7.675
2009-07-10,7.9325
2009-07-13,7.8825
2009-07-14,7.9125
2009-07-15,8.0725
2009-07-16,8.21
2009-07-17,8.2725
2009-07-20,8.5125
2009-07-21,8.54
2009-07-22,8.62
2009-07-23,8.855
2009-07-24,8.91
2009-07-27,8.91
2009-07-28,8.8475
2009-07-29,8.83
2009-07-30,8.8875
2009-07-31,8.8925
2009-08-03,9.315
2009-08-04,9.405
2009-08-05,9.1425
2009-08-06,9.195
2009-08-07,9.645
2009-08-10,9.4525
2009-08-11,9.3475
2009-08-12,9.42
2009-08-13,9.2425
2009-08-14,9.2025
2009-08-17,8.8725
2009-08-18,8.9825
2009-08-19,9.0225
2009-08-20,9.085
2009-08-21,9.2925
2009-08-24,9.1075
2009-08-25,9.14
2009-08-26,9.14
2009-08-27,9.1925
2009-08-28,9.16
2009-08-31,9.05
2009-09-01,8.7275
2009-09-02,8.65
2009-09-03,9.0975
2009-09-04,9.29
2009-09-08,9.2975
2009-09-09,9.32
2009-09-10,9.32
2009-09-11,9.45
2009-09-14,9.5825
2009-09-15,9.67
2009-09-16,9.82
2009-09-17,9.7975
2009-09-18,9.745
2009-09-21,9.77
2009-09-22,10.0325
2009-09-23,9.9125
2009-09-24,9.7575
2009-09-25,9.665
2009-09-28,9.8075
2009-09-29,9.7025
2009-09-30,9.675
2009-10-01,9.2625
2009-10-02,9.16
2009-10-05,9.3325
2009-10-06,9.445
2009-10-07,9.39
2009-10-08,9.5825
2009-10-09,9.8475
2009-10-12,9.61
2009-10-13,9.755
2009-10-14,9.845
2009-10-15,9.8925
2009-10-16,9.6875
2009-10-19,9.7375
2009-10-20,9.5975
2009-10-21,9.475
2009-10-22,9.55
2009-10-23,9.4
2009-10-26,9.3
2009-10-27,9.125
2009-10-28,8.95
2009-10-29,9.02
2009-10-30,8.625
2009-11-02,8.815
2009-11-03,8.9425
2009-11-04,8.9
2009-11-05,9.125
2009-11-06,9.1
2009-11-09,9.3075
2009-11-10,9.2825
2009-11-11,9.31
2009-11-12,9.19
2009-11-13,9.2275
2009-11-16,9.3575
2009-11-17,9.415
2009-11-18,9.47
2009-11-19,9.325
2009-11-20,9.2525
2009-11-23,9.42
2009-11-24,9.3575
2009-11-25,9.44
2009-11-27,9.255
2009-11-30,9.27
2009-12-01,9.3
2009-12-02,9.555
2009-12-03,9.45
2009-12-04,9.735
2009-12-07,9.67
2009-12-08,9.61
2009-12-09,9.6675
2009-12-10,9.705
2009-12-11,9.7525
2009-12-14,9.8475
2009-12-15,9.835
2009-12-16,9.9275
2009-12-17,9.935
2009-12-18,9.9875
2009-12-21,10.205
2009-12-22,10.27
2009-12-23,10.3775
2009-12-24,10.4275
2009-12-28,10.5475
2009-12-29,10.495
2009-12-30,10.4975
2009-12-31,10.41
2010-01-04,10.5075
2010-01-05,10.725
2010-01-06,11.4325
2010-01-07,11.6275
2010-01-08,11.745
2010-01-11,11.515
2010-01-12,11.5125
2010-01-13,11.6725
2010-01-14,11.575
2010-01-15,11.465
2010-01-19,11.205
2010-01-20,11.065
2010-01-21,10.8775
2010-01-22,10.6375
2010-01-25,10.66
2010-01-26,10.5375
2010-01-27,10.5625
2010-01-28,10.3725
2010-01-29,10.37
2010-02-01,10.3825
2010-02-02,10.7375
2010-02-03,10.755
2010-02-04,10.5375
2010-02-05,10.4975
2010-02-08,10.3025
2010-02-09,10.585
2010-02-10,10.3825
2010-02-11,10.535
2010-02-12,10.4575
2010-02-16,10.745
2010-02-17,10.78
2010-02-18,10.91
2010-02-19,10.9675
2010-02-22,11.015
2010-02-23,10.9825
2010-02-24,11.045
2010-02-25,11.0925
2010-02-26,11.0925
2010-03-01,11.23
2010-03-02,11.205
2010-03-03,11.255
2010-03-04,11.2725
2010-03-05,11.425
2010-03-08,11.3625
2010-03-09,11.3225
2010-03-10,11.3175
2010-03-11,11.305
2010-03-12,11.3175
2010-03-15,11.47
2010-03-16,11.5875
2010-03-17,11.8675
2010-03-18,11.835
2010-03-19,11.745
2010-03-22,12.0975
2010-03-23,12.2475
2010-03-24,12.085
2010-03-25,12.0075
2010-03-26,12.07
2010-03-29,12.1075
2010-03-30,12.125
2010-03-31,11.9975
2010-04-01,12.145
2010-04-05,12.425
2010-04-06,12.52
2010-04-07,12.93
2010-04-08,12.7025
2010-04-09,12.7875
2010-04-12,12.975
2010-04-13,13.25
2010-04-14,13.3575
2010-04-15,13.75
2010-04-16,13.58
2010-04-19,13.7175
2010-04-20,13.565
2010-04-21,13.595
2010-04-22,13.9275
2010-04-23,14.05
2010-04-26,14.025
2010-04-27,13.57
2010-04-28,13.6375
2010-04-29,14.01
2010-04-30,13.6725
