,Close
2017-01-03,71.73
2017-01-04,73.0
2017-01-05,71.77
2017-01-06,70.79
2017-01-09,70.87
2017-01-10,70.94
2017-01-11,70.37
2017-01-12,70.35
2017-01-13,70.55
2017-01-17,69.73
2017-01-18,69.35
2017-01-19,68.55
2017-01-20,69.14
2017-01-23,68.79
2017-01-24,68.86
2017-01-25,69.2
2017-01-26,69.19
2017-01-27,68.01
2017-01-30,67.92
2017-01-31,68.54
2017-02-01,68.31
2017-02-02,69.28
2017-02-03,69.54
2017-02-06,68.72
2017-02-07,68.33
2017-02-08,69.67
2017-02-09,71.29
2017-02-10,71.22
2017-02-13,70.43
2017-02-14,70.64
2017-02-15,70.37
2017-02-16,70.5
2017-02-17,71.0
2017-02-21,71.2
2017-02-22,71.02
2017-02-23,68.58
2017-02-24,75.01
2017-02-27,76.01
2017-02-28,75.67
2017-03-01,75.99
2017-03-02,76.6
2017-03-03,76.57
2017-03-06,76.03
2017-03-07,75.72
2017-03-08,77.26
2017-03-09,76.48
2017-03-10,76.99
2017-03-13,75.97
2017-03-14,75.86
2017-03-15,76.24
2017-03-16,75.8
2017-03-17,75.67
2017-03-20,73.98
2017-03-21,73.45
2017-03-22,72.83
2017-03-23,72.86
2017-03-24,72.59
2017-03-27,72.8
2017-03-28,73.14
2017-03-29,75.39
2017-03-30,75.37
2017-03-31,74.81
2017-04-03,74.35
2017-04-04,72.45
2017-04-05,71.2
2017-04-06,72.29
2017-04-07,72.26
2017-04-10,72.56
2017-04-11,72.48
2017-04-12,72.6
2017-04-13,72.09
2017-04-17,72.53
2017-04-18,72.59
2017-04-19,72.65
2017-04-20,76.55
2017-04-21,75.84
2017-04-24,76.42
2017-04-25,76.6
2017-04-26,76.92
2017-04-27,76.69
2017-04-28,77.34
2017-05-01,76.46
2017-05-02,76.73
2017-05-03,76.83
2017-05-04,76.13
2017-05-05,76.76
2017-05-08,76.53
2017-05-09,76.67
2017-05-10,77.35
2017-05-11,75.81
2017-05-12,74.88
2017-05-15,73.21
2017-05-16,71.79
2017-05-17,70.86
2017-05-18,70.45
2017-05-19,58.72
2017-05-22,60.27
2017-05-23,59.87
2017-05-24,59.63
2017-05-25,59.66
2017-05-26,59.82
2017-05-30,59.66
2017-05-31,59.41
2017-06-01,59.36
2017-06-02,58.04
2017-06-05,57.6
2017-06-06,55.08
2017-06-07,55.29
2017-06-08,53.88
2017-06-09,54.78
2017-06-12,54.86
2017-06-13,55.1
2017-06-14,53.77
2017-06-15,52.83
2017-06-16,52.04
2017-06-19,51.45
2017-06-20,50.33
2017-06-21,47.82
2017-06-22,47.5
2017-06-23,48.03
2017-06-26,48.37
2017-06-27,48.5
2017-06-28,48.71
2017-06-29,48.7
2017-06-30,49.28
2017-07-03,50.64
2017-07-05,50.3
2017-07-06,50.08
2017-07-07,49.98
2017-07-10,48.4
2017-07-11,48.32
2017-07-12,48.24
2017-07-13,48.57
2017-07-14,48.42
2017-07-17,48.95
2017-07-18,48.58
2017-07-19,48.54
2017-07-20,47.98
2017-07-21,47.21
2017-07-24,45.05
2017-07-25,45.75
2017-07-26,46.1
2017-07-27,47.25
2017-07-28,46.02
2017-07-31,47.19
2017-08-01,46.87
2017-08-02,47.65
2017-08-03,48.55
2017-08-04,49.0
2017-08-07,48.84
2017-08-08,50.04
2017-08-09,49.8
2017-08-10,49.09
2017-08-11,49.3
2017-08-14,49.32
2017-08-15,47.13
2017-08-16,48.57
2017-08-17,47.7
2017-08-18,34.38
2017-08-21,31.82
2017-08-22,33.18
2017-08-23,35.25
2017-08-24,34.77
2017-08-25,35.88
2017-08-28,35.7
2017-08-29,35.16
2017-08-30,35.24
2017-08-31,35.23
2017-09-01,36.34
2017-09-05,36.33
2017-09-06,36.7
2017-09-07,36.16
2017-09-08,35.73
2017-09-11,34.99
2017-09-12,35.7
2017-09-13,36.1
2017-09-14,36.62
2017-09-15,36.93
2017-09-18,36.26
2017-09-19,35.05
2017-09-20,34.57
2017-09-21,33.7
2017-09-22,33.6
2017-09-25,34.66
2017-09-26,35.12
2017-09-27,35.07
2017-09-28,34.86
2017-09-29,35.22
2017-10-02,34.75
2017-10-03,34.38
2017-10-04,33.85
2017-10-05,34.38
2017-10-06,34.41
2017-10-09,33.39
2017-10-10,33.6
2017-10-11,32.93
2017-10-12,31.43
2017-10-13,31.65
2017-10-16,30.95
2017-10-17,31.02
2017-10-18,31.18
2017-10-19,30.99
2017-10-20,31.28
2017-10-23,31.62
2017-10-24,31.13
2017-10-25,31.29
2017-10-26,33.07
2017-10-27,31.55
2017-10-30,30.58
2017-10-31,30.08
2017-11-01,29.91
2017-11-02,30.01
2017-11-03,29.85
2017-11-06,29.65
2017-11-07,29.24
2017-11-08,29.88
2017-11-09,30.61
2017-11-10,30.34
2017-11-13,29.64
2017-11-14,30.0
2017-11-15,31.2
2017-11-16,31.85
2017-11-17,40.82
2017-11-20,40.69
2017-11-21,40.69
2017-11-22,40.54
2017-11-24,40.1
2017-11-27,39.4
2017-11-28,40.45
2017-11-29,42.59
2017-11-30,42.84
2017-12-01,43.31
2017-12-04,45.76
2017-12-05,43.4
2017-12-06,42.82
2017-12-07,43.22
2017-12-08,44.97
2017-12-11,44.41
2017-12-12,44.57
2017-12-13,45.35
2017-12-14,44.33
2017-12-15,45.65
2017-12-18,46.57
2017-12-19,46.21
2017-12-20,46.29
2017-12-21,47.98
2017-12-22,47.26
2017-12-26,48.55
2017-12-27,47.68
2017-12-28,47.09
2017-12-29,46.88
2018-01-02,47.89
2018-01-03,47.87
2018-01-04,46.31
2018-01-05,46.96
2018-01-08,46.97
2018-01-09,46.0
2018-01-10,46.28
2018-01-11,46.3
2018-01-12,47.45
2018-01-16,46.96
2018-01-17,48.07
2018-01-18,48.59
2018-01-19,50.21
2018-01-22,50.37
2018-01-23,51.52
2018-01-24,52.25
2018-01-25,52.44
2018-01-26,51.59
2018-01-29,51.28
2018-01-30,49.9
2018-01-31,49.15
2018-02-01,49.21
2018-02-02,48.38
2018-02-05,45.63
2018-02-06,47.64
2018-02-07,48.01
2018-02-08,45.88
2018-02-09,46.24
2018-02-12,46.34
2018-02-13,46.64
2018-02-14,48.58
2018-02-15,49.24
2018-02-16,49.17
2018-02-20,48.17
2018-02-21,48.42
2018-02-22,48.26
2018-02-23,48.25
2018-02-26,49.32
2018-02-27,47.54
2018-02-28,45.91
2018-03-01,45.88
2018-03-02,40.04
2018-03-05,41.63
2018-03-06,42.1
2018-03-07,40.72
2018-03-08,40.85
2018-03-09,42.56
2018-03-12,43.32
2018-03-13,43.86
2018-03-14,43.26
2018-03-15,43.46
2018-03-16,44.11
2018-03-19,43.82
