,Close
2019-01-02,185.55
2019-01-03,181.6
2019-01-04,184.94
2019-01-07,186.03
2019-01-08,187.45
2019-01-09,189.57
2019-01-10,190.06
2019-01-11,189.0
2019-01-14,188.74
2019-01-15,191.05
2019-01-16,191.31
2019-01-17,192.61
2019-01-18,198.32
2019-01-22,195.94
2019-01-23,197.0
2019-01-24,196.58
2019-01-25,199.77
2019-01-28,198.5
2019-01-29,197.57
2019-01-30,202.61
2019-01-31,201.81
2019-02-01,202.99
2019-02-04,202.02
2019-02-05,204.83
2019-02-06,205.18
2019-02-07,218.07
2019-02-08,217.24
2019-02-11,217.26
2019-02-12,218.88
2019-02-13,219.39
2019-02-14,220.5
2019-02-15,224.05
2019-02-19,226.07
2019-02-20,227.5
2019-02-21,225.75
2019-02-22,228.43
2019-02-25,230.26
2019-02-26,231.75
2019-02-27,231.7
2019-02-28,233.28
2019-03-01,233.33
2019-03-04,232.06
2019-03-05,231.34
2019-03-06,230.84
2019-03-07,227.5
2019-03-08,227.82
2019-03-11,230.83
2019-03-12,231.8
2019-03-13,234.97
2019-03-14,236.6
2019-03-15,239.27
2019-03-18,240.75
2019-03-19,240.88
2019-03-20,238.23
2019-03-21,241.54
2019-03-22,237.46
2019-03-25,237.7
2019-03-26,241.14
2019-03-27,242.16
2019-03-28,243.58
2019-03-29,246.59
2019-04-01,249.06
2019-04-02,250.1
2019-04-03,249.97
2019-04-04,248.32
2019-04-05,250.31
2019-04-08,250.88
2019-04-09,250.28
2019-04-10,250.15
2019-04-11,249.92
2019-04-12,251.38
2019-04-15,251.57
2019-04-16,252.09
2019-04-17,251.17
2019-04-18,251.42
2019-04-22,252.5
2019-04-23,256.67
2019-04-24,256.34
2019-04-25,257.22
2019-04-26,257.87
2019-04-29,260.22
2019-04-30,260.95
2019-05-01,257.57
2019-05-02,256.84
2019-05-03,257.75
2019-05-06,256.63
2019-05-07,248.66
2019-05-08,266.19
2019-05-09,266.19
2019-05-10,263.63
2019-05-13,257.09
2019-05-14,264.63
2019-05-15,264.18
2019-05-16,271.13
2019-05-17,269.26
2019-05-20,272.08
2019-05-21,273.55
2019-05-22,274.99
2019-05-23,266.67
2019-05-24,266.8
2019-05-28,267.72
2019-05-29,260.0
2019-05-30,260.69
2019-05-31,258.21
2019-06-03,250.27
2019-06-04,253.65
2019-06-05,251.65
2019-06-06,251.33
2019-06-07,258.99
2019-06-10,266.22
2019-06-11,266.72
2019-06-12,267.46
2019-06-13,272.88
2019-06-14,272.66
2019-06-17,268.48
2019-06-18,273.31
2019-06-19,277.63
2019-06-20,277.77
2019-06-21,279.11
2019-06-24,279.19
2019-06-25,277.33
2019-06-26,277.12
2019-06-27,279.21
2019-06-28,280.85
2019-07-01,283.17
2019-07-02,286.02
2019-07-03,289.6
2019-07-05,291.77
2019-07-08,290.83
2019-07-09,294.46
2019-07-10,292.29
2019-07-11,293.39
2019-07-12,292.16
2019-07-15,292.53
2019-07-16,291.0
2019-07-17,289.73
