,Close
2000-01-03,41.0
2000-01-04,41.125
2000-01-05,42.1875
2000-01-06,42.75
2000-01-07,42.4375
2000-01-10,41.875
2000-01-11,41.6875
2000-01-12,42.3125
2000-01-13,42.0
2000-01-14,41.5
2000-01-18,40.375
2000-01-19,40.4375
2000-01-20,40.875
2000-01-21,41.75
2000-01-24,43.25
2000-01-25,43.3125
2000-01-26,43.3125
2000-01-27,42.5
2000-01-28,41.9375
2000-01-31,42.375
2000-02-01,43.125
2000-02-02,43.9375
2000-02-03,44.6875
2000-02-04,44.125
2000-02-07,43.5625
2000-02-08,44.25
2000-02-09,44.3125
2000-02-10,43.6875
2000-02-11,43.375
2000-02-14,43.625
2000-02-15,43.625
2000-02-16,43.625
2000-02-17,43.25
2000-02-18,42.1875
2000-02-22,42.5
2000-02-23,42.0625
2000-02-24,40.8125
2000-02-25,40.4375
2000-02-28,41.5625
2000-02-29,42.625
2000-03-01,42.625
2000-03-02,42.5625
2000-03-03,41.8125
2000-03-06,41.9375
2000-03-07,42.8125
2000-03-08,43.1875
2000-03-09,43.6875
2000-03-10,43.8125
2000-03-13,43.9375
2000-03-14,43.875
2000-03-15,44.4375
2000-03-16,45.8125
2000-03-17,45.0
2000-03-20,45.5625
2000-03-21,45.125
2000-03-22,45.3125
2000-03-23,45.875
2000-03-24,45.8125
2000-03-27,45.75
2000-03-28,45.6875
2000-03-29,45.8125
2000-03-30,45.8125
2000-03-31,45.875
2000-04-03,46.0
2000-04-04,46.8125
2000-04-05,46.9375
2000-04-06,45.3125
2000-04-07,45.8125
2000-04-10,46.4375
2000-04-11,46.8125
2000-04-12,48.0
2000-04-13,48.375
2000-04-14,47.4375
2000-04-17,47.0625
2000-04-18,47.375
2000-04-19,47.9375
2000-04-20,48.625
2000-04-24,49.0
2000-04-25,49.1875
2000-04-26,50.5625
2000-04-27,49.9375
2000-04-28,49.0
2000-05-01,48.9375
2000-05-02,48.0625
2000-05-03,47.5625
2000-05-04,48.875
2000-05-05,49.1875
2000-05-08,49.5
2000-05-09,49.4375
2000-05-10,49.125
2000-05-11,48.875
2000-05-12,48.375
2000-05-15,48.6875
2000-05-16,48.5
2000-05-17,47.75
2000-05-18,48.5
2000-05-19,48.625
2000-05-22,48.875
2000-05-23,48.375
2000-05-24,49.125
2000-05-25,48.625
2000-05-26,48.625
2000-05-30,49.0
2000-05-31,49.625
2000-06-01,48.75
2000-06-02,47.875
2000-06-05,47.3125
2000-06-06,48.0
2000-06-07,47.4375
2000-06-08,47.5
2000-06-09,47.5
2000-06-12,47.5625
2000-06-13,47.5
2000-06-14,47.5
2000-06-15,47.9375
2000-06-16,47.875
2000-06-19,47.6875
2000-06-20,47.375
2000-06-21,47.5
2000-06-22,47.5
2000-06-23,47.8125
2000-06-26,48.0
2000-06-27,48.0
2000-06-28,47.9375
2000-06-29,47.5
2000-06-30,46.875
2000-07-03,48.1875
2000-07-05,48.5625
2000-07-06,48.5625
2000-07-07,48.875
2000-07-10,49.0625
2000-07-11,48.25
2000-07-12,47.75
2000-07-13,48.3125
2000-07-14,48.5625
2000-07-17,48.6875
2000-07-18,49.0625
2000-07-19,49.25
2000-07-20,49.1875
2000-07-21,49.125
2000-07-24,49.25
2000-07-25,49.5
2000-07-26,48.9375
2000-07-27,49.1875
2000-07-28,49.1875
2000-07-31,49.0
2000-08-01,49.75
2000-08-02,50.625
2000-08-03,50.75
2000-08-04,51.125
2000-08-07,51.5
2000-08-08,51.125
2000-08-09,50.8125
2000-08-10,51.125
2000-08-11,51.75
2000-08-14,51.3125
2000-08-15,51.5625
2000-08-16,51.5625
2000-08-17,51.9375
2000-08-18,52.1875
2000-08-21,51.8125
2000-08-22,51.875
2000-08-23,52.0625
2000-08-24,51.625
2000-08-25,51.6875
2000-08-28,52.5
2000-08-29,51.875
2000-08-30,52.625
2000-08-31,51.875
2000-09-01,52.125
2000-09-05,52.5
2000-09-06,52.4375
2000-09-07,52.4375
2000-09-08,52.5625
2000-09-11,52.75
2000-09-12,52.5625
2000-09-13,52.25
2000-09-14,52.5
2000-09-15,52.25
2000-09-18,52.25
2000-09-19,51.5
2000-09-20,51.4375
2000-09-21,51.1875
2000-09-22,52.0
2000-09-25,51.875
2000-09-26,52.125
2000-09-27,52.5625
2000-09-28,52.875
2000-09-29,52.9375
2000-10-02,52.8125
2000-10-03,52.75
2000-10-04,53.0
2000-10-05,52.8125
2000-10-06,52.875
2000-10-09,52.9375
2000-10-10,53.0
2000-10-11,53.0
2000-10-12,52.6875
2000-10-13,52.8125
2000-10-16,53.1875
2000-10-17,53.0
2000-10-18,52.5625
2000-10-19,52.5625
2000-10-20,52.5625
2000-10-23,52.625
2000-10-24,52.6875
2000-10-25,52.6875
2000-10-26,52.8125
2000-10-27,52.625
2000-10-30,53.0
2000-10-31,53.1875
2000-11-01,53.25
2000-11-02,53.5
2000-11-03,53.3125
2000-11-06,53.4375
2000-11-07,53.5625
2000-11-08,53.6875
2000-11-09,53.625
2000-11-10,53.8125
2000-11-13,53.75
2000-11-14,53.4375
2000-11-15,53.625
2000-11-16,53.75
2000-11-17,53.875
2000-11-20,54.0
2000-11-21,53.9375
2000-11-22,54.3125
2000-11-24,54.375
2000-11-27,54.25
2000-11-28,54.875
2000-11-29,55.0625
2000-11-30,54.8125
