,Close
2017-01-03,143.4
2017-01-04,144.22
2017-01-05,145.29
2017-01-06,144.49
2017-01-09,142.68
2017-01-10,141.19
2017-01-11,139.77
2017-01-12,140.62
2017-01-13,140.18
2017-01-17,141.29
2017-01-18,141.53
2017-01-19,139.25
2017-01-20,140.72
2017-01-23,141.72
2017-01-24,140.96
2017-01-25,140.77
2017-01-26,140.8
2017-01-27,139.69
2017-01-30,139.14
2017-01-31,140.43
2017-02-01,137.5
2017-02-02,140.11
2017-02-03,139.94
2017-02-06,139.79
2017-02-07,139.68
2017-02-08,140.33
2017-02-09,142.02
2017-02-10,142.96
2017-02-13,142.95
2017-02-14,141.08
2017-02-15,139.98
2017-02-16,140.5
2017-02-17,140.66
2017-02-21,142.5
2017-02-22,141.55
2017-02-23,142.4
2017-02-24,142.34
2017-02-27,142.22
2017-02-28,140.73
2017-03-01,138.97
2017-03-02,136.76
2017-03-03,135.02
2017-03-06,134.3
2017-03-07,133.39
2017-03-08,130.5
2017-03-09,127.44
2017-03-10,126.98
2017-03-13,128.32
2017-03-14,129.62
2017-03-15,133.02
2017-03-16,133.0
2017-03-17,134.75
2017-03-20,134.44
2017-03-21,134.67
2017-03-22,133.11
2017-03-23,134.73
2017-03-24,134.8
2017-03-27,132.74
2017-03-28,133.26
2017-03-29,133.15
2017-03-30,133.34
2017-03-31,133.5
2017-04-03,133.84
2017-04-04,133.11
2017-04-05,133.11
2017-04-06,133.11
2017-04-07,132.73
2017-04-10,133.95
2017-04-11,135.08
2017-04-12,134.87
2017-04-13,134.74
2017-04-17,136.45
2017-04-18,137.05
2017-04-19,137.48
2017-04-20,137.22
2017-04-21,136.18
2017-04-24,133.75
2017-04-25,134.61
2017-04-26,132.56
2017-04-27,133.16
2017-04-28,130.89
2017-05-01,133.16
2017-05-02,133.81
2017-05-03,132.3
2017-05-04,131.4
2017-05-05,132.78
2017-05-08,130.44
2017-05-09,130.55
2017-05-10,132.0
2017-05-11,129.72
2017-05-12,125.43
2017-05-15,126.57
2017-05-16,122.46
2017-05-17,122.97
2017-05-18,124.29
2017-05-19,125.59
2017-05-22,126.48
2017-05-23,125.71
2017-05-24,127.4
2017-05-25,127.38
2017-05-26,126.32
2017-05-30,123.82
2017-05-31,122.74
2017-06-01,124.29
2017-06-02,123.37
2017-06-05,121.73
2017-06-06,122.18
2017-06-07,124.99
2017-06-08,122.88
2017-06-09,124.68
2017-06-12,126.94
2017-06-13,127.88
2017-06-14,126.99
2017-06-15,128.32
2017-06-16,125.37
2017-06-19,125.19
2017-06-20,123.84
2017-06-21,123.33
2017-06-22,124.19
2017-06-23,125.05
2017-06-26,127.72
2017-06-27,127.44
2017-06-28,128.13
2017-06-29,127.71
2017-06-30,126.39
2017-07-03,129.04
2017-07-05,126.26
2017-07-06,125.38
2017-07-07,126.28
2017-07-10,124.76
2017-07-11,124.84
2017-07-12,125.41
2017-07-13,126.67
2017-07-14,128.27
2017-07-17,129.01
2017-07-18,128.71
2017-07-19,129.93
2017-07-20,130.0
2017-07-21,130.48
2017-07-24,131.26
2017-07-25,132.13
2017-07-26,132.7
2017-07-27,135.03
2017-07-28,132.81
2017-07-31,132.63
2017-08-01,134.4
2017-08-02,132.84
2017-08-03,132.98
2017-08-04,133.64
2017-08-07,133.41
2017-08-08,132.59
2017-08-09,132.75
2017-08-10,132.04
2017-08-11,129.4
2017-08-14,131.06
2017-08-15,129.27
2017-08-16,129.65
2017-08-17,128.55
2017-08-18,126.96
2017-08-21,128.1
2017-08-22,126.86
2017-08-23,127.58
2017-08-24,126.86
2017-08-25,128.32
2017-08-28,125.41
2017-08-29,125.71
2017-08-30,126.54
2017-08-31,126.93
2017-09-01,128.2
2017-09-05,127.64
2017-09-06,129.32
2017-09-07,130.45
2017-09-08,129.38
2017-09-11,130.25
2017-09-12,128.69
2017-09-13,128.27
2017-09-14,130.97
2017-09-15,130.0
2017-09-18,127.51
2017-09-19,125.38
2017-09-20,124.63
2017-09-21,123.85
2017-09-22,123.14
2017-09-25,124.8
2017-09-26,125.08
2017-09-27,123.98
2017-09-28,124.45
2017-09-29,124.21
2017-10-02,124.03
2017-10-03,124.61
2017-10-04,125.13
2017-10-05,126.09
2017-10-06,125.68
2017-10-09,126.11
2017-10-10,126.75
2017-10-11,127.82
2017-10-12,128.51
2017-10-13,129.68
2017-10-16,128.81
2017-10-17,129.63
2017-10-18,128.53
2017-10-19,127.23
2017-10-20,125.8
2017-10-23,126.61
2017-10-24,124.9
2017-10-25,123.27
2017-10-26,121.73
2017-10-27,121.45
2017-10-30,120.98
2017-10-31,120.52
2017-11-01,121.7
2017-11-02,128.1
2017-11-03,126.56
2017-11-06,126.92
