,Close
2005-01-03,61.13
2005-01-04,60.72
2005-01-05,60.29
2005-01-06,60.57
2005-01-07,60.4
2005-01-10,59.6
2005-01-11,60.6
2005-01-12,60.5
2005-01-13,62.33
2005-01-14,61.94
2005-01-18,62.09
2005-01-19,62.48
2005-01-20,63.46
2005-01-21,63.7
2005-01-24,63.09
2005-01-25,62.32
2005-01-26,61.99
2005-01-27,62.91
2005-01-28,62.3
2005-01-31,63.15
2005-02-01,63.2
2005-02-02,62.8
2005-02-03,62.83
2005-02-04,64.27
2005-02-07,64.19
2005-02-08,64.75
2005-02-09,62.29
2005-02-10,62.5
2005-02-11,62.79
2005-02-14,62.38
2005-02-15,61.52
2005-02-16,60.53
2005-02-17,60.78
2005-02-18,60.83
2005-02-22,59.11
2005-02-23,59.9
2005-02-24,60.29
2005-02-25,61.37
2005-02-28,60.65
2005-03-01,61.08
2005-03-02,61.19
2005-03-03,60.47
2005-03-04,61.24
2005-03-07,61.35
2005-03-08,60.86
2005-03-09,60.0
2005-03-10,60.26
2005-03-11,59.87
2005-03-14,60.59
2005-03-15,60.0
2005-03-16,59.44
2005-03-17,59.03
2005-03-18,59.29
2005-03-21,59.33
2005-03-22,58.59
2005-03-23,58.78
2005-03-24,59.9
2005-03-28,59.93
2005-03-29,59.7
2005-03-30,58.08
2005-03-31,56.92
2005-04-01,56.15
2005-04-04,55.88
2005-04-05,56.75
2005-04-06,57.66
2005-04-07,58.08
2005-04-08,57.72
2005-04-11,57.86
2005-04-12,58.32
2005-04-13,57.26
2005-04-14,56.82
2005-04-15,56.2
2005-04-18,56.77
2005-04-19,57.45
2005-04-20,57.65
2005-04-21,57.7
2005-04-22,57.91
2005-04-25,59.48
2005-04-26,58.75
2005-04-27,59.06
2005-04-28,58.53
2005-04-29,59.38
2005-05-02,59.42
2005-05-03,58.95
2005-05-04,60.39
2005-05-05,60.29
2005-05-06,60.07
2005-05-09,60.1
2005-05-10,60.23
2005-05-11,61.63
2005-05-12,61.03
2005-05-13,60.39
2005-05-16,61.0
2005-05-17,61.92
2005-05-18,61.58
2005-05-19,61.91
2005-05-20,62.36
2005-05-23,62.21
2005-05-24,61.8
2005-05-25,61.67
2005-05-26,62.35
2005-05-27,62.19
2005-05-31,62.46
2005-06-01,62.79
2005-06-02,63.15
2005-06-03,62.87
2005-06-06,62.57
2005-06-07,63.35
2005-06-08,63.36
2005-06-09,63.87
2005-06-10,63.59
2005-06-13,63.83
2005-06-14,64.22
2005-06-15,63.52
2005-06-16,63.85
2005-06-17,63.48
2005-06-20,63.17
2005-06-21,63.21
2005-06-22,63.62
2005-06-23,64.36
2005-06-24,63.85
2005-06-27,63.88
2005-06-28,64.02
2005-06-29,64.72
2005-06-30,64.9
2005-07-01,64.16
2005-07-05,64.7
2005-07-06,64.53
2005-07-07,64.29
2005-07-08,65.0
2005-07-11,64.85
2005-07-12,63.94
2005-07-13,63.75
2005-07-14,63.9
2005-07-15,63.75
2005-07-18,63.34
2005-07-19,64.38
2005-07-20,65.01
2005-07-21,64.91
2005-07-22,64.84
2005-07-25,64.6
2005-07-26,65.4
2005-07-27,66.57
2005-07-28,67.12
2005-07-29,67.05
2005-08-01,66.5
2005-08-02,65.78
2005-08-03,65.92
2005-08-04,61.2
2005-08-05,62.98
2005-08-08,62.9
2005-08-09,62.58
2005-08-10,62.23
2005-08-11,63.0
2005-08-12,62.5
2005-08-15,62.78
2005-08-16,63.21
2005-08-17,63.4
2005-08-18,63.62
2005-08-19,63.13
2005-08-22,63.4
2005-08-23,62.95
2005-08-24,62.7
2005-08-25,63.03
2005-08-26,63.0
2005-08-29,63.35
2005-08-30,63.5
2005-08-31,64.48
2005-09-01,63.76
2005-09-02,63.98
2005-09-06,64.74
2005-09-07,64.95
2005-09-08,64.23
2005-09-09,64.29
2005-09-12,64.48
2005-09-13,63.49
2005-09-14,63.05
2005-09-15,63.17
2005-09-16,62.94
2005-09-19,63.25
2005-09-20,63.01
2005-09-21,62.6
2005-09-22,62.3
2005-09-23,62.79
2005-09-26,62.53
2005-09-27,62.0
2005-09-28,62.5
2005-09-29,62.37
2005-09-30,62.05
2005-10-03,61.45
2005-10-04,61.5
2005-10-05,60.51
2005-10-06,59.89
2005-10-07,59.81
2005-10-10,59.9
2005-10-11,58.26
2005-10-12,58.85
2005-10-13,59.3
2005-10-14,59.71
2005-10-17,59.68
2005-10-18,59.08
2005-10-19,59.18
2005-10-20,59.35
2005-10-21,59.19
2005-10-24,58.94
2005-10-25,58.16
2005-10-26,56.84
2005-10-27,56.94
2005-10-28,54.27
2005-10-31,56.5
2005-11-01,56.64
2005-11-02,57.6
2005-11-03,57.96
2005-11-04,57.71
2005-11-07,57.6
2005-11-08,57.1
2005-11-09,63.88
2005-11-10,64.96
2005-11-11,64.84
2005-11-14,64.7
2005-11-15,65.5
2005-11-16,64.5
2005-11-17,64.79
2005-11-18,64.49
2005-11-21,63.77
2005-11-22,63.4
2005-11-23,63.62
2005-11-25,63.39
2005-11-28,63.7
2005-11-29,64.16
2005-11-30,64.48
2005-12-01,64.27
2005-12-02,63.5
2005-12-05,63.13
2005-12-06,63.34
2005-12-07,63.35
2005-12-08,63.59
2005-12-09,64.31
2005-12-12,64.14
