,Close
2005-01-03,17.89
2005-01-04,17.25
2005-01-05,16.87
2005-01-06,17.06
2005-01-07,17.1
2005-01-10,17.0
2005-01-11,16.71
2005-01-12,16.68
2005-01-13,16.87
2005-01-14,17.17
2005-01-18,17.78
2005-01-19,17.89
2005-01-20,17.23
2005-01-21,16.63
2005-01-24,16.28
2005-01-25,16.62
2005-01-26,16.96
2005-01-27,17.63
2005-01-28,17.26
2005-01-31,17.47
2005-02-01,17.4
2005-02-02,17.19
2005-02-03,17.14
2005-02-04,18.14
2005-02-07,18.22
2005-02-08,19.32
2005-02-09,18.71
2005-02-10,18.5
2005-02-11,19.0
2005-02-14,18.88
2005-02-15,19.0
2005-02-16,18.94
2005-02-17,18.93
2005-02-18,18.57
2005-02-22,18.4
2005-02-23,18.49
2005-02-24,18.89
2005-02-25,19.1
2005-02-28,19.18
2005-03-01,19.85
2005-03-02,19.34
2005-03-03,19.0
2005-03-04,18.72
2005-03-07,18.92
2005-03-08,18.53
2005-03-09,18.0
2005-03-10,18.04
2005-03-11,17.71
2005-03-14,18.15
2005-03-15,17.59
2005-03-16,17.51
2005-03-17,17.72
2005-03-18,17.62
2005-03-21,17.61
2005-03-22,17.55
2005-03-23,17.7
2005-03-24,17.47
2005-03-28,17.4
2005-03-29,17.27
2005-03-30,17.2
2005-03-31,17.25
2005-04-01,17.06
2005-04-04,16.87
2005-04-05,17.09
2005-04-06,17.24
2005-04-07,17.83
2005-04-08,17.9
2005-04-11,17.84
2005-04-12,17.51
2005-04-13,17.34
2005-04-14,17.23
2005-04-15,16.5
2005-04-18,16.5
2005-04-19,16.92
2005-04-20,16.93
2005-04-21,17.49
2005-04-22,18.87
2005-04-25,18.9
2005-04-26,18.58
2005-04-27,18.55
2005-04-28,18.8
2005-04-29,18.86
2005-05-02,18.51
2005-05-03,18.29
2005-05-04,18.5
2005-05-05,18.8
2005-05-06,19.04
2005-05-09,19.26
2005-05-10,19.09
2005-05-11,19.35
2005-05-12,19.32
2005-05-13,19.27
2005-05-16,19.61
2005-05-17,19.73
2005-05-18,20.21
2005-05-19,20.54
2005-05-20,20.5
2005-05-23,20.34
2005-05-24,20.44
2005-05-25,20.2
2005-05-26,20.66
2005-05-27,20.35
2005-05-31,20.2
2005-06-01,20.58
2005-06-02,20.9
2005-06-03,20.81
2005-06-06,20.33
2005-06-07,20.2
2005-06-08,20.01
2005-06-09,20.03
2005-06-10,19.98
2005-06-13,20.32
2005-06-14,20.28
2005-06-15,20.3
2005-06-16,20.38
2005-06-17,21.04
2005-06-20,21.48
2005-06-21,22.06
2005-06-22,22.22
2005-06-23,22.64
2005-06-24,21.36
2005-06-27,21.3
2005-06-28,21.34
2005-06-29,21.06
2005-06-30,21.18
2005-07-01,21.02
2005-07-05,21.68
2005-07-06,21.72
2005-07-07,21.68
2005-07-08,22.84
2005-07-11,23.0
2005-07-12,24.07
2005-07-13,24.27
2005-07-14,24.63
2005-07-15,25.28
2005-07-18,24.79
2005-07-19,25.2
2005-07-20,24.55
2005-07-21,24.83
2005-07-22,24.8
2005-07-25,24.66
2005-07-26,25.46
2005-07-27,25.71
2005-07-28,26.12
2005-07-29,25.75
2005-08-01,25.95
2005-08-02,25.93
2005-08-03,25.93
2005-08-04,25.11
2005-08-05,24.64
2005-08-08,24.64
2005-08-09,25.09
2005-08-10,25.24
2005-08-11,25.01
2005-08-12,24.31
2005-08-15,24.91
2005-08-16,24.3
2005-08-17,25.21
2005-08-18,24.78
2005-08-19,24.05
2005-08-22,23.8
2005-08-23,23.39
2005-08-24,23.15
2005-08-25,23.28
2005-08-26,23.04
2005-08-29,23.18
2005-08-30,23.12
2005-08-31,24.08
2005-09-01,24.49
2005-09-02,24.0
2005-09-06,24.3
2005-09-07,24.14
2005-09-08,24.21
2005-09-09,24.28
2005-09-12,24.99
2005-09-13,24.76
2005-09-14,24.67
2005-09-15,23.95
2005-09-16,23.98
2005-09-19,23.47
2005-09-20,23.13
2005-09-21,22.66
2005-09-22,22.32
2005-09-23,22.91
2005-09-26,23.16
2005-09-27,23.28
2005-09-28,23.28
2005-09-29,23.61
2005-09-30,23.58
2005-10-03,24.23
2005-10-04,24.05
2005-10-05,23.89
2005-10-06,23.9
2005-10-07,24.06
2005-10-10,22.85
2005-10-11,21.93
2005-10-12,21.62
2005-10-13,21.83
2005-10-14,21.49
2005-10-17,21.97
2005-10-18,22.16
2005-10-19,22.49
2005-10-20,21.94
2005-10-21,22.69
2005-10-24,23.06
2005-10-25,23.06
2005-10-26,23.35
2005-10-27,22.67
2005-10-28,23.13
2005-10-31,23.88
2005-11-01,23.89
2005-11-02,25.23
2005-11-03,25.11
2005-11-04,25.05
2005-11-07,25.99
2005-11-08,26.21
2005-11-09,26.4
2005-11-10,26.61
