,Close
2000-01-03,46.125
2000-01-04,44.75
2000-01-05,48.625
2000-01-06,51.5625
2000-01-07,56.0625
2000-01-10,54.0625
2000-01-11,54.3125
2000-01-12,53.375
2000-01-13,52.375
2000-01-14,50.0
2000-01-18,47.25
2000-01-19,47.125
2000-01-20,49.0
2000-01-21,50.375
2000-01-24,49.1875
2000-01-25,46.875
2000-01-26,46.4375
2000-01-27,46.4375
2000-01-28,51.25
2000-01-31,52.625
2000-02-01,56.875
2000-02-02,57.3125
2000-02-03,57.0625
2000-02-04,62.375
2000-02-07,66.25
2000-02-08,65.3125
2000-02-09,64.625
2000-02-10,63.5
2000-02-11,63.0
2000-02-14,63.9375
2000-02-15,66.0625
2000-02-16,68.5
2000-02-17,70.5
2000-02-18,66.0625
2000-02-22,66.25
2000-02-23,66.375
2000-02-24,65.125
2000-02-25,66.25
2000-02-28,67.375
2000-02-29,67.375
2000-03-01,68.5
2000-03-02,73.375
2000-03-03,72.5
2000-03-06,72.0625
2000-03-07,73.4375
2000-03-08,73.0
2000-03-09,72.375
2000-03-10,70.9375
2000-03-13,68.5625
2000-03-14,65.1875
2000-03-15,68.75
2000-03-16,71.6875
2000-03-17,69.6875
2000-03-20,69.0
2000-03-21,67.5
2000-03-22,68.1875
2000-03-23,69.4375
2000-03-24,66.9375
2000-03-27,64.0625
2000-03-28,62.5
2000-03-29,62.6875
2000-03-30,55.625
2000-03-31,58.8125
2000-04-03,60.875
2000-04-04,59.875
2000-04-05,59.8125
2000-04-06,61.0625
2000-04-07,61.8125
2000-04-10,64.3125
2000-04-11,63.75
2000-04-12,65.0
2000-04-13,56.8125
2000-04-14,54.5
2000-04-17,50.25
2000-04-18,54.5625
2000-04-19,56.5625
2000-04-20,55.0
2000-04-24,57.125
2000-04-25,59.625
2000-04-26,56.3125
2000-04-27,56.3125
2000-04-28,57.375
2000-05-01,56.625
2000-05-02,58.375
2000-05-03,57.75
2000-05-04,57.8125
2000-05-05,60.0
2000-05-08,59.75
2000-05-09,59.1875
2000-05-10,58.125
2000-05-11,59.1875
2000-05-12,58.3125
2000-05-15,58.75
2000-05-16,59.0
2000-05-17,59.625
2000-05-18,57.75
2000-05-19,51.0
2000-05-22,49.1875
2000-05-23,50.0
2000-05-24,49.0
2000-05-25,47.625
2000-05-26,47.625
2000-05-30,50.0
2000-05-31,50.625
2000-06-01,48.25
2000-06-02,48.125
2000-06-05,50.125
2000-06-06,49.375
2000-06-07,46.0
2000-06-08,46.25
2000-06-09,47.375
2000-06-12,47.75
2000-06-13,49.0625
2000-06-14,49.875
2000-06-15,53.4375
2000-06-16,52.5625
2000-06-19,50.75
2000-06-20,51.3125
2000-06-21,51.6875
2000-06-22,50.0
2000-06-23,48.375
2000-06-26,46.0
2000-06-27,44.625
2000-06-28,46.125
2000-06-29,46.75
2000-06-30,49.5
2000-07-03,47.25
2000-07-05,49.625
2000-07-06,48.0625
2000-07-07,49.9375
2000-07-10,50.5625
2000-07-11,47.625
2000-07-12,46.4375
2000-07-13,49.9375
2000-07-14,52.9375
2000-07-17,51.75
2000-07-18,52.3125
2000-07-19,54.5
2000-07-20,55.9375
2000-07-21,56.0
2000-07-24,55.1875
2000-07-25,55.3125
2000-07-26,56.375
2000-07-27,57.625
2000-07-28,58.5
2000-07-31,56.375
2000-08-01,58.125
2000-08-02,59.5625
2000-08-03,57.5625
2000-08-04,57.0625
2000-08-07,56.8125
2000-08-08,61.0
2000-08-09,59.75
2000-08-10,59.4375
2000-08-11,59.5
2000-08-14,59.5
2000-08-15,58.75
2000-08-16,58.0
2000-08-17,59.0625
2000-08-18,58.4375
2000-08-21,59.75
2000-08-22,59.5625
2000-08-23,60.5
2000-08-24,61.3125
2000-08-25,61.9375
2000-08-28,63.875
2000-08-29,65.25
2000-08-30,65.4375
2000-08-31,67.3125
2000-09-01,64.75
2000-09-05,64.125
2000-09-06,63.625
2000-09-07,64.6875
2000-09-08,65.6875
2000-09-11,66.0
2000-09-12,65.75
2000-09-13,67.5625
2000-09-14,67.0
2000-09-15,66.8125
2000-09-18,66.25
2000-09-19,64.1875
2000-09-20,63.25
2000-09-21,66.1875
2000-09-22,67.75
2000-09-25,65.8125
2000-09-26,65.375
2000-09-27,66.5
2000-09-28,69.8125
2000-09-29,70.6875
2000-10-02,68.4375
2000-10-03,68.9375
2000-10-04,57.125
2000-10-05,56.0625
2000-10-06,56.25
2000-10-09,56.125
2000-10-10,55.625
2000-10-11,57.125
2000-10-12,56.0625
2000-10-13,52.75
2000-10-16,51.6875
2000-10-17,51.9375
2000-10-18,54.8125
2000-10-19,55.625
2000-10-20,57.0
2000-10-23,55.0
2000-10-24,54.4375
2000-10-25,55.6875
2000-10-26,55.9375
2000-10-27,55.0
2000-10-30,53.625
2000-10-31,52.9375
2000-11-01,53.0
2000-11-02,53.625
2000-11-03,54.75
2000-11-06,56.5
2000-11-07,55.0
2000-11-08,56.0625
2000-11-09,55.75
2000-11-10,54.125
2000-11-13,54.5
2000-11-14,51.6875
2000-11-15,52.6875
2000-11-16,50.6875
2000-11-17,49.625
2000-11-20,49.0
2000-11-21,52.125
2000-11-22,51.125
2000-11-24,50.6875
2000-11-27,51.25
2000-11-28,54.0625
2000-11-29,54.1875
2000-11-30,53.9375
2000-12-01,54.0
2000-12-04,54.3125
2000-12-05,54.6875
2000-12-06,53.875
2000-12-07,53.1875
2000-12-08,54.25
2000-12-11,54.875
2000-12-12,54.0
2000-12-13,52.75
2000-12-14,52.0
2000-12-15,50.8125
2000-12-18,51.25
2000-12-19,48.5625
2000-12-20,49.1875
2000-12-21,50.125
2000-12-22,50.875
2000-12-26,51.0625
2000-12-27,52.1875
2000-12-28,54.25
2000-12-29,53.9375
2001-01-02,53.0
2001-01-03,53.4375
2001-01-04,51.3125
2001-01-05,47.6875
2001-01-08,48.25
2001-01-09,48.5
2001-01-10,48.0
2001-01-11,48.125
2001-01-12,47.125
2001-01-16,46.75
2001-01-17,46.4375
2001-01-18,45.75
2001-01-19,45.0
2001-01-22,46.3125
2001-01-23,44.875
2001-01-24,46.375
2001-01-25,48.0
2001-01-26,48.25
2001-01-29,47.15
2001-01-30,49.68
2001-01-31,49.5
2001-02-01,49.4
2001-02-02,49.09
2001-02-05,50.12
2001-02-06,49.11
2001-02-07,49.94
2001-02-08,49.99
2001-02-09,51.21
2001-02-12,51.31
2001-02-13,52.47
2001-02-14,52.55
2001-02-15,52.8
2001-02-16,52.03
2001-02-20,51.46
2001-02-21,52.65
2001-02-22,51.14
2001-02-23,50.1
2001-02-26,51.1
2001-02-27,50.59
2001-02-28,50.97
2001-03-01,49.59
2001-03-02,51.0
2001-03-05,52.21
2001-03-06,52.2
2001-03-07,51.23
2001-03-08,51.65
2001-03-09,50.69
2001-03-12,49.55
2001-03-13,49.55
2001-03-14,49.26
2001-03-15,49.83
2001-03-16,48.43
2001-03-19,46.25
2001-03-20,47.1
2001-03-21,45.7
2001-03-22,45.68
2001-03-23,44.25
2001-03-26,44.8
2001-03-27,45.6
2001-03-28,45.93
2001-03-29,46.25
2001-03-30,44.99
2001-04-02,43.26
2001-04-03,41.96
2001-04-04,40.9
2001-04-05,41.5
2001-04-06,41.15
2001-04-09,40.67
2001-04-10,41.1
2001-04-11,39.86
2001-04-12,41.6
2001-04-16,42.1
2001-04-17,43.58
2001-04-18,44.01
2001-04-19,45.6
2001-04-20,44.98
2001-04-23,42.89
2001-04-24,38.5
2001-04-25,39.25
2001-04-26,39.96
2001-04-27,40.5
2001-04-30,41.0
2001-05-01,40.15
2001-05-02,40.37
2001-05-03,37.8
2001-05-04,33.0
2001-05-07,36.25
2001-05-08,36.05
2001-05-09,37.3
2001-05-10,37.25
2001-05-11,36.3
2001-05-14,36.75
2001-05-15,36.19
2001-05-16,36.75
2001-05-17,37.26
2001-05-18,37.13
2001-05-21,37.02
2001-05-22,37.07
2001-05-23,36.09
2001-05-24,36.21
2001-05-25,36.78
2001-05-29,36.73
2001-05-30,37.65
2001-05-31,37.55
2001-06-01,38.1
2001-06-04,38.16
2001-06-05,38.0
2001-06-06,37.0
2001-06-07,37.0
2001-06-08,36.75
2001-06-11,36.5
2001-06-12,35.21
2001-06-13,34.92
2001-06-14,34.65
2001-06-15,34.69
2001-06-18,35.2
2001-06-19,35.12
2001-06-20,35.0
2001-06-21,35.75
2001-06-22,35.03
2001-06-25,36.45
2001-06-26,35.95
2001-06-27,35.87
2001-06-28,36.36
2001-06-29,36.0
2001-07-02,36.05
2001-07-03,35.9
2001-07-05,35.44
2001-07-06,36.27
2001-07-09,36.41
2001-07-10,31.34
2001-07-11,28.05
2001-07-12,27.99
2001-07-13,29.3
2001-07-16,29.01
2001-07-17,28.89
2001-07-18,30.78
2001-07-19,31.07
2001-07-20,31.04
2001-07-23,30.85
2001-07-24,30.5
2001-07-25,31.25
2001-07-26,32.11
2001-07-27,32.85
2001-07-30,32.55
2001-07-31,31.88
2001-08-01,31.83
2001-08-02,32.5
2001-08-03,32.22
2001-08-06,33.05
2001-08-07,32.59
2001-08-08,31.67
2001-08-09,31.89
2001-08-10,32.11
2001-08-13,31.66
2001-08-14,30.86
2001-08-15,30.98
2001-08-16,31.65
2001-08-17,32.0
2001-08-20,31.6
2001-08-21,35.3
2001-08-22,37.1
2001-08-23,37.06
2001-08-24,37.81
2001-08-27,38.23
2001-08-28,37.51
2001-08-29,36.9
2001-08-30,36.37
2001-08-31,36.12
2001-09-04,34.85
2001-09-05,35.3
2001-09-06,34.3
2001-09-07,33.95
2001-09-10,34.15
2001-09-17,34.75
2001-09-18,34.32
2001-09-19,35.69
2001-09-20,35.9
2001-09-21,35.1
2001-09-24,36.1
2001-09-25,37.35
2001-09-26,37.22
2001-09-27,39.01
2001-09-28,38.5
2001-10-01,38.9
2001-10-02,39.7
2001-10-03,39.15
2001-10-04,38.88
2001-10-05,38.62
2001-10-08,39.21
2001-10-09,39.46
2001-10-10,40.0
2001-10-11,40.0
2001-10-12,40.21
2001-10-15,40.31
2001-10-16,41.68
2001-10-17,39.49
2001-10-18,39.27
2001-10-19,42.49
2001-10-22,43.4
2001-10-23,41.7
2001-10-24,42.65
2001-10-25,42.77
2001-10-26,42.8
2001-10-29,42.33
2001-10-30,41.79
2001-10-31,41.51
2001-11-01,41.52
2001-11-02,42.1
2001-11-05,43.95
2001-11-06,43.67
2001-11-07,43.77
2001-11-08,43.26
2001-11-09,42.06
2001-11-12,43.48
2001-11-13,42.36
2001-11-14,42.63
2001-11-15,44.24
2001-11-16,44.98
2001-11-19,46.41
2001-11-20,46.82
2001-11-21,50.3
2001-11-23,50.45
2001-11-26,50.31
2001-11-27,49.53
2001-11-28,48.83
2001-11-29,48.55
2001-11-30,48.81
2001-12-03,48.72
2001-12-04,48.19
2001-12-05,48.77
2001-12-06,48.82
2001-12-07,48.89
2001-12-10,49.23
2001-12-11,48.12
2001-12-12,47.0
2001-12-13,47.0
2001-12-14,47.15
2001-12-17,46.97
2001-12-18,49.55
2001-12-19,48.87
2001-12-20,49.14
2001-12-21,50.05
2001-12-24,50.32
2001-12-26,50.26
2001-12-27,50.53
2001-12-28,49.8
2001-12-31,49.8
2002-01-02,48.82
2002-01-03,48.36
2002-01-04,48.38
2002-01-07,47.02
2002-01-08,47.32
2002-01-09,46.5
2002-01-10,46.7
2002-01-11,46.57
2002-01-14,45.92
2002-01-15,44.9
2002-01-16,45.77
2002-01-17,46.19
2002-01-18,45.8
2002-01-22,46.62
2002-01-23,46.24
2002-01-24,46.23
2002-01-25,45.28
2002-01-28,42.8
2002-01-29,43.62
2002-01-30,47.0
2002-01-31,48.05
2002-02-01,47.9
2002-02-04,47.26
2002-02-05,48.62
2002-02-06,48.6
2002-02-07,48.09
2002-02-08,48.75
2002-02-11,48.83
2002-02-12,48.3
2002-02-13,49.9
2002-02-14,49.8
2002-02-15,49.14
2002-02-19,47.5
2002-02-20,47.19
2002-02-21,46.15
2002-02-22,41.45
2002-02-25,41.68
2002-02-26,42.7
2002-02-27,42.82
2002-02-28,41.5
2002-03-01,41.39
2002-03-04,43.02
2002-03-05,41.75
2002-03-06,40.5
2002-03-07,38.78
2002-03-08,39.6
2002-03-11,40.68
2002-03-12,41.25
2002-03-13,42.01
2002-03-14,41.2
2002-03-15,41.76
2002-03-18,42.36
2002-03-19,42.05
2002-03-20,41.9
2002-03-21,42.12
2002-03-22,41.31
2002-03-25,41.58
2002-03-26,41.36
2002-03-27,43.1
2002-03-28,43.32
2002-04-01,42.17
2002-04-02,41.98
2002-04-03,41.59
2002-04-04,41.05
2002-04-05,41.25
2002-04-08,41.24
2002-04-09,41.24
2002-04-10,42.0
2002-04-11,41.66
2002-04-12,40.56
2002-04-15,40.0
2002-04-16,41.36
2002-04-17,41.25
2002-04-18,41.73
2002-04-19,39.92
2002-04-22,39.34
2002-04-23,39.23
2002-04-24,38.99
2002-04-25,38.4
2002-04-26,37.6
2002-04-29,37.6
2002-04-30,37.6
2002-05-01,39.5
2002-05-02,39.35
2002-05-03,38.4
2002-05-06,38.5
2002-05-07,37.0
2002-05-08,37.5
2002-05-09,38.54
2002-05-10,37.8
2002-05-13,37.43
2002-05-14,37.53
2002-05-15,36.67
2002-05-16,36.7
2002-05-17,37.6
2002-05-20,37.59
2002-05-21,37.0
2002-05-22,37.55
2002-05-23,39.14
2002-05-24,39.75
2002-05-28,39.85
2002-05-29,40.4
2002-05-30,39.75
2002-05-31,40.0
2002-06-03,38.9
2002-06-04,38.35
2002-06-05,38.29
2002-06-06,37.5
2002-06-07,36.7
2002-06-10,37.57
2002-06-11,36.05
2002-06-12,34.15
2002-06-13,31.7
2002-06-14,33.04
2002-06-17,34.14
2002-06-18,34.08
2002-06-19,32.97
2002-06-20,30.54
2002-06-21,30.15
2002-06-24,30.5
2002-06-25,30.7
2002-06-26,29.21
2002-06-27,30.79
2002-06-28,30.23
2002-07-01,29.19
2002-07-02,28.82
2002-07-03,29.16
2002-07-05,29.8
2002-07-08,28.9
2002-07-09,27.82
2002-07-10,27.3
2002-07-11,27.8
2002-07-12,28.18
2002-07-15,28.38
2002-07-16,27.97
2002-07-17,29.0
2002-07-18,28.82
2002-07-19,31.3
2002-07-22,31.02
2002-07-23,29.84
2002-07-24,31.99
2002-07-25,32.27
2002-07-26,33.19
2002-07-29,34.98
2002-07-30,36.7
2002-07-31,34.8
2002-08-01,34.82
2002-08-02,34.6
2002-08-05,33.07
2002-08-06,33.47
2002-08-07,34.9
2002-08-08,35.4
2002-08-09,36.82
2002-08-12,36.8
2002-08-13,34.87
2002-08-14,36.36
2002-08-15,36.94
2002-08-16,36.14
2002-08-19,36.28
2002-08-20,35.87
2002-08-21,35.68
2002-08-22,36.15
2002-08-23,36.49
2002-08-26,35.85
2002-08-27,35.19
2002-08-28,35.5
