,Close
2002-01-02,56.48
2002-01-03,54.29
2002-01-04,55.29
2002-01-07,53.72
2002-01-08,53.41
2002-01-09,52.4
2002-01-10,54.12
2002-01-11,55.27
2002-01-14,52.96
2002-01-15,52.57
2002-01-16,51.07
2002-01-17,48.69
2002-01-18,49.28
2002-01-22,49.82
2002-01-23,51.05
2002-01-24,47.95
2002-01-25,48.66
2002-01-28,47.21
2002-01-29,45.49
2002-01-30,44.46
2002-01-31,45.61
2002-02-01,46.55
2002-02-04,44.04
2002-02-05,43.69
2002-02-06,41.34
2002-02-07,39.11
2002-02-08,43.3
2002-02-11,43.78
2002-02-12,46.2
2002-02-13,46.25
2002-02-14,45.01
2002-02-15,46.13
2002-02-19,44.62
2002-02-20,47.09
2002-02-21,44.96
2002-02-22,45.86
2002-02-25,44.55
2002-02-26,46.49
2002-02-27,44.98
2002-02-28,44.38
2002-03-01,44.47
2002-03-04,44.16
2002-03-05,42.86
2002-03-06,44.28
2002-03-07,45.01
2002-03-08,46.38
2002-03-11,46.38
2002-03-12,46.73
2002-03-13,47.64
2002-03-14,48.86
2002-03-15,50.01
2002-03-18,50.92
2002-03-19,50.54
2002-03-20,49.51
2002-03-21,50.83
2002-03-22,51.8
2002-03-25,49.25
2002-03-26,48.79
2002-03-27,43.37
2002-03-28,43.67
2002-04-01,42.65
2002-04-02,42.03
2002-04-03,41.15
2002-04-04,40.67
2002-04-05,39.27
2002-04-08,39.73
2002-04-09,40.67
2002-04-10,42.98
2002-04-11,42.3
2002-04-12,42.1
2002-04-15,43.32
2002-04-16,44.18
2002-04-17,41.99
2002-04-18,41.86
2002-04-19,40.88
2002-04-22,40.82
2002-04-23,40.95
2002-04-24,41.27
2002-04-25,40.36
2002-04-26,39.12
2002-04-29,38.65
2002-04-30,40.94
2002-05-01,39.83
2002-05-02,39.53
2002-05-03,38.17
2002-05-06,36.08
2002-05-07,35.8
2002-05-08,39.32
2002-05-09,37.6
2002-05-10,35.41
2002-05-13,35.46
2002-05-14,36.25
2002-05-15,36.2
2002-05-16,34.77
2002-05-17,35.58
2002-05-20,34.21
2002-05-21,32.34
2002-05-22,33.81
2002-05-23,35.66
2002-05-24,33.24
2002-05-28,33.7
2002-05-29,31.88
2002-05-30,32.52
2002-05-31,32.03
2002-06-03,29.59
2002-06-04,30.43
2002-06-05,30.78
2002-06-06,29.49
2002-06-07,29.28
2002-06-10,30.01
2002-06-11,27.56
2002-06-12,27.46
2002-06-13,27.54
2002-06-14,26.75
2002-06-17,27.62
2002-06-18,26.91
2002-06-19,25.87
2002-06-20,19.7
2002-06-21,18.94
2002-06-24,19.26
2002-06-25,18.96
2002-06-26,19.0
2002-06-27,19.1
2002-06-28,19.24
2002-07-01,18.04
2002-07-02,17.47
2002-07-03,18.11
2002-07-05,19.87
2002-07-08,19.58
2002-07-09,18.19
2002-07-10,16.88
2002-07-11,17.73
2002-07-12,17.75
2002-07-15,18.03
2002-07-16,18.66
2002-07-17,20.6
2002-07-18,18.96
2002-07-19,18.55
2002-07-22,18.64
2002-07-23,18.5
2002-07-24,19.86
2002-07-25,19.7
2002-07-26,19.98
2002-07-29,21.31
2002-07-30,23.15
2002-07-31,22.78
2002-08-01,21.79
2002-08-02,21.29
2002-08-05,20.58
2002-08-06,21.51
2002-08-07,22.57
2002-08-08,23.02
2002-08-09,23.29
2002-08-12,23.44
2002-08-13,21.59
2002-08-14,23.94
2002-08-15,24.83
2002-08-16,24.26
2002-08-19,23.72
2002-08-20,23.25
2002-08-21,24.89
2002-08-22,25.34
2002-08-23,23.65
2002-08-26,23.12
2002-08-27,22.14
2002-08-28,22.36
2002-08-29,22.47
2002-08-30,20.68
2002-09-03,19.9
2002-09-04,20.54
2002-09-05,19.11
2002-09-06,19.59
2002-09-09,20.1
2002-09-10,20.19
2002-09-11,20.0
2002-09-12,19.45
2002-09-13,18.42
2002-09-16,19.95
2002-09-17,20.62
2002-09-18,21.7
2002-09-19,21.758
2002-09-20,21.42
2002-09-23,20.18
2002-09-24,20.71
2002-09-25,22.4
2002-09-26,21.38
2002-09-27,20.68
2002-09-30,20.61
2002-10-01,21.73
2002-10-02,21.0
2002-10-03,22.45
2002-10-04,21.242
2002-10-07,21.23
2002-10-08,21.34
2002-10-09,21.39
2002-10-10,22.56
2002-10-11,23.57
2002-10-14,24.78
2002-10-15,24.76
2002-10-16,26.27
2002-10-17,28.36
2002-10-18,28.45
2002-10-21,28.45
2002-10-22,28.4301
2002-10-23,27.97
2002-10-24,26.79
2002-10-25,27.52
2002-10-28,27.24
2002-10-29,27.5
2002-10-30,27.82
2002-10-31,27.85
2002-11-01,28.37
2002-11-04,28.8
2002-11-05,29.6
2002-11-06,30.05
2002-11-07,29.43
2002-11-08,28.6
2002-11-11,27.98
2002-11-12,28.5
2002-11-13,28.14
2002-11-14,29.35
2002-11-15,29.869
2002-11-18,29.97
2002-11-19,29.21
2002-11-20,30.7
2002-11-21,30.25
2002-11-22,30.18
2002-11-25,31.3
2002-11-26,30.14
2002-11-27,33.73
2002-11-29,32.8
2002-12-02,35.24
2002-12-03,36.2
2002-12-04,34.6
2002-12-05,34.53
2002-12-06,34.43
2002-12-09,32.87
2002-12-10,33.55
2002-12-11,33.052
2002-12-12,33.7
2002-12-13,32.28
2002-12-16,32.93
2002-12-17,33.57
2002-12-18,32.33
2002-12-19,31.79
2002-12-20,31.79
2002-12-23,32.41
2002-12-24,32.349
2002-12-26,31.75
2002-12-27,30.0
2002-12-30,29.74
2002-12-31,29.57
2003-01-02,30.53
2003-01-03,30.35
2003-01-06,29.71
2003-01-07,29.94
2003-01-08,28.82
2003-01-09,28.91
2003-01-10,31.58
2003-01-14,32.65
2003-01-15,35.11
2003-01-16,36.01
2003-01-17,35.41
2003-01-21,35.07
2003-01-22,34.28
2003-01-23,34.56
2003-01-24,33.3
2003-01-27,32.4
2003-01-28,32.97
2003-01-29,33.3
2003-01-30,32.78
2003-01-31,32.29
2003-02-03,33.2
2003-02-04,30.6
2003-02-05,30.69
2003-02-06,30.07
2003-02-07,30.38
2003-02-10,30.63
2003-02-11,30.44
2003-02-12,30.38
2003-02-13,30.02
2003-02-14,30.16
2003-02-18,30.89
2003-02-19,30.58
2003-02-20,30.62
2003-02-21,31.56
2003-02-24,30.28
2003-02-25,30.56
2003-02-26,30.24
2003-02-27,30.96
2003-02-28,31.18
2003-03-03,30.941
2003-03-04,30.92
2003-03-05,30.58
2003-03-06,30.57
2003-03-07,31.18
2003-03-10,31.04
2003-03-11,30.99
2003-03-12,31.13
2003-03-13,33.53
2003-03-14,34.01
2003-03-17,35.35
2003-03-18,35.85
2003-03-19,36.18
2003-03-20,35.89
2003-03-21,36.28
2003-03-24,34.67
2003-03-25,35.84
2003-03-26,35.98
2003-03-27,37.2
2003-03-28,36.55
2003-03-31,36.45
2003-04-01,36.85
2003-04-02,38.33
2003-04-03,37.75
2003-04-04,37.47
2003-04-07,36.29
2003-04-08,36.58
2003-04-09,34.51
2003-04-10,34.94
2003-04-11,34.42
2003-04-14,35.18
2003-04-15,35.79
2003-04-16,33.48
2003-04-17,34.92
2003-04-21,34.63
2003-04-22,35.89
2003-04-23,36.35
2003-04-24,39.52
2003-04-25,39.81
2003-04-28,40.51
