,Close
2000-01-03,12.5833
2000-01-04,12.3333
2000-01-05,12.3333
2000-01-06,12.3056
2000-01-07,12.5556
2000-01-10,12.3889
2000-01-11,12.3611
2000-01-12,12.3056
2000-01-13,12.4167
2000-01-14,12.1667
2000-01-18,11.4444
2000-01-19,10.8333
2000-01-20,10.5
2000-01-21,10.3611
2000-01-24,10.4444
2000-01-25,10.3611
2000-01-26,10.5278
2000-01-27,10.6111
2000-01-28,10.2222
2000-01-31,11.1944
2000-02-01,9.9722
2000-02-02,10.3056
2000-02-03,10.3333
2000-02-04,10.25
2000-02-07,10.25
2000-02-08,9.8889
2000-02-09,9.5278
2000-02-10,9.3056
2000-02-11,9.3333
2000-02-14,9.1111
2000-02-15,9.2778
2000-02-16,9.2222
2000-02-17,9.0
2000-02-18,8.8333
2000-02-22,8.9444
2000-02-23,8.7222
2000-02-24,8.6389
2000-02-25,8.6111
2000-02-28,8.5833
2000-02-29,8.8056
2000-03-01,9.0
2000-03-02,8.75
2000-03-03,8.9167
2000-03-06,8.7222
2000-03-07,8.4444
2000-03-08,8.5278
2000-03-09,8.6111
2000-03-10,8.5
2000-03-13,8.4722
2000-03-14,8.4722
2000-03-15,8.8889
2000-03-16,10.0556
2000-03-17,9.9722
2000-03-20,10.0278
2000-03-21,10.4444
2000-03-22,10.3056
2000-03-23,10.5556
2000-03-24,10.6111
2000-03-27,10.2222
2000-03-28,10.0556
2000-03-29,10.1111
2000-03-30,10.4167
2000-03-31,10.2778
2000-04-03,10.5278
2000-04-04,10.3611
2000-04-05,10.4722
2000-04-06,10.5278
2000-04-07,10.4722
2000-04-10,10.6111
2000-04-11,10.6111
2000-04-12,10.6667
2000-04-13,10.6111
2000-04-14,9.9444
2000-04-17,9.9444
2000-04-18,10.1944
2000-04-19,9.8611
2000-04-20,10.0556
2000-04-24,10.6111
2000-04-25,11.1111
2000-04-26,10.7222
2000-04-27,10.4167
2000-04-28,11.1389
2000-05-01,11.3889
2000-05-02,11.0
2000-05-03,10.75
2000-05-04,10.6389
2000-05-05,10.5278
2000-05-08,10.8056
2000-05-09,10.75
2000-05-10,10.4167
2000-05-11,10.3611
2000-05-12,10.75
2000-05-15,11.0556
2000-05-16,11.1667
2000-05-17,11.1667
2000-05-18,11.3889
2000-05-19,11.1111
2000-05-22,11.5278
2000-05-23,11.6111
2000-05-24,12.0833
2000-05-25,11.6944
2000-05-26,11.6667
2000-05-30,11.7222
2000-05-31,12.0833
2000-06-01,12.5833
2000-06-02,12.3056
2000-06-05,12.1389
2000-06-06,12.1944
2000-06-07,12.4444
2000-06-08,11.9722
2000-06-09,12.0833
2000-06-12,11.9444
2000-06-13,12.1667
2000-06-14,12.0556
2000-06-15,11.6667
2000-06-16,11.5
2000-06-19,11.4444
2000-06-20,10.9167
2000-06-21,11.0
2000-06-22,10.8611
2000-06-23,11.1111
2000-06-26,11.1389
2000-06-27,11.3333
2000-06-28,11.3611
2000-06-29,11.4444
2000-06-30,10.9722
2000-07-03,11.3611
2000-07-05,11.1389
2000-07-06,11.4167
2000-07-07,11.5833
2000-07-10,11.3333
2000-07-11,11.4722
2000-07-12,11.6944
2000-07-13,11.5556
2000-07-14,11.8333
2000-07-17,11.2778
2000-07-18,11.1389
2000-07-19,10.8611
2000-07-20,10.8889
2000-07-21,11.0
2000-07-24,10.8889
2000-07-25,11.1667
2000-07-26,11.3611
2000-07-27,11.4722
2000-07-28,11.1389
2000-07-31,11.0556
2000-08-01,11.5
2000-08-02,11.3333
2000-08-03,11.0556
2000-08-04,11.8333
2000-08-07,11.7222
2000-08-08,11.9722
2000-08-09,11.5833
2000-08-10,11.4444
2000-08-11,12.0556
2000-08-14,12.5833
2000-08-15,12.4722
2000-08-16,12.0278
2000-08-17,11.9722
2000-08-18,12.0
2000-08-21,12.1944
2000-08-22,12.3056
2000-08-23,12.25
2000-08-24,12.0278
2000-08-25,11.9722
2000-08-28,11.9167
2000-08-29,11.9444
2000-08-30,12.3056
2000-08-31,12.4722
2000-09-01,12.2222
2000-09-05,12.2222
2000-09-06,12.4722
2000-09-07,12.3056
2000-09-08,12.75
2000-09-11,12.6667
2000-09-12,12.6944
2000-09-13,13.0556
2000-09-14,12.7778
2000-09-15,12.4722
2000-09-18,12.0278
2000-09-19,12.25
2000-09-20,12.2222
2000-09-21,12.1389
2000-09-22,12.4444
2000-09-25,12.2778
2000-09-26,12.3333
2000-09-27,12.6111
2000-09-28,12.75
2000-09-29,12.3611
2000-10-02,13.1667
2000-10-03,12.7222
2000-10-04,12.6944
2000-10-05,12.8333
2000-10-06,12.6944
2000-10-09,12.5278
2000-10-10,12.5833
2000-10-11,12.6111
2000-10-12,12.0556
2000-10-13,12.5
2000-10-16,12.6944
2000-10-17,12.4722
2000-10-18,12.3056
2000-10-19,12.7778
2000-10-20,12.9167
2000-10-23,12.6389
2000-10-24,13.4167
2000-10-25,14.0
2000-10-26,14.0
2000-10-27,14.0
2000-10-30,15.0278
2000-10-31,14.8056
2000-11-01,15.0278
2000-11-02,15.0833
2000-11-03,14.5833
2000-11-06,14.5278
2000-11-07,14.5833
2000-11-08,14.6667
2000-11-09,15.2222
2000-11-10,15.0833
2000-11-13,14.9167
2000-11-14,15.2222
2000-11-15,15.1944
2000-11-16,16.1389
2000-11-17,17.1111
2000-11-20,16.6389
2000-11-21,16.7222
2000-11-22,16.25
2000-11-24,16.4722
2000-11-27,16.5556
2000-11-28,16.5
2000-11-29,16.6944
2000-11-30,16.8889
2000-12-01,16.8889
2000-12-04,17.0
2000-12-05,17.25
2000-12-06,17.4444
2000-12-07,17.8611
2000-12-08,18.1111
2000-12-11,18.1667
2000-12-12,17.8889
2000-12-13,17.6944
2000-12-14,17.0833
2000-12-15,16.9167
2000-12-18,17.3889
2000-12-19,16.8333
2000-12-20,16.6111
2000-12-21,17.0833
2000-12-22,16.8889
2000-12-26,16.5556
2000-12-27,16.5556
2000-12-28,17.1111
2000-12-29,17.0833
2001-01-02,16.3333
2001-01-03,16.7222
2001-01-04,15.5278
2001-01-05,15.1111
2001-01-08,15.3333
2001-01-09,15.5
2001-01-10,15.6389
2001-01-11,15.0556
2001-01-12,14.8333
2001-01-16,15.1667
2001-01-17,15.1111
2001-01-18,15.0556
2001-01-19,14.7778
2001-01-22,15.2222
2001-01-23,15.5
2001-01-24,15.7778
2001-01-25,15.8056
2001-01-26,15.8889
2001-01-29,15.7111
2001-01-30,15.8044
2001-01-31,15.4178
2001-02-01,15.2889
2001-02-02,15.4222
2001-02-05,15.5867
2001-02-06,15.0133
2001-02-07,15.2089
2001-02-08,15.2089
2001-02-09,15.1067
2001-02-12,15.7556
2001-02-13,15.7644
2001-02-14,15.6311
2001-02-15,15.3333
2001-02-16,15.5556
2001-02-20,15.1467
2001-02-21,14.9822
2001-02-22,15.0489
2001-02-23,14.9556
2001-02-26,15.2578
2001-02-27,15.8133
2001-02-28,15.4578
2001-03-01,15.7644
2001-03-02,16.1244
2001-03-05,16.0844
2001-03-06,16.1867
2001-03-07,16.1422
2001-03-08,16.1333
2001-03-09,16.0889
2001-03-12,15.9911
2001-03-13,15.9867
2001-03-14,15.7333
2001-03-15,15.9778
2001-03-16,15.8222
2001-03-19,15.9422
2001-03-20,15.8844
2001-03-21,15.9156
2001-03-22,15.8356
2001-03-23,16.0356
2001-03-26,16.3378
2001-03-27,16.6
2001-03-28,16.6622
2001-03-29,16.8222
2001-03-30,17.2578
2001-04-02,17.2311
2001-04-03,16.7244
2001-04-04,16.8889
2001-04-05,17.2978
2001-04-06,16.8667
2001-04-09,16.9778
2001-04-10,17.2533
2001-04-11,17.0133
2001-04-12,17.1244
2001-04-16,17.1867
2001-04-17,17.7556
2001-04-18,17.7156
2001-04-19,16.7111
2001-04-20,16.6044
2001-04-23,16.3689
2001-04-24,16.3822
2001-04-25,16.7956
2001-04-26,16.88
2001-04-27,16.9778
2001-04-30,16.84
2001-05-01,16.9111
2001-05-02,16.5733
2001-05-03,16.44
2001-05-04,16.5422
2001-05-07,16.3867
2001-05-08,16.5022
2001-05-09,16.3644
2001-05-10,16.4178
2001-05-11,16.3867
2001-05-14,16.2533
2001-05-15,16.5067
2001-05-16,16.4889
2001-05-17,16.4044
2001-05-18,16.3378
2001-05-21,16.5822
2001-05-22,16.64
2001-05-23,16.5689
2001-05-24,16.6844
2001-05-25,16.6667
2001-05-29,16.8889
2001-05-30,16.7778
2001-05-31,16.8533
2001-06-01,16.8444
2001-06-04,17.0089
2001-06-05,17.2
2001-06-06,17.12
2001-06-07,17.1333
2001-06-08,17.1644
2001-06-11,17.1333
2001-06-12,17.16
2001-06-13,17.1556
2001-06-14,17.1111
2001-06-15,17.1289
2001-06-18,17.2978
2001-06-19,17.4311
2001-06-20,17.5689
2001-06-21,17.7644
2001-06-22,17.4933
2001-06-25,17.4444
2001-06-26,17.6222
2001-06-27,17.7333
2001-06-28,17.7911
2001-06-29,17.8711
2001-07-02,18.08
2001-07-03,18.0133
2001-07-05,18.0667
2001-07-06,17.7778
2001-07-09,17.8844
2001-07-10,17.7822
2001-07-11,17.7733
2001-07-12,17.9689
2001-07-13,18.1822
2001-07-16,18.2444
2001-07-17,18.1822
2001-07-18,18.2133
2001-07-19,18.1733
2001-07-20,17.8222
2001-07-23,17.6089
2001-07-24,17.6756
2001-07-25,17.88
2001-07-26,17.9422
2001-07-27,18.0178
2001-07-30,18.0089
2001-07-31,18.4489
2001-08-01,18.4933
2001-08-02,18.4133
2001-08-03,18.3467
2001-08-06,18.1289
2001-08-07,18.2622
2001-08-08,18.4267
2001-08-09,18.3378
2001-08-10,18.5422
2001-08-13,18.6711
2001-08-14,18.7067
2001-08-15,18.84
2001-08-16,18.9467
2001-08-17,18.8889
2001-08-20,18.9467
2001-08-21,19.0
2001-08-22,18.8444
2001-08-23,18.9511
2001-08-24,19.1333
2001-08-27,18.84
2001-08-28,18.72
2001-08-29,18.6222
2001-08-30,18.8311
2001-08-31,18.7733
2001-09-04,18.6133
2001-09-05,18.4133
2001-09-06,18.0844
2001-09-07,17.5422
2001-09-10,17.7467
2001-09-17,16.9778
2001-09-18,16.7244
2001-09-19,16.2533
2001-09-20,15.8667
2001-09-21,15.8222
2001-09-24,16.56
2001-09-25,16.6089
2001-09-26,16.6178
2001-09-27,16.9422
2001-09-28,17.3333
2001-10-01,17.1867
2001-10-02,17.4978
2001-10-03,17.7556
2001-10-04,17.7244
2001-10-05,17.4222
2001-10-08,16.9333
2001-10-09,17.1333
2001-10-10,17.4622
2001-10-11,17.3467
2001-10-12,17.3022
2001-10-15,17.3156
2001-10-16,17.3911
2001-10-17,17.2444
2001-10-18,17.0
2001-10-19,16.9511
2001-10-22,17.3822
2001-10-23,17.1111
2001-10-24,16.4667
2001-10-25,16.7778
2001-10-26,17.0222
2001-10-29,16.7956
2001-10-30,16.64
2001-10-31,16.4578
2001-11-01,16.7467
2001-11-02,17.1422
2001-11-05,17.5378
2001-11-06,17.6044
2001-11-07,17.48
2001-11-08,17.5644
2001-11-09,17.3467
2001-11-12,17.3289
2001-11-13,17.5644
2001-11-14,17.5422
2001-11-15,17.5378
2001-11-16,17.5156
2001-11-19,17.5778
2001-11-20,17.6
2001-11-21,17.4667
2001-11-23,17.5689
2001-11-26,17.5156
2001-11-27,17.52
2001-11-28,17.4933
2001-11-29,17.6533
2001-11-30,17.5333
2001-12-03,17.4222
2001-12-04,17.5156
2001-12-05,17.4089
2001-12-06,17.2444
2001-12-07,17.3778
2001-12-10,17.0311
2001-12-11,17.0089
2001-12-12,17.0578
2001-12-13,16.9778
2001-12-14,17.04
2001-12-17,17.1022
2001-12-18,17.2356
2001-12-19,17.2667
2001-12-20,17.3867
2001-12-21,17.2844
2001-12-24,17.2578
2001-12-26,17.2267
2001-12-27,17.1911
2001-12-28,17.2933
2001-12-31,17.48
2002-01-02,17.24
2002-01-03,17.1556
2002-01-04,17.2978
2002-01-07,17.0756
2002-01-08,17.0089
2002-01-09,17.0489
2002-01-10,17.1511
2002-01-11,16.96
2002-01-14,16.8222
2002-01-15,16.9867
2002-01-16,16.8622
2002-01-17,16.9289
2002-01-18,16.8622
2002-01-22,16.7778
