,Close
2007-01-03,11.701
2007-01-04,12.093
2007-01-05,12.192
2007-01-08,12.101
2007-01-09,12.149
2007-01-10,12.248
2007-01-11,12.505
2007-01-12,12.637
2007-01-16,12.619
2007-01-17,12.444
2007-01-18,12.208
2007-01-19,12.256
2007-01-22,12.035
2007-01-23,11.988
2007-01-24,12.489
2007-01-25,12.214
2007-01-26,12.408
2007-01-29,12.324
2007-01-30,12.37
2007-01-31,12.545
2007-02-01,12.055
2007-02-02,12.049
2007-02-05,11.691
2007-02-06,11.798
2007-02-07,11.762
2007-02-08,11.787
2007-02-09,11.558
2007-02-12,11.468
2007-02-13,11.489
2007-02-14,11.66
2007-02-15,11.548
2007-02-16,11.76
2007-02-20,11.814
2007-02-21,11.908
2007-02-22,11.908
2007-02-23,11.777
2007-02-26,11.635
2007-02-27,11.23
2007-02-28,11.247
2007-03-01,11.217
2007-03-02,10.978
2007-03-05,11.031
2007-03-06,11.45
2007-03-07,11.402
2007-03-08,11.379
2007-03-09,11.335
2007-03-12,11.38
2007-03-13,11.086
2007-03-14,11.211
2007-03-15,11.166
2007-03-16,11.032
2007-03-19,11.194
2007-03-20,11.143
2007-03-21,11.425
2007-03-22,11.562
2007-03-23,11.557
2007-03-26,11.636
2007-03-27,11.603
2007-03-28,11.558
2007-03-29,11.534
2007-03-30,11.465
2007-04-02,11.474
2007-04-03,11.826
2007-04-04,11.787
2007-04-05,11.799
2007-04-09,11.717
2007-04-10,11.674
2007-04-11,11.625
2007-04-12,11.696
2007-04-13,11.669
2007-04-16,11.868
2007-04-17,11.831
2007-04-18,11.912
2007-04-19,11.803
2007-04-20,12.074
2007-04-23,11.989
2007-04-24,11.95
2007-04-25,11.963
2007-04-26,12.041
2007-04-27,11.987
2007-04-30,11.796
2007-05-01,11.736
2007-05-02,11.656
2007-05-03,11.842
2007-05-04,11.789
2007-05-07,11.693
2007-05-08,11.682
2007-05-09,11.743
2007-05-10,11.548
2007-05-11,11.68
2007-05-14,11.556
2007-05-15,11.461
2007-05-16,11.827
2007-05-17,11.785
2007-05-18,11.769
2007-05-21,11.776
2007-05-22,11.908
2007-05-23,11.861
2007-05-24,11.87
2007-05-25,12.1
2007-05-29,12.19
2007-05-30,12.477
2007-05-31,12.456
2007-06-01,12.523
2007-06-04,12.689
2007-06-05,12.984
2007-06-06,12.969
2007-06-07,12.889
2007-06-08,12.9
2007-06-11,12.796
2007-06-12,12.631
2007-06-13,12.643
2007-06-14,12.583
2007-06-15,12.66
2007-06-18,12.892
2007-06-19,12.873
2007-06-20,12.762
2007-06-21,12.865
2007-06-22,13.137
2007-06-25,13.198
2007-06-26,13.269
2007-06-27,13.17
2007-06-28,13.138
2007-06-29,13.097
2007-07-02,13.272
2007-07-03,13.371
2007-07-05,13.554
2007-07-06,13.498
2007-07-09,13.577
2007-07-10,13.597
2007-07-11,13.625
2007-07-12,13.646
2007-07-13,13.817
2007-07-16,13.838
2007-07-17,13.891
2007-07-18,13.751
2007-07-19,13.728
2007-07-20,13.016
2007-07-23,12.825
2007-07-24,12.855
2007-07-25,12.756
2007-07-26,12.712
2007-07-27,12.81
2007-07-30,12.915
2007-07-31,12.762
2007-08-01,12.836
2007-08-02,12.788
2007-08-03,12.587
2007-08-06,12.762
2007-08-07,12.913
2007-08-08,13.157
2007-08-09,12.881
2007-08-10,12.906
2007-08-13,12.9
2007-08-14,12.727
2007-08-15,12.451
2007-08-16,12.3
2007-08-17,12.513
2007-08-20,12.46
2007-08-21,12.678
2007-08-22,12.831
2007-08-23,12.817
2007-08-24,12.887
2007-08-27,12.844
2007-08-28,12.672
2007-08-29,12.834
2007-08-30,12.797
2007-08-31,12.894
2007-09-04,13.141
2007-09-05,13.208
2007-09-06,13.101
2007-09-07,12.996
2007-09-10,12.874
2007-09-11,13.046
2007-09-12,13.079
