,Close
2000-01-03,43.4375
2000-01-04,41.5625
2000-01-05,39.75
2000-01-06,44.4375
2000-01-07,46.5625
2000-01-10,47.9375
2000-01-11,49.4375
2000-01-12,49.9375
2000-01-13,49.1875
2000-01-14,47.8125
2000-01-18,47.8125
2000-01-19,48.0
2000-01-20,46.75
2000-01-21,45.25
2000-01-24,42.5625
2000-01-25,44.3125
2000-01-26,45.125
2000-01-27,44.875
2000-01-28,43.5
2000-01-31,44.6875
2000-02-01,46.0
2000-02-02,46.8125
2000-02-03,52.9375
2000-02-04,51.6875
2000-02-07,50.0
2000-02-08,50.0625
2000-02-09,49.1875
2000-02-10,49.0
2000-02-11,48.5625
2000-02-14,50.125
2000-02-15,50.6875
2000-02-16,49.3125
2000-02-17,41.875
2000-02-18,43.0
2000-02-22,44.8125
2000-02-23,42.9375
2000-02-24,42.9375
2000-02-25,46.8125
2000-02-28,46.125
2000-02-29,48.3125
2000-03-01,47.875
2000-03-02,44.25
2000-03-03,45.5
2000-03-06,45.0
2000-03-07,43.0
2000-03-08,43.9375
2000-03-09,45.625
2000-03-10,46.125
2000-03-13,45.9375
2000-03-14,43.9375
2000-03-15,45.0
2000-03-16,48.75
2000-03-17,46.4375
2000-03-20,47.6875
2000-03-21,49.375
2000-03-22,47.5625
2000-03-23,47.8125
2000-03-24,46.8125
2000-03-27,46.375
2000-03-28,46.8125
2000-03-29,48.9375
2000-03-30,50.0
2000-03-31,49.8125
2000-04-03,50.0
2000-04-04,51.1875
2000-04-05,49.5
2000-04-06,44.0625
2000-04-07,45.5625
2000-04-10,44.875
2000-04-11,43.5
2000-04-12,43.875
2000-04-13,41.6875
2000-04-14,37.25
2000-04-17,38.625
2000-04-18,37.25
2000-04-19,39.25
2000-04-20,38.9375
2000-04-24,39.5
2000-04-25,38.625
2000-04-26,39.3125
2000-04-27,36.875
2000-04-28,36.75
2000-05-01,38.0625
2000-05-02,39.125
2000-05-03,37.25
2000-05-04,36.0
2000-05-05,34.4375
2000-05-08,33.25
2000-05-09,34.0
2000-05-10,33.0625
2000-05-11,35.3125
2000-05-12,36.125
2000-05-15,36.25
2000-05-16,36.625
2000-05-17,37.0
