,Close
2007-01-03,99.77
2007-01-04,99.14
2007-01-05,98.5
2007-01-08,99.17
2007-01-09,100.08
2007-01-10,100.29
2007-01-11,102.4
2007-01-12,103.01
2007-01-16,103.0
2007-01-17,102.94
2007-01-18,102.99
2007-01-19,104.29
2007-01-22,103.17
2007-01-23,101.92
2007-01-24,101.7
2007-01-25,101.85
2007-01-26,95.9
2007-01-29,93.01
2007-01-30,93.19
2007-01-31,94.57
2007-02-01,96.75
2007-02-02,97.66
2007-02-05,97.64
2007-02-06,99.24
2007-02-07,101.59
2007-02-08,101.72
2007-02-09,101.55
2007-02-12,101.82
2007-02-13,102.52
2007-02-14,103.75
2007-02-15,104.09
2007-02-16,104.51
2007-02-20,104.96
2007-02-21,104.48
2007-02-22,103.92
2007-02-23,103.26
2007-02-26,101.89
2007-02-27,99.81
2007-02-28,99.16
2007-03-01,99.46
2007-03-02,97.49
2007-03-05,96.39
2007-03-06,97.8
2007-03-07,97.78
2007-03-08,98.32
2007-03-09,98.57
2007-03-12,98.02
2007-03-13,97.23
2007-03-14,98.86
2007-03-15,98.63
2007-03-16,97.31
2007-03-19,98.29
2007-03-20,98.36
2007-03-21,99.67
2007-03-22,100.26
2007-03-23,99.59
2007-03-26,98.5
2007-03-27,97.86
2007-03-28,97.05
2007-03-29,96.76
2007-03-30,96.08
2007-04-02,97.75
2007-04-03,98.62
2007-04-04,100.03
2007-04-05,99.61
2007-04-09,99.43
2007-04-10,99.81
2007-04-11,98.07
2007-04-12,98.76
2007-04-13,98.55
2007-04-16,100.32
2007-04-17,101.06
2007-04-18,101.81
2007-04-19,100.47
2007-04-20,102.4
2007-04-23,102.3
2007-04-24,101.66
2007-04-25,102.56
2007-04-26,122.5
2007-04-27,122.59
2007-04-30,121.89
2007-05-01,120.83
2007-05-02,119.7
2007-05-03,120.05
2007-05-04,119.65
2007-05-07,119.8
2007-05-08,119.96
2007-05-09,119.7
2007-05-10,119.5
2007-05-11,119.62
2007-05-14,119.0
2007-05-15,118.5
2007-05-16,118.61
2007-05-17,118.5
2007-05-18,118.19
2007-05-21,118.5
2007-05-22,118.5
2007-05-23,118.19
2007-05-24,117.95
2007-05-25,117.94
2007-05-29,118.0
2007-05-30,117.81
2007-05-31,118.65
2007-06-01,117.88
2007-06-04,117.91
2007-06-05,118.02
2007-06-06,117.76
2007-06-07,117.72
2007-06-08,117.95
2007-06-11,118.01
2007-06-12,117.55
2007-06-13,117.57
