,Close
2016-01-04,66.29
2016-01-05,66.44
2016-01-06,65.98
2016-01-07,64.29
2016-01-08,64.27
2016-01-11,67.83
2016-01-12,66.65
2016-01-13,64.95
2016-01-14,65.12
2016-01-15,64.27
2016-01-19,63.47
2016-01-20,62.83
2016-01-21,64.03
2016-01-22,65.82
2016-01-25,65.58
2016-01-26,66.96
2016-01-27,67.47
2016-01-28,67.51
2016-01-29,69.58
2016-02-01,71.02
2016-02-02,71.96
2016-02-03,70.2
2016-02-04,70.13
2016-02-05,69.19
2016-02-08,66.77
2016-02-09,66.5
2016-02-10,67.3
2016-02-11,64.25
2016-02-12,66.01
2016-02-16,65.6
2016-02-17,67.05
2016-02-18,67.52
2016-02-19,67.62
2016-02-22,69.95
2016-02-23,69.84
2016-02-24,70.14
2016-02-25,70.0
2016-02-26,70.44
2016-02-29,69.21
2016-03-01,70.79
2016-03-02,71.3
2016-03-03,72.93
2016-03-04,73.0
2016-03-07,72.94
2016-03-08,71.49
2016-03-09,72.26
2016-03-10,72.2
2016-03-11,74.95
2016-03-14,74.72
2016-03-15,73.17
2016-03-16,74.49
2016-03-17,73.72
2016-03-18,75.46
2016-03-21,75.52
2016-03-22,77.16
2016-03-23,76.95
2016-03-24,76.37
2016-03-28,76.44
2016-03-29,77.56
2016-03-30,78.1
2016-03-31,78.05
2016-04-01,79.2
2016-04-04,78.73
2016-04-05,78.24
2016-04-06,79.1
2016-04-07,78.84
2016-04-08,79.14
2016-04-11,79.57
2016-04-12,79.78
2016-04-13,80.6
2016-04-14,80.72
2016-04-15,80.33
2016-04-18,80.88
2016-04-19,79.78
2016-04-20,80.11
2016-04-21,80.22
2016-04-22,80.91
2016-04-25,80.12
2016-04-26,81.18
2016-04-27,81.78
2016-04-28,81.96
2016-04-29,80.62
2016-05-02,81.21
2016-05-03,79.06
2016-05-04,79.8
2016-05-05,80.61
2016-05-06,80.9
2016-05-09,80.98
2016-05-10,80.93
2016-05-11,80.25
2016-05-12,77.69
2016-05-13,77.92
2016-05-16,77.81
2016-05-17,77.27
2016-05-18,76.58
2016-05-19,76.72
2016-05-20,77.12
2016-05-23,76.22
2016-05-24,77.56
2016-05-25,77.73
2016-05-26,77.2
2016-05-27,77.36
2016-05-31,78.02
2016-06-01,78.37
2016-06-02,78.98
2016-06-03,78.14
2016-06-06,78.67
2016-06-07,79.24
2016-06-08,80.98
2016-06-09,81.03
2016-06-10,79.55
2016-06-13,77.95
2016-06-14,78.01
2016-06-15,77.81
2016-06-16,77.66
2016-06-17,77.43
2016-06-20,78.57
2016-06-21,78.75
2016-06-22,79.3
2016-06-23,79.75
2016-06-24,76.72
2016-06-27,74.43
2016-06-28,75.93
2016-06-29,77.05
2016-06-30,77.01
2016-07-01,76.66
2016-07-05,76.11
2016-07-06,76.17
2016-07-07,76.99
2016-07-08,78.21
2016-07-11,78.16
2016-07-12,78.4
2016-07-13,79.55
2016-07-14,78.31
2016-07-15,78.71
2016-07-18,79.55
2016-07-19,79.36
2016-07-20,80.53
2016-07-21,80.63
2016-07-22,80.35
2016-07-25,79.7
2016-07-26,79.66
2016-07-27,77.98
2016-07-28,77.88
2016-07-29,77.13
2016-08-01,75.52
2016-08-02,75.04
2016-08-03,75.71
2016-08-04,75.25
2016-08-05,75.84
2016-08-08,76.25
2016-08-09,76.14
2016-08-10,76.48
2016-08-11,77.12
2016-08-12,76.64
2016-08-15,77.42
2016-08-16,76.11
2016-08-17,74.02
2016-08-18,74.66
2016-08-19,74.51
2016-08-22,74.79
2016-08-23,74.97
2016-08-24,74.02
2016-08-25,75.02
2016-08-26,74.26
2016-08-29,74.96
2016-08-30,76.12
2016-08-31,75.55
2016-09-01,75.16
2016-09-02,76.51
2016-09-06,76.15
2016-09-07,78.13
2016-09-08,77.98
2016-09-09,75.94
2016-09-12,77.05
2016-09-13,76.16
2016-09-14,75.13
2016-09-15,75.39
2016-09-16,75.29
2016-09-19,75.85
2016-09-20,74.95
2016-09-21,75.44
2016-09-22,76.38
2016-09-23,76.12
2016-09-26,74.91
2016-09-27,75.13
2016-09-28,75.43
2016-09-29,75.26
2016-09-30,75.63
2016-10-03,74.55
2016-10-04,74.5
2016-10-05,74.74
2016-10-06,74.6
2016-10-07,74.23
2016-10-10,75.95
2016-10-11,75.76
2016-10-12,76.89
2016-10-13,80.29
2016-10-14,80.32
2016-10-17,80.39
2016-10-18,82.02
2016-10-19,81.83
2016-10-20,82.01
2016-10-21,81.74
2016-10-24,81.72
2016-10-25,80.96
2016-10-26,78.93
2016-10-27,79.31
2016-10-28,77.31
2016-10-31,76.53
2016-11-01,75.4
2016-11-02,75.1
2016-11-03,73.41
2016-11-04,75.33
2016-11-07,79.62
2016-11-08,80.88
2016-11-09,72.16
2016-11-10,72.06
2016-11-11,69.58
2016-11-14,71.94
2016-11-15,74.0
2016-11-16,73.54
2016-11-17,74.66
2016-11-18,72.39
2016-11-21,72.94
2016-11-22,70.09
2016-11-23,71.0
2016-11-25,71.39
2016-11-28,70.44
2016-11-29,71.52
2016-11-30,70.89
2016-12-01,71.2
2016-12-02,70.31
2016-12-05,70.58
2016-12-06,71.2
2016-12-07,71.96
2016-12-08,72.54
2016-12-09,73.25
2016-12-12,73.97
2016-12-13,73.95
2016-12-14,73.07
2016-12-15,74.46
2016-12-16,74.16
2016-12-19,73.5
2016-12-20,73.35
2016-12-21,73.52
2016-12-22,73.96
2016-12-23,74.46
2016-12-27,74.37
2016-12-28,73.56
2016-12-29,73.89
2016-12-30,74.02
2017-01-03,74.46
2017-01-04,77.13
2017-01-05,76.81
2017-01-06,76.62
2017-01-09,78.92
2017-01-10,78.27
2017-01-11,79.31
2017-01-12,79.12
2017-01-13,79.4
2017-01-17,80.93
2017-01-18,79.73
2017-01-19,78.62
2017-01-20,79.71
2017-01-23,79.84
2017-01-24,80.33
2017-01-25,80.57
2017-01-26,80.28
2017-01-27,79.52
2017-01-30,79.29
2017-01-31,80.28
2017-02-01,81.96
2017-02-02,82.29
2017-02-03,83.8
2017-02-06,82.67
2017-02-07,82.59
2017-02-08,83.0
2017-02-09,83.64
2017-02-10,83.63
2017-02-13,83.75
2017-02-14,83.71
2017-02-15,84.29
2017-02-16,84.14
2017-02-17,84.63
2017-02-21,85.74
2017-02-22,85.91
2017-02-23,86.45
2017-02-24,87.07
2017-02-27,87.78
2017-02-28,87.24
2017-03-01,88.04
2017-03-02,87.34
2017-03-03,88.53
2017-03-06,87.78
2017-03-07,86.63
2017-03-08,86.48
2017-03-09,86.89
2017-03-10,85.75
2017-03-13,84.99
2017-03-14,83.68
2017-03-15,85.55
2017-03-16,84.25
2017-03-17,84.59
2017-03-20,83.92
2017-03-21,82.62
2017-03-22,82.54
2017-03-23,83.17
2017-03-24,86.04
2017-03-27,90.49
2017-03-28,89.63
2017-03-29,89.19
2017-03-30,89.25
2017-03-31,88.99
2017-04-03,89.33
2017-04-04,87.67
2017-04-05,88.47
2017-04-06,88.72
2017-04-07,87.9
2017-04-10,88.25
2017-04-11,88.0
2017-04-12,88.2
2017-04-13,87.72
2017-04-17,85.65
2017-04-18,85.21
2017-04-19,84.61
2017-04-20,84.12
2017-04-21,83.55
2017-04-24,84.26
2017-04-25,84.61
2017-04-26,83.54
2017-04-27,83.44
2017-04-28,84.21
2017-05-01,83.86
2017-05-02,84.74
2017-05-03,82.85
2017-05-04,83.48
2017-05-05,83.5
2017-05-08,83.86
2017-05-09,84.13
2017-05-10,85.56
2017-05-11,85.29
2017-05-12,84.61
2017-05-15,83.82
2017-05-16,83.49
2017-05-17,81.57
2017-05-18,81.26
2017-05-19,82.15
2017-05-22,82.32
2017-05-23,81.93
2017-05-24,82.43
2017-05-25,83.11
2017-05-26,82.7
2017-05-30,81.99
2017-05-31,81.91
2017-06-01,83.75
2017-06-02,83.33
2017-06-05,82.4
2017-06-06,82.48
2017-06-07,82.68
2017-06-08,82.8
2017-06-09,83.57
2017-06-12,84.86
2017-06-13,84.85
2017-06-14,85.35
2017-06-15,84.02
2017-06-16,83.41
2017-06-19,84.61
2017-06-20,83.74
2017-06-21,84.05
2017-06-22,86.14
2017-06-23,86.24
2017-06-26,86.62
2017-06-27,86.01
2017-06-28,86.98
2017-06-29,86.81
2017-06-30,87.2
2017-07-03,87.19
2017-07-05,87.24
2017-07-06,84.83
2017-07-07,86.14
2017-07-10,85.88
2017-07-11,86.4
2017-07-12,86.45
2017-07-13,86.57
2017-07-14,86.64
2017-07-17,86.5
2017-07-18,85.87
2017-07-19,85.23
2017-07-20,85.76
2017-07-21,85.73
2017-07-24,86.09
2017-07-25,82.18
2017-07-26,81.63
2017-07-27,79.96
2017-07-28,80.44
2017-07-31,80.34
2017-08-01,79.28
2017-08-02,78.98
2017-08-03,78.96
2017-08-04,78.87
2017-08-07,78.49
2017-08-08,78.13
2017-08-09,77.92
2017-08-10,77.81
2017-08-11,79.37
2017-08-14,79.52
2017-08-15,79.25
2017-08-16,78.99
2017-08-17,77.79
2017-08-18,77.53
2017-08-21,78.26
2017-08-22,78.79
2017-08-23,78.9
2017-08-24,79.26
2017-08-25,79.51
2017-08-28,79.16
2017-08-29,77.59
2017-08-30,77.39
2017-08-31,78.66
2017-09-01,78.67
2017-09-05,78.31
2017-09-06,77.28
2017-09-07,76.37
