,Close
2019-01-02,192.56
2019-01-03,188.84
2019-01-04,195.52
2019-01-07,195.99
2019-01-08,194.67
2019-01-09,192.3
2019-01-10,192.53
2019-01-11,194.52
2019-01-14,196.03
2019-01-15,197.49
2019-01-16,195.57
2019-01-17,197.12
2019-01-18,200.29
2019-01-22,196.5
2019-01-23,196.61
2019-01-24,199.05
2019-01-25,202.08
2019-01-28,204.58
2019-01-29,206.45
2019-01-30,208.79
2019-01-31,206.45
2019-02-01,206.37
2019-02-04,211.33
2019-02-05,211.81
2019-02-06,211.07
2019-02-07,210.24
2019-02-08,209.26
2019-02-11,210.55
2019-02-12,214.27
2019-02-13,215.99
2019-02-14,214.48
2019-02-15,219.7
2019-02-19,218.0
2019-02-20,220.83
2019-02-21,217.04
2019-02-22,217.11
2019-02-25,213.6
2019-02-26,212.03
2019-02-27,210.24
2019-02-28,209.41
2019-03-01,210.0
2019-03-04,206.37
2019-03-05,206.45
2019-03-06,204.57
2019-03-07,201.46
2019-03-08,200.12
2019-03-11,200.52
2019-03-12,203.69
2019-03-13,207.83
2019-03-14,207.3
2019-03-15,204.41
2019-03-18,207.41
2019-03-19,205.0
2019-03-20,204.75
2019-03-21,207.81
2019-03-22,203.13
2019-03-25,203.37
2019-03-26,203.25
2019-03-27,202.97
2019-03-28,205.11
2019-03-29,207.2
2019-04-01,212.44
2019-04-02,210.82
2019-04-03,208.62
2019-04-04,209.49
2019-04-05,212.8
2019-04-08,214.23
2019-04-09,212.88
2019-04-10,212.23
2019-04-11,217.53
2019-04-12,219.28
2019-04-15,219.17
2019-04-16,221.05
2019-04-17,219.95
2019-04-18,220.9
2019-04-22,219.09
2019-04-23,225.67
2019-04-24,225.34
2019-04-25,223.32
2019-04-26,221.54
2019-04-29,220.94
2019-04-30,222.58
2019-05-01,223.14
2019-05-02,207.63
2019-05-03,212.03
2019-05-06,210.64
2019-05-07,208.55
2019-05-08,206.92
2019-05-09,207.38
2019-05-10,208.54
2019-05-13,205.28
2019-05-14,205.74
2019-05-15,205.01
2019-05-16,208.73
2019-05-17,207.0
2019-05-20,209.95
2019-05-21,211.98
2019-05-22,210.02
2019-05-23,204.32
2019-05-24,205.54
2019-05-28,204.59
2019-05-29,204.39
2019-05-30,204.86
2019-05-31,205.12
2019-06-03,207.83
2019-06-04,211.1
2019-06-05,215.81
2019-06-06,214.67
2019-06-07,218.2
2019-06-10,214.73
2019-06-11,209.27
2019-06-12,210.94
2019-06-13,214.92
2019-06-14,214.79
2019-06-17,216.0
2019-06-18,219.16
2019-06-19,221.78
2019-06-20,224.76
2019-06-21,222.9
2019-06-24,222.65
2019-06-25,223.48
2019-06-26,223.3
2019-06-27,223.94
2019-06-28,224.74
2019-07-01,224.44
2019-07-02,229.29
2019-07-03,232.73
2019-07-05,230.53
2019-07-08,228.83
2019-07-09,231.24
2019-07-10,230.39
2019-07-11,232.71
2019-07-12,234.67
2019-07-15,234.85
2019-07-16,236.15
2019-07-17,231.35
2019-07-18,229.87
2019-07-19,230.02
2019-07-22,228.84
2019-07-23,230.3
2019-07-24,233.67
2019-07-25,233.37
2019-07-26,233.97
2019-07-29,233.85
2019-07-30,233.14
2019-07-31,228.3
2019-08-01,215.01
2019-08-02,206.19
2019-08-05,201.76
2019-08-06,206.1
2019-08-07,207.37
2019-08-08,212.12
2019-08-09,209.36
2019-08-12,203.91
2019-08-13,203.74
2019-08-14,200.81
2019-08-15,203.95
2019-08-16,206.82
2019-08-19,208.24
2019-08-20,207.51
2019-08-21,209.43
2019-08-22,208.54
2019-08-23,204.27
2019-08-26,204.62
2019-08-27,202.61
2019-08-28,203.81
2019-08-29,207.27
2019-08-30,209.0
2019-09-03,208.04
2019-09-04,208.56
2019-09-05,214.24
2019-09-06,215.0
2019-09-09,215.45
2019-09-10,217.88
2019-09-11,220.38
2019-09-12,216.79
2019-09-13,218.31
2019-09-16,222.66
2019-09-17,221.08
2019-09-18,219.7
2019-09-19,218.46
2019-09-20,214.82
2019-09-23,212.34
2019-09-24,212.64
2019-09-25,213.75
2019-09-26,214.26
