,Close
2000-01-03,7.8125
2000-01-04,7.6875
2000-01-05,7.8125
2000-01-06,7.8125
2000-01-07,7.6875
2000-01-10,7.5
2000-01-11,7.25
2000-01-12,7.0625
2000-01-13,7.0625
2000-01-14,6.9375
2000-01-18,7.25
2000-01-19,7.125
2000-01-20,6.9375
2000-01-21,6.625
2000-01-24,6.625
2000-01-25,6.4375
2000-01-26,6.3125
2000-01-27,6.8125
2000-01-28,6.4375
2000-01-31,6.625
2000-02-01,6.3125
2000-02-02,6.75
2000-02-03,6.6875
2000-02-04,7.4375
2000-02-07,7.0625
2000-02-08,6.9375
2000-02-09,7.3125
2000-02-10,7.5625
2000-02-11,7.5625
2000-02-14,7.375
2000-02-15,7.5625
2000-02-16,7.1875
2000-02-17,7.0
2000-02-18,7.3125
2000-02-22,7.3125
2000-02-23,7.0625
2000-02-24,6.5625
2000-02-25,6.625
2000-02-28,6.5
2000-02-29,6.5
2000-03-01,6.4375
2000-03-02,6.5625
2000-03-03,6.3125
2000-03-06,6.3125
2000-03-07,6.9375
2000-03-08,6.5
2000-03-09,6.625
2000-03-10,6.375
2000-03-13,6.625
2000-03-14,6.5
2000-03-15,6.375
2000-03-16,6.4375
2000-03-17,6.25
2000-03-20,6.375
2000-03-21,6.5625
2000-03-22,6.4375
2000-03-23,6.4375
2000-03-24,6.3125
2000-03-27,6.1875
2000-03-28,6.125
2000-03-29,6.125
2000-03-30,5.9375
2000-03-31,6.0
2000-04-03,5.9375
2000-04-04,5.875
2000-04-05,5.9375
2000-04-06,5.875
2000-04-07,5.875
2000-04-10,6.0
2000-04-11,5.9375
2000-04-12,5.6875
2000-04-13,5.6875
2000-04-14,6.0
2000-04-17,5.9375
2000-04-18,5.75
2000-04-19,5.8125
2000-04-20,5.75
2000-04-24,5.875
2000-04-25,5.8125
2000-04-26,6.0625
2000-04-27,6.0625
2000-04-28,6.0
2000-05-01,6.0625
2000-05-02,6.6875
2000-05-03,6.5625
2000-05-04,7.125
2000-05-05,7.0625
2000-05-08,6.9375
2000-05-09,6.875
2000-05-10,6.875
2000-05-11,6.875
2000-05-12,7.1875
2000-05-15,7.25
2000-05-16,7.3125
2000-05-17,6.875
2000-05-18,6.625
2000-05-19,6.6875
2000-05-22,7.125
2000-05-23,7.1875
2000-05-24,7.0625
2000-05-25,6.8125
2000-05-26,6.875
2000-05-30,7.0
2000-05-31,6.75
2000-06-01,6.875
2000-06-02,7.125
2000-06-05,7.375
2000-06-06,7.5
2000-06-07,7.1875
2000-06-08,7.125
2000-06-09,7.0625
2000-06-12,7.1875
2000-06-13,7.1875
2000-06-14,7.4375
2000-06-15,7.375
2000-06-16,7.3125
2000-06-19,7.0625
2000-06-20,6.9375
2000-06-21,6.9375
2000-06-22,7.0
2000-06-23,6.9375
2000-06-26,6.875
2000-06-27,6.9375
2000-06-28,7.125
2000-06-29,6.875
2000-06-30,6.875
2000-07-03,6.8125
2000-07-05,6.5
2000-07-06,6.5
2000-07-07,6.25
2000-07-10,6.375
2000-07-11,6.5625
2000-07-12,6.5625
2000-07-13,6.4375
2000-07-14,6.3125
2000-07-17,6.375
2000-07-18,6.25
2000-07-19,6.125
2000-07-20,5.875
2000-07-21,5.625
2000-07-24,5.4375
2000-07-25,5.4375
2000-07-26,5.5
2000-07-27,5.4375
2000-07-28,5.5625
2000-07-31,5.4375
2000-08-01,5.5
2000-08-02,5.4375
2000-08-03,5.25
2000-08-04,5.375
2000-08-07,5.375
2000-08-08,5.3125
2000-08-09,5.25
2000-08-10,5.375
2000-08-11,5.4375
2000-08-14,5.5625
2000-08-15,5.4375
2000-08-16,5.6875
2000-08-17,5.5625
2000-08-18,5.375
2000-08-21,5.4375
2000-08-22,5.4375
2000-08-23,5.375
2000-08-24,5.375
2000-08-25,5.5
2000-08-28,5.4375
2000-08-29,5.4375
2000-08-30,5.4375
2000-08-31,5.5625
2000-09-01,5.625
2000-09-05,5.6875
2000-09-06,5.875
2000-09-07,5.875
2000-09-08,6.0
2000-09-11,6.0
2000-09-12,5.75
2000-09-13,5.625
2000-09-14,5.625
2000-09-15,5.4375
2000-09-18,5.3125
2000-09-19,5.1875
2000-09-20,5.125
2000-09-21,5.0625
2000-09-22,5.1875
2000-09-25,5.125
2000-09-26,5.0
2000-09-27,5.25
2000-09-28,5.1875
2000-09-29,5.1875
2000-10-02,5.0625
2000-10-03,4.8125
2000-10-04,4.625
2000-10-05,4.375
2000-10-06,4.3125
2000-10-09,4.625
2000-10-10,4.75
2000-10-11,4.5
2000-10-12,4.875
2000-10-13,4.5
2000-10-16,4.375
2000-10-17,4.1875
2000-10-18,4.25
2000-10-19,4.0625
2000-10-20,4.125
2000-10-23,4.125
2000-10-24,4.125
2000-10-25,4.125
2000-10-26,4.125
2000-10-27,4.1875
2000-10-30,4.1875
2000-10-31,4.125
2000-11-01,3.9375
2000-11-02,3.75
2000-11-03,3.8125
2000-11-06,3.8125
2000-11-07,3.8125
2000-11-08,3.75
2000-11-09,3.8125
2000-11-10,3.75
2000-11-13,3.6875
2000-11-14,3.6875
2000-11-15,3.6875
2000-11-16,3.625
2000-11-17,3.625
2000-11-20,3.625
2000-11-21,3.875
2000-11-22,4.375
2000-11-24,4.1875
2000-11-27,4.5
2000-11-28,4.875
2000-11-29,4.6875
2000-11-30,4.9375
2000-12-01,5.1875
2000-12-04,5.0
2000-12-05,4.625
2000-12-06,5.125
2000-12-07,4.9375
2000-12-08,4.9375
2000-12-11,4.8125
2000-12-12,4.8125
2000-12-13,4.5
2000-12-14,4.375
2000-12-15,4.3125
2000-12-18,4.3125
2000-12-19,4.3125
2000-12-20,4.9375
2000-12-21,4.625
2000-12-22,4.5625
2000-12-26,4.5
2000-12-27,4.4375
2000-12-28,4.3125
2000-12-29,4.1875
2001-01-02,4.25
2001-01-03,4.0625
2001-01-04,4.0
2001-01-05,4.125
2001-01-08,4.3125
2001-01-09,4.3125
2001-01-10,4.3125
2001-01-11,4.375
2001-01-12,4.6875
2001-01-16,4.875
2001-01-17,4.75
2001-01-18,4.8125
2001-01-19,4.8125
2001-01-22,5.25
2001-01-23,5.0625
2001-01-24,4.8125
2001-01-25,4.875
2001-01-26,4.9375
2001-01-29,4.8
2001-01-30,4.84
2001-01-31,4.95
2001-02-01,5.03
2001-02-02,5.0
2001-02-05,4.85
2001-02-06,4.72
2001-02-07,4.81
2001-02-08,4.66
2001-02-09,4.72
2001-02-12,4.77
2001-02-13,4.77
2001-02-14,4.75
2001-02-15,4.73
2001-02-16,4.9
2001-02-20,4.78
2001-02-21,4.91
2001-02-22,4.97
2001-02-23,5.41
2001-02-26,5.79
2001-02-27,5.77
2001-02-28,5.62
2001-03-01,5.67
2001-03-02,5.61
2001-03-05,5.79
2001-03-06,5.6
2001-03-07,5.71
2001-03-08,6.25
2001-03-09,6.01
2001-03-12,6.07
2001-03-13,5.92
2001-03-14,6.0
2001-03-15,5.58
2001-03-16,5.39
2001-03-19,5.52
2001-03-20,5.56
2001-03-21,5.86
2001-03-22,5.82
2001-03-23,5.79
2001-03-26,5.61
2001-03-27,5.64
2001-03-28,5.63
2001-03-29,5.41
2001-03-30,5.26
2001-04-02,4.89
2001-04-03,5.09
2001-04-04,5.45
2001-04-05,5.4
2001-04-06,5.43
2001-04-09,5.6
2001-04-10,5.73
2001-04-11,5.69
2001-04-12,6.0
2001-04-16,6.16
2001-04-17,6.14
2001-04-18,6.08
2001-04-19,6.1
2001-04-20,6.05
2001-04-23,6.0
2001-04-24,6.2
2001-04-25,6.08
2001-04-26,6.2
2001-04-27,6.5
2001-04-30,6.23
2001-05-01,6.38
2001-05-02,6.33
2001-05-03,6.3
2001-05-04,6.37
2001-05-07,6.33
2001-05-08,6.33
2001-05-09,7.13
2001-05-10,7.0
2001-05-11,6.81
2001-05-14,6.9
2001-05-15,6.65
2001-05-16,7.2
2001-05-17,7.18
2001-05-18,7.88
2001-05-21,7.96
2001-05-22,7.6
2001-05-23,7.42
2001-05-24,7.0
2001-05-25,7.25
2001-05-29,6.99
2001-05-30,6.62
2001-05-31,6.47
2001-06-01,6.75
2001-06-04,6.77
2001-06-05,6.85
2001-06-06,6.51
