,Close
2016-01-04,8.7924
2016-01-05,8.7343
2016-01-06,8.6006
2016-01-07,7.9672
2016-01-08,7.8684
2016-01-11,7.7057
2016-01-12,7.7057
2016-01-13,7.4093
2016-01-14,7.5546
2016-01-15,7.2873
2016-01-19,7.1594
2016-01-20,7.0084
2016-01-21,7.2117
2016-01-22,7.758
2016-01-25,7.7522
2016-01-26,7.9033
2016-01-27,7.7812
2016-01-28,7.665
2016-01-29,7.9963
2016-02-01,8.0137
2016-02-02,7.8161
2016-02-03,7.7696
2016-02-04,8.0486
2016-02-05,7.6708
2016-02-08,7.2699
2016-02-09,7.3919
2016-02-10,7.4733
2016-02-11,7.2059
2016-02-12,7.142
2016-02-16,7.1653
2016-02-17,7.5662
2016-02-18,7.8626
2016-02-19,7.944
2016-02-22,8.0195
2016-02-23,7.6069
2016-02-24,7.8626
2016-02-25,7.9498
2016-02-26,7.8103
2016-02-29,7.7115
2016-03-01,7.7173
2016-03-02,8.0776
2016-03-03,7.9033
2016-03-04,8.9726
2016-03-07,9.2805
2016-03-08,8.8505
2016-03-09,9.0016
2016-03-10,9.2399
2016-03-11,9.4898
2016-03-14,9.5362
2016-03-15,9.7454
2016-03-16,9.9895
2016-03-17,9.9721
2016-03-18,10.0709
2016-03-21,10.2917
2016-03-22,10.1755
2016-03-23,10.1464
2016-03-24,10.2103
2016-03-28,10.1755
2016-03-29,10.2568
2016-03-30,10.3963
2016-03-31,10.3033
2016-04-01,10.6927
2016-04-04,10.4835
2016-04-05,10.2336
2016-04-06,10.437
2016-04-07,10.3091
2016-04-08,10.3963
2016-04-11,10.3033
2016-04-12,10.0186
2016-04-13,10.1697
2016-04-14,10.0302
2016-04-15,10.1116
2016-04-18,10.1348
2016-04-19,10.0186
2016-04-20,10.1116
2016-04-21,10.1464
2016-04-22,10.1639
2016-04-25,10.0011
2016-04-26,10.0883
2016-04-27,10.0593
2016-04-28,9.8965
2016-04-29,9.6815
2016-05-02,9.5304
2016-05-03,9.2573
2016-05-04,9.2573
2016-05-05,9.1353
2016-05-06,9.1701
2016-05-09,9.2166
2016-05-10,9.2341
2016-05-11,9.3096
2016-05-12,9.2399
2016-05-13,9.1643
2016-05-16,9.2747
2016-05-17,9.1934
2016-05-18,9.1062
2016-05-19,9.1701
2016-05-20,9.2224
2016-05-23,9.3387
2016-05-24,9.4433
2016-05-25,10.0825
2016-05-26,10.1057
2016-05-27,10.6113
2016-05-31,10.7334
2016-06-01,10.6288
2016-06-02,10.7508
2016-06-03,10.6636
2016-06-06,10.9832
2016-06-07,11.1343
2016-06-08,11.2447
2016-06-09,11.361
2016-06-10,11.1111
2016-06-13,10.8089
2016-06-14,10.6404
2016-06-15,10.9251
2016-06-16,10.8438
2016-06-17,11.0065
2016-06-20,11.2622
2016-06-21,11.483
2016-06-22,11.1634
2016-06-23,11.4191
2016-06-24,10.5532
2016-06-27,9.9953
2016-06-28,10.1116
2016-06-29,10.3324
2016-06-30,10.6171
2016-07-01,10.745
2016-07-05,10.5765
2016-07-06,10.6927
2016-07-07,10.7334
2016-07-08,11.0646
2016-07-11,11.2389
2016-07-12,11.4423
2016-07-13,11.3319
2016-07-14,11.6167
2016-07-15,11.4888
2016-07-18,11.5004
2016-07-19,11.5004
2016-07-20,11.6573
2016-07-21,11.4772
2016-07-22,11.6515
2016-07-25,11.7445
2016-07-26,11.884
2016-07-27,11.8259
2016-07-28,11.8026
2016-07-29,12.2152
2016-08-01,12.2501
2016-08-02,12.0699
2016-08-03,12.5
2016-08-04,12.6453
2016-08-05,12.7324
2016-08-08,12.5813
2016-08-09,12.6104
2016-08-10,12.5232
2016-08-11,12.6569
2016-08-12,12.7208
2016-08-15,12.7905
2016-08-16,12.8254
2016-08-17,12.5755
2016-08-18,12.7034
2016-08-19,12.715
2016-08-22,12.7499
2016-08-23,12.744
2016-08-24,12.6046
2016-08-25,12.6917
2016-08-26,12.6569
2016-08-29,12.6917
2016-08-30,12.5407
2016-08-31,12.4825
2016-09-01,12.8777
2016-09-02,12.9068
2016-09-06,12.7034
2016-09-07,12.837
2016-09-08,12.4244
2016-09-09,12.1571
2016-09-12,12.3721
2016-09-13,12.2966
2016-09-14,12.4128
2016-09-15,12.8603
2016-09-16,12.9358
2016-09-19,13.1799
2016-09-20,13.145
2016-09-21,13.4356
2016-09-22,13.5053
2016-09-23,13.3542
2016-09-26,13.2438
2016-09-27,13.3194
2016-09-28,13.3891
2016-09-29,13.3077
2016-09-30,13.2206
2016-10-03,13.1625
2016-10-04,13.0114
2016-10-05,13.2496
2016-10-06,13.1799
2016-10-07,12.9823
2016-10-10,13.0753
2016-10-11,12.7731
2016-10-12,12.7847
2016-10-13,12.6453
2016-10-14,12.5116
2016-10-17,12.3605
2016-10-18,12.4767
2016-10-19,12.6278
2016-10-20,12.715
2016-10-21,12.5697
2016-10-24,12.5988
2016-10-25,12.5523
2016-10-26,12.6685
2016-10-27,12.8951
2016-10-28,12.8835
2016-10-31,13.0579
2016-11-01,12.8312
2016-11-02,12.7963
2016-11-03,12.6685
2016-11-04,12.808
2016-11-07,13.4298
2016-11-08,13.5053
2016-11-09,13.4995
2016-11-10,13.4065
2016-11-11,13.546
2016-11-14,13.5692
2016-11-15,13.6041
2016-11-16,13.6738
2016-11-17,13.7145
2016-11-18,13.546
2016-11-21,13.4356
2016-11-22,13.2903
2016-11-23,13.6855
2016-11-25,13.4937
2016-11-28,13.5634
2016-11-29,13.7959
2016-11-30,13.8307
2016-12-01,13.5809
2016-12-02,13.8598
2016-12-05,14.069
2016-12-06,13.9237
2016-12-07,14.3421
2016-12-08,14.3189
2016-12-09,14.2433
2016-12-12,13.8889
2016-12-13,13.9063
2016-12-14,13.9005
2016-12-15,13.7901
2016-12-16,13.6506
2016-12-19,13.7901
2016-12-20,13.854
2016-12-21,13.883
2016-12-22,13.8075
2016-12-23,13.8424
2016-12-27,13.7959
2016-12-28,13.5402
2016-12-29,13.5634
