,Close
2000-01-03,110.3811
2000-01-04,107.0381
2000-01-05,112.9481
2000-01-06,111.993
2000-01-07,108.4111
2000-01-10,113.1272
2000-01-11,113.5451
2000-01-12,114.5003
2000-01-13,112.9481
2000-01-14,114.3212
2000-01-18,110.3811
2000-01-19,110.3214
2000-01-20,116.4106
2000-01-21,115.8136
2000-01-24,112.769
2000-01-25,114.1421
2000-01-26,111.6348
2000-01-27,108.4708
2000-01-28,106.5605
2000-01-31,107.1575
2000-02-01,104.7099
2000-02-02,108.4708
2000-02-03,111.993
2000-02-04,110.4408
2000-02-07,109.0081
2000-02-08,113.6645
2000-02-09,111.8736
2000-02-10,113.7839
2000-02-11,110.1423
2000-02-14,110.799
2000-02-15,111.6348
2000-02-16,110.4408
2000-02-17,111.7542
2000-02-18,107.5753
2000-02-22,106.0829
2000-02-23,103.8741
2000-02-24,105.9038
2000-02-25,100.8892
2000-02-28,99.7549
2000-02-29,97.4267
2000-03-01,95.9343
2000-03-02,98.7401
2000-03-03,104.1129
2000-03-06,98.4416
2000-03-07,98.1431
2000-03-08,101.128
2000-03-09,102.7995
2000-03-10,100.3519
2000-03-13,102.8592
2000-03-14,104.1129
2000-03-15,101.725
2000-03-16,104.1726
2000-03-17,105.0083
2000-03-20,107.7544
2000-03-21,108.3514
2000-03-22,109.2469
2000-03-23,109.7842
2000-03-24,115.5748
2000-03-27,120.8879
2000-03-28,116.7688
2000-03-29,113.9033
2000-03-30,117.0076
2000-03-31,112.7094
2000-04-03,116.4106
2000-04-04,115.5748
2000-04-05,117.9031
2000-04-06,117.6046
2000-04-07,117.5449
2000-04-10,116.7091
2000-04-11,113.6645
2000-04-12,107.3963
2000-04-13,105.5456
2000-04-14,99.3371
2000-04-17,107.2172
2000-04-18,109.9633
2000-04-19,99.8146
2000-04-20,99.3371
2000-04-24,101.2474
2000-04-25,107.0978
2000-04-26,105.8441
2000-04-27,105.4859
2000-04-28,106.6202
2000-05-01,106.9187
2000-05-02,106.3814
2000-05-03,103.1577
2000-05-04,102.7995
2000-05-05,103.098
2000-05-08,105.068
2000-05-09,104.1129
2000-05-10,99.158
2000-05-11,99.3968
2000-05-12,99.8146
2000-05-15,99.5161
2000-05-16,104.1129
2000-05-17,102.6801
2000-05-18,101.3071
2000-05-19,102.0235
2000-05-22,104.1129
2000-05-23,102.5607
2000-05-24,104.7099
2000-05-25,101.7847
2000-05-26,102.1429
2000-05-30,105.9635
2000-05-31,102.501
2000-06-01,101.2474
2000-06-02,103.5756
2000-06-05,107.3963
2000-06-06,107.3366
2000-06-07,114.9182
2000-06-08,114.3809
2000-06-09,114.0227
2000-06-12,113.5451
2000-06-13,114.3212
2000-06-14,110.799
2000-06-15,111.5751
2000-06-16,108.1723
2000-06-19,114.6197
2000-06-20,111.0975
2000-06-21,109.3663
2000-06-22,106.4411
2000-06-23,106.7396
2000-06-26,109.9633
2000-06-27,104.7696
2000-06-28,108.5902
2000-06-29,108.8887
2000-06-30,104.6502
2000-07-03,104.9486
2000-07-05,99.3371
2000-07-06,97.1879
2000-07-07,99.9937
2000-07-10,98.6804
2000-07-11,97.6058
2000-07-12,99.7549
2000-07-13,98.5013
2000-07-14,99.2774
2000-07-17,100.7101
2000-07-18,98.3222
2000-07-19,98.8595
2000-07-20,111.7542
2000-07-21,109.3066
2000-07-24,107.456
2000-07-25,106.7396
2000-07-26,104.9486
2000-07-27,105.1874
2000-07-28,106.7993
2000-07-31,107.3963
2000-08-01,105.6053
2000-08-02,109.5454
2000-08-03,110.8587
2000-08-04,110.6796
2000-08-07,111.0975
2000-08-08,113.6048
2000-08-09,113.7839
2000-08-10,114.3809
2000-08-11,115.3361
2000-08-14,117.6046
2000-08-15,116.53
2000-08-16,114.6794
2000-08-17,116.8882
2000-08-18,114.7988
2000-08-21,115.9927
2000-08-22,115.8733
2000-08-23,117.3061
2000-08-24,119.2164
2000-08-25,123.3356
2000-08-28,124.7086
2000-08-29,126.9174
2000-08-30,124.4698
2000-08-31,126.0816
2000-09-01,127.6338
2000-09-05,125.6638
2000-09-06,125.5444
2000-09-07,127.395
2000-09-08,123.6937
2000-09-11,119.1567
2000-09-12,119.3955
2000-09-13,121.6043
2000-09-14,121.1864
2000-09-15,119.2164
2000-09-18,117.724
2000-09-19,119.5149
2000-09-20,118.7985
2000-09-21,120.4104
2000-09-22,118.4403
2000-09-25,116.2315
2000-09-26,113.963
2000-09-27,112.7094
2000-09-28,112.6497
2000-09-29,107.456
2000-10-02,112.5303
2000-10-03,105.6053
2000-10-04,109.4857
2000-10-05,108.1126
2000-10-06,110.799
2000-10-09,112.6497
2000-10-10,109.6648
2000-10-11,107.7544
2000-10-12,99.2177
2000-10-13,104.1726
2000-10-16,106.1426
2000-10-17,107.9335
2000-10-18,91.2182
2000-10-19,92.1136
2000-10-20,90.5018
