,Close
2018-01-02,45.55
2018-01-03,45.21
2018-01-04,45.68
2018-01-05,45.95
2018-01-08,46.68
2018-01-09,46.8
2018-01-10,46.97
2018-01-11,47.46
2018-01-12,47.85
2018-01-16,47.99
2018-01-17,47.87
2018-01-18,47.65
2018-01-19,48.87
2018-01-22,48.37
2018-01-23,48.51
2018-01-24,48.68
2018-01-25,48.45
2018-01-26,48.24
2018-01-29,47.55
2018-01-30,47.78
2018-01-31,47.73
2018-02-01,47.6
2018-02-02,47.02
2018-02-05,45.15
2018-02-06,45.79
2018-02-07,45.17
2018-02-08,43.73
2018-02-09,44.31
2018-02-12,45.21
2018-02-13,45.3
2018-02-14,46.1
2018-02-15,46.54
2018-02-16,46.77
2018-02-20,46.6
2018-02-21,46.45
2018-02-22,46.82
2018-02-23,47.43
2018-02-26,47.6
2018-02-27,47.01
2018-02-28,47.05
2018-03-01,46.06
2018-03-02,46.16
2018-03-05,47.41
2018-03-06,47.51
2018-03-07,47.48
2018-03-08,48.09
2018-03-09,49.06
2018-03-12,49.11
2018-03-13,48.97
2018-03-14,48.84
2018-03-15,48.91
2018-03-16,48.78
2018-03-19,48.7
2018-03-20,49.1
2018-03-21,48.79
2018-03-22,47.77
2018-03-23,46.87
2018-03-26,48.03
2018-03-27,48.6
2018-03-28,47.95
2018-03-29,48.24
2018-04-02,47.52
2018-04-03,47.83
2018-04-04,48.23
2018-04-05,48.71
2018-04-06,48.07
2018-04-09,48.0
2018-04-10,48.48
2018-04-11,48.35
2018-04-12,48.71
2018-04-13,48.52
2018-04-16,48.79
2018-04-17,49.1
2018-04-18,49.39
2018-04-19,49.5
2018-04-20,49.27
2018-04-23,49.05
2018-04-24,49.11
2018-04-25,48.77
2018-04-26,49.0
2018-04-27,49.26
2018-04-30,49.13
2018-05-01,49.41
2018-05-02,49.24
2018-05-03,48.6
2018-05-04,49.37
2018-05-07,50.16
2018-05-08,50.55
2018-05-09,51.19
2018-05-10,51.81
