,Close
2000-01-03,5.5228
2000-01-04,5.4089
2000-01-05,5.3985
2000-01-06,5.3985
2000-01-07,5.6679
2000-01-10,5.7612
2000-01-11,5.5643
2000-01-12,5.6057
2000-01-13,5.6679
2000-01-14,5.6472
2000-01-18,5.7612
2000-01-19,5.6057
2000-01-20,5.5539
2000-01-21,5.4296
2000-01-24,5.0773
2000-01-25,5.3156
2000-01-26,5.1395
2000-01-27,5.2638
2000-01-28,5.2016
2000-01-31,5.2431
2000-02-01,5.2224
2000-02-02,5.212
2000-02-03,5.2016
2000-02-04,5.1602
2000-02-07,5.098
2000-02-08,5.1187
2000-02-09,5.0151
2000-02-10,5.0566
2000-02-11,5.0462
2000-02-14,4.9529
2000-02-15,4.9944
2000-02-16,4.7664
2000-02-17,4.725
2000-02-18,4.5385
2000-02-22,4.4349
2000-02-23,4.2173
2000-02-24,4.238
2000-02-25,3.8546
2000-02-28,4.0411
2000-02-29,4.0204
2000-03-01,4.01
2000-03-02,3.9686
2000-03-03,4.1033
2000-03-06,4.1344
2000-03-07,4.01
2000-03-08,4.1033
2000-03-09,4.124
2000-03-10,4.0307
2000-03-13,4.0618
2000-03-14,4.0929
2000-03-15,4.2794
2000-03-16,4.5488
2000-03-17,4.5903
2000-03-20,4.611
2000-03-21,4.7664
2000-03-22,4.7457
2000-03-23,4.839
2000-03-24,4.7561
2000-03-27,4.8908
2000-03-28,5.0255
2000-03-29,4.984
2000-03-30,5.2224
2000-03-31,5.1498
2000-04-03,5.2638
2000-04-04,5.1498
2000-04-05,5.1809
2000-04-06,5.1395
2000-04-07,5.0669
2000-04-10,5.0048
2000-04-11,5.1705
2000-04-12,5.0566
2000-04-13,5.1187
2000-04-14,4.8182
2000-04-17,4.9322
2000-04-18,5.0151
2000-04-19,5.2224
2000-04-20,5.1913
2000-04-24,5.2638
2000-04-25,5.2949
2000-04-26,5.2949
2000-04-27,5.3052
2000-04-28,5.2327
2000-05-01,5.2949
2000-05-02,5.212
2000-05-03,5.2016
2000-05-04,5.0773
2000-05-05,5.0669
2000-05-08,5.0255
2000-05-09,5.1395
2000-05-10,5.1395
2000-05-11,5.1187
2000-05-12,5.1498
2000-05-15,5.1395
2000-05-16,5.326
2000-05-17,5.3674
2000-05-18,5.4607
2000-05-19,5.2431
2000-05-22,5.3052
2000-05-23,5.3052
2000-05-24,5.5436
2000-05-25,5.5539
2000-05-26,5.4503
2000-05-30,5.4814
2000-05-31,5.7301
2000-06-01,5.5954
2000-06-02,5.7715
2000-06-05,5.813
2000-06-06,5.7715
2000-06-07,5.6575
2000-06-08,5.6161
2000-06-09,5.6265
2000-06-12,5.5332
2000-06-13,5.471
2000-06-14,5.4607
2000-06-15,5.3778
2000-06-16,5.3571
2000-06-19,5.2431
2000-06-20,4.8701
2000-06-21,4.8908
2000-06-22,4.8701
2000-06-23,4.8908
2000-06-26,4.9011
2000-06-27,4.9944
2000-06-28,4.9219
2000-06-29,5.471
2000-06-30,5.0358
2000-07-03,5.3363
2000-07-05,5.3467
2000-07-06,5.5643
2000-07-07,5.5332
2000-07-10,5.4814
2000-07-11,5.4814
2000-07-12,5.44
2000-07-13,5.4607
2000-07-14,5.3467
2000-07-17,5.3052
2000-07-18,5.4192
2000-07-19,5.3467
2000-07-20,5.3985
2000-07-21,5.3985
2000-07-24,5.2845
2000-07-25,5.2742
2000-07-26,5.2224
2000-07-27,5.0876
2000-07-28,5.0255
2000-07-31,5.4503
2000-08-01,5.0358
2000-08-02,5.1602
2000-08-03,5.0462
2000-08-04,5.1291
2000-08-07,5.1809
2000-08-08,5.2534
2000-08-09,5.2016
2000-08-10,5.1913
2000-08-11,5.212
2000-08-14,5.2742
2000-08-15,5.2742
2000-08-16,5.3674
2000-08-17,5.4192
2000-08-18,5.3778
2000-08-21,5.5436
2000-08-22,5.4607
2000-08-23,5.3571
2000-08-24,5.4089
2000-08-25,5.3985
2000-08-28,5.4089
2000-08-29,5.4089
2000-08-30,5.44
2000-08-31,5.5747
2000-09-01,5.3985
2000-09-05,5.6472
2000-09-06,5.5643
2000-09-07,5.5954
2000-09-08,5.5125
2000-09-11,5.6368
2000-09-12,5.7404
2000-09-13,5.7612
2000-09-14,5.6886
2000-09-15,5.5021
2000-09-18,5.2431
2000-09-19,5.2016
2000-09-20,5.0773
2000-09-21,5.1187
2000-09-22,5.1291
2000-09-25,5.2845
2000-09-26,5.4296
2000-09-27,5.3778
2000-09-28,5.4089
2000-09-29,5.3778
2000-10-02,5.3674
2000-10-03,5.3571
2000-10-04,5.3571
2000-10-05,5.3363
2000-10-06,5.2327
2000-10-09,5.4192
2000-10-10,5.3985
2000-10-11,5.2949
2000-10-12,5.2431
2000-10-13,5.2949
2000-10-16,5.3052
2000-10-17,5.1602
2000-10-18,5.0773
2000-10-19,5.1809
2000-10-20,5.1913
2000-10-23,5.1395
2000-10-24,5.1913
2000-10-25,5.2016
2000-10-26,5.1913
2000-10-27,5.2327
2000-10-30,5.2431
2000-10-31,5.3985
2000-11-01,5.1187
2000-11-02,5.2431
2000-11-03,5.2638
2000-11-06,5.44
2000-11-07,5.3674
2000-11-08,5.4296
2000-11-09,5.326
2000-11-10,5.2327
2000-11-13,5.2742
2000-11-14,5.4192
2000-11-15,5.4814
2000-11-16,5.44
2000-11-17,5.5643
2000-11-20,5.5643
2000-11-21,5.6265
2000-11-22,5.5332
2000-11-24,5.6057
2000-11-27,5.699
2000-11-28,5.5332
2000-11-29,5.4814
2000-11-30,5.5228
2000-12-01,5.5643
2000-12-04,5.7612
2000-12-05,5.9477
2000-12-06,5.9373
2000-12-07,6.2171
2000-12-08,6.2585
2000-12-11,6.2378
2000-12-12,6.2274
2000-12-13,6.0824
2000-12-14,5.9891
2000-12-15,5.8648
2000-12-18,5.9373
2000-12-19,5.8544
2000-12-20,5.7508
2000-12-21,5.8337
2000-12-22,6.0409
2000-12-26,6.1135
2000-12-27,6.186
2000-12-28,6.4865
2000-12-29,6.4243
2001-01-02,6.1135
2001-01-03,6.3829
2001-01-04,6.3518
2001-01-05,6.2793
2001-01-08,6.3829
2001-01-09,6.3829
2001-01-10,6.2171
2001-01-11,6.3518
2001-01-12,6.2482
2001-01-16,6.3829
2001-01-17,6.3311
2001-01-18,6.3
2001-01-19,6.2067
2001-01-22,6.1342
2001-01-23,6.445
2001-01-24,6.5798
2001-01-25,6.5798
2001-01-26,6.5176
2001-01-29,6.5271
2001-01-30,6.6083
2001-01-31,6.6067
2001-02-01,6.6083
2001-02-02,6.6316
2001-02-05,6.6316
2001-02-06,6.7128
2001-02-07,6.8322
2001-02-08,6.925
2001-02-09,6.8355
2001-02-12,6.9466
2001-02-13,7.1223
2001-02-14,7.2118
2001-02-15,7.2931
2001-02-16,6.9598
2001-02-20,6.6316
2001-02-21,6.615
2001-02-22,6.6017
2001-02-23,6.5901
2001-02-26,6.7741
2001-02-27,6.7526
2001-02-28,6.7227
2001-03-01,6.799
2001-03-02,6.9731
2001-03-05,7.0858
2001-03-06,7.1604
2001-03-07,7.1903
2001-03-08,7.2102
2001-03-09,7.0709
2001-03-12,6.8968
2001-03-13,6.746
2001-03-14,6.6498
2001-03-15,6.5172
2001-03-16,6.3199
2001-03-19,6.5006
2001-03-20,6.5321
2001-03-21,6.29
2001-03-22,6.0679
2001-03-23,6.2005
2001-03-26,6.3348
2001-03-27,6.3978
2001-03-28,6.2917
2001-03-29,6.2751
2001-03-30,6.4243
2001-04-02,6.3895
2001-04-03,6.3348
2001-04-04,6.547
2001-04-05,6.7824
2001-04-06,6.6448
2001-04-09,6.7128
2001-04-10,6.9532
2001-04-11,6.8869
2001-04-12,6.9167
2001-04-16,6.8836
2001-04-17,6.9598
2001-04-18,7.1737
2001-04-19,7.2798
2001-04-20,7.2052
2001-04-23,7.2433
2001-04-24,7.3693
2001-04-25,7.3876
2001-04-26,7.3925
2001-04-27,7.4439
2001-04-30,7.3063
2001-05-01,7.2118
2001-05-02,7.2135
2001-05-03,7.2201
2001-05-04,7.2864
2001-05-07,7.3146
2001-05-08,7.3561
