,Close
2002-01-02,41.1
2002-01-03,41.57
2002-01-04,41.58
2002-01-07,42.15
2002-01-08,41.74
2002-01-09,41.6
2002-01-10,41.4
2002-01-11,41.15
2002-01-14,41.02
2002-01-15,41.3
2002-01-16,40.37
2002-01-17,40.7
2002-01-18,40.13
2002-01-22,40.06
2002-01-23,39.51
2002-01-24,39.4
2002-01-25,39.61
2002-01-28,39.17
2002-01-29,37.25
2002-01-30,37.38
2002-01-31,38.38
2002-02-01,38.2
2002-02-04,37.99
2002-02-05,38.01
2002-02-06,37.2
2002-02-07,36.3
2002-02-08,37.54
2002-02-11,37.75
2002-02-12,37.7
2002-02-13,37.96
2002-02-14,38.65
2002-02-15,38.26
2002-02-19,38.1
2002-02-20,38.58
2002-02-21,37.8
2002-02-22,37.5
2002-02-25,38.15
2002-02-26,37.45
2002-02-27,38.11
2002-02-28,38.41
2002-03-01,39.12
2002-03-04,39.87
2002-03-05,40.32
2002-03-06,40.35
2002-03-07,40.06
2002-03-08,40.1
2002-03-11,40.22
2002-03-12,40.18
2002-03-13,39.48
2002-03-14,39.95
2002-03-15,39.98
2002-03-18,39.36
2002-03-19,39.18
2002-03-20,38.35
2002-03-21,38.12
2002-03-22,38.11
2002-03-25,37.17
2002-03-26,37.64
2002-03-27,38.45
2002-03-28,38.19
2002-04-01,37.95
2002-04-02,37.98
2002-04-03,38.03
2002-04-04,38.43
2002-04-05,39.0
2002-04-08,39.05
2002-04-09,39.25
2002-04-10,39.93
2002-04-11,39.95
2002-04-12,40.45
2002-04-15,40.02
2002-04-16,40.0
2002-04-17,40.12
2002-04-18,40.03
2002-04-19,40.45
2002-04-22,40.15
2002-04-23,39.3
2002-04-24,38.87
2002-04-25,38.86
2002-04-26,38.55
2002-04-29,38.29
2002-04-30,38.6
2002-05-01,39.33
2002-05-02,38.0
2002-05-03,38.28
2002-05-06,37.51
2002-05-07,36.6
2002-05-08,36.74
2002-05-09,36.78
2002-05-10,36.89
2002-05-13,37.8
2002-05-14,38.43
2002-05-15,38.44
2002-05-16,38.47
2002-05-17,38.98
2002-05-20,37.59
2002-05-21,37.33
2002-05-22,37.3
2002-05-23,37.4
2002-05-24,37.36
2002-05-28,36.48
2002-05-29,36.33
2002-05-30,36.23
2002-05-31,36.69
2002-06-03,36.04
2002-06-04,35.13
2002-06-05,35.95
2002-06-06,35.2
2002-06-07,35.48
2002-06-10,35.86
2002-06-11,35.11
2002-06-12,35.19
2002-06-13,34.8
2002-06-14,35.11
2002-06-17,36.19
2002-06-18,36.0
2002-06-19,35.3
2002-06-20,34.67
2002-06-21,34.55
2002-06-24,34.31
2002-06-25,34.26
2002-06-26,34.25
2002-06-27,35.28
2002-06-28,35.2
2002-07-01,34.62
2002-07-02,33.55
2002-07-03,33.45
2002-07-05,34.39
2002-07-08,34.82
2002-07-09,34.54
2002-07-10,33.43
2002-07-11,33.98
2002-07-12,33.75
2002-07-15,33.6
2002-07-16,33.04
2002-07-17,32.2
2002-07-18,30.5
2002-07-19,31.0
2002-07-22,30.28
2002-07-23,30.0
2002-07-24,31.12
2002-07-25,31.24
2002-07-26,31.9
2002-07-29,34.65
2002-07-30,34.53
2002-07-31,33.1
2002-08-01,32.28
2002-08-02,30.73
2002-08-05,30.0
2002-08-06,30.27
2002-08-07,30.74
2002-08-08,31.89
2002-08-09,32.5
2002-08-12,31.64
2002-08-13,30.45
2002-08-14,31.3
2002-08-15,30.79
2002-08-16,30.97
2002-08-19,31.8
2002-08-20,31.25
2002-08-21,31.4
2002-08-22,31.63
2002-08-23,31.03
2002-08-26,31.38
2002-08-27,31.05
2002-08-28,30.51
2002-08-29,30.49
2002-08-30,30.35
2002-09-03,29.33
2002-09-04,29.95
2002-09-05,30.19
2002-09-06,30.49
2002-09-09,30.99
2002-09-10,30.67
2002-09-11,30.56
2002-09-12,29.91
2002-09-13,30.03
2002-09-16,30.06
2002-09-17,29.09
2002-09-18,28.55
2002-09-19,27.57
2002-09-20,27.93
2002-09-23,27.57
2002-09-24,26.7
2002-09-25,27.51
2002-09-26,28.39
2002-09-27,27.95
2002-09-30,27.8
2002-10-01,29.32
2002-10-02,28.55
2002-10-03,27.5
2002-10-04,26.93
2002-10-07,26.17
2002-10-08,27.27
2002-10-09,26.1
2002-10-10,27.08
2002-10-11,28.4
2002-10-14,28.41
2002-10-15,30.9
2002-10-16,29.98
2002-10-17,31.57
2002-10-18,31.66
2002-10-21,31.85
2002-10-22,31.49
2002-10-23,31.22
2002-10-24,30.21
2002-10-25,31.08
2002-10-28,30.3
2002-10-29,28.76
2002-10-30,28.96
2002-10-31,29.3
2002-11-01,30.06
2002-11-04,31.49
2002-11-05,31.21
2002-11-06,30.28
2002-11-07,29.5
2002-11-08,29.11
2002-11-11,28.25
2002-11-12,28.78
2002-11-13,28.71
2002-11-14,29.45
2002-11-15,29.5
2002-11-18,28.81
2002-11-19,29.06
2002-11-20,29.49
2002-11-21,30.89
2002-11-22,30.23
2002-11-25,29.82
2002-11-26,28.73
2002-11-27,30.63
2002-11-29,30.57
2002-12-02,30.31
2002-12-03,29.65
2002-12-04,30.04
2002-12-05,29.14
2002-12-06,29.42
2002-12-09,28.86
2002-12-10,29.1
2002-12-11,29.75
2002-12-12,30.05
2002-12-13,29.45
2002-12-16,30.12
2002-12-17,29.58
2002-12-18,28.98
2002-12-19,28.48
2002-12-20,29.05
2002-12-23,29.0
2002-12-24,28.68
2002-12-26,28.4
2002-12-27,27.83
2002-12-30,28.01
2002-12-31,27.9
2003-01-02,28.84
2003-01-03,28.61
2003-01-06,29.77
2003-01-07,29.37
2003-01-08,28.87
2003-01-09,30.03
2003-01-10,30.15
2003-01-13,30.04
2003-01-14,30.3
2003-01-15,29.8
2003-01-16,29.74
2003-01-17,29.44
2003-01-21,28.81
2003-01-22,28.17
2003-01-23,28.54
2003-01-24,27.35
2003-01-27,26.95
2003-01-28,27.29
2003-01-29,27.27
2003-01-30,26.77
2003-01-31,27.31
2003-02-03,27.47
2003-02-04,26.32
2003-02-05,26.63
2003-02-06,25.52
2003-02-07,26.38
2003-02-10,27.05
2003-02-11,26.4
2003-02-12,26.21
2003-02-13,26.19
2003-02-14,26.88
2003-02-18,27.55
2003-02-19,27.35
2003-02-20,27.79
2003-02-21,27.88
2003-02-24,27.37
2003-02-25,27.48
2003-02-26,27.36
2003-02-27,27.99
2003-02-28,28.1
2003-03-03,27.94
2003-03-04,27.18
2003-03-05,27.76
2003-03-06,27.65
2003-03-07,27.87
2003-03-10,27.35
2003-03-11,26.4
2003-03-12,26.48
2003-03-13,27.64
2003-03-14,27.9
2003-03-17,29.16
2003-03-18,29.13
2003-03-19,29.5
2003-03-20,29.46
2003-03-21,29.45
2003-03-24,28.78
2003-03-25,28.6
2003-03-26,28.41
2003-03-27,28.25
2003-03-28,28.03
2003-03-31,27.78
2003-04-01,28.52
2003-04-02,28.91
2003-04-03,28.51
2003-04-04,28.73
2003-04-07,28.5
2003-04-08,28.37
2003-04-09,28.39
2003-04-10,28.57
2003-04-11,28.36
2003-04-14,29.17
2003-04-15,29.71
2003-04-16,28.93
2003-04-17,29.38
2003-04-21,29.19
2003-04-22,29.89
2003-04-23,30.25
2003-04-24,29.66
2003-04-25,29.07
2003-04-28,29.12
2003-04-29,29.17
2003-04-30,29.02
2003-05-01,28.76
2003-05-02,28.69
2003-05-05,28.33
2003-05-06,27.6
2003-05-07,26.85
2003-05-08,26.62
2003-05-09,26.94
2003-05-12,27.96
2003-05-13,28.05
2003-05-14,27.85
2003-05-15,28.2
2003-05-16,28.3
2003-05-19,27.41
2003-05-20,27.33
2003-05-21,27.54
2003-05-22,27.62
2003-05-23,27.75
2003-05-27,28.36
2003-05-28,28.9
2003-05-29,29.35
2003-05-30,30.25
2003-06-02,30.96
2003-06-03,30.53
2003-06-04,31.35
2003-06-05,31.42
2003-06-06,31.93
2003-06-09,31.64
2003-06-10,31.55
2003-06-11,31.83
2003-06-12,32.08
2003-06-13,32.41
2003-06-16,33.05
2003-06-17,32.23
2003-06-18,32.07
2003-06-19,31.2
2003-06-20,31.09
2003-06-23,30.81
2003-06-24,31.24
2003-06-25,30.7
2003-06-26,31.03
2003-06-27,31.0
2003-06-30,30.73
2003-07-01,31.2
2003-07-02,31.45
2003-07-03,31.6
2003-07-07,32.0
2003-07-08,32.51
2003-07-09,32.36
2003-07-10,31.61
2003-07-11,32.08
2003-07-14,32.2
2003-07-15,32.12
2003-07-16,31.95
2003-07-17,31.4
2003-07-18,32.04
2003-07-21,31.5
2003-07-22,31.88
2003-07-23,32.0
2003-07-24,31.97
2003-07-25,32.89
2003-07-28,32.69
2003-07-29,32.71
2003-07-30,32.66
2003-07-31,32.65
2003-08-01,30.62
2003-08-04,30.64
2003-08-05,30.25
2003-08-06,30.41
2003-08-07,30.63
2003-08-08,30.66
2003-08-11,30.68
2003-08-12,31.28
2003-08-13,30.91
2003-08-14,31.29
2003-08-15,31.2
2003-08-18,31.16
2003-08-19,30.97
2003-08-20,31.01
2003-08-21,30.98
2003-08-22,30.29
2003-08-25,30.42
2003-08-26,30.58
2003-08-27,30.19
2003-08-28,30.18
2003-08-29,30.53
2003-09-02,31.75
2003-09-03,31.7
2003-09-04,31.52
2003-09-05,31.24
2003-09-08,31.35
2003-09-09,30.99
2003-09-10,30.56
2003-09-11,30.74
2003-09-12,30.63
