,Close
2019-01-02,124.19
2019-01-03,121.23
2019-01-04,124.04
2019-01-07,123.82
2019-01-08,125.92
2019-01-09,126.34
2019-01-10,126.13
2019-01-11,126.73
2019-01-14,126.44
2019-01-15,128.8
2019-01-16,130.05
2019-01-17,129.5
2019-01-18,130.87
2019-01-22,129.53
2019-01-23,130.29
2019-01-24,131.15
2019-01-25,132.45
2019-01-28,132.38
2019-01-29,131.14
2019-01-30,133.06
2019-01-31,133.55
2019-02-01,135.02
2019-02-04,135.61
2019-02-05,135.79
2019-02-06,132.05
2019-02-07,131.78
2019-02-08,132.67
2019-02-11,131.43
2019-02-12,132.71
2019-02-13,133.53
2019-02-14,132.37
2019-02-15,133.79
2019-02-19,132.84
2019-02-20,132.83
2019-02-21,131.63
2019-02-22,132.56
2019-02-25,132.3
2019-02-26,132.89
2019-02-27,132.84
2019-02-28,132.63
2019-03-01,133.76
2019-03-04,132.98
2019-03-05,133.0
2019-03-06,131.82
2019-03-07,131.0
2019-03-08,131.33
2019-03-11,133.46
2019-03-12,134.31
2019-03-13,135.7
2019-03-14,135.84
2019-03-15,137.24
2019-03-18,138.13
2019-03-19,136.98
2019-03-20,135.06
2019-03-21,137.87
2019-03-22,135.77
2019-03-25,135.18
2019-03-26,137.16
2019-03-27,137.61
2019-03-28,138.17
2019-03-29,138.74
2019-04-01,140.34
2019-04-02,141.78
2019-04-03,142.59
2019-04-04,141.75
2019-04-05,141.95
2019-04-08,141.37
2019-04-09,141.2
2019-04-10,142.06
2019-04-11,143.13
2019-04-12,144.12
2019-04-15,144.06
2019-04-16,143.84
2019-04-17,143.83
2019-04-18,143.5
2019-04-22,144.5
2019-04-23,146.37
2019-04-24,146.84
2019-04-25,147.3
2019-04-26,148.14
2019-04-29,148.62
2019-04-30,149.06
2019-05-01,140.69
2019-05-02,138.81
2019-05-03,137.58
2019-05-06,137.93
2019-05-07,135.01
2019-05-08,134.41
2019-05-09,133.91
2019-05-10,134.77
2019-05-13,132.95
2019-05-14,135.21
2019-05-15,134.83
2019-05-16,136.1
2019-05-17,135.75
2019-05-20,135.68
2019-05-21,136.69
2019-05-22,135.65
2019-05-23,132.28
2019-05-24,132.49
2019-05-28,130.96
2019-05-29,131.44
2019-05-30,132.22
2019-05-31,131.22
2019-06-03,130.7
2019-06-04,132.67
2019-06-05,133.6
2019-06-06,133.38
2019-06-07,135.39
2019-06-10,136.92
2019-06-11,136.79
2019-06-12,138.59
2019-06-13,137.97
2019-06-14,137.81
2019-06-17,137.09
2019-06-18,137.34
2019-06-19,138.19
2019-06-20,138.62
2019-06-21,137.34
2019-06-24,136.91
2019-06-25,135.65
2019-06-26,134.41
2019-06-27,134.54
2019-06-28,133.92
2019-07-01,136.42
2019-07-02,135.94
2019-07-03,137.61
2019-07-05,137.15
2019-07-08,136.12
2019-07-09,136.68
2019-07-10,137.4
2019-07-11,138.89
2019-07-12,139.91
2019-07-15,140.5
2019-07-16,140.46
2019-07-17,141.05
2019-07-18,142.6
2019-07-19,141.6
2019-07-22,138.84
2019-07-23,138.85
2019-07-24,136.49
2019-07-25,138.0
2019-07-26,140.26
2019-07-29,141.01
2019-07-30,139.12
2019-07-31,139.7
2019-08-01,140.47
2019-08-02,138.77
2019-08-05,133.8
2019-08-06,135.87
2019-08-07,137.08
2019-08-08,140.82
2019-08-09,140.62
2019-08-12,138.32
2019-08-13,140.21
2019-08-14,138.18
2019-08-15,141.94
2019-08-16,141.92
2019-08-19,141.53
2019-08-20,140.77
2019-08-21,142.36
2019-08-22,142.9
2019-08-23,138.85
2019-08-26,140.37
2019-08-27,142.6
2019-08-28,142.59
2019-08-29,145.0
2019-08-30,144.96
2019-09-03,144.57
2019-09-04,145.83
2019-09-05,148.51
2019-09-06,147.74
2019-09-09,147.51
2019-09-10,142.66
2019-09-11,145.02
2019-09-12,146.38
2019-09-13,145.21
2019-09-16,146.11
2019-09-17,147.22
2019-09-18,147.53
2019-09-19,147.86
2019-09-20,147.69
2019-09-23,145.36
2019-09-24,146.83
2019-09-25,146.75
2019-09-26,146.74
2019-09-27,143.72
2019-09-30,145.97
2019-10-01,146.26
