,Close
2019-01-02,61.42
2019-01-03,58.32
2019-01-04,61.95
2019-01-07,64.49
2019-01-08,65.65
2019-01-09,67.07
2019-01-10,67.26
2019-01-11,67.24
2019-01-14,67.31
2019-01-15,68.51
2019-01-16,69.05
2019-01-17,69.22
2019-01-18,69.58
2019-01-22,67.8
2019-01-23,67.62
2019-01-24,70.65
2019-01-25,71.07
2019-01-28,72.29
2019-01-29,71.65
2019-01-30,73.3
2019-01-31,74.02
2019-02-01,75.18
2019-02-04,75.39
2019-02-05,75.64
2019-02-06,77.05
2019-02-07,76.3
2019-02-08,76.86
2019-02-11,78.01
2019-02-12,78.32
2019-02-13,78.9
2019-02-14,79.02
2019-02-15,80.38
2019-02-19,80.66
2019-02-20,81.08
2019-02-21,81.75
2019-02-22,82.46
2019-02-25,83.08
2019-02-26,84.64
2019-02-27,84.82
2019-02-28,84.41
2019-03-01,85.9
2019-03-04,85.23
2019-03-05,85.26
2019-03-06,85.25
2019-03-07,84.58
2019-03-08,83.99
2019-03-11,85.0
2019-03-12,84.89
2019-03-13,84.21
2019-03-14,85.33
2019-03-15,85.98
2019-03-18,85.74
2019-03-19,86.29
2019-03-20,86.36
2019-03-21,87.53
2019-03-22,84.76
2019-03-25,84.78
2019-03-26,85.36
2019-03-27,85.32
2019-03-28,86.51
2019-03-29,87.2
2019-04-01,89.14
2019-04-02,89.29
2019-04-03,89.99
2019-04-04,88.97
2019-04-05,89.44
2019-04-08,89.85
2019-04-09,90.12
2019-04-10,90.62
2019-04-11,91.37
2019-04-12,91.84
2019-04-15,91.7
2019-04-16,90.52
2019-04-17,88.3
2019-04-18,89.84
2019-04-22,90.59
2019-04-23,92.27
2019-04-24,92.79
2019-04-25,87.74
2019-04-26,85.88
2019-04-29,86.73
2019-04-30,87.03
2019-05-01,85.86
2019-05-02,87.35
2019-05-03,88.18
2019-05-06,88.14
2019-05-07,86.42
2019-05-08,86.75
2019-05-09,86.3
2019-05-10,85.83
2019-05-13,82.62
2019-05-14,83.79
2019-05-15,84.41
2019-05-16,85.19
2019-05-17,81.86
2019-05-20,74.56
2019-05-21,75.36
2019-05-22,75.76
2019-05-23,73.56
2019-05-24,73.69
2019-05-28,73.13
2019-05-29,71.42
2019-05-30,79.49
2019-05-31,75.13
2019-06-03,74.21
2019-06-04,78.16
2019-06-05,79.08
2019-06-06,79.92
2019-06-07,82.13
2019-06-10,82.36
2019-06-11,83.67
2019-06-12,84.36
2019-06-13,84.83
2019-06-14,83.83
2019-06-17,83.34
2019-06-18,86.0
2019-06-19,86.79
2019-06-20,88.4
2019-06-21,86.42
2019-06-24,86.45
2019-06-25,85.22
2019-06-26,87.23
2019-06-27,87.12
2019-06-28,89.81
2019-07-01,92.83
2019-07-02,90.85
2019-07-03,91.36
2019-07-05,91.47
2019-07-08,89.83
2019-07-09,90.05
2019-07-10,88.95
2019-07-11,89.76
2019-07-12,91.37
2019-07-15,91.01
2019-07-16,89.42
2019-07-17,88.22
2019-07-18,87.38
2019-07-19,87.46
2019-07-22,87.43
2019-07-23,88.78
2019-07-24,93.71
2019-07-25,90.75
2019-07-26,90.8
2019-07-29,90.26
2019-07-30,91.21
2019-07-31,89.52
2019-08-01,89.59
2019-08-02,88.1
2019-08-05,83.54
2019-08-06,85.88
