,Close
2000-01-03,57.75
2000-01-04,55.9375
2000-01-05,55.5
2000-01-06,54.75
2000-01-07,55.0625
2000-01-10,57.375
2000-01-11,56.5625
2000-01-12,57.25
2000-01-13,58.4375
2000-01-14,56.25
2000-01-18,54.75
2000-01-19,54.5625
2000-01-20,53.25
2000-01-21,53.75
2000-01-24,52.3125
2000-01-25,51.9375
2000-01-26,53.0625
2000-01-27,53.75
2000-01-28,52.6875
2000-01-31,53.3125
2000-02-01,53.625
2000-02-02,53.5625
2000-02-03,53.0
2000-02-04,54.125
2000-02-07,53.0
2000-02-08,53.125
2000-02-09,51.875
2000-02-10,51.125
2000-02-11,50.1875
2000-02-14,51.0625
2000-02-15,49.4375
2000-02-16,47.9375
2000-02-17,47.9375
2000-02-18,48.3125
2000-02-22,48.5
2000-02-23,47.375
2000-02-24,46.125
2000-02-25,45.625
2000-02-28,46.875
2000-02-29,46.875
2000-03-01,47.3125
2000-03-02,46.6875
2000-03-03,47.0625
2000-03-06,46.4375
2000-03-07,45.9375
2000-03-08,44.9375
2000-03-09,46.9375
2000-03-10,45.125
2000-03-13,47.5
2000-03-14,49.0
2000-03-15,49.6875
2000-03-16,52.3125
2000-03-17,51.375
2000-03-20,49.75
2000-03-21,50.3125
2000-03-22,49.75
2000-03-23,50.0
2000-03-24,49.625
2000-03-27,48.625
2000-03-28,49.0
2000-03-29,48.375
2000-03-30,49.1875
2000-03-31,50.9375
2000-04-03,50.875
2000-04-04,50.0
2000-04-05,49.5625
2000-04-06,50.5625
2000-04-07,49.6875
2000-04-10,50.1875
2000-04-11,49.875
2000-04-12,49.8125
2000-04-13,48.625
2000-04-14,47.875
2000-04-17,47.5
2000-04-18,48.0625
2000-04-19,48.0625
2000-04-20,47.8125
2000-04-24,48.75
2000-04-25,48.9375
2000-04-26,49.8125
2000-04-27,48.5
2000-04-28,49.0625
2000-05-01,48.125
2000-05-02,47.625
2000-05-03,46.75
2000-05-04,46.4375
2000-05-05,46.875
2000-05-08,47.125
2000-05-09,47.3125
2000-05-10,47.75
2000-05-11,48.6875
2000-05-12,50.1875
2000-05-15,51.375
2000-05-16,50.5
2000-05-17,50.0
2000-05-18,50.8125
2000-05-19,50.0
2000-05-22,50.625
2000-05-23,51.0
2000-05-24,52.5
2000-05-25,51.8125
2000-05-26,51.25
2000-05-30,53.125
2000-05-31,53.0
2000-06-01,53.125
2000-06-02,54.375
2000-06-05,54.0
2000-06-06,53.25
2000-06-07,53.0
2000-06-08,53.5
2000-06-09,54.0
2000-06-12,52.8125
2000-06-13,53.9375
2000-06-14,54.9375
2000-06-15,55.4375
2000-06-16,53.5
2000-06-19,54.9375
2000-06-20,55.25
2000-06-21,54.125
2000-06-22,54.3125
2000-06-23,54.0
2000-06-26,52.0625
2000-06-27,54.0
2000-06-28,54.0
2000-06-29,55.125
2000-06-30,53.1875
2000-07-03,54.6875
2000-07-05,53.0
2000-07-06,52.5
2000-07-07,54.5625
2000-07-10,55.25
2000-07-11,53.75
2000-07-12,55.375
2000-07-13,54.6875
2000-07-14,55.0625
2000-07-17,55.0625
2000-07-18,56.0
2000-07-19,54.875
2000-07-20,53.4375
2000-07-21,53.6875
2000-07-24,53.75
2000-07-25,53.75
2000-07-26,52.5
2000-07-27,52.625
2000-07-28,52.1875
2000-07-31,52.125
2000-08-01,53.0625
2000-08-02,53.0
2000-08-03,53.875
2000-08-04,54.1875
2000-08-07,55.5625
2000-08-08,55.4375
2000-08-09,55.125
2000-08-10,54.875
2000-08-11,55.125
2000-08-14,55.5
2000-08-15,55.5
2000-08-16,55.0
2000-08-17,54.4375
2000-08-18,55.0
2000-08-21,54.875
2000-08-22,54.5
2000-08-23,56.0
2000-08-24,53.75
2000-08-25,54.0625
2000-08-28,54.1875
2000-08-29,54.6875
2000-08-30,55.375
2000-08-31,54.625
2000-09-01,55.75
2000-09-05,54.125
2000-09-06,54.0625
2000-09-07,52.4375
2000-09-08,52.0
2000-09-11,53.25
2000-09-12,53.0625
2000-09-13,52.5625
2000-09-14,53.125
2000-09-15,52.375
2000-09-18,52.5
2000-09-19,51.8125
2000-09-20,51.1875
2000-09-21,50.3125
2000-09-22,50.6875
2000-09-25,50.0
2000-09-26,49.9375
2000-09-27,50.8125
2000-09-28,50.625
2000-09-29,50.8125
2000-10-02,50.3125
2000-10-03,49.8125
2000-10-04,48.0
2000-10-05,46.625
2000-10-06,46.8125
2000-10-09,47.25
2000-10-10,46.125
2000-10-11,46.1875
2000-10-12,45.6875
2000-10-13,45.75
2000-10-16,44.25
2000-10-17,45.5625
2000-10-18,45.8125
2000-10-19,46.375
2000-10-20,48.0
2000-10-23,47.1875
2000-10-24,47.8125
2000-10-25,47.5625
2000-10-26,48.3125
2000-10-27,49.375
2000-10-30,49.875
2000-10-31,50.25
2000-11-01,50.875
2000-11-02,52.125
2000-11-03,51.8125
2000-11-06,51.5
2000-11-07,50.9375
2000-11-08,52.25
2000-11-09,51.375
2000-11-10,51.25
2000-11-13,51.3125
2000-11-14,51.875
2000-11-15,50.625
2000-11-16,50.875
2000-11-17,51.8125
2000-11-20,52.1875
2000-11-21,50.625
2000-11-22,51.0
2000-11-24,50.5
2000-11-27,51.375
2000-11-28,50.75
2000-11-29,51.6875
2000-11-30,51.4375
2000-12-01,51.9375
2000-12-04,53.125
2000-12-05,53.875
2000-12-06,53.0625
2000-12-07,52.3125
2000-12-08,54.5625
2000-12-11,53.9375
2000-12-12,54.9375
2000-12-13,54.3125
2000-12-14,54.625
2000-12-15,54.75
2000-12-18,54.375
2000-12-19,54.75
2000-12-20,53.0
2000-12-21,53.75
2000-12-22,54.3125
2000-12-26,55.3125
2000-12-27,56.0625
2000-12-28,56.75
2000-12-29,56.875
2001-01-02,55.5
2001-01-03,56.75
2001-01-04,59.8125
2001-01-05,59.4375
2001-01-08,58.8125
2001-01-09,58.0
2001-01-10,58.125
2001-01-11,58.5625
2001-01-12,58.25
2001-01-16,58.4375
2001-01-17,58.5625
2001-01-18,58.0625
2001-01-19,58.0
2001-01-22,56.1875
2001-01-23,56.5
2001-01-24,55.875
2001-01-25,56.4375
2001-01-26,56.0625
2001-01-29,56.53
2001-01-30,57.75
2001-01-31,58.21
2001-02-01,58.71
2001-02-02,58.56
2001-02-05,59.02
2001-02-06,58.97
2001-02-07,59.13
2001-02-08,59.15
2001-02-09,58.28
2001-02-12,58.98
2001-02-13,59.51
2001-02-14,58.25
2001-02-15,59.28
2001-02-16,59.57
2001-02-20,60.0
2001-02-21,60.53
2001-02-22,58.86
2001-02-23,58.04
2001-02-26,59.19
2001-02-27,59.77
2001-02-28,59.75
2001-03-01,59.5
2001-03-02,60.75
2001-03-05,59.45
2001-03-06,60.4
2001-03-07,58.95
2001-03-08,58.79
2001-03-09,57.94
2001-03-12,56.12
2001-03-13,54.5
2001-03-14,54.2
2001-03-15,56.03
2001-03-16,55.49
2001-03-19,54.36
2001-03-20,54.45
2001-03-21,52.5
2001-03-22,52.25
2001-03-23,53.58
2001-03-26,54.07
2001-03-27,53.83
2001-03-28,53.0
2001-03-29,53.75
2001-03-30,53.71
2001-04-02,53.6
2001-04-03,52.78
2001-04-04,53.34
2001-04-05,54.64
2001-04-06,52.9
2001-04-09,53.2
2001-04-10,53.31
2001-04-11,52.96
2001-04-12,53.12
2001-04-16,53.02
2001-04-17,52.25
2001-04-18,53.9
2001-04-19,55.0
2001-04-20,54.74
2001-04-23,54.9
2001-04-24,54.02
2001-04-25,53.52
2001-04-26,54.15
2001-04-27,54.51
2001-04-30,54.15
2001-05-01,54.7
2001-05-02,54.08
2001-05-03,54.35
2001-05-04,54.36
2001-05-07,55.51
2001-05-08,54.65
2001-05-09,54.92
2001-05-10,55.55
2001-05-11,55.12
2001-05-14,54.81
2001-05-15,54.56
2001-05-16,55.64
2001-05-17,55.52
2001-05-18,56.01
2001-05-21,56.7
2001-05-22,57.78
2001-05-23,56.41
2001-05-24,56.02
2001-05-25,55.63
2001-05-29,55.75
2001-05-30,54.84
2001-05-31,54.94
2001-06-01,54.27
2001-06-04,54.76
2001-06-05,55.61
2001-06-06,54.96
2001-06-07,55.65
2001-06-08,55.05
2001-06-11,55.4
2001-06-12,55.07
2001-06-13,55.28
2001-06-14,55.3
2001-06-15,56.2
2001-06-18,56.49
2001-06-19,56.7
2001-06-20,57.25
2001-06-21,57.8
2001-06-22,57.14
2001-06-25,57.87
2001-06-26,57.9
2001-06-27,58.78
2001-06-28,58.56
2001-06-29,59.3
2001-07-02,60.11
2001-07-03,60.44
2001-07-05,59.89
2001-07-06,58.79
2001-07-09,58.88
