,Close
2000-01-03,34.1875
2000-01-04,33.7813
2000-01-05,34.25
2000-01-06,35.3438
2000-01-07,37.7813
2000-01-10,37.875
2000-01-11,37.5625
2000-01-12,36.5313
2000-01-13,36.8125
2000-01-14,38.5
2000-01-18,38.3438
2000-01-19,38.6563
2000-01-20,38.2813
2000-01-21,38.1563
2000-01-24,36.7188
2000-01-25,35.9063
2000-01-26,36.6563
2000-01-27,35.5
2000-01-28,34.4063
2000-01-31,35.0625
2000-02-01,36.5625
2000-02-02,36.875
2000-02-03,38.75
2000-02-04,40.0625
2000-02-07,39.9688
2000-02-08,40.375
2000-02-09,39.2813
2000-02-10,39.8125
2000-02-11,39.75
2000-02-14,38.9375
2000-02-15,38.1875
2000-02-16,35.9688
2000-02-17,34.4063
2000-02-18,35.5625
2000-02-22,35.5313
2000-02-23,36.1875
2000-02-24,34.5313
2000-02-25,34.7813
2000-02-28,37.0313
2000-02-29,37.9063
2000-03-01,39.3438
2000-03-02,38.5
2000-03-03,38.0
2000-03-06,38.4063
2000-03-07,37.7188
2000-03-08,40.0
2000-03-09,43.5
2000-03-10,41.5625
2000-03-13,42.3438
2000-03-14,41.6875
2000-03-15,42.5938
2000-03-16,47.3125
2000-03-17,44.9063
2000-03-20,46.5
2000-03-21,47.4375
2000-03-22,46.375
2000-03-23,47.0625
2000-03-24,48.2813
2000-03-27,48.1875
2000-03-28,47.5625
2000-03-29,47.9375
2000-03-30,49.7813
2000-03-31,51.25
2000-04-03,52.0625
2000-04-04,49.8125
2000-04-05,50.4375
2000-04-06,51.8438
2000-04-07,53.0625
2000-04-10,54.375
2000-04-11,53.0
2000-04-12,53.5313
2000-04-13,50.5
2000-04-14,46.0
2000-04-17,45.2813
2000-04-18,49.0313
2000-04-19,49.4688
2000-04-20,51.0313
2000-04-24,50.0
2000-04-25,52.5
2000-04-26,52.0625
2000-04-27,50.9375
2000-04-28,48.0
2000-05-01,52.0
2000-05-02,51.8125
2000-05-03,47.9375
2000-05-04,47.5
2000-05-05,49.6875
2000-05-08,48.75
2000-05-09,48.0
2000-05-10,48.0625
2000-05-11,48.9375
2000-05-12,50.0
2000-05-15,51.1875
2000-05-16,51.375
2000-05-17,52.875
2000-05-18,54.0
2000-05-19,52.3125
2000-05-22,51.25
2000-05-23,52.625
2000-05-24,48.25
2000-05-25,49.0
2000-05-26,48.75
2000-05-30,49.5625
2000-05-31,51.75
2000-06-01,54.5
2000-06-02,59.25
2000-06-05,55.8125
2000-06-06,55.75
2000-06-07,55.8125
2000-06-08,54.625
2000-06-09,53.4375
2000-06-12,51.75
2000-06-13,52.375
2000-06-14,52.5
2000-06-15,54.5
2000-06-16,54.3125
2000-06-19,54.75
2000-06-20,55.0
2000-06-21,55.25
2000-06-22,54.125
2000-06-23,55.4375
2000-06-26,55.0625
2000-06-27,54.6875
2000-06-28,54.1875
2000-06-29,53.75
2000-06-30,55.625
2000-07-03,54.875
2000-07-05,54.25
2000-07-06,56.4375
2000-07-07,60.0625
2000-07-10,63.0
2000-07-11,63.625
2000-07-12,63.0625
2000-07-13,61.5
2000-07-14,62.75
2000-07-17,62.8125
2000-07-18,64.5
2000-07-19,64.5
2000-07-20,63.8125
2000-07-21,64.6875
2000-07-24,62.0
2000-07-25,62.8125
2000-07-26,63.3125
2000-07-27,64.0625
2000-07-28,60.6875
2000-07-31,56.75
2000-08-01,57.625
2000-08-02,60.4375
2000-08-03,58.0
2000-08-04,58.6875
2000-08-07,60.5625
2000-08-08,62.375
2000-08-09,60.5
2000-08-10,57.9375
2000-08-11,59.0
2000-08-14,59.5
2000-08-15,57.0
2000-08-16,56.5625
2000-08-17,55.4375
2000-08-18,56.75
2000-08-21,57.1875
2000-08-22,58.0
2000-08-23,58.0
2000-08-24,58.5
2000-08-25,59.0
2000-08-28,57.0
2000-08-29,58.375
2000-08-30,57.5625
2000-08-31,56.0
2000-09-01,57.625
2000-09-05,58.0
2000-09-06,61.4375
2000-09-07,60.5
2000-09-08,62.25
2000-09-11,62.8125
2000-09-12,64.1875
2000-09-13,63.5625
2000-09-14,62.375
2000-09-15,64.3125
2000-09-18,60.75
2000-09-19,59.625
2000-09-20,58.75
2000-09-21,61.3125
2000-09-22,60.5625
2000-09-25,59.1875
2000-09-26,57.5
2000-09-27,57.875
2000-09-28,58.9375
2000-09-29,57.6875
2000-10-02,56.625
2000-10-03,55.625
2000-10-04,56.6875
2000-10-05,57.9375
2000-10-06,57.0625
2000-10-09,58.625
2000-10-10,57.1875
2000-10-11,55.625
2000-10-12,53.0625
2000-10-13,52.9375
2000-10-16,54.5
2000-10-17,52.3125
2000-10-18,52.4375
2000-10-19,56.4375
2000-10-20,55.875
2000-10-23,53.625
2000-10-24,53.5625
2000-10-25,51.75
2000-10-26,49.875
2000-10-27,50.4375
2000-10-30,52.5625
2000-10-31,54.1875
2000-11-01,55.0625
2000-11-02,55.5
2000-11-03,55.5625
2000-11-06,56.75
2000-11-07,55.9375
2000-11-08,57.4375
2000-11-09,54.3125
2000-11-10,51.5
2000-11-13,49.75
2000-11-14,52.6875
2000-11-15,53.5625
2000-11-16,53.4375
2000-11-17,53.0
2000-11-20,51.75
2000-11-21,50.3125
2000-11-22,49.375
2000-11-24,48.5
2000-11-27,52.0
2000-11-28,51.5625
2000-11-29,52.25
2000-11-30,53.5625
2000-12-01,54.4375
2000-12-04,58.5
2000-12-05,60.3125
2000-12-06,59.4375
2000-12-07,59.75
2000-12-08,61.3125
2000-12-11,60.25
2000-12-12,59.6875
2000-12-13,58.3125
2000-12-14,56.5
2000-12-15,57.0625
2000-12-18,58.125
2000-12-19,56.9375
2000-12-20,54.6875
2000-12-21,53.6875
2000-12-22,57.5
2000-12-26,55.9375
2000-12-27,60.625
2000-12-28,60.5
2000-12-29,61.0
2001-01-02,59.25
2001-01-03,63.8125
2001-01-04,70.0
2001-01-05,64.75
2001-01-08,64.25
2001-01-09,63.9375
2001-01-10,66.25
2001-01-11,68.125
2001-01-12,68.5625
2001-01-16,68.375
2001-01-17,67.8125
2001-01-18,66.625
2001-01-19,65.9375
2001-01-22,68.5
2001-01-23,68.0625
2001-01-24,69.1875
2001-01-25,70.375
2001-01-26,70.0
2001-01-29,70.74
2001-01-30,70.41
2001-01-31,71.0
2001-02-01,70.49
2001-02-02,68.49
2001-02-05,68.49
2001-02-06,68.63
2001-02-07,68.26
2001-02-08,66.99
2001-02-09,65.75
2001-02-12,69.5
2001-02-13,70.11
2001-02-14,69.59
2001-02-15,68.89
2001-02-16,69.61
2001-02-20,71.82
2001-02-21,69.25
2001-02-22,67.88
2001-02-23,68.5
2001-02-26,69.7
2001-02-27,68.01
2001-02-28,65.91
2001-03-01,62.0
2001-03-02,62.3
2001-03-05,63.5
2001-03-06,65.97
2001-03-07,66.55
2001-03-08,66.1
2001-03-09,64.74
