,Close
2006-01-03,62.657
2006-01-04,61.9683
2006-01-05,62.7968
2006-01-06,62.5073
2006-01-09,65.1226
2006-01-10,65.7914
2006-01-11,65.8313
2006-01-12,65.1126
2006-01-13,63.8748
2006-01-17,63.3158
2006-01-18,63.1561
2006-01-19,62.5073
2006-01-20,61.6389
2006-01-23,61.0998
2006-01-24,62.8267
2006-01-25,61.3394
2006-01-26,62.8267
2006-01-27,63.226
2006-01-30,62.8367
2006-01-31,62.4474
2006-02-01,61.4492
2006-02-02,60.2713
2006-02-03,60.6906
2006-02-06,60.1016
2006-02-07,57.7459
2006-02-08,57.7858
2006-02-09,57.5562
2006-02-10,56.9473
2006-02-13,56.3085
2006-02-14,57.1969
2006-02-15,57.9555
2006-02-16,58.7041
2006-02-17,58.1352
2006-02-21,58.6942
2006-02-22,60.9501
2006-02-23,60.8203
2006-02-24,60.5808
2006-02-27,60.3312
2006-02-28,59.7523
2006-03-01,59.1434
2006-03-02,59.1733
2006-03-03,58.1252
2006-03-06,57.147
2006-03-07,56.2685
2006-03-08,56.3085
2006-03-09,55.0707
2006-03-10,56.2086
2006-03-13,56.6878
2006-03-14,58.7541
2006-03-15,58.7241
2006-03-16,59.7922
2006-03-17,59.902
2006-03-20,58.7441
2006-03-21,57.5362
2006-03-22,57.097
2006-03-23,59.343
2006-03-24,59.8121
2006-03-27,60.2114
2006-03-28,60.9201
2006-03-29,61.0
2006-03-30,60.441
2006-03-31,60.2713
2006-04-03,59.2931
2006-04-04,59.4628
2006-04-05,62.1679
2006-04-06,61.1597
2006-04-07,61.2995
2006-04-10,60.7904
2006-04-11,60.6706
2006-04-12,59.5426
2006-04-13,59.2432
2006-04-17,57.7059
2006-04-18,59.2332
2006-04-19,57.8657
2006-04-20,57.2967
2006-04-21,56.3684
2006-04-24,55.2903
2006-04-25,54.9609
2006-04-26,56.1188
2006-04-27,55.5099
2006-04-28,54.8311
2006-05-01,54.2721
2006-05-02,53.1442
2006-05-03,53.1542
2006-05-04,52.4354
2006-05-05,54.3919
2006-05-08,53.4636
2006-05-09,52.3656
2006-05-10,52.8946
2006-05-11,51.1078
2006-05-12,50.449
2006-05-15,49.7203
2006-05-16,48.8419
2006-05-17,48.1232
2006-05-18,48.9318
2006-05-19,48.6623
2006-05-22,48.1232
2006-05-23,48.4426
2006-05-24,48.5924
2006-05-25,48.7321
2006-05-26,48.9018
2006-05-30,47.7339
2006-05-31,47.8238
2006-06-01,48.4726
2006-06-02,47.9935
2006-06-05,46.4163
2006-06-06,44.919
2006-06-07,44.6195
2006-06-08,44.4299
2006-06-09,45.0587
2006-06-12,43.6912
2006-06-13,42.9825
2006-06-14,43.5714
2006-06-15,45.3083
2006-06-16,44.8092
2006-06-19,43.801
2006-06-20,43.0524
2006-06-21,44.7593
2006-06-22,44.4698
2006-06-23,44.4598
2006-06-26,45.5678
2006-06-27,43.8909
2006-06-28,43.4616
2006-06-29,44.7693
2006-06-30,44.2901
2006-07-03,44.1803
2006-07-05,44.1204
2006-07-06,43.8609
2006-07-07,44.2602
2006-07-10,43.821
2006-07-11,42.9925
2006-07-12,41.5151
2006-07-13,40.9961
2006-07-14,39.9979
2006-07-17,40.9861
2006-07-18,40.4371
2006-07-19,42.3536
2006-07-20,41.4852
2006-07-21,42.6032
2006-07-24,44.7094
2006-07-25,45.1386
2006-07-26,45.1186
2006-07-27,44.2802
2006-07-28,45.3782
2006-07-31,44.6495
2006-08-01,45.0987
2006-08-02,44.9789
2006-08-03,46.9853
2006-08-04,46.7457
2006-08-07,47.3247
2006-08-08,46.2566
2006-08-09,44.4299
2006-08-10,44.5696
2006-08-11,43.4916
2006-08-14,42.723
2006-08-15,43.6912
2006-08-16,45.1186
2006-08-17,45.7874
2006-08-18,45.9671
2006-08-21,45.1486
2006-08-22,44.9789
