,Close
2000-01-03,65.6875
2000-01-04,63.0625
2000-01-05,64.3125
2000-01-06,66.1875
2000-01-07,71.0625
2000-01-10,68.25
2000-01-11,68.5
2000-01-12,67.5
2000-01-13,66.6875
2000-01-14,68.3125
2000-01-18,67.3125
2000-01-19,67.75
2000-01-20,65.875
2000-01-21,64.875
2000-01-24,62.125
2000-01-25,62.0625
2000-01-26,62.75
2000-01-27,64.25
2000-01-28,65.3125
2000-01-31,66.875
2000-02-01,65.5
2000-02-02,65.0
2000-02-03,65.125
2000-02-04,64.875
2000-02-07,63.3125
2000-02-08,63.3125
2000-02-09,61.6875
2000-02-10,62.3125
2000-02-11,61.625
2000-02-14,60.75
2000-02-15,61.1875
2000-02-16,61.75
2000-02-17,60.25
2000-02-18,58.4375
2000-02-22,59.5
2000-02-23,60.3125
2000-02-24,58.625
2000-02-25,56.6875
2000-02-28,57.6875
2000-02-29,59.4375
2000-03-01,58.875
2000-03-02,57.8125
2000-03-03,58.0
2000-03-06,57.625
2000-03-07,54.375
2000-03-08,56.4375
2000-03-09,60.0
2000-03-10,61.1875
2000-03-13,59.25
2000-03-14,57.4375
2000-03-15,62.75
2000-03-16,64.75
2000-03-17,61.375
2000-03-20,60.5625
2000-03-21,61.6875
2000-03-22,63.5625
2000-03-23,64.1875
2000-03-24,62.125
2000-03-27,60.5
2000-03-28,60.0
2000-03-29,61.0
2000-03-30,61.0
2000-03-31,63.0
2000-04-03,65.375
2000-04-04,69.25
2000-04-05,67.0
2000-04-06,65.875
2000-04-07,64.3125
2000-04-10,64.875
2000-04-11,66.875
2000-04-12,65.0
2000-04-13,69.125
2000-04-14,67.4375
2000-04-17,69.9375
2000-04-18,73.25
2000-04-19,75.625
2000-04-20,75.75
2000-04-24,77.5
2000-04-25,77.0
2000-04-26,77.8125
2000-04-27,77.9375
2000-04-28,77.3125
2000-05-01,77.375
2000-05-02,78.0
2000-05-03,79.0
2000-05-04,79.0
2000-05-05,79.9375
2000-05-08,80.5
2000-05-09,79.875
2000-05-10,77.5625
2000-05-11,74.875
2000-05-12,75.4375
2000-05-15,76.4375
2000-05-16,74.9375
2000-05-17,73.875
2000-05-18,73.9375
2000-05-19,75.9375
2000-05-22,75.1875
2000-05-23,75.5625
2000-05-24,77.125
2000-05-25,78.625
2000-05-26,78.8125
2000-05-30,76.5
2000-05-31,76.125
2000-06-01,77.0625
2000-06-02,73.125
2000-06-05,72.4375
2000-06-06,74.125
2000-06-07,74.875
2000-06-08,74.9375
2000-06-09,76.1875
2000-06-12,78.25
2000-06-13,80.875
2000-06-14,82.8125
2000-06-15,83.0
2000-06-16,84.9375
2000-06-19,86.625
2000-06-20,86.75
2000-06-21,86.75
2000-06-22,84.5
2000-06-23,85.3125
2000-06-26,86.5625
2000-06-27,84.75
2000-06-28,87.125
2000-06-29,102.5
2000-06-30,99.875
2000-07-03,98.75
2000-07-05,104.5
2000-07-06,101.625
2000-07-07,101.0
2000-07-10,104.0
2000-07-11,103.0
2000-07-12,99.75
2000-07-13,95.75
2000-07-14,94.5
2000-07-17,98.5
2000-07-18,100.5
2000-07-19,100.5
2000-07-20,96.0
2000-07-21,98.125
2000-07-24,101.125
2000-07-25,101.25
2000-07-26,98.875
2000-07-27,99.4375
2000-07-28,102.25
2000-07-31,103.875
2000-08-01,106.875
2000-08-02,106.75
2000-08-03,108.375
2000-08-04,107.375
2000-08-07,106.5625
2000-08-08,108.5625
2000-08-09,75.0
2000-08-10,76.25
2000-08-11,77.0
2000-08-14,77.8125
2000-08-15,77.0
2000-08-16,77.125
2000-08-17,78.375
2000-08-18,76.8125
2000-08-21,77.1875
2000-08-22,76.125
2000-08-23,77.1875
2000-08-24,75.625
2000-08-25,75.5625
2000-08-28,74.5
2000-08-29,74.0
2000-08-30,74.25
2000-08-31,73.0
2000-09-01,72.625
2000-09-05,69.875
2000-09-06,67.1875
2000-09-07,68.5625
2000-09-08,69.3125
2000-09-11,70.0625
2000-09-12,71.625
2000-09-13,74.4375
2000-09-14,73.75
2000-09-15,72.9375
2000-09-18,74.4375
2000-09-19,75.875
2000-09-20,77.25
2000-09-21,78.0625
2000-09-22,81.5
2000-09-25,82.875
2000-09-26,82.6875
2000-09-27,81.6875
2000-09-28,81.9375
2000-09-29,81.125
2000-10-02,80.875
2000-10-03,81.75
2000-10-04,82.5
2000-10-05,84.4375
2000-10-06,82.9375
2000-10-09,82.6875
2000-10-10,84.5
2000-10-11,87.4375
2000-10-12,87.5
2000-10-13,87.0
2000-10-16,89.8125
2000-10-17,89.125
2000-10-18,89.25
2000-10-19,88.5
2000-10-20,86.375
2000-10-23,88.9375
2000-10-24,87.6875
2000-10-25,88.8125
2000-10-26,87.5
2000-10-27,87.5
2000-10-30,88.0
2000-10-31,89.375
2000-11-01,91.0
2000-11-02,88.5
2000-11-03,88.0625
2000-11-06,89.5625
2000-11-07,87.25
2000-11-08,90.4375
2000-11-09,89.6875
2000-11-10,90.5
2000-11-13,86.125
2000-11-14,87.875
2000-11-15,87.6875
2000-11-16,86.5625
2000-11-17,89.4375
2000-11-20,87.75
2000-11-21,89.875
2000-11-22,86.8125
2000-11-24,84.8125
2000-11-27,88.6875
2000-11-28,91.75
2000-11-29,94.5
2000-11-30,93.6875
2000-12-01,90.0625
2000-12-04,90.4375
2000-12-05,90.375
2000-12-06,90.375
2000-12-07,92.125
2000-12-08,92.5625
2000-12-11,92.875
2000-12-12,92.3125
2000-12-13,91.0
2000-12-14,89.75
2000-12-15,89.25
2000-12-18,88.5
2000-12-19,89.0
2000-12-20,90.9375
2000-12-21,90.75
2000-12-22,87.6875
2000-12-26,89.9375
2000-12-27,89.125
2000-12-28,91.625
2000-12-29,93.0625
2001-01-02,91.5
2001-01-03,86.3125
2001-01-04,81.125
2001-01-05,80.6875
2001-01-08,80.75
2001-01-09,84.5
2001-01-10,83.375
2001-01-11,81.625
2001-01-12,80.0
2001-01-16,83.25
2001-01-17,81.5625
2001-01-18,81.75
2001-01-19,80.75
2001-01-22,81.75
2001-01-23,83.125
2001-01-24,82.75
2001-01-25,83.0625
2001-01-26,82.5
2001-01-29,81.1
2001-01-30,79.81
2001-01-31,78.8
2001-02-01,80.15
2001-02-02,81.9
2001-02-05,79.9
2001-02-06,77.5
2001-02-07,78.95
