,Close
2019-01-02,73.66
2019-01-03,72.98
2019-01-04,75.58
2019-01-07,70.55
2019-01-08,70.91
2019-01-09,69.72
2019-01-10,69.86
2019-01-11,69.47
2019-01-14,67.64
2019-01-15,68.9
2019-01-16,70.18
2019-01-17,70.9
2019-01-18,70.88
2019-01-22,70.75
2019-01-23,72.73
2019-01-24,71.36
2019-01-25,71.1
2019-01-28,71.4
2019-01-29,72.44
2019-01-30,72.58
2019-01-31,72.3
2019-02-01,72.4
2019-02-04,71.3
2019-02-05,71.64
2019-02-06,71.31
2019-02-07,70.61
2019-02-08,70.62
2019-02-11,70.39
2019-02-12,69.02
2019-02-13,68.56
2019-02-14,68.97
2019-02-15,69.51
2019-02-19,70.3
2019-02-20,70.06
2019-02-21,70.98
2019-02-22,70.5
2019-02-25,69.49
2019-02-26,69.0
2019-02-27,69.1
2019-02-28,69.31
2019-03-01,70.95
2019-03-04,70.79
2019-03-05,71.16
2019-03-06,70.54
2019-03-07,70.51
2019-03-08,70.01
2019-03-11,70.21
2019-03-12,69.7
2019-03-13,69.84
2019-03-14,68.19
2019-03-15,69.51
2019-03-18,69.9
2019-03-19,69.71
2019-03-20,69.37
2019-03-21,71.0
2019-03-22,71.66
2019-03-25,72.83
2019-03-26,73.0
2019-03-27,72.27
2019-03-28,73.92
2019-03-29,74.94
2019-04-01,73.97
2019-04-02,74.36
2019-04-03,73.09
2019-04-04,70.32
2019-04-05,71.63
2019-04-08,72.87
2019-04-09,72.92
2019-04-10,72.4
2019-04-11,71.63
2019-04-12,71.11
2019-04-15,71.2
2019-04-16,69.66
2019-04-17,68.63
2019-04-18,67.62
2019-04-22,68.9
2019-04-23,69.48
2019-04-24,69.29
2019-04-25,69.2
2019-04-26,69.69
2019-04-29,68.55
2019-04-30,70.05
2019-05-01,70.1
2019-05-02,66.37
2019-05-03,67.1
2019-05-06,67.5
2019-05-07,68.25
2019-05-08,68.3
2019-05-09,68.63
2019-05-10,67.45
2019-05-13,66.54
2019-05-14,67.02
2019-05-15,67.07
2019-05-16,66.88
2019-05-17,67.63
2019-05-20,67.54
2019-05-21,65.36
2019-05-22,63.66
2019-05-23,63.08
2019-05-24,62.13
2019-05-28,60.79
2019-05-29,59.93
2019-05-30,60.05
2019-05-31,59.25
2019-06-03,60.24
2019-06-04,61.23
2019-06-05,62.35
2019-06-06,62.39
2019-06-07,60.99
2019-06-10,61.42
2019-06-11,61.92
2019-06-12,61.37
2019-06-13,61.21
2019-06-14,61.71
2019-06-17,59.85
2019-06-18,58.97
2019-06-19,61.32
2019-06-20,61.34
2019-06-21,60.84
2019-06-24,60.76
2019-06-25,62.54
2019-06-26,63.0
2019-06-27,61.7
2019-06-28,63.36
2019-07-01,62.53
2019-07-02,62.62
2019-07-03,63.72
2019-07-05,64.34
2019-07-08,64.39
2019-07-09,65.08
2019-07-10,66.2
2019-07-11,67.58
2019-07-12,65.93
2019-07-15,66.37
2019-07-16,66.79
2019-07-17,67.08
2019-07-18,67.96
2019-07-19,68.57
2019-07-22,67.56
2019-07-23,63.66
2019-07-24,63.49
2019-07-25,64.79
2019-07-26,64.68
2019-07-29,65.55
2019-07-30,67.54
2019-07-31,67.12
2019-08-01,66.55
2019-08-02,67.06
2019-08-05,65.36
2019-08-06,64.95
2019-08-07,65.62
2019-08-08,66.84
2019-08-09,67.06
2019-08-12,67.9
2019-08-13,67.3
2019-08-14,66.8
2019-08-15,67.9
2019-08-16,68.81
2019-08-19,70.12
2019-08-20,68.25
2019-08-21,68.44
2019-08-22,69.51
2019-08-23,68.4
2019-08-26,68.87
2019-08-27,68.45
2019-08-28,68.77
2019-08-29,69.92
2019-08-30,70.39
2019-09-03,71.36
2019-09-04,72.38
2019-09-05,71.79
2019-09-06,71.22
2019-09-09,71.06
2019-09-10,70.57
2019-09-11,71.58
2019-09-12,71.95
2019-09-13,72.15
2019-09-16,73.19
2019-09-17,74.0
2019-09-18,73.75
2019-09-19,73.63
2019-09-20,73.52
2019-09-23,74.14
2019-09-24,73.86
2019-09-25,73.86
2019-09-26,73.59
2019-09-27,73.36
2019-09-30,72.72
2019-10-01,73.57
2019-10-02,73.35
2019-10-03,77.88
2019-10-04,77.77
2019-10-07,75.91
2019-10-08,76.57
2019-10-09,75.96
2019-10-10,76.41
2019-10-11,76.09
2019-10-14,75.84
2019-10-15,75.5
2019-10-16,76.23
2019-10-17,77.05
2019-10-18,76.97
2019-10-21,76.82
2019-10-22,75.33
2019-10-23,74.81
2019-10-24,74.6
2019-10-25,75.0
2019-10-28,76.03
2019-10-29,77.02
2019-10-30,77.75
2019-10-31,78.04
2019-11-01,77.57
2019-11-04,77.21
2019-11-05,76.86
2019-11-06,79.07
2019-11-07,79.0
2019-11-08,78.95
2019-11-11,80.49
2019-11-12,80.12
2019-11-13,81.0
2019-11-14,81.04
2019-11-15,82.94
2019-11-18,83.36
2019-11-19,83.75
2019-11-20,83.49
2019-11-21,82.84
2019-11-22,82.91
2019-11-25,83.43
2019-11-26,83.85
2019-11-27,84.02
2019-11-29,83.98
2019-12-02,84.03
2019-12-03,84.41
2019-12-04,84.13
2019-12-05,84.41
2019-12-06,84.22
2019-12-09,84.16
2019-12-10,84.02
2019-12-11,84.38
2019-12-12,84.11
2019-12-13,84.1
2019-12-16,83.97
2019-12-17,84.09
2019-12-18,84.17
2019-12-19,84.2
2019-12-20,85.83
2019-12-23,85.5
2019-12-24,85.14
2019-12-26,86.15
2019-12-27,86.07
2019-12-30,85.45
2019-12-31,86.03
2020-01-02,84.09
2020-01-03,93.56
2020-01-06,90.7
2020-01-07,91.21
